table,status,estimated_rows,rows_written,parts,parquet_mb,elapsed_seconds,output_path,error
dbo.Channel_Offer_SKU_Forecast,ok,11538283,1000,2,0.08,0.82,C:\Users\labreu\Documents\Projects\ha-zoning-slotting\Output\ForecastAccuracy\corporate_forecast\snapshots\20260617_173147\tables\dbo__Channel_Offer_SKU_Forecast,
dbo.Channel_Offer_Forecast,ok,1568932,1000,2,0.05,0.18,C:\Users\labreu\Documents\Projects\ha-zoning-slotting\Output\ForecastAccuracy\corporate_forecast\snapshots\20260617_173147\tables\dbo__Channel_Offer_Forecast,
dbo.Offer_SKU_Inventory_Forecast,ok,4186131,1000,2,0.05,0.17,C:\Users\labreu\Documents\Projects\ha-zoning-slotting\Output\ForecastAccuracy\corporate_forecast\snapshots\20260617_173147\tables\dbo__Offer_SKU_Inventory_Forecast,
dbo.Offer_Inventory_Forecast,ok,5163971,1000,2,0.04,0.19,C:\Users\labreu\Documents\Projects\ha-zoning-slotting\Output\ForecastAccuracy\corporate_forecast\snapshots\20260617_173147\tables\dbo__Offer_Inventory_Forecast,
dbo.Channel_Offer_Demand_History,ok,798916,1000,2,0.05,0.21,C:\Users\labreu\Documents\Projects\ha-zoning-slotting\Output\ForecastAccuracy\corporate_forecast\snapshots\20260617_173147\tables\dbo__Channel_Offer_Demand_History,
dbo.Channel_SKU_SIZE_Weekly_Demand_History,ok,1367399,1000,2,0.02,0.16,C:\Users\labreu\Documents\Projects\ha-zoning-slotting\Output\ForecastAccuracy\corporate_forecast\snapshots\20260617_173147\tables\dbo__Channel_SKU_SIZE_Weekly_Demand_History,
dbo.Product_Dimensions_Hierarchy_Attributes,ok,477206,1000,2,0.06,0.18,C:\Users\labreu\Documents\Projects\ha-zoning-slotting\Output\ForecastAccuracy\corporate_forecast\snapshots\20260617_173147\tables\dbo__Product_Dimensions_Hierarchy_Attributes,
dbo.Offer_Control_Table,ok,41531,1000,2,0.14,0.26,C:\Users\labreu\Documents\Projects\ha-zoning-slotting\Output\ForecastAccuracy\corporate_forecast\snapshots\20260617_173147\tables\dbo__Offer_Control_Table,
dbo.Offers,ok,93435,1000,2,0.05,0.16,C:\Users\labreu\Documents\Projects\ha-zoning-slotting\Output\ForecastAccuracy\corporate_forecast\snapshots\20260617_173147\tables\dbo__Offers,
dbo.Current_SKU_Available_DC_Inventory,ok,34388,1000,2,0.02,0.15,C:\Users\labreu\Documents\Projects\ha-zoning-slotting\Output\ForecastAccuracy\corporate_forecast\snapshots\20260617_173147\tables\dbo__Current_SKU_Available_DC_Inventory,
dbo.Current_Offer_Inventory,ok,7669,1000,2,0.03,0.16,C:\Users\labreu\Documents\Projects\ha-zoning-slotting\Output\ForecastAccuracy\corporate_forecast\snapshots\20260617_173147\tables\dbo__Current_Offer_Inventory,
dbo.On_Order,ok,23413,1000,2,0.03,0.16,C:\Users\labreu\Documents\Projects\ha-zoning-slotting\Output\ForecastAccuracy\corporate_forecast\snapshots\20260617_173147\tables\dbo__On_Order,
dbo.Forecast_Job_Log,ok,221038,1000,2,0.01,0.16,C:\Users\labreu\Documents\Projects\ha-zoning-slotting\Output\ForecastAccuracy\corporate_forecast\snapshots\20260617_173147\tables\dbo__Forecast_Job_Log,
