PickDate,PickUnits,PickLines,DistinctOrdersSummedBySKUDay,ActiveSKUs
2022-01-02,24224.0,23448,23438,4112
2022-01-03,63359.0,60992,60932,5392
2022-01-04,54244.0,52220,52182,4954
2022-01-05,49358.0,47496,47454,4997
2022-01-06,45324.0,43563,43516,4855
2022-01-07,25883.0,24867,24846,4365
2022-01-08,17605.0,16859,16839,3734
2022-01-09,20308.0,19541,19514,3945
2022-01-10,51135.0,49033,48966,5961
2022-01-11,39721.0,38098,38038,5372
2022-01-12,27563.0,26522,26483,5123
2022-01-13,20591.0,19762,19729,4633
2022-01-14,18465.0,17739,17691,4274
2022-01-15,10474.0,10113,10087,3514
2022-01-16,17994.0,17273,17235,4560
2022-01-17,29738.0,28392,28349,5383
2022-01-18,22357.0,21407,21353,5145
2022-01-19,13932.0,13442,13419,5159
2022-01-20,13677.0,13190,13163,5090
2022-01-21,9953.0,9582,9563,4269
2022-01-22,9384.0,9056,9033,4201
2022-01-23,13195.0,12690,12662,5130
2022-01-24,16962.0,16249,16225,5605
2022-01-25,8598.0,8335,8319,4294
2022-01-26,11478.0,11060,11043,5068
2022-01-27,9779.0,9449,9415,4396
2022-01-28,6498.0,6243,6231,3373
2022-01-29,4145.0,3967,3959,2470
2022-01-30,11876.0,11372,11355,4556
2022-01-31,18047.0,17384,17350,5522
2022-02-01,11247.0,10802,10785,4254
2022-02-02,9630.0,9306,9280,4152
2022-02-03,6268.0,6017,6005,3036
2022-02-05,14143.0,13571,13556,4617
2022-02-06,17324.0,16662,16643,5032
2022-02-07,8979.0,8606,8589,3863
2022-02-08,8408.0,8058,8049,3731
2022-02-09,9415.0,9044,9038,3955
2022-02-10,8277.0,7917,7910,3964
2022-02-11,5415.0,5217,5214,3150
2022-02-12,6231.0,6038,6014,3389
2022-02-13,10439.0,9995,9982,4600
2022-02-14,9100.0,8782,8775,4245
2022-02-15,9672.0,9360,9355,4756
2022-02-16,18342.0,17711,17702,6121
2022-02-17,16247.0,15777,15763,5956
2022-02-18,16951.0,16497,16492,5839
2022-02-19,12204.0,11853,11846,5186
2022-02-20,20673.0,20063,20058,6359
2022-02-21,27213.0,26292,26281,6863
2022-02-22,23296.0,22660,22644,6703
2022-02-23,12055.0,11695,11686,5381
2022-02-24,6768.0,6562,6557,3848
2022-02-25,10307.0,9926,9917,4837
2022-02-26,6499.0,6255,6250,3793
2022-02-27,14764.0,14330,14323,5593
