Year,OctWindowStart,OctWindowEnd,Units14d,Prior28dUnits,LiftVsPriorAvg14d
2022,2022-10-13,2022-10-26,814141.0,635247.0,2.5632265874533844
2022,2022-10-14,2022-10-27,798889.0,679543.0,2.3512537102140705
2022,2022-10-12,2022-10-25,781793.0,611789.0,2.555760237598257
2023,2023-10-12,2023-10-25,763566.0,518962.0,2.942666322389693
2023,2023-10-11,2023-10-24,743086.0,497618.0,2.986572029146856
2023,2023-10-13,2023-10-26,727843.0,575138.0,2.5310203811954697
2024,2024-10-10,2024-10-23,762379.0,544187.0,2.8019008171823288
2024,2024-10-09,2024-10-22,743702.0,532521.0,2.7931367964831435
2024,2024-10-11,2024-10-24,731699.0,594463.0,2.4617141857441087
2025,2025-10-12,2025-10-25,693194.0,552273.0,2.5103309414003583
2025,2025-10-13,2025-10-26,687455.0,569367.0,2.4148045109744682
2025,2025-10-11,2025-10-24,671650.0,533451.0,2.5181319371413684
