Year,WindowStart,WindowEnd,Units14d
2022,2022-11-18,2022-12-01,1003036.0
2022,2022-11-17,2022-11-30,992559.0
2022,2022-11-19,2022-12-02,987432.0
2022,2022-11-20,2022-12-03,987026.0
2022,2022-11-16,2022-11-29,982229.0
2023,2023-11-19,2023-12-02,1058279.0
2023,2023-11-20,2023-12-03,1043280.0
2023,2023-11-21,2023-12-04,1038183.0
2023,2023-11-24,2023-12-07,1033728.0
2023,2023-11-18,2023-12-01,1032233.0
2024,2024-11-24,2024-12-07,1138237.0
2024,2024-11-25,2024-12-08,1118110.0
2024,2024-11-23,2024-12-06,1110211.0
2024,2024-11-26,2024-12-09,1085917.0
2024,2024-11-22,2024-12-05,1076750.0
2025,2025-11-23,2025-12-06,905875.0
2025,2025-11-22,2025-12-05,876084.0
2025,2025-11-24,2025-12-07,872735.0
2025,2025-11-28,2025-12-11,867456.0
2025,2025-11-21,2025-12-04,865117.0
2026,2026-05-16,2026-05-29,405263.0
2026,2026-05-17,2026-05-30,403267.0
2026,2026-05-15,2026-05-28,397632.0
2026,2026-05-18,2026-05-31,393059.0
2026,2026-01-02,2026-01-15,380999.0
