SnapshotId,SourceFile,InferredFileDate,ForecastStartDate,Variances of 0,Variances of +/- 1-5,Variances of +/- 6-10,Variances of +/- 11-25,Variances of +/- 26-50,Variances of +/- 51-75,Variances of +/- 76-99,Variances of +/- 100+
1a45d2014eda9238389bf670224bce88c4f81659ceecec70698c70860fa01955,2022-08-02_3cfb7e9f0d9e_2022-08-02_3cfb7e9f0d9e_Forecast_8.2.2022.csv,2022-08-02,2022-08-01,0,0,0,1643,553,96,33,21
2e6979fdbaa24bd12b16aa86c837b883ff54412e866e74e59e074872dfe4603c,2022-08-16_a05e822a6ce3_2022-08-16_a05e822a6ce3_815ForwardDemandCSV.csv,2022-08-16,2022-08-08,0,0,87,207,278,82,59,190
e15656df752160248fc7c159fb8714bf44c63568c7871f6a0d288256cc459772,2022-08-23_7fc5290b24d7_2022-08-23_7fc5290b24d7_823FwdDemand-GIR.csv,2022-08-23,2022-08-22,0,0,308,2209,1273,299,111,135
0107081fa3e41823fbc3d39c8668c8cef0a06c861a5cab1dfcda262310a4fb28,2022-09-07_e162ffaa7c9a_2022-09-07_e162ffaa7c9a_829FwdDemandCSV-ReserveOnly.csv,2022-09-07,2022-08-29,0,0,570,1548,1406,528,282,431
a07ea38001c06bb2a6cf73eff2c28fd95d527edb726cc4225009975ccd101390,2022-09-08_88167977e314_2022-09-08_88167977e314_FwdDemandCSV_9.6.csv,2022-09-08,2022-09-05,0,0,394,3247,2747,648,419,404
8e97169bcd267064b0bf11cd792c6ad8273268e2107832c30f1eac8ec6c3a4f4,2022-10-06_b72256987a3f_2022-10-06_b72256987a3f_Fwd_Demand_CSV_10-6_updated.csv,2022-10-06,2022-10-03,0,0,674,3731,3166,1006,579,1266
9eef39e572ee76682ce4338d7d253f27540023aef8e463b7d431f86af0cb277e,2023-05-31_c75f14494a09_2023-05-31_c75f14494a09_Fwd_Demand_CSV_5.31.csv,2023-05-31,2023-05-30,0,1100,1783,4296,1159,421,141,105
c00d60cfcf078dbf1dfcb4fba8ab88b7e39a602459533efb89288b8a96a13e6c,2023-06-06_3e59a9736a7c_2023-06-06_3e59a9736a7c_Fwd_Demand_CSV_6.6.csv,2023-06-06,2023-06-05,0,759,689,3810,1480,302,133,93
d0dc86be6bf064cf28d4936d356b1f8ea346dd962fd9daae70920a42ed7d2af0,2023-06-13_6e0c7c791857_2023-06-13_6e0c7c791857_Fwd_Demand_CSV_6.13.csv,2023-06-13,2023-06-12,0,1066,481,3688,1460,347,138,166
ef8f539a1d8339d1a599d669e90cd226e1f605b95983c421a69dd4e3b5b42d53,2023-06-20_d2271a6f4141_2023-06-20_d2271a6f4141_Fwd_Demand_CSV_6.20.csv,2023-06-20,2023-06-20,0,1003,1870,3009,2225,1048,458,711
013f2bf4cdc5f5676e59ec32030e4e432f63e73d52a7593e285c6cb9067ea0af,2023-06-27_9584f02d0766_2023-06-27_9584f02d0766_Fwd_Demand_CSV_6.27.csv,2023-06-27,2023-06-26,0,744,1058,2596,1977,1178,773,1983
02b8dbc9fc674351454d1f529f5e530cc5e45a65e28811d96c376bab45104e8c,2023-06-30_c4eb2999f4af_2023-06-30_c4eb2999f4af_Fwd_Demand_CSV_6.30.csv,2023-06-30,2023-06-29,0,396,963,2407,2319,1394,787,1948
74150e47ce39ab5628a8face5c4603a9d6e9255786c19bad4be5362f6f7e15dc,2023-07-05_fdc41c7cac28_2023-07-05_fdc41c7cac28_Fwd_Demand_CSV_7.5.csv,2023-07-05,2023-07-03,0,647,518,2326,2287,1172,756,1801
b874ebbf36d14981a4b2ff2e8fa17d68769a447b96090a51de51cba6aed0edc8,2023-07-11_2b0ac3cb82ae_2023-07-11_2b0ac3cb82ae_Fwd_Demand_CSV_7.11.csv,2023-07-11,2023-07-10,0,591,3474,3757,1616,707,393,639
