SnapshotDate,Rows,DistinctSKUs,InboundTotalUnits,InboundPastDueUnits,InboundNext7Units,InboundNext8To14Units,InboundNext15To30Units,InboundNext31To60Units,InboundNext61To90Units,InboundLaterUnits,InboundMissingDateUnits,InboundOpenPOLines,InboundDistinctPOs
2026-06-19,16392,16392,5853097.0,50877.0,1023089.0,185204.0,226655.0,393267.0,1393813.0,2580192.0,0.0,24711,24710
2026-06-20,16247,16247,5752637.0,51310.0,922196.0,185204.0,226655.0,393287.0,1473770.0,2500215.0,0.0,24392,24391
2026-06-21,16247,16247,5752637.0,51310.0,922196.0,185204.0,226655.0,394247.0,1511529.0,2461496.0,0.0,24392,24391
2026-06-22,16246,16246,5755912.0,51310.0,922226.0,160173.0,344675.0,316496.0,1689915.0,2271117.0,0.0,24390,24389
2026-06-23,16246,16246,5756161.0,51310.0,922341.0,160173.0,348333.0,312838.0,1797688.0,2163478.0,0.0,24391,24390
2026-06-24,16160,16160,5725449.0,51310.0,978188.0,186374.0,348051.0,171114.0,1797902.0,2192510.0,0.0,24371,24370
2026-06-25,16107,16107,5695227.0,214980.0,785564.0,186374.0,348051.0,177603.0,1790313.0,2192342.0,0.0,24400,24399
2026-06-26,16004,16004,5643282.0,162630.0,834360.0,139794.0,340522.0,183321.0,1890648.0,2092007.0,0.0,24243,24242
2026-06-27,15988,15988,5633997.0,294387.0,693318.0,139794.0,340522.0,187052.0,1951535.0,2027389.0,0.0,24211,24210
2026-06-28,15779,15779,5573140.0,233530.0,693318.0,142425.0,337891.0,187052.0,1951535.0,2027389.0,0.0,23970,23969
2026-06-29,15772,15772,5568480.0,228815.0,693471.0,140563.0,438858.0,87947.0,2050784.0,1928042.0,0.0,23941,23940
2026-06-30,15772,15772,5588221.0,229026.0,694042.0,140563.0,438858.0,88587.0,2118020.0,1879125.0,0.0,24167,24166
2026-07-02,15431,15431,5446121.0,219893.0,685582.0,156072.0,322065.0,113794.0,2070434.0,1878281.0,0.0,24002,24001
2026-07-03,15334,15334,5410398.0,219893.0,720419.0,88983.0,322744.0,112724.0,2076353.0,1869282.0,0.0,23848,23847
2026-07-04,15334,15334,5410475.0,349386.0,591003.0,88983.0,324917.0,143247.0,2106011.0,1806928.0,0.0,23848,23847
2026-07-05,15334,15334,5410475.0,349386.0,591003.0,88983.0,324917.0,143247.0,2106011.0,1806928.0,0.0,23848,23847
2026-07-06,14971,14971,5255658.0,200338.0,585486.0,85515.0,327557.0,144252.0,2104109.0,1808401.0,0.0,23360,23359
2026-07-07,14895,14895,5198183.0,183164.0,544431.0,1865.0,413019.0,190093.0,2790327.0,1075284.0,0.0,23136,23135
2026-07-08,14885,14885,5204482.0,132269.0,592066.0,140769.0,272800.0,917287.0,2213326.0,935965.0,0.0,23189,23188
2026-07-09,14594,14594,5032698.0,332428.0,230397.0,140769.0,272800.0,915074.0,2255917.0,885313.0,0.0,22760,22759
2026-07-10,14611,14611,5033552.0,332738.0,286708.0,232332.0,125606.0,961718.0,2207426.0,887024.0,0.0,22775,22774
2026-07-11,14611,14611,5033709.0,430067.0,189536.0,232332.0,125606.0,961718.0,2236676.0,857774.0,0.0,22775,22774
2026-07-13,14382,14382,4914537.0,310890.0,189541.0,232332.0,167704.0,919472.0,2236824.0,857774.0,0.0,22451,22450
2026-07-14,14289,14289,4879988.0,271710.0,196378.0,225765.0,175953.0,931770.0,2237197.0,841215.0,0.0,22241,22240
2026-07-16,13982,13982,4779821.0,273596.0,172557.0,240582.0,75124.0,1210629.0,1961133.0,846200.0,0.0,21818,21817
2026-07-17,13881,13881,4750973.0,246080.0,295834.0,125373.0,49168.0,1346817.0,1824945.0,862756.0,0.0,21711,21710
2026-07-20,13554,13554,4654877.0,144239.0,261605.0,127966.0,54123.0,1492726.0,1732521.0,841697.0,0.0,21427,21426
2026-07-21,13966,13966,4737058.0,106229.0,251827.0,127966.0,55083.0,1537465.0,1688695.0,969793.0,0.0,22145,22144
2026-07-22,14066,14066,4767410.0,69714.0,331874.0,30433.0,55880.0,1718009.0,1492381.0,1069119.0,0.0,22381,22380
