SnapshotDate,SourceWorkbook,Rows,DistinctSKUs,DistinctPOs,InboundRemainderUnits,MinExpectedInDCDate,MaxExpectedInDCDate
2024-03-19,Product Info for BRG_2024-03-19.xlsx,25401,15666,1805,5251209,2017-12-15,2025-12-27
2024-06-17,Product Info for BRG_2024-06-17.xlsx,24734,14783,1780,5377806,2017-12-15,2024-12-09
2024-06-20,Product Info for BRG_2024-06-20.xlsx,24549,14692,1769,5327477,2017-12-15,2024-12-09
2026-03-23,Product Info for BRG_2026-03-23.xlsx,15852,12600,1204,3451928,2017-12-15,2027-01-06
2026-03-24,Product Info for BRG_2026-03-24.xlsx,16609,13253,1267,3986693,2017-12-15,2027-01-06
2026-04-06,Product Info for BRG_2026-04-06.xlsx,18628,14692,1444,5717307,2017-12-15,2027-01-06
2026-04-27,Product Info for BRG_2026-04-27.xlsx,20662,14711,1628,5674255,2017-12-15,2026-11-02
2026-05-04,Product Info for BRG_2026-05-04.xlsx,20349,14405,1597,5645306,2017-12-15,2026-11-02
2026-05-11,Product Info for BRG_2026-05-11.xlsx,20952,14974,1589,5682820,2017-12-15,2027-01-22
2026-06-01,Product Info for BRG_2026-06-01.xlsx,22321,16130,1656,5927442,2017-12-15,2027-01-22
