Division,Department,Class,ForecastName,Rows,ActualUnits,ForecastUnits,BiasUnits,BiasPct,WAPE,ZeroForecastSoldUnits,ZeroForecastSoldUnitPct
Girls,G dress,G SL dress,CorporateBaselineQty,11931,64531.0,19243.0,-45288.0,-0.7018022345849282,1.0542839875408718,48916.0,0.7580232756349662
Kids Unisex Sleep,S KU SJ,S KU SJ print,CorporateBaselineQty,19250,58419.0,35464.0,-22955.0,-0.39293722932607544,1.328386312672247,43154.0,0.7386980263270512
Baby Sleepwear,BS footless sleeper,BS footless print,CorporateBaselineQty,13518,29679.0,30492.0,813.0,0.027393106236733043,1.6785942922605208,21157.0,0.7128609454496445
Kids Unisex,KU top,KU SS top,CorporateBaselineQty,9820,24623.0,14292.0,-10331.0,-0.4195670714372741,1.2483856556877715,18074.0,0.734029159728709
Girls,G short,G k short,CorporateBaselineQty,5835,23485.0,25890.0,2405.0,0.10240579093038109,1.5755162869916968,16173.0,0.6886523312752821
Girls,G dress,G SS dress,CorporateBaselineQty,8104,19940.0,4435.0,-15505.0,-0.7775827482447342,1.067753259779338,16657.0,0.8353560682046138
Girls,G swimwear,G swim 2pc,CorporateBaselineQty,6764,18445.0,4876.0,-13569.0,-0.7356465166711846,1.071889400921659,13959.0,0.7567904581187314
Kids Unisex Sleep,S KU LJ,S KU LJ print,CorporateBaselineQty,15187,17562.0,25671.0,8109.0,0.4617355654253502,1.9564400409976084,11444.0,0.6516342102266257
Boys,B top,B SS top,CorporateBaselineQty,9425,15526.0,2543.0,-12983.0,-0.8362102280046374,1.0840525570011594,14472.0,0.932113873502512
Baby Apparel,Bby sets,Bby SS set,CorporateBaselineQty,4704,13603.0,3518.0,-10085.0,-0.7413805778137176,1.0677791663603617,10739.0,0.7894582077482908
Kids Unders,U G underwear,U G unders bottom,CorporateBaselineQty,2876,13390.0,57000.0,43610.0,3.256908140403286,3.72755787901419,2972.0,0.2219566840926064
Boys,B swimwear,B swim trunk,CorporateBaselineQty,5629,12347.0,2454.0,-9893.0,-0.8012472665424799,1.0761318538916336,9768.0,0.7911233498015713
Boys,B swimwear,B swim rash guard,CorporateBaselineQty,4370,12111.0,7292.0,-4819.0,-0.3979027330525968,1.3159111551482123,9098.0,0.7512179010816613
Girls,G swimwear,G swim 1pc,CorporateBaselineQty,5134,11716.0,5705.0,-6011.0,-0.5130590645271423,1.233441447593035,9204.0,0.7855923523386822
Kids Unders,U B underwear,U B unders bottom,CorporateBaselineQty,2844,11105.0,76533.0,65428.0,5.891760468257542,6.0711391265195855,708.0,0.06375506528590726
Boys,B short,B w short,CorporateBaselineQty,3233,8243.0,6463.0,-1780.0,-0.2159407982530632,1.4106514618464152,6173.0,0.7488778357394152
Girls,G pant,G k pant,CorporateBaselineQty,4706,8232.0,57019.0,48787.0,5.926506316812439,6.738702623906706,3069.0,0.3728134110787172
Kids Unisex,KU top,KU LS top,CorporateBaselineQty,8025,8156.0,13175.0,5019.0,0.6153751839136832,2.1136586562040214,5576.0,0.6836684649337911
Baby Apparel,Bby dress,Bby SL dress,CorporateBaselineQty,3150,6953.0,556.0,-6397.0,-0.9200345174744714,0.9790018696965339,6113.0,0.8791888393499209
Girls,G top,G SL top,CorporateBaselineQty,2226,6647.0,871.0,-5776.0,-0.8689634421543554,0.9462915601023018,4995.0,0.7514668271400632
Baby Apparel,Bby swimwear,Bby swim rash guard,CorporateBaselineQty,2432,6555.0,1369.0,-5186.0,-0.7911517925247903,1.0834477498093058,5441.0,0.8300533943554539
Girls,G sets,G SL set,CorporateBaselineQty,2741,6455.0,483.0,-5972.0,-0.9251742835011619,0.9852827265685515,5735.0,0.8884585592563904
Kids Unisex,KU pant,KU k pant,CorporateBaselineQty,2550,6425.0,5315.0,-1110.0,-0.17276264591439688,1.4235019455252917,4173.0,0.6494941634241245
Girls,G swimwear,G swim rash guard,CorporateBaselineQty,2576,6024.0,510.0,-5514.0,-0.9153386454183267,0.953519256308101,4902.0,0.8137450199203188
Kids Unisex,KU short,KU k short,CorporateBaselineQty,2169,5623.0,8851.0,3228.0,0.5740707807220345,1.9338431442290591,3753.0,0.6674373110439268
Girls,G top,G SS top,CorporateBaselineQty,2856,5326.0,3936.0,-1390.0,-0.26098385279759667,1.4029290274126924,4088.0,0.7675553886594066
Girls,G dress,G LS dress,CorporateBaselineQty,8203,5323.0,24253.0,18930.0,3.556265263948901,3.993988352432839,379.0,0.07120045087356754
Collab Sleepwear,CS Kids Unisex sleep,CS KU LJ,CorporateBaselineQty,6603,5269.0,15598.0,10329.0,1.9603340292275575,2.8637312583032832,1941.0,0.3683810969823496
Baby Apparel,Bby 1pc,Bby SL 1pc,CorporateBaselineQty,2550,5249.0,5658.0,409.0,0.07791960373404458,1.5856353591160222,3686.0,0.7022289959992379
Girls,G swimwear,G swim cover up,CorporateBaselineQty,1443,4783.0,538.0,-4245.0,-0.887518293957767,0.9468952540246707,3684.0,0.7702278904453272
Baby Apparel,Bby top,Bby SS top,CorporateBaselineQty,1935,4631.0,458.0,-4173.0,-0.9011012740228892,0.9766789030446987,4009.0,0.8656877564240985
Collab Sleepwear,CS Kids Unisex sleep,CS KU SJ,CorporateBaselineQty,3251,4570.0,2773.0,-1797.0,-0.39321663019693653,1.2715536105032823,3338.0,0.7304157549234136
Boys,B short,B k short,CorporateBaselineQty,1847,4487.0,368.0,-4119.0,-0.9179852908402051,0.960775573880098,3637.0,0.8105638511254736
Baby Apparel,Bby swimwear,Bby swim 2pc,CorporateBaselineQty,2703,4477.0,2658.0,-1819.0,-0.4062988608443154,1.3734643734643734,3809.0,0.8507929417020326
Girls,G short,G w short,CorporateBaselineQty,845,4323.0,376.0,-3947.0,-0.9130233634050428,0.9343048808697664,3293.0,0.7617395327318991
Boys,B top,B LS top,CorporateBaselineQty,6114,4274.0,10359.0,6085.0,1.4237248479176416,2.77328029948526,2721.0,0.6366401497426298
Girls,G sets,G SS set,CorporateBaselineQty,2650,3947.0,1478.0,-2469.0,-0.6255383835824677,1.2361287053458323,3594.0,0.9105649860653661
Girls,G skirt,G k skirt,CorporateBaselineQty,1753,3875.0,512.0,-3363.0,-0.8678709677419355,1.0211612903225806,3405.0,0.8787096774193548
Boys,B pant,B k pant,CorporateBaselineQty,3178,3867.0,14158.0,10291.0,2.6612361003361777,3.6066718386346004,1657.0,0.42849754331523143
Kids Unisex,KU pant,KU w pant,CorporateBaselineQty,1655,3412.0,1170.0,-2242.0,-0.6570926143024619,1.1735052754982416,2843.0,0.8332356389214537
Kids Unisex Sleep,S KU non cotton,S KU non cttn PJ,CorporateBaselineQty,4706,3294.0,16833.0,13539.0,4.110200364298725,5.132058287795993,1453.0,0.4411050394656952
Girls,G 1pc,G SL 1pc,CorporateBaselineQty,1750,3161.0,746.0,-2415.0,-0.7639987345776653,1.1385637456501108,2929.0,0.926605504587156
Baby Apparel,Bby pant,Bby k pant,CorporateBaselineQty,2634,3065.0,6686.0,3621.0,1.1814029363784666,2.297879282218597,1538.0,0.501794453507341
Kids Accessories,KA sock,KA sock misc,CorporateBaselineQty,743,2806.0,151.0,-2655.0,-0.9461867426942266,0.966143977191732,2369.0,0.8442622950819673
Baby Apparel,Bby 1pc,Bby SS 1pc,CorporateBaselineQty,869,2758.0,126.0,-2632.0,-0.9543147208121827,1.0253807106598984,2655.0,0.9626540971718637
Collab Apparel,C Girl,C G dress,CorporateBaselineQty,2318,2714.0,2319.0,-395.0,-0.14554163596168018,1.4727339719970522,2041.0,0.7520265291083272
Kids Unisex,KU sets,KU SS set,CorporateBaselineQty,1312,2652.0,243.0,-2409.0,-0.9083710407239819,0.9626696832579186,2285.0,0.8616138763197587
Adult Sleep,S W sleepwear,S W pajama,CorporateBaselineQty,4719,2524.0,6283.0,3759.0,1.4893026941362917,3.201664025356577,2098.0,0.8312202852614897
Baby Apparel,Bby bodysuit,Bby SS bodysuit,CorporateBaselineQty,851,2285.0,1965.0,-320.0,-0.1400437636761488,1.5037199124726477,1779.0,0.7785557986870897
Collab Sleepwear,CS Baby sleep,CS Bby footless,CorporateBaselineQty,2675,2214.0,7650.0,5436.0,2.4552845528455283,3.4336043360433606,1005.0,0.453929539295393
Girls,G pant,G w pant,CorporateBaselineQty,2491,2209.0,5403.0,3194.0,1.4459031235853328,2.8474422815753733,1425.0,0.6450882752376641
Baby Apparel,Bby sets,Bby LS set,CorporateBaselineQty,2274,2182.0,4010.0,1828.0,0.8377635197066912,2.286892758936755,1471.0,0.6741521539871678
Boys,B pant,B w pant,CorporateBaselineQty,2830,2158.0,7682.0,5524.0,2.5597775718257645,3.8637627432808155,1328.0,0.6153846153846154
Baby Apparel,Bby swimwear,Bby swim 1pc,CorporateBaselineQty,998,2074.0,198.0,-1876.0,-0.9045323047251688,1.0144648023143683,1858.0,0.8958534233365477
Girls,G top,G LS top,CorporateBaselineQty,2348,2006.0,10074.0,8068.0,4.021934197407776,4.551345962113659,411.0,0.2048853439680957
Collab Accessories,CA underwear,CA G underwear,CorporateBaselineQty,1042,1999.0,7485.0,5486.0,2.7443721860930466,3.4467233616808404,652.0,0.3261630815407704
Baby Apparel,Bby dress,Bby SL dress set,CorporateBaselineQty,1005,1932.0,564.0,-1368.0,-0.7080745341614907,1.1221532091097308,1632.0,0.84472049689441
Collab Apparel,C Kids Unisex,C KU top,CorporateBaselineQty,958,1896.0,56.0,-1840.0,-0.9704641350210971,0.9767932489451476,1731.0,0.9129746835443038
Baby Apparel,Bby short,Bby k short,CorporateBaselineQty,667,1843.0,112.0,-1731.0,-0.9392295170916983,0.9815518176885513,1681.0,0.9120998372219208
Baby Apparel,Bby pant,Bby w pant,CorporateBaselineQty,844,1760.0,1086.0,-674.0,-0.38295454545454544,1.3863636363636365,1366.0,0.7761363636363636
Baby Apparel,Bby dress,Bby SS dress,CorporateBaselineQty,1400,1555.0,1148.0,-407.0,-0.2617363344051447,1.442443729903537,1255.0,0.8070739549839229
Kids Unisex Sleep,S KU non cotton,S KU non cttn nightgown,CorporateBaselineQty,1041,1546.0,1762.0,216.0,0.13971539456662355,1.6959896507115135,1177.0,0.7613195342820182
Baby Apparel,Bby outerwear,Bby jkt,CorporateBaselineQty,1843,1346.0,3886.0,2540.0,1.887072808320951,3.072808320950966,773.0,0.5742942050520059
Baby Sleepwear,BS footless sleeper,BS footless stripe,CorporateBaselineQty,798,1301.0,4505.0,3204.0,2.46272098385857,3.5096079938508837,536.0,0.41199077632590314
Kids Unisex,KU outerwear,KU jkt,CorporateBaselineQty,2345,1272.0,5588.0,4316.0,3.393081761006289,4.10062893081761,384.0,0.3018867924528302
Adult Apparel,O womens apparel,O womens apparel swim,CorporateBaselineQty,457,1243.0,12.0,-1231.0,-0.9903459372485921,0.995172968624296,1218.0,0.9798873692679002
Baby Apparel,Bby bodysuit,Bby LS bodysuit,CorporateBaselineQty,793,1129.0,2786.0,1657.0,1.4676705048715677,2.5837023914969,600.0,0.5314437555358724
Kids Unisex,KU short,KU w short,CorporateBaselineQty,712,1122.0,56.0,-1066.0,-0.9500891265597148,0.9714795008912656,1037.0,0.9242424242424242
Boys,B sets,B SS set,CorporateBaselineQty,700,1086.0,0.0,-1086.0,-1.0,1.0,1086.0,1.0
Baby Apparel,Bby sets,Bby SL set,CorporateBaselineQty,487,1057.0,140.0,-917.0,-0.8675496688741722,0.9981078524124882,892.0,0.8438978240302744
Kids Unisex Sleep,S KU SJ,S KU SJ stripe,CorporateBaselineQty,489,1000.0,1799.0,799.0,0.799,2.135,473.0,0.473
Collab Apparel,C Girl,C G swimwear,CorporateBaselineQty,878,995.0,2384.0,1389.0,1.3959798994974875,2.485427135678392,504.0,0.5065326633165829
Collab Apparel,C Kids Unisex,C KU jkt-vest,CorporateBaselineQty,681,888.0,3216.0,2328.0,2.6216216216216215,4.0,608.0,0.6846846846846847
Baby Apparel,Bby dress,Bby SS dress set,CorporateBaselineQty,580,810.0,16.0,-794.0,-0.980246913580247,1.0148148148148148,807.0,0.9962962962962963
Baby Apparel,Bby dress,Bby LS dress set,CorporateBaselineQty,853,779.0,2635.0,1856.0,2.3825417201540438,2.777920410783055,88.0,0.11296534017971759
Girls,G sets,G LS set,CorporateBaselineQty,1169,774.0,2486.0,1712.0,2.2118863049095605,3.235142118863049,365.0,0.4715762273901809
Adult Sleep,S AU sleepwear,S AU LJ bottom,CorporateBaselineQty,2402,735.0,3945.0,3210.0,4.36734693877551,5.3795918367346935,318.0,0.4326530612244898
Collab Apparel,C Baby-Toddler,C BT set,CorporateBaselineQty,691,716.0,469.0,-247.0,-0.34497206703910616,1.3645251396648044,591.0,0.8254189944134078
Collab Apparel,C Baby,C Bby set,CorporateBaselineQty,689,694.0,898.0,204.0,0.29394812680115273,1.962536023054755,571.0,0.8227665706051873
Kids Unisex Sleep,S KU LJ,S KU LJ stripe,CorporateBaselineQty,989,680.0,2664.0,1984.0,2.9176470588235293,3.335294117647059,36.0,0.052941176470588235
Baby Apparel,Bby bundle,Bby bundle misc,CorporateBaselineQty,1031,665.0,2770.0,2105.0,3.1654135338345863,3.9593984962406017,235.0,0.3533834586466165
Baby Sleepwear,BS 1pc,BS misc,CorporateBaselineQty,464,629.0,2877.0,2248.0,3.573926868044515,4.864864864864865,403.0,0.6406995230524642
Girls,G sweater,G swtr cardigan,CorporateBaselineQty,653,615.0,1534.0,919.0,1.494308943089431,3.0747967479674796,478.0,0.7772357723577236
Boys,B swimwear,B swim cover up,CorporateBaselineQty,216,611.0,0.0,-611.0,-1.0,1.0,611.0,1.0
Collab Apparel,C Baby-Toddler,C BT top,CorporateBaselineQty,796,553.0,1519.0,966.0,1.7468354430379747,2.4412296564195297,136.0,0.24593128390596744
Kids Unisex,KU top,KU SL top,CorporateBaselineQty,283,542.0,10.0,-532.0,-0.981549815498155,0.996309963099631,531.0,0.9797047970479705
