Date,SKU,SoldUnits,CorporateBaselineQty,Recent28BaselineQty,Recent7BaselineQty,HybridBaselineQty,HasAnyPromotion,Division,Department,Class,KeyCategoryView,HybridAbsError
2026-05-24,58662-4O4-S,12.0,1035.0,17.0,12.857142857142858,271.5,True,Kids Unders,U B underwear,U B unders bottom,Underwear,259.5
2026-05-24,58663-4SX-S,11.0,885.0,9.678571428571429,6.142857142857143,228.50892857142858,True,Kids Unders,U B underwear,U B unders bottom,Underwear,217.50892857142858
2026-05-24,67377-015-120,16.0,810.0,14.785714285714286,12.714285714285714,213.58928571428572,True,Girls,G pant,G k pant,Pant,197.58928571428572
2026-05-25,58662-4O4-S,29.0,828.0,16.785714285714285,13.571428571428571,219.58928571428572,True,Kids Unders,U B underwear,U B unders bottom,Underwear,190.58928571428572
2026-05-23,58663-4SX-S,5.0,708.0,9.571428571428571,6.0,184.17857142857142,True,Kids Unders,U B underwear,U B unders bottom,Underwear,179.17857142857142
2026-05-25,58663-4SX-S,9.0,708.0,9.714285714285714,6.714285714285714,184.28571428571428,True,Kids Unders,U B underwear,U B unders bottom,Underwear,175.28571428571428
2026-05-23,58662-4O4-S,16.0,690.0,16.821428571428573,11.0,185.11607142857144,True,Kids Unders,U B underwear,U B unders bottom,Underwear,169.11607142857144
2026-05-24,58662-4O4-M,6.0,668.0,6.928571428571429,5.714285714285714,172.19642857142858,True,Kids Unders,U B underwear,U B unders bottom,Underwear,166.19642857142858
2026-05-20,67377-015-120,10.0,648.0,14.214285714285714,8.571428571428571,172.66071428571428,True,Girls,G pant,G k pant,Pant,162.66071428571428
2026-05-23,67377-015-120,14.0,648.0,14.571428571428571,12.0,172.92857142857142,True,Girls,G pant,G k pant,Pant,158.92857142857142
2026-05-20,58663-4SX-S,4.0,616.0,10.107142857142858,5.428571428571429,161.58035714285714,True,Kids Unders,U B underwear,U B unders bottom,Underwear,157.58035714285714
2026-05-24,67377-015-130,12.0,628.0,12.178571428571429,10.285714285714286,166.13392857142858,True,Girls,G pant,G k pant,Pant,154.13392857142858
2026-05-25,67377-015-120,23.0,648.0,14.642857142857142,13.285714285714286,172.98214285714286,True,Girls,G pant,G k pant,Pant,149.98214285714286
2026-05-24,58663-4SX-M,5.0,560.0,8.75,5.285714285714286,146.5625,True,Kids Unders,U B underwear,U B unders bottom,Underwear,141.5625
2026-05-20,58662-4O4-S,10.0,530.0,18.0,9.0,146.0,True,Kids Unders,U B underwear,U B unders bottom,Underwear,136.0
2026-05-25,58662-4O4-M,5.0,534.0,6.928571428571429,5.857142857142857,138.69642857142858,True,Kids Unders,U B underwear,U B unders bottom,Underwear,133.69642857142858
2026-05-21,58662-4O4-S,13.0,530.0,17.571428571428573,8.571428571428571,145.67857142857144,True,Kids Unders,U B underwear,U B unders bottom,Underwear,132.67857142857144
2026-05-21,67377-015-120,14.0,540.0,14.285714285714286,9.428571428571429,145.71428571428572,True,Girls,G pant,G k pant,Pant,131.71428571428572
2026-05-21,58663-4SX-S,5.0,513.0,9.857142857142858,5.571428571428571,135.64285714285714,True,Kids Unders,U B underwear,U B unders bottom,Underwear,130.64285714285714
2026-05-23,67377-015-130,6.0,502.0,12.178571428571429,10.285714285714286,134.63392857142858,True,Girls,G pant,G k pant,Pant,128.63392857142858
2026-05-20,67377-015-130,6.0,502.0,12.107142857142858,8.142857142857142,134.58035714285714,True,Girls,G pant,G k pant,Pant,128.58035714285714
2026-05-24,67377-015-110,16.0,540.0,8.642857142857142,9.571428571428571,142.17857142857142,True,Girls,G pant,G k pant,Pant,126.17857142857142
2026-05-25,67377-015-130,13.0,502.0,11.928571428571429,10.428571428571429,134.44642857142858,True,Girls,G pant,G k pant,Pant,121.44642857142858
2026-05-22,80681-6GV-120,180.0,0.0,26.892857142857142,78.14285714285714,58.607142857142854,True,Girls,G dress,G SL dress,Dress,121.39285714285714
2026-05-24,67377-015-140,7.0,475.0,8.392857142857142,7.285714285714286,125.04464285714286,True,Girls,G pant,G k pant,Pant,118.04464285714286
2026-05-23,58663-4SX-M,3.0,448.0,8.964285714285714,5.142857142857143,118.72321428571428,True,Kids Unders,U B underwear,U B unders bottom,Underwear,115.72321428571428
2026-05-23,58662-4O4-M,3.0,445.0,6.892857142857143,5.571428571428571,116.41964285714286,True,Kids Unders,U B underwear,U B unders bottom,Underwear,113.41964285714286
2026-05-20,67377-015-110,3.0,432.0,8.535714285714286,6.285714285714286,114.40178571428572,True,Girls,G pant,G k pant,Pant,111.40178571428572
2026-05-22,80681-6GV-110,158.0,0.0,21.178571428571427,63.0,47.25,True,Girls,G dress,G SL dress,Dress,110.75
2026-05-25,58663-4SX-M,10.0,448.0,8.464285714285714,5.285714285714286,118.34821428571428,True,Kids Unders,U B underwear,U B unders bottom,Underwear,108.34821428571428
2026-05-22,58662-4O4-S,19.0,454.0,17.035714285714285,8.714285714285714,126.27678571428571,True,Kids Unders,U B underwear,U B unders bottom,Underwear,107.27678571428571
2026-05-23,67377-015-110,8.0,432.0,8.5,8.857142857142858,114.64285714285714,True,Girls,G pant,G k pant,Pant,106.64285714285714
2026-05-22,67377-015-120,20.0,463.0,14.25,10.714285714285714,126.4375,True,Girls,G pant,G k pant,Pant,106.4375
2026-05-22,58663-4SX-S,12.0,440.0,9.714285714285714,4.857142857142857,117.28571428571428,True,Kids Unders,U B underwear,U B unders bottom,Underwear,105.28571428571428
2026-05-21,67377-015-130,10.0,418.0,12.071428571428571,8.285714285714286,113.55357142857143,True,Girls,G pant,G k pant,Pant,103.55357142857143
2026-05-24,58660-4PQ-S,32.0,465.0,15.107142857142858,23.428571428571427,133.82142857142856,True,Kids Unders,U G underwear,U G unders bottom,Underwear,101.82142857142856
2026-05-21,80681-6GV-120,146.0,0.0,22.035714285714285,60.285714285714285,45.214285714285715,True,Girls,G dress,G SL dress,Dress,100.78571428571428
2026-05-20,58663-4SX-M,5.0,390.0,9.535714285714286,3.4285714285714284,104.65178571428572,True,Kids Unders,U B underwear,U B unders bottom,Underwear,99.65178571428572
2026-05-17,67377-015-120,12.0,405.0,13.821428571428571,9.142857142857142,111.61607142857143,True,Girls,G pant,G k pant,Pant,99.61607142857143
2026-05-25,67377-015-110,16.0,432.0,9.071428571428571,9.285714285714286,114.96428571428572,True,Girls,G pant,G k pant,Pant,98.96428571428572
2026-05-20,67377-015-140,3.0,380.0,8.75,6.571428571428571,101.5625,True,Girls,G pant,G k pant,Pant,98.5625
2026-05-24,58660-4PX-L,7.0,398.0,5.857142857142857,7.571428571428571,105.17857142857143,True,Kids Unders,U G underwear,U G unders bottom,Underwear,98.17857142857143
2026-05-17,58663-4SX-S,7.0,385.0,11.285714285714286,5.142857142857143,104.71428571428572,True,Kids Unders,U B underwear,U B unders bottom,Underwear,97.71428571428572
2026-05-25,67377-015-140,9.0,380.0,8.357142857142858,7.714285714285714,101.26785714285714,True,Girls,G pant,G k pant,Pant,92.26785714285714
2026-05-16,67377-015-120,9.0,360.0,13.607142857142858,8.428571428571429,100.20535714285714,True,Girls,G pant,G k pant,Pant,91.20535714285714
2026-05-23,67377-015-140,10.0,380.0,8.214285714285714,6.0,101.16071428571428,True,Girls,G pant,G k pant,Pant,91.16071428571428
2026-05-24,58660-4PX-M,9.0,378.0,4.285714285714286,7.142857142857143,99.85714285714286,True,Kids Unders,U G underwear,U G unders bottom,Underwear,90.85714285714286
2026-05-16,58663-4SX-S,4.0,342.0,11.285714285714286,4.857142857142857,93.96428571428572,True,Kids Unders,U B underwear,U B unders bottom,Underwear,89.96428571428572
2026-05-24,67377-015-100,10.0,378.0,5.75,6.0,99.0,True,Girls,G pant,G k pant,Pant,89.0
2026-05-24,82912-2RO-120,64.0,418.0,24.25,64.0,152.5,True,Girls,G dress,G SL dress,Dress,88.5
2026-05-21,67377-015-110,8.0,360.0,8.428571428571429,6.285714285714286,96.32142857142857,True,Girls,G pant,G k pant,Pant,88.32142857142857
2026-05-21,80681-6GV-110,122.0,0.0,17.357142857142858,48.285714285714285,36.214285714285715,True,Girls,G dress,G SL dress,Dress,85.78571428571428
2026-05-24,67377-015-150,5.0,340.0,6.714285714285714,6.0,90.03571428571429,True,Girls,G pant,G k pant,Pant,85.03571428571429
2026-05-22,67377-015-130,15.0,359.0,12.178571428571429,8.857142857142858,98.88392857142857,True,Girls,G pant,G k pant,Pant,83.88392857142857
2026-05-24,58663-4SX-XS,3.0,330.0,3.4285714285714284,1.1428571428571428,85.07142857142857,True,Kids Unders,U B underwear,U B unders bottom,Underwear,82.07142857142857
2026-05-18,67377-015-120,10.0,324.0,14.071428571428571,10.857142857142858,91.55357142857143,True,Girls,G pant,G k pant,Pant,81.55357142857143
2026-05-21,58663-4SX-M,8.0,325.0,9.321428571428571,3.857142857142857,88.24107142857143,True,Kids Unders,U B underwear,U B unders bottom,Underwear,80.24107142857143
