Candidate,Windows,ForecastUnits,SoldUnits,AbsErrorUnits,ZeroForecastSoldUnits,OvergeneratedZeroDemandUnits,MissedHighVolumeUnitsSoldGE10,AvgForecastedSKUs,AvgSoldUnitForecastCoveragePct,WAPE,BiasUnitsForecastMinusActual,BiasPctForecastMinusActual,ZeroForecastSoldUnitPct
hybrid_ml_cold_start_raw_min_20p0_units_recent_w0p1,26,938332.6373539397,6174617.0,5685319.3588119,174830.0,88503.06499310514,82941.0,16471.03846153846,0.9657049476310396,0.920756600581364,-5236284.36264606,-0.848033872003083,0.028314306782104864
hybrid_ml_cold_start_raw_min_20p0_units_recent_w0p1_cap_recent_x0p85,26,938332.6373539397,6174617.0,5685319.3588119,174830.0,88503.06499310514,82941.0,16471.03846153846,0.9657049476310396,0.920756600581364,-5236284.36264606,-0.848033872003083,0.028314306782104864
hybrid_ml_cold_start_raw_min_20p0_units_recent_w0p1_cap_recent_x1p0,26,938332.6373539397,6174617.0,5685319.3588119,174830.0,88503.06499310514,82941.0,16471.03846153846,0.9657049476310396,0.920756600581364,-5236284.36264606,-0.848033872003083,0.028314306782104864
hybrid_ml_cold_start_raw_min_20p0_units_recent_w0p1_cap_recent_x1p1,26,938332.6373539397,6174617.0,5685319.3588119,174830.0,88503.06499310514,82941.0,16471.03846153846,0.9657049476310396,0.920756600581364,-5236284.36264606,-0.848033872003083,0.028314306782104864
hybrid_ml_cold_start_raw_min_20p0_units_recent_w0p1_cap_recent_x1p25,26,938332.6373539397,6174617.0,5685319.3588119,174830.0,88503.06499310514,82941.0,16471.03846153846,0.9657049476310396,0.920756600581364,-5236284.36264606,-0.848033872003083,0.028314306782104864
hybrid_ml_cold_start_raw_min_5p0_units_recent_w0p1,26,938744.2304556076,6174617.0,5685756.771283201,174830.0,88874.12001234297,82941.0,16471.80769230769,0.9657049476310396,0.920827441002932,-5235872.769544393,-0.8479672131153062,0.028314306782104864
hybrid_ml_cold_start_raw_min_5p0_units_recent_w0p1_cap_recent_x0p85,26,938744.2304556076,6174617.0,5685756.771283201,174830.0,88874.12001234297,82941.0,16471.80769230769,0.9657049476310396,0.920827441002932,-5235872.769544393,-0.8479672131153062,0.028314306782104864
hybrid_ml_cold_start_raw_min_5p0_units_recent_w0p1_cap_recent_x1p0,26,938744.2304556076,6174617.0,5685756.771283201,174830.0,88874.12001234297,82941.0,16471.80769230769,0.9657049476310396,0.920827441002932,-5235872.769544393,-0.8479672131153062,0.028314306782104864
hybrid_ml_cold_start_raw_min_5p0_units_recent_w0p1_cap_recent_x1p1,26,938744.2304556076,6174617.0,5685756.771283201,174830.0,88874.12001234297,82941.0,16471.80769230769,0.9657049476310396,0.920827441002932,-5235872.769544393,-0.8479672131153062,0.028314306782104864
hybrid_ml_cold_start_raw_min_5p0_units_recent_w0p1_cap_recent_x1p25,26,938744.2304556076,6174617.0,5685756.771283201,174830.0,88874.12001234297,82941.0,16471.80769230769,0.9657049476310396,0.920827441002932,-5235872.769544393,-0.8479672131153062,0.028314306782104864
hybrid_ml_cold_start_raw_min_1p0_units_recent_w0p1,26,938752.4783327818,6174617.0,5685765.019160375,174830.0,88882.36788951718,82941.0,16471.884615384617,0.9657049476310396,0.9208287767743935,-5235864.521667218,-0.8479658773438447,0.028314306782104864
hybrid_ml_cold_start_raw_min_1p0_units_recent_w0p1_cap_recent_x0p85,26,938752.4783327818,6174617.0,5685765.019160375,174830.0,88882.36788951718,82941.0,16471.884615384617,0.9657049476310396,0.9208287767743935,-5235864.521667218,-0.8479658773438447,0.028314306782104864
hybrid_ml_cold_start_raw_min_1p0_units_recent_w0p1_cap_recent_x1p0,26,938752.4783327818,6174617.0,5685765.019160375,174830.0,88882.36788951718,82941.0,16471.884615384617,0.9657049476310396,0.9208287767743935,-5235864.521667218,-0.8479658773438447,0.028314306782104864
hybrid_ml_cold_start_raw_min_1p0_units_recent_w0p1_cap_recent_x1p1,26,938752.4783327818,6174617.0,5685765.019160375,174830.0,88882.36788951718,82941.0,16471.884615384617,0.9657049476310396,0.9208287767743935,-5235864.521667218,-0.8479658773438447,0.028314306782104864
hybrid_ml_cold_start_raw_min_1p0_units_recent_w0p1_cap_recent_x1p25,26,938752.4783327818,6174617.0,5685765.019160375,174830.0,88882.36788951718,82941.0,16471.884615384617,0.9657049476310396,0.9208287767743935,-5235864.521667218,-0.8479658773438447,0.028314306782104864
hybrid_ml_cold_start_raw_min_10p0_units_recent_w0p1,26,938714.8389469108,6174617.0,5685786.162791898,174830.0,88874.12001234297,82941.0,16471.80769230769,0.9657049476310396,0.9208322010566643,-5235902.161053089,-0.8479719731690386,0.028314306782104864
hybrid_ml_cold_start_raw_min_10p0_units_recent_w0p1_cap_recent_x0p85,26,938714.8389469108,6174617.0,5685786.162791898,174830.0,88874.12001234297,82941.0,16471.80769230769,0.9657049476310396,0.9208322010566643,-5235902.161053089,-0.8479719731690386,0.028314306782104864
hybrid_ml_cold_start_raw_min_10p0_units_recent_w0p1_cap_recent_x1p0,26,938714.8389469108,6174617.0,5685786.162791898,174830.0,88874.12001234297,82941.0,16471.80769230769,0.9657049476310396,0.9208322010566643,-5235902.161053089,-0.8479719731690386,0.028314306782104864
hybrid_ml_cold_start_raw_min_10p0_units_recent_w0p1_cap_recent_x1p1,26,938714.8389469108,6174617.0,5685786.162791898,174830.0,88874.12001234297,82941.0,16471.80769230769,0.9657049476310396,0.9208322010566643,-5235902.161053089,-0.8479719731690386,0.028314306782104864
hybrid_ml_cold_start_raw_min_10p0_units_recent_w0p1_cap_recent_x1p25,26,938714.8389469108,6174617.0,5685786.162791898,174830.0,88874.12001234297,82941.0,16471.80769230769,0.9657049476310396,0.9208322010566643,-5235902.161053089,-0.8479719731690386,0.028314306782104864
hybrid_ml_cold_start_calibrated_min_20p0_units_recent_w0p1,26,1071462.3371226192,6174617.0,5790643.977673383,174830.0,92849.41487355232,82941.0,16471.615384615383,0.9657049476310396,0.9378142770107658,-5103154.662877381,-0.8264730691599788,0.028314306782104864
hybrid_ml_cold_start_calibrated_min_20p0_units_recent_w0p1_cap_recent_x0p85,26,1071462.3371226192,6174617.0,5790643.977673383,174830.0,92849.41487355232,82941.0,16471.615384615383,0.9657049476310396,0.9378142770107658,-5103154.662877381,-0.8264730691599788,0.028314306782104864
hybrid_ml_cold_start_calibrated_min_20p0_units_recent_w0p1_cap_recent_x1p0,26,1071462.3371226192,6174617.0,5790643.977673383,174830.0,92849.41487355232,82941.0,16471.615384615383,0.9657049476310396,0.9378142770107658,-5103154.662877381,-0.8264730691599788,0.028314306782104864
hybrid_ml_cold_start_calibrated_min_20p0_units_recent_w0p1_cap_recent_x1p1,26,1071462.3371226192,6174617.0,5790643.977673383,174830.0,92849.41487355232,82941.0,16471.615384615383,0.9657049476310396,0.9378142770107658,-5103154.662877381,-0.8264730691599788,0.028314306782104864
hybrid_ml_cold_start_calibrated_min_20p0_units_recent_w0p1_cap_recent_x1p25,26,1071462.3371226192,6174617.0,5790643.977673383,174830.0,92849.41487355232,82941.0,16471.615384615383,0.9657049476310396,0.9378142770107658,-5103154.662877381,-0.8264730691599788,0.028314306782104864
hybrid_ml_cold_start_calibrated_min_5p0_units_recent_w0p1,26,1071581.2812912422,6174617.0,5790680.395193091,174830.0,92927.09571771722,82941.0,16471.80769230769,0.9657049476310396,0.937820174950623,-5103035.718708757,-0.8264538057516373,0.028314306782104864
hybrid_ml_cold_start_calibrated_min_5p0_units_recent_w0p1_cap_recent_x0p85,26,1071581.2812912422,6174617.0,5790680.395193091,174830.0,92927.09571771722,82941.0,16471.80769230769,0.9657049476310396,0.937820174950623,-5103035.718708757,-0.8264538057516373,0.028314306782104864
hybrid_ml_cold_start_calibrated_min_5p0_units_recent_w0p1_cap_recent_x1p0,26,1071581.2812912422,6174617.0,5790680.395193091,174830.0,92927.09571771722,82941.0,16471.80769230769,0.9657049476310396,0.937820174950623,-5103035.718708757,-0.8264538057516373,0.028314306782104864
hybrid_ml_cold_start_calibrated_min_5p0_units_recent_w0p1_cap_recent_x1p1,26,1071581.2812912422,6174617.0,5790680.395193091,174830.0,92927.09571771722,82941.0,16471.80769230769,0.9657049476310396,0.937820174950623,-5103035.718708757,-0.8264538057516373,0.028314306782104864
hybrid_ml_cold_start_calibrated_min_5p0_units_recent_w0p1_cap_recent_x1p25,26,1071581.2812912422,6174617.0,5790680.395193091,174830.0,92927.09571771722,82941.0,16471.80769230769,0.9657049476310396,0.937820174950623,-5103035.718708757,-0.8264538057516373,0.028314306782104864
hybrid_ml_cold_start_calibrated_min_1p0_units_recent_w0p1,26,1071589.5291684163,6174617.0,5790688.643070265,174830.0,92935.34359489143,82941.0,16471.884615384617,0.9657049476310396,0.9378215107220844,-5103027.470831584,-0.826452469980176,0.028314306782104864
