ForecastStartDate,ChosenCandidate,RequestedCap,RecentReferenceRatio
2025-12-09,hybrid_ml_cold_start_raw_min_20p0_units_recent_w0p1_cap_recent_x1p25,1.0,
2025-12-16,hybrid_ml_cold_start_raw_min_20p0_units_recent_w0p1_cap_recent_x1p25,1.0,0.0
2025-12-23,hybrid_ml_cold_start_raw_min_20p0_units_recent_w0p1_cap_recent_x0p85,0.85,0.0
2025-12-30,hybrid_ml_cold_start_raw_min_20p0_units_recent_w0p1_cap_recent_x0p85,0.85,0.0
2026-01-07,hybrid_ml_cold_start_raw_min_20p0_units_recent_w0p1_cap_recent_x1p25,1.0,
2026-01-13,hybrid_ml_cold_start_raw_min_20p0_units_recent_w0p1_cap_recent_x0p85,0.85,0.0
2026-01-21,hybrid_ml_cold_start_raw_min_20p0_units_recent_w0p1_cap_recent_x0p85,0.85,0.0
2026-01-27,hybrid_ml_cold_start_raw_min_20p0_units_recent_w0p1_cap_recent_x1p25,1.0,
2026-02-03,hybrid_ml_cold_start_raw_min_20p0_units_recent_w0p1_cap_recent_x1p25,1.0,
2026-02-10,hybrid_ml_cold_start_raw_min_20p0_units_recent_w0p1_cap_recent_x1p25,1.0,
2026-02-18,hybrid_ml_cold_start_raw_min_20p0_units_recent_w0p1_cap_recent_x1p25,1.0,
2026-02-24,hybrid_ml_cold_start_raw_min_20p0_units_recent_w0p1_cap_recent_x1p25,1.0,
2026-03-03,hybrid_ml_cold_start_raw_min_20p0_units_recent_w0p1_cap_recent_x1p25,1.0,
2026-03-10,hybrid_ml_cold_start_raw_min_20p0_units_recent_w0p1_cap_recent_x1p25,1.0,
2026-03-17,hybrid_ml_cold_start_raw_min_20p0_units_recent_w0p1_cap_recent_x1p25,1.0,
2026-03-24,hybrid_ml_cold_start_raw_min_20p0_units_recent_w0p1_cap_recent_x1p25,1.0,
2026-03-31,hybrid_ml_cold_start_raw_min_20p0_units_recent_w0p1_cap_recent_x1p25,1.0,
2026-04-07,hybrid_ml_cold_start_raw_min_20p0_units_recent_w0p1_cap_recent_x1p25,1.0,
2026-04-14,hybrid_ml_cold_start_raw_min_20p0_units_recent_w0p1_cap_recent_x1p25,1.0,
2026-04-21,hybrid_ml_cold_start_raw_min_20p0_units_recent_w0p1_cap_recent_x0p85,0.85,0.0
2026-04-28,hybrid_ml_cold_start_raw_min_20p0_units_recent_w0p1_cap_recent_x0p85,0.85,0.0
2026-05-05,hybrid_ml_cold_start_raw_min_20p0_units_recent_w0p1_cap_recent_x1p25,1.0,
2026-05-12,hybrid_ml_cold_start_raw_min_20p0_units_recent_w0p1_cap_recent_x1p25,1.0,
2026-05-19,hybrid_ml_cold_start_raw_min_20p0_units_recent_w0p1_cap_recent_x0p85,0.85,0.0
2026-05-27,hybrid_ml_cold_start_raw_min_20p0_units_recent_w0p1_cap_recent_x0p85,0.85,0.0
2026-06-02,hybrid_ml_cold_start_raw_min_20p0_units_recent_w0p1_cap_recent_x0p85,0.85,0.3083244114004782
