ForecastStartDate,Candidate,ForecastUnits,SoldUnits,AbsErrorUnits,ZeroForecastSoldUnits,SoldUnitForecastCoveragePct
2025-12-09,self_calibrating_recency_brake,798.074615007479,0.0,798.074615007479,0.0,
2025-12-16,self_calibrating_recency_brake,459.42670317263537,0.0,459.42670317263537,0.0,
2025-12-23,self_calibrating_recency_brake,0.0,0.0,0.0,0.0,
2025-12-30,self_calibrating_recency_brake,0.0,0.0,0.0,0.0,
2026-01-07,self_calibrating_recency_brake,22.29304415451282,0.0,22.29304415451282,0.0,
2026-01-13,self_calibrating_recency_brake,0.0,0.0,0.0,0.0,
2026-01-21,self_calibrating_recency_brake,0.0,0.0,0.0,0.0,
2026-01-27,self_calibrating_recency_brake,0.0,0.0,0.0,0.0,
2026-02-03,self_calibrating_recency_brake,0.0,0.0,0.0,0.0,
2026-02-10,self_calibrating_recency_brake,0.0,0.0,0.0,0.0,
2026-02-18,self_calibrating_recency_brake,0.0,0.0,0.0,0.0,
2026-02-24,self_calibrating_recency_brake,0.0,0.0,0.0,0.0,
2026-03-03,self_calibrating_recency_brake,0.0,0.0,0.0,0.0,
2026-03-10,self_calibrating_recency_brake,0.0,0.0,0.0,0.0,
2026-03-17,self_calibrating_recency_brake,0.0,0.0,0.0,0.0,
2026-03-24,self_calibrating_recency_brake,0.0,0.0,0.0,0.0,
2026-03-31,self_calibrating_recency_brake,0.0,0.0,0.0,0.0,
2026-04-07,self_calibrating_recency_brake,0.0,0.0,0.0,0.0,
2026-04-14,self_calibrating_recency_brake,20.619692935507125,0.0,20.619692935507125,0.0,
2026-04-21,self_calibrating_recency_brake,0.0,0.0,0.0,0.0,
2026-04-28,self_calibrating_recency_brake,0.0,0.0,0.0,0.0,
2026-05-05,self_calibrating_recency_brake,0.0,0.0,0.0,0.0,
2026-05-12,self_calibrating_recency_brake,3191.1525835294874,0.0,3191.1525835294874,0.0,
2026-05-19,self_calibrating_recency_brake,0.0,0.0,0.0,0.0,
2026-05-27,self_calibrating_recency_brake,36270.23870476009,11183.0,45833.23870476009,10373.0,0.0724313690422963
2026-06-02,self_calibrating_recency_brake,3438.607125478836,86075.0,84567.09189464679,82080.0,0.0464130119082195
