Segment,ForecastColumn,Days,ForecastUnits,ActualUnits,WAPE,BiasPct,ExactOrPlaceholderDayPct
2024 all rows with actual demand present,ops_imf_plan_forecasted_units,364,9015937.494802771,8976685.127709314,0.08709934378696174,0.00437270178635229,0.008241758241758242
2024 all rows with actual demand present,forecasted_demand_units,364,9067915.362598237,8976685.127709314,0.03218929270881627,0.01016302049041601,0.024725274725274724
2024 all rows with actual demand present,kpi_forecasted_demand_units,364,8974552.326773774,8976685.127709314,0.00039085788752000507,-0.00023759337719855372,0.01098901098901099
2024 all rows with actual demand present,units_shipped_goal,364,8688553.0,8976685.127709314,0.3689020884103339,-0.03209783161714168,0.0
2024 all rows with actual demand present,shipped_units_powerbi,364,9033971.0,8976685.127709314,0.37723747130462965,0.0063816287945598,0.0
2025 all rows with actual demand present,ops_imf_plan_forecasted_units,77,2075627.398452989,2106361.149784438,0.01459334763017812,-0.01459092204325621,0.12987012987012986
2025 all rows with actual demand present,forecasted_demand_units,340,7895802.546823453,7983168.988100892,0.017619871741306813,-0.010943829625510921,0.011764705882352941
2025 all rows with actual demand present,kpi_forecasted_demand_units,364,8285210.168087564,8291030.996161973,0.0008068950593838219,-0.0007020632388303468,0.016483516483516484
2025 all rows with actual demand present,units_shipped_goal,372,8063033.0,8366456.137885328,0.38727064945799117,-0.03626662626142935,0.0
2025 all rows with actual demand present,shipped_units_powerbi,372,8418895.0,8366456.137885328,0.3866464900948644,0.006267750795610512,0.0
2026 all rows with actual demand present,ops_imf_plan_forecasted_units,364,8417778.144513892,8430591.43037945,0.03092123494294609,-0.001519856106344694,0.6318681318681318
2026 all rows with actual demand present,forecasted_demand_units,0,0.0,0.0,,,
2026 all rows with actual demand present,kpi_forecasted_demand_units,364,8413019.39057176,8430591.43037945,0.0025463473272296705,-0.002084318751869651,0.6236263736263736
2026 all rows with actual demand present,units_shipped_goal,364,5353735.0,8430591.43037945,0.513727307159608,-0.3649632953735687,0.0
2026 all rows with actual demand present,shipped_units_powerbi,364,5532866.0,8430591.43037945,0.5151982597140532,-0.3437155571242087,0.0
2026 observed through 2026-06-14,ops_imf_plan_forecasted_units,134,2093193.7141344405,2106007.0,0.12378130667502574,-0.006084161099920113,0.0
2026 recent underforecast streak 2026-06-09..2026-06-14,ops_imf_plan_forecasted_units,6,62817.0,82336.0,0.23706519626894676,-0.23706519626894676,0.0
2026 sale 14-day horizon 2026-06-16..2026-06-29,ops_imf_plan_forecasted_units,14,405721.7424624142,405721.7424624142,0.0,0.0,1.0
2024 sale analog 2024-06-18..2024-07-06,ops_imf_plan_forecasted_units,19,562469.0,498416.0,0.14792663156881,0.12851312959455555,0.0
