date,source,file_id,source_file,sheet_name,event_name,promo_scope,offer_cc_count,style_count,total_avail_inv
2023-12-08,pdl,93c153fb19b1,"12.8.23 50% off Sitewide (exlcuding New Arrivals, Bundles, + Bluey) PDL.xlsx",All Promo Discounts,"12.8.23 50% off Sitewide (exlcuding New Arrivals, Bundles, + Bluey) PDL",New Arrivals|Sitewide,1549,613,1890090.0
2023-12-09,pdl,93c153fb19b1,"12.8.23 50% off Sitewide (exlcuding New Arrivals, Bundles, + Bluey) PDL.xlsx",All Promo Discounts,"12.8.23 50% off Sitewide (exlcuding New Arrivals, Bundles, + Bluey) PDL",New Arrivals|Sitewide,1549,613,1890090.0
2023-12-10,pdl,93c153fb19b1,"12.8.23 50% off Sitewide (exlcuding New Arrivals, Bundles, + Bluey) PDL.xlsx",All Promo Discounts,"12.8.23 50% off Sitewide (exlcuding New Arrivals, Bundles, + Bluey) PDL",New Arrivals|Sitewide,1549,613,1890090.0
2023-12-11,pdl,93c153fb19b1,"12.8.23 50% off Sitewide (exlcuding New Arrivals, Bundles, + Bluey) PDL.xlsx",All Promo Discounts,"12.8.23 50% off Sitewide (exlcuding New Arrivals, Bundles, + Bluey) PDL",New Arrivals|Sitewide,1549,613,1890090.0
2023-12-20,pdl,d83d280294a8,12.20.23 Up to 50% off Holiday  PDL.xlsx,All Promo Discounts,12.20.23 Up to 50% off Holiday,Holiday,1622,621,1621969.0
2023-12-21,pdl,d83d280294a8,12.20.23 Up to 50% off Holiday  PDL.xlsx,All Promo Discounts,12.20.23 Up to 50% off Holiday,Holiday,1622,621,1621969.0
2023-12-22,pdl,d83d280294a8,12.20.23 Up to 50% off Holiday  PDL.xlsx,All Promo Discounts,12.20.23 Up to 50% off Holiday,Holiday,1622,621,1621969.0
2023-12-23,pdl,d83d280294a8,12.20.23 Up to 50% off Holiday  PDL.xlsx,All Promo Discounts,12.20.23 Up to 50% off Holiday,Holiday,1622,621,1621969.0
2023-12-24,pdl,d83d280294a8,12.20.23 Up to 50% off Holiday  PDL.xlsx,All Promo Discounts,12.20.23 Up to 50% off Holiday,Holiday,1622,621,1621969.0
2023-12-25,pdl,d83d280294a8,12.20.23 Up to 50% off Holiday  PDL.xlsx,All Promo Discounts,12.20.23 Up to 50% off Holiday,Holiday,1622,621,1621969.0
2023-12-26,pdl,c60394dfe5d9,12.26.23 Hanna Sale Up to 60% off PDL.xlsx,All Markdowns,12.26.23 Hanna Sale Markdowns,Clearance,2194,839,791151.0
2024-07-30,pdl,4f272317f643,7.30.24 All Sleep on Sale starting from $25 + Mix & Match PDL.xlsx,Mix & Match,7.30.24 Mix & Match Get it in Time for Picture Day,Sleep/PJs,553,141,728030.0
