Date,SKU,pdl_sku_offer_rows,pdl_sku_active_events,pdl_sku_distinct_offer_colors,pdl_sku_max_discount_pct,pdl_sku_avg_discount_pct,pdl_sku_min_promo_price,pdl_sku_total_avail_inv,pdl_sku_total_avail_plus_oo,pdl_sku_lw_unit_sales,pdl_sku_has_markdown,pdl_sku_has_final_sale,pdl_sku_has_tier1_recommendation,pdl_sku_primary_sheet_type,pdl_sku_primary_scope,pdl_sku_primary_event_name,HasSkuPDLPromotion
2026-08-15,30070-011-L,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30070-011-M,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30070-011-S,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30070-011-XL,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30070-011-XS,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30070-011-XXL,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30070-16N-L,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30070-16N-M,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30070-16N-S,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30070-16N-XL,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30070-16N-XS,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30070-16N-XXL,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30070-1AY-L,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30070-1AY-M,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30070-1AY-S,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30070-1AY-XL,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30070-1AY-XS,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30070-1AY-XXL,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30070-1FL-L,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30070-1FL-M,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30070-1FL-S,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30070-1FL-XL,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30070-1FL-XS,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30070-1FL-XXL,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30070-GN1-L,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30070-GN1-M,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30070-GN1-S,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30070-GN1-XL,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30070-GN1-XS,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30070-GN1-XXL,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30070-S74-L,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30070-S74-M,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30070-S74-S,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30070-S74-XL,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30070-S74-XS,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30070-S74-XXL,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30070-S74-XXS,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30070-SR4-L,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30070-SR4-M,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30070-SR4-S,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30070-SR4-XL,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30070-SR4-XS,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30070-SR4-XXL,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30070-TD4-L,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30070-TD4-M,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30070-TD4-S,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30070-TD4-XL,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30070-TD4-XS,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30070-TD4-XXL,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30070-U74-L,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30070-U74-M,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30070-U74-S,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30070-U74-XL,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30070-U74-XS,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30070-U74-XXL,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30070-WQ4-L,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30070-WQ4-M,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30070-WQ4-S,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30070-WQ4-XL,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30070-WQ4-XS,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30070-WQ4-XXL,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30071-S74-L,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30071-S74-M,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30071-S74-S,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30071-S74-XL,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30810-011-L,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30810-011-M,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30810-011-S,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30810-011-XL,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30810-011-XS,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30810-011-XXL,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30810-011-XXS,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30810-16N-L,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30810-16N-M,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30810-16N-S,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30810-16N-XL,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30810-16N-XS,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30810-16N-XXL,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30810-1AY-L,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30810-1AY-M,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30810-1AY-S,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30810-1AY-XL,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30810-1AY-XS,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30810-1AY-XXL,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30810-1AY-XXS,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30810-1FL-L,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
2026-08-15,30810-1FL-M,1,1,1,,,,,0.0,,False,False,False,promo_detail,Sleep/PJs|Halloween,Hannaween & Sleep up to 40%,True
