CandidateID,SourceWorkbook,ForecastStartDate,SKU,ForecastDay,ForecastDate,ForecastUnits
corporate_clone_2026-06-15_v2,Product Info for BRG_2026-06-01__corporate_clone_2026-06-15_v2.xlsx,2026-06-02,33175-145-100,1,2026-06-02,1
corporate_clone_2026-06-15_v2,Product Info for BRG_2026-06-01__corporate_clone_2026-06-15_v2.xlsx,2026-06-02,33175-145-100,2,2026-06-03,1
corporate_clone_2026-06-15_v2,Product Info for BRG_2026-06-01__corporate_clone_2026-06-15_v2.xlsx,2026-06-02,33175-145-100,3,2026-06-04,1
corporate_clone_2026-06-15_v2,Product Info for BRG_2026-06-01__corporate_clone_2026-06-15_v2.xlsx,2026-06-02,33175-145-100,4,2026-06-05,1
corporate_clone_2026-06-15_v2,Product Info for BRG_2026-06-01__corporate_clone_2026-06-15_v2.xlsx,2026-06-02,33175-145-100,5,2026-06-06,2
corporate_clone_2026-06-15_v2,Product Info for BRG_2026-06-01__corporate_clone_2026-06-15_v2.xlsx,2026-06-02,33175-145-100,6,2026-06-07,2
corporate_clone_2026-06-15_v2,Product Info for BRG_2026-06-01__corporate_clone_2026-06-15_v2.xlsx,2026-06-02,33175-145-100,7,2026-06-08,1
corporate_clone_2026-06-15_v2,Product Info for BRG_2026-06-01__corporate_clone_2026-06-15_v2.xlsx,2026-06-02,33175-145-100,8,2026-06-09,1
corporate_clone_2026-06-15_v2,Product Info for BRG_2026-06-01__corporate_clone_2026-06-15_v2.xlsx,2026-06-02,33175-145-100,9,2026-06-10,1
corporate_clone_2026-06-15_v2,Product Info for BRG_2026-06-01__corporate_clone_2026-06-15_v2.xlsx,2026-06-02,33175-145-100,10,2026-06-11,1
corporate_clone_2026-06-15_v2,Product Info for BRG_2026-06-01__corporate_clone_2026-06-15_v2.xlsx,2026-06-02,33175-145-100,11,2026-06-12,1
corporate_clone_2026-06-15_v2,Product Info for BRG_2026-06-01__corporate_clone_2026-06-15_v2.xlsx,2026-06-02,33175-145-100,12,2026-06-13,2
corporate_clone_2026-06-15_v2,Product Info for BRG_2026-06-01__corporate_clone_2026-06-15_v2.xlsx,2026-06-02,33175-145-100,13,2026-06-14,2
corporate_clone_2026-06-15_v2,Product Info for BRG_2026-06-01__corporate_clone_2026-06-15_v2.xlsx,2026-06-02,33175-145-100,14,2026-06-15,2
corporate_clone_2026-06-15_v2,Product Info for BRG_2026-06-01__corporate_clone_2026-06-15_v2.xlsx,2026-06-02,33175-145-110,1,2026-06-02,1
corporate_clone_2026-06-15_v2,Product Info for BRG_2026-06-01__corporate_clone_2026-06-15_v2.xlsx,2026-06-02,33175-145-110,2,2026-06-03,1
corporate_clone_2026-06-15_v2,Product Info for BRG_2026-06-01__corporate_clone_2026-06-15_v2.xlsx,2026-06-02,33175-145-110,3,2026-06-04,1
corporate_clone_2026-06-15_v2,Product Info for BRG_2026-06-01__corporate_clone_2026-06-15_v2.xlsx,2026-06-02,33175-145-110,4,2026-06-05,1
corporate_clone_2026-06-15_v2,Product Info for BRG_2026-06-01__corporate_clone_2026-06-15_v2.xlsx,2026-06-02,33175-145-110,5,2026-06-06,2
corporate_clone_2026-06-15_v2,Product Info for BRG_2026-06-01__corporate_clone_2026-06-15_v2.xlsx,2026-06-02,33175-145-110,6,2026-06-07,2
corporate_clone_2026-06-15_v2,Product Info for BRG_2026-06-01__corporate_clone_2026-06-15_v2.xlsx,2026-06-02,33175-145-110,7,2026-06-08,1
corporate_clone_2026-06-15_v2,Product Info for BRG_2026-06-01__corporate_clone_2026-06-15_v2.xlsx,2026-06-02,33175-145-110,8,2026-06-09,1
