ProductGroupCode,SizeGroupCode,Velocity,SlotTier,SKU_Count,TotalRequiredSlots
AAP,L,B,AAPLB,2,2.2
AAP,L,C,AAPLC,81,19.8
AAP,M,A,AAPMA,2,2.2
AAP,M,B,AAPMB,2,2.2
AAP,M,C,AAPMC,25,4.4
AAP,S,A,AAPSA,3,3.3000000000000003
AAP,S,AA,AAPSAA,1,1.1
AAP,S,C,AAPSC,23,2.2
AAP,X,B,AAPXB,2,2.2
AAP,X,C,AAPXC,25,4.4
ACC,I,C,ACCIC,17,0.0
ACC,L,AA,ACCLAA,2,2.2
ACC,L,C,ACCLC,62,1.1
ACC,M,A,ACCMA,1,1.1
ACC,M,AA,ACCMAA,3,3.3000000000000003
ACC,M,C,ACCMC,80,1.1
ACC,O,AA,ACCOAA,4,4.4
ACC,O,C,ACCOC,17,8.8
ACC,S,A,ACCSA,2,2.2
ACC,S,AA,ACCSAA,5,5.5
ACC,S,C,ACCSC,121,1.1
ACC,X,A,ACCXA,4,4.4
ACC,X,AA,ACCXAA,4,4.4
ACC,X,B,ACCXB,1,1.1
ACC,X,C,ACCXC,117,1.1
ASL,L,A,ASLLA,34,37.400000000000006
ASL,L,AA,ASLLAA,2,2.2
ASL,L,B,ASLLB,60,66.0
ASL,L,C,ASLLC,1013,262.90000000000003
ASL,M,A,ASLMA,26,28.6
ASL,M,AA,ASLMAA,3,3.3000000000000003
ASL,M,B,ASLMB,30,33.0
ASL,M,C,ASLMC,341,53.900000000000006
ASL,S,A,ASLSA,20,22.0
ASL,S,AA,ASLSAA,2,2.2
ASL,S,B,ASLSB,26,28.6
ASL,S,C,ASLSC,329,57.2
ASL,U,C,ASLUC,12,7.700000000000001
ASL,X,A,ASLXA,3,3.3000000000000003
ASL,X,B,ASLXB,12,13.200000000000001
ASL,X,C,ASLXC,609,187.00000000000003
BAP,I,A,BAPIA,391,430.1
BAP,I,AA,BAPIAA,195,214.50000000000003
BAP,I,B,BAPIB,243,267.3
BAP,I,C,BAPIC,2000,697.4000000000001
BAP,L,A,BAPLA,1,1.1
BAP,M,A,BAPMA,1,1.1
BAP,O,A,BAPOA,27,29.700000000000003
BAP,O,AA,BAPOAA,22,24.200000000000003
BAP,O,B,BAPOB,31,34.1
BAP,O,C,BAPOC,471,258.5
BAP,S,A,BAPSA,17,18.700000000000003
BAP,S,AA,BAPSAA,3,3.3000000000000003
BAP,S,B,BAPSB,16,17.6
BAP,S,C,BAPSC,26,11.0
BAP,X,A,BAPXA,303,333.3
BAP,X,AA,BAPXAA,134,147.4
BAP,X,B,BAPXB,183,201.3
BAP,X,C,BAPXC,1204,366.3
BOY,L,A,BOYLA,198,217.8
BOY,L,AA,BOYLAA,53,58.300000000000004
BOY,L,B,BOYLB,132,145.20000000000002
BOY,L,C,BOYLC,363,161.70000000000002
BOY,M,A,BOYMA,206,226.60000000000002
BOY,M,AA,BOYMAA,144,160.4
BOY,M,B,BOYMB,99,108.9
BOY,M,C,BOYMC,345,113.30000000000001
BOY,S,A,BOYSA,188,206.8
BOY,S,AA,BOYSAA,126,138.60000000000002
BOY,S,B,BOYSB,108,118.80000000000001
BOY,S,C,BOYSC,382,167.20000000000002
BOY,X,A,BOYXA,139,152.9
BOY,X,AA,BOYXAA,40,44.0
BOY,X,B,BOYXB,159,174.9
BOY,X,C,BOYXC,452,259.6
BSL,I,A,BSLIA,222,244.20000000000002
BSL,I,AA,BSLIAA,175,192.50000000000003
BSL,I,B,BSLIB,77,84.7
BSL,I,C,BSLIC,701,135.3
BSL,L,C,BSLLC,6,0.0
BSL,M,C,BSLMC,6,0.0
BSL,O,A,BSLOA,10,11.0
BSL,O,AA,BSLOAA,1,1.1
BSL,O,B,BSLOB,9,9.9
BSL,O,C,BSLOC,123,45.1
BSL,S,C,BSLSC,6,0.0
BSL,X,A,BSLXA,79,86.9
BSL,X,AA,BSLXAA,37,40.7
BSL,X,B,BSLXB,38,41.800000000000004
BSL,X,C,BSLXC,321,52.800000000000004
COL,I,B,COLIB,4,4.4
COL,I,C,COLIC,130,40.7
COL,L,A,COLLA,27,29.700000000000003
COL,L,AA,COLLAA,6,6.6000000000000005
COL,L,B,COLLB,62,68.2
COL,L,C,COLLC,353,102.30000000000001
COL,M,A,COLMA,65,71.5
COL,M,AA,COLMAA,39,42.900000000000006
COL,M,B,COLMB,26,28.6
COL,M,C,COLMC,255,45.1
COL,O,AA,COLOAA,2,2.2
COL,O,C,COLOC,11,0.0
COL,S,A,COLSA,82,90.2
COL,S,AA,COLSAA,40,44.0
COL,S,B,COLSB,30,33.0
COL,S,C,COLSC,313,60.50000000000001
COL,X,A,COLXA,55,60.50000000000001
COL,X,AA,COLXAA,14,15.400000000000002
COL,X,B,COLXB,68,74.80000000000001
COL,X,C,COLXC,410,148.5
CSL,I,A,CSLIA,9,9.9
CSL,I,B,CSLIB,5,5.5
CSL,I,C,CSLIC,228,75.9
CSL,L,A,CSLLA,29,31.900000000000002
CSL,L,AA,CSLLAA,2,2.2
CSL,L,B,CSLLB,33,36.300000000000004
CSL,L,C,CSLLC,800,147.4
CSL,M,A,CSLMA,35,38.5
CSL,M,AA,CSLMAA,11,12.100000000000001
CSL,M,B,CSLMB,27,29.700000000000003
CSL,M,C,CSLMC,485,61.60000000000001
CSL,S,A,CSLSA,48,52.800000000000004
CSL,S,AA,CSLSAA,4,4.4
CSL,S,B,CSLSB,27,29.700000000000003
CSL,S,C,CSLSC,502,85.80000000000001
CSL,X,A,CSLXA,33,36.300000000000004
CSL,X,AA,CSLXAA,3,3.3000000000000003
CSL,X,B,CSLXB,43,47.300000000000004
CSL,X,C,CSLXC,693,190.3
GIR,L,A,GIRLA,370,407.00000000000006
GIR,L,AA,GIRLAA,155,170.5
GIR,L,B,GIRLB,197,216.70000000000002
GIR,L,C,GIRLC,1158,369.6
GIR,M,A,GIRMA,313,344.3
GIR,M,AA,GIRMAA,485,534.5
GIR,M,B,GIRMB,116,127.60000000000001
GIR,M,C,GIRMC,1220,324.5
GIR,S,A,GIRSA,357,392.70000000000005
GIR,S,AA,GIRSAA,369,405.90000000000003
GIR,S,B,GIRSB,172,189.20000000000002
GIR,S,C,GIRSC,1181,404.8
GIR,X,A,GIRXA,308,338.8
GIR,X,AA,GIRXAA,159,174.9
GIR,X,B,GIRXB,230,253.00000000000003
GIR,X,C,GIRXC,1233,510.40000000000003
KNI,L,A,KNILA,200,220.00000000000003
KNI,L,AA,KNILAA,61,67.10000000000001
KNI,L,B,KNILB,124,136.4
KNI,L,C,KNILC,342,119.9
KNI,M,A,KNIMA,191,210.10000000000002
KNI,M,AA,KNIMAA,190,209.00000000000003
KNI,M,B,KNIMB,58,63.800000000000004
KNI,M,C,KNIMC,304,72.60000000000001
KNI,S,A,KNISA,181,199.10000000000002
KNI,S,AA,KNISAA,171,188.10000000000002
KNI,S,B,KNISB,70,77.0
KNI,S,C,KNISC,323,97.9
KNI,X,A,KNIXA,167,183.70000000000002
KNI,X,AA,KNIXAA,67,73.7
KNI,X,B,KNIXB,118,129.8
KNI,X,C,KNIXC,338,144.10000000000002
KUN,L,A,KUNLA,33,36.300000000000004
KUN,L,AA,KUNLAA,82,90.2
KUN,L,B,KUNLB,6,6.6000000000000005
KUN,L,C,KUNLC,24,14.3
KUN,M,A,KUNMA,6,6.6000000000000005
KUN,M,AA,KUNMAA,57,62.7
KUN,M,B,KUNMB,1,1.1
KUN,M,C,KUNMC,13,5.5
KUN,S,A,KUNSA,7,7.700000000000001
KUN,S,AA,KUNSAA,60,66.0
KUN,S,C,KUNSC,9,2.2
KUN,X,A,KUNXA,20,22.0
KUN,X,AA,KUNXAA,39,43.900000000000006
KUN,X,B,KUNXB,5,5.5
KUN,X,C,KUNXC,8,7.700000000000001
KUS,I,A,KUSIA,1,1.1
KUS,I,B,KUSIB,2,2.2
KUS,I,C,KUSIC,72,1.1
KUS,L,A,KUSLA,118,129.8
KUS,L,AA,KUSLAA,66,72.60000000000001
KUS,L,B,KUSLB,68,74.80000000000001
KUS,L,C,KUSLC,705,113.30000000000001
KUS,M,A,KUSMA,101,111.10000000000001
KUS,M,AA,KUSMAA,213,240.3
KUS,M,B,KUSMB,39,42.900000000000006
KUS,M,C,KUSMC,615,125.4
KUS,S,A,KUSSA,121,133.10000000000002
KUS,S,AA,KUSSAA,181,200.10000000000002
KUS,S,B,KUSSB,50,55.00000000000001
KUS,S,C,KUSSC,682,180.4
KUS,U,C,KUSUC,2,2.2
KUS,X,A,KUSXA,158,173.8
KUS,X,AA,KUSXAA,71,78.10000000000001
KUS,X,B,KUSXB,77,84.7
KUS,X,C,KUSXC,729,178.20000000000002
OTH,L,B,OTHLB,3,3.3000000000000003
OTH,L,C,OTHLC,96,9.9
OTH,M,A,OTHMA,2,2.2
OTH,M,C,OTHMC,41,6.6000000000000005
OTH,S,A,OTHSA,2,2.2
OTH,S,B,OTHSB,1,1.1
OTH,S,C,OTHSC,50,4.4
OTH,U,C,OTHUC,1,1.1
OTH,X,B,OTHXB,1,1.1
OTH,X,C,OTHXC,47,6.6000000000000005
