Division,Department,Class,Subclass,KeyCategoryView,SKU,Item,Color,Size,ProductGroupCode,SizeGroupCode,Velocity,SlotTier,ReplenishmentThreshold,PutawayIndicator,ProductStatus,ProductStatusDate,ProductStage,ReturnAction,ReturnActionDate,NVARExpectedQty,ForecastStartDate,FD1,FD2,FD3,FD4,FD5,FD6,FD7,FD8,FD9,FD10,FD11,FD12,FD13,FD14
Adult Apparel,O unisex apparel,O unisex apparel top,,Top,80155-XS6-L,80155,XS6,L,AAP,L,C,AAPLC,3,0,Final Sale,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Apparel,O unisex apparel,O unisex apparel top,,Top,81185-2TZ-L,81185,2TZ,L,AAP,L,C,AAPLC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Apparel,O unisex apparel,O unisex apparel top,,Top,81185-2TZ-M,81185,2TZ,M,AAP,M,C,AAPMC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Apparel,O unisex apparel,O unisex apparel top,,Top,81185-2TZ-XL,81185,2TZ,XL,AAP,L,C,AAPLC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Apparel,O womens apparel,O womens apparel swim,,Swim,82836-3BS-S,82836,3BS,S,AAP,S,B,AAPSB,3,1,Final Sale,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Adult Apparel,O womens apparel,O womens apparel swim,,Swim,82836-5MW-L,82836,5MW,L,AAP,L,C,AAPLC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Adult Apparel,O womens apparel,O womens apparel swim,,Swim,82836-5MW-M,82836,5MW,M,AAP,M,C,AAPMC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Adult Apparel,O womens apparel,O womens apparel swim,,Swim,82836-5MW-S,82836,5MW,S,AAP,S,A,AAPSA,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,2,2,2,1,1,2,2,2,2,2,1,1,2,2
Adult Apparel,O womens apparel,O womens apparel swim,,Swim,82836-5MW-XL,82836,5MW,XL,AAP,L,C,AAPLC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Apparel,O womens apparel,O womens apparel swim,,Swim,82836-5MW-XS,82836,5MW,XS,AAP,X,C,AAPXC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Apparel,O womens apparel,O womens apparel swim,,Swim,82836-5OA-L,82836,5OA,L,AAP,L,C,AAPLC,3,1,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Adult Apparel,O womens apparel,O womens apparel swim,,Swim,82836-5OA-M,82836,5OA,M,AAP,M,AA,AAPMAA,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,3,3,3,2,2,2,4,3,3,2,2,2,2,4
Adult Apparel,O womens apparel,O womens apparel swim,,Swim,82836-5OA-S,82836,5OA,S,AAP,S,C,AAPSC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Adult Apparel,O womens apparel,O womens apparel swim,,Swim,82836-5OA-XL,82836,5OA,XL,AAP,L,C,AAPLC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Apparel,O womens apparel,O womens apparel swim,,Swim,82836-5OA-XS,82836,5OA,XS,AAP,X,C,AAPXC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Adult Apparel,O womens apparel,O womens apparel swim,,Swim,82837-3BS-XS,82837,3BS,XS,AAP,X,B,AAPXB,3,1,Clearance,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Adult Apparel,O womens apparel,O womens apparel swim,,Swim,82837-5MW-L,82837,5MW,L,AAP,L,A,AAPLA,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,3,3,3,3,3,3,3,3,3,3,3,2,3,3
Adult Apparel,O womens apparel,O womens apparel swim,,Swim,82837-5MW-M,82837,5MW,M,AAP,M,C,AAPMC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Adult Apparel,O womens apparel,O womens apparel swim,,Swim,82837-5MW-S,82837,5MW,S,AAP,S,C,AAPSC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Adult Apparel,O womens apparel,O womens apparel swim,,Swim,82837-5MW-XL,82837,5MW,XL,AAP,L,C,AAPLC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Adult Apparel,O womens apparel,O womens apparel swim,,Swim,82837-5MW-XS,82837,5MW,XS,AAP,X,C,AAPXC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Apparel,O womens apparel,O womens apparel swim,,Swim,82837-5OA-L,82837,5OA,L,AAP,L,C,AAPLC,3,1,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Adult Apparel,O womens apparel,O womens apparel swim,,Swim,82837-5OA-M,82837,5OA,M,AAP,M,AA,AAPMAA,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,3,3,3,2,2,2,4,3,3,2,2,2,2,4
Adult Apparel,O womens apparel,O womens apparel swim,,Swim,82837-5OA-S,82837,5OA,S,AAP,S,C,AAPSC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Adult Apparel,O womens apparel,O womens apparel swim,,Swim,82837-5OA-XL,82837,5OA,XL,AAP,L,C,AAPLC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Apparel,O womens apparel,O womens apparel swim,,Swim,82837-5OA-XS,82837,5OA,XS,AAP,X,C,AAPXC,3,1,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Adult Apparel,O womens apparel,O womens apparel top,,Top,83030-1SA-XS,83030,1SA,XS,AAP,X,B,AAPXB,3,1,,,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,2,2,2,2,2,2,3,2,2,2,2,2,2,3
Adult Apparel,O unisex apparel,O unisex apparel top,,Top,83828-011-L,83828,011,L,AAP,L,C,AAPLC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Apparel,O unisex apparel,O unisex apparel top,,Top,83828-011-M,83828,011,M,AAP,M,B,AAPMB,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Adult Apparel,O unisex apparel,O unisex apparel top,,Top,83828-011-XL,83828,011,XL,AAP,L,C,AAPLC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Apparel,O unisex apparel,O unisex apparel top,,Top,83828-011-XXL,83828,011,XXL,AAP,L,C,AAPLC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Apparel,O unisex apparel,O unisex apparel top,,Top,83828-3UU-L,83828,3UU,L,AAP,L,C,AAPLC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Apparel,O unisex apparel,O unisex apparel top,,Top,83828-3UU-M,83828,3UU,M,AAP,M,C,AAPMC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Apparel,O unisex apparel,O unisex apparel top,,Top,83828-3UU-S,83828,3UU,S,AAP,S,C,AAPSC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Apparel,O unisex apparel,O unisex apparel top,,Top,83828-3UU-XL,83828,3UU,XL,AAP,L,C,AAPLC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Apparel,O unisex apparel,O unisex apparel top,,Top,83828-3UU-XS,83828,3UU,XS,AAP,X,C,AAPXC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Apparel,O unisex apparel,O unisex apparel top,,Top,83828-3UU-XXL,83828,3UU,XXL,AAP,L,C,AAPLC,3,0,Promo/Reg Price,6/1/2026,TBD - TEXT,TBD - TEXT,12/25/2022,0,6/16/2026,0,0,0,0,0,0,0,0,0,0,0,0,0,0
