SKU,FD1ToFD14Units,ML14DayForecastUnits,Recent14DayUnits,SelectedByMLThreshold,RecentFallbackWeight
84433-68I-120,554,553.5725608217185,258.31324298271,True,0.0
84433-68I-130,492,491.9639504240739,228.74877870340853,True,0.0
81644-1SA-90,386,386.415261130811,166.6132944553852,True,0.0
84433-68I-140,356,355.7255327016253,193.17120304526614,True,0.0
81644-1SA-110,325,325.02355797311867,185.15372120681153,True,0.0
81644-1SA-120,325,325.02355797311867,191.6679252005559,True,0.0
58660-4ON-S,322,322.0684688314076,169.8703964522574,True,0.0
84433-68I-110,296,295.8117449850631,189.66355474094223,True,0.0
84433-68I-100,270,270.1150478114787,137.04883017608375,True,0.0
81718-1SA-120,257,256.50090560532465,91.19885591242138,True,0.0
58660-4ON-M,253,252.5789668525414,149.32559924121742,True,0.0
81644-1SA-130,243,242.79911828556402,135.54555233137353,True,0.0
81644-1SA-100,239,238.63349129576824,168.11657230009547,True,0.0
84433-6GT-120,233,232.54031368034373,84.68465191867699,True,0.0
84428-1WC-120,219,219.44401614119462,250.79685375915878,True,0.0
81718-1SA-100,216,216.09440059490794,70.15296608647797,True,0.0
81644-1SA-140,212,212.32088366831528,81.17700361435308,True,0.0
84433-66J-120,208,207.95412476476176,203.94469426568958,True,0.0
81718-1SA-110,207,207.15801433069586,73.15952177589847,True,0.0
58661-4NA-S,205,204.87719590283018,104.22726389991014,True,0.0
84433-68I-90,202,202.3996320643643,108.98764374149258,True,0.0
81798-1VM-120,200,199.89302672234754,0.0,True,0.0
58660-4ON-XS,196,195.81816034794392,96.71087467635894,True,0.0
58661-4PX-L,196,195.6382341742663,126.52588526311206,True,0.0
84433-66J-130,195,194.91340424718587,173.628591064033,True,0.0
84620-6GV-120,195,194.7817652104569,188.41082320368372,True,0.0
47684-5LW-150,193,193.45438658494962,0.0,True,0.0
84433-6GT-100,189,188.80160737336928,50.61035410524483,True,0.0
84433-6GT-150,188,188.3288398697361,48.60598364563117,True,0.0
58665-4TF-XS,187,186.79875823036042,130.78517248979108,True,0.0
81718-1SA-130,185,185.14093633996328,64.89149362999213,True,0.0
58663-4SX-S,184,184.07828854744474,135.0444597164701,True,0.0
82912-2RO-120,179,179.10402324991307,316.439986311506,True,0.0
58662-4O4-S,177,176.88279487412933,204.69633318804466,True,0.0
58660-4ON-L,176,175.64012893593713,79.42317946219114,True,0.0
58661-4NA-M,171,171.4039358885222,161.35182199889937,True,0.0
84433-66J-110,171,170.6007651577141,165.36056291812667,True,0.0
58663-011-L,169,168.71127501740284,105.47999543716868,True,0.0
58663-85H-M,169,169.31657145745135,0.0,True,0.0
84433-66J-140,166,166.41071651912864,141.0575710953111,True,0.0
81718-1SA-140,164,164.21628470760908,36.579760887949234,True,0.0
81766-1QH-110,157,157.25849357459825,115.00075512033354,True,0.0
82719-65Z-120,157,157.4888082352507,105.47999543716868,True,0.0
58660-3GD-L,155,155.12792255712796,0.0,True,0.0
84433-6GT-110,155,154.8784721359745,68.90023454921945,True,0.0
84428-1WC-140,153,153.38540189995217,179.39115613542228,True,0.0
82008-4KQ-110,152,151.73479926898807,0.0,True,0.0
58661-4ON-M,151,151.00982731824354,114.75020881288185,True,0.0
81718-1SA-90,149,149.11863983248006,45.59942795621069,True,0.0
84505-5ZU-110,149,149.43963095665325,225.24113039908462,True,0.0
45346-5HB-120,148,148.0098397375527,269.3372805105851,True,0.0
58661-4ON-L,147,146.94073923909215,69.40132716412285,True,0.0
82912-2RO-100,146,146.2869920495699,239.77281623128368,True,0.0
84628-6GV-120,146,145.75369504634045,133.04008925685648,True,0.0
84433-6GT-130,145,144.56895876532002,68.90023454921945,True,0.0
84505-6H6-120,145,144.64964413054622,213.71600025630613,True,0.0
81766-1QH-100,142,142.35873972786737,105.22944912971697,True,0.0
58661-4NA-L,140,139.76851717002225,93.20322637203503,True,0.0
81766-1QH-120,140,139.8954668675548,128.0291631078223,True,0.0
84084-2MH-130,138,137.64106404868218,0.0,True,0.0
84428-1WC-130,138,138.17833726729137,227.99713978105345,True,0.0
81718-68I-110,137,136.8441794715294,208.70507410727197,True,0.0
83403-5MM-75,136,135.64953149973917,100.46906928813453,True,0.0
84551-66I-80,136,135.7941453412917,52.36417825740678,True,0.0
43205-5HC-120,133,132.61182120714813,209.20616672217542,True,0.0
58662-4SQ-M,133,133.19462974930494,99.46688405832771,True,0.0
84433-66J-100,133,133.39882165540288,112.9963846607199,True,0.0
58661-4ON-S,132,131.62943450714926,72.65842916099506,True,0.0
81666-3HZ-90,132,131.88571339902154,0.0,True,0.0
84608-6CN-120,132,131.5095507545898,206.19961103275492,True,0.0
81718-1SA-85,130,129.94493097667842,29.063371664398023,True,0.0
58662-4SM-M,126,125.52920689016,71.65624393118821,True,0.0
81718-6GT-100,126,126.49782129746033,84.43410561122529,True,0.0
82778-5HR-120,125,124.52500079481318,141.8092100176662,True,0.0
84084-2MH-140,124,124.3041356450647,0.0,True,0.0
84428-1WC-150,124,124.30843672642179,148.3234140114106,True,0.0
84460-5ZO-120,124,124.39267156160386,305.9170413985343,True,0.0
67515-4NA-M,123,123.31585759525555,63.13766947783019,True,0.0
84433-6GT-140,122,122.39900363422063,51.11144672014824,True,0.0
58662-4SQ-S,121,121.17958433500725,97.71305990616577,True,0.0
84460-6GS-100,121,120.77319421067796,231.00369547047393,True,0.0
81766-1QH-90,120,120.37926925521225,96.20978206145551,True,0.0
84460-5ZO-100,120,120.31992264838576,240.0233625387354,True,0.0
84460-61J-120,120,119.63759810765032,234.26079746734615,True,0.0
84460-6GS-110,120,120.31992264838576,321.45091246054017,True,0.0
47761-2NP-90,119,119.38280094070666,0.0,True,0.0
81700-5ZA-120,117,117.21381793559654,141.5586637102145,True,0.0
58663-4SX-M,116,116.4630137174352,105.9810880520721,True,0.0
84428-6AQ-120,116,115.52246181694265,142.3103026325696,True,0.0
84620-6GV-140,116,115.56433117281229,89.19448545280771,True,0.0
58661-4PX-XL,115,115.09924280872625,75.41443854296384,True,0.0
81766-1QH-130,115,114.71895831264112,77.16826269512578,True,0.0
84428-1WC-100,115,115.47546234563744,125.77424634075695,True,0.0
84448-61J-120,114,114.07674569983483,211.71162979669248,True,0.0
58660-4NA-M,113,112.53125920864613,170.62203537461252,True,0.0
84505-5ZU-100,113,113.19714268963884,161.35182199889937,True,0.0
84434-65Z-120,112,111.67312349215973,165.11001661067496,True,0.0
84460-5ZO-110,112,112.45314713565675,285.8733368023978,True,0.0
84620-6GV-100,112,112.0473618184331,116.00294035014036,True,0.0
84620-6GV-130,112,112.26435363519457,147.57177508905545,True,0.0
81718-6GT-90,111,111.46550340494207,74.1617070057053,True,0.0
82721-6CY-120,111,110.6521122620776,56.6234654840858,True,0.0
84646-6FN-60,111,111.39552571626619,31.318288431463387,True,0.0
82719-5ZU-120,110,109.71011662250551,67.1464103970575,True,0.0
82778-M07-120,110,110.41556481700466,67.89804931941262,True,0.0
81569-1FO-120,109,108.85186054259117,0.0,True,0.0
81763-1RJ-90,109,108.87034852135189,0.0,True,0.0
82768-5YM-120,109,108.7773486203859,76.66717008022236,True,0.0
58661-4SK-M,108,108.40848651289943,52.614724564858484,True,0.0
84348-5VS-100,108,108.15315030760077,20.29425090358827,True,0.0
84428-1WC-110,108,108.28942444782537,171.37367429696764,True,0.0
84428-6AQ-130,107,106.80173034364383,149.0750529337657,True,0.0
84505-6H6-100,107,107.06907650975573,131.2862651046945,True,0.0
82719-5XD-120,106,106.47060118384748,89.94612437516284,True,0.0
83077-3F3-130,106,106.1064430500657,0.0,True,0.0
84349-5VS-100,106,106.43583025330706,14.531685832199011,True,0.0
84433-67K-130,106,106.31864014459632,96.96142098381063,True,0.0
84460-5ZU-120,106,106.04216865272996,254.3045020634827,True,0.0
65642-5LG-120,105,105.38872264392329,239.27172361638023,True,0.0
82891-1SA-110,105,104.54360021036823,36.07866827304582,True,0.0
84514-6DS-120,105,104.55552255503646,50.61035410524483,True,0.0
82778-M07-110,104,103.92073210663158,59.37947486605457,True,0.0
84338-5VS-100,104,104.01014799866121,15.53387106200584,True,0.0
84552-973-75,104,103.62816306835646,90.19667068261455,True,0.0
82778-5HR-110,103,103.14064631072088,112.24474573836477,True,0.0
84433-6GT-90,103,102.59614184556999,43.093964881693616,True,0.0
84505-6H6-110,103,102.97281910975703,194.17338827507297,True,0.0
84547-5LB-75,103,103.21690442992218,55.370733946827265,True,0.0
43205-GK3-130,102,101.64689245715724,101.72180082539307,True,0.0
58660-4SK-M,102,101.53895823923162,153.08379385299304,True,0.0
67377-015-120,102,102.39498791195061,151.83106231573447,True,0.0
81766-67K-130,102,102.18266480417003,46.1005205711141,True,0.0
81563-1UN-85,101,101.17624582917608,0.0,True,0.0
81644-1SA-150,101,101.38480775023882,54.36854871702044,True,0.0
81718-6GT-110,101,101.36598743843555,87.94175391554919,True,0.0
84090-5KM-130,101,101.13436645189101,190.41519366329737,True,0.0
84433-68I-85,101,101.35999538728416,67.64750301196091,True,0.0
82778-5SQ-120,100,99.83460822088767,100.97016190303795,True,0.0
84434-65Z-130,100,100.31879766291817,125.52370003330523,True,0.0
84460-6GW-110,100,99.81150651570053,179.89224875032568,True,0.0
84608-6CN-100,100,100.44796446953147,105.9810880520721,True,0.0
82719-65Z-90,99,98.71619143108579,57.375104406440926,True,0.0
83403-5MM-80,99,98.55090691877965,59.88056748095799,True,0.0
84329-5MZ-120,99,98.84112018081206,63.13766947783019,True,0.0
84329-5MZ-140,99,99.07250755690367,46.85215949346922,True,0.0
84512-5UT-130,99,98.82188031098633,40.33795549972484,True,0.0
58665-4TD-S,98,97.60521821884879,99.46688405832771,True,0.0
