ProductGroupCode,SizeGroupCode,Velocity,SlotTier,SKU_Count,TotalRequiredSlots
AAP,L,A,AAPLA,1,1.1
AAP,L,C,AAPLC,21,8.8
AAP,M,AA,AAPMAA,2,2.2
AAP,M,B,AAPMB,1,1.1
AAP,M,C,AAPMC,6,4.4
AAP,S,A,AAPSA,1,1.1
AAP,S,B,AAPSB,2,2.2
AAP,S,C,AAPSC,5,4.4
AAP,X,B,AAPXB,2,2.2
AAP,X,C,AAPXC,10,4.4
ACC,I,A,ACCIA,2,2.2
ACC,I,B,ACCIB,1,1.1
ACC,I,C,ACCIC,8,5.5
ACC,L,A,ACCLA,2,2.2
ACC,L,AA,ACCLAA,4,4.4
ACC,L,B,ACCLB,7,7.700000000000001
ACC,L,C,ACCLC,16,6.6000000000000005
ACC,M,A,ACCMA,1,1.1
ACC,M,AA,ACCMAA,4,4.4
ACC,M,B,ACCMB,3,3.3000000000000003
ACC,M,C,ACCMC,17,6.6000000000000005
ACC,O,C,ACCOC,8,1.1
ACC,S,A,ACCSA,3,3.3000000000000003
ACC,S,B,ACCSB,9,9.9
ACC,S,C,ACCSC,42,19.8
ACC,X,A,ACCXA,2,2.2
ACC,X,B,ACCXB,3,3.3000000000000003
ACC,X,C,ACCXC,41,20.900000000000002
ASL,L,A,ASLLA,7,7.700000000000001
ASL,L,B,ASLLB,27,29.700000000000003
ASL,L,C,ASLLC,501,58.300000000000004
ASL,M,A,ASLMA,3,3.3000000000000003
ASL,M,B,ASLMB,3,3.3000000000000003
ASL,M,C,ASLMC,178,51.7
ASL,S,A,ASLSA,4,4.4
ASL,S,AA,ASLSAA,2,2.2
ASL,S,B,ASLSB,9,9.9
ASL,S,C,ASLSC,152,30.800000000000004
ASL,X,A,ASLXA,1,1.1
ASL,X,B,ASLXB,12,13.200000000000001
ASL,X,C,ASLXC,278,17.6
BAP,I,A,BAPIA,86,94.60000000000001
BAP,I,AA,BAPIAA,80,88.0
BAP,I,B,BAPIB,101,111.10000000000001
BAP,I,C,BAPIC,1467,763.4000000000001
BAP,S,B,BAPSB,1,1.1
BAP,S,C,BAPSC,23,11.0
BAP,X,A,BAPXA,59,64.9
BAP,X,AA,BAPXAA,51,56.1
BAP,X,B,BAPXB,59,64.9
BAP,X,C,BAPXC,886,496.1
BOY,L,A,BOYLA,34,37.400000000000006
BOY,L,AA,BOYLAA,30,33.0
BOY,L,B,BOYLB,26,28.6
BOY,L,C,BOYLC,398,294.8
BOY,M,A,BOYMA,29,31.900000000000002
BOY,M,AA,BOYMAA,55,60.50000000000001
BOY,M,B,BOYMB,32,35.2
BOY,M,C,BOYMC,404,328.90000000000003
BOY,S,A,BOYSA,43,47.300000000000004
BOY,S,AA,BOYSAA,38,41.800000000000004
BOY,S,B,BOYSB,30,33.0
BOY,S,C,BOYSC,432,350.90000000000003
BOY,X,A,BOYXA,32,35.2
BOY,X,AA,BOYXAA,15,16.5
BOY,X,B,BOYXB,28,30.800000000000004
BOY,X,C,BOYXC,485,282.70000000000005
BSL,I,A,BSLIA,56,61.60000000000001
BSL,I,AA,BSLIAA,63,69.30000000000001
BSL,I,B,BSLIB,39,42.900000000000006
BSL,I,C,BSLIC,469,321.20000000000005
BSL,L,A,BSLLA,1,1.1
BSL,L,C,BSLLC,5,5.5
BSL,M,A,BSLMA,3,3.3000000000000003
BSL,M,C,BSLMC,3,3.3000000000000003
BSL,S,A,BSLSA,1,1.1
BSL,S,B,BSLSB,1,1.1
BSL,S,C,BSLSC,5,5.5
BSL,X,A,BSLXA,21,23.1
BSL,X,AA,BSLXAA,17,18.700000000000003
BSL,X,B,BSLXB,20,22.0
BSL,X,C,BSLXC,180,107.80000000000001
COL,I,A,COLIA,4,4.4
COL,I,B,COLIB,2,2.2
COL,I,C,COLIC,63,16.5
COL,L,A,COLLA,7,7.700000000000001
COL,L,B,COLLB,10,11.0
COL,L,C,COLLC,138,45.1
COL,M,A,COLMA,14,15.400000000000002
COL,M,AA,COLMAA,6,6.6000000000000005
COL,M,B,COLMB,9,9.9
COL,M,C,COLMC,115,78.10000000000001
COL,O,C,COLOC,2,0.0
COL,S,A,COLSA,23,25.3
COL,S,AA,COLSAA,9,9.9
COL,S,B,COLSB,7,7.700000000000001
COL,S,C,COLSC,130,91.30000000000001
COL,X,A,COLXA,14,15.400000000000002
COL,X,AA,COLXAA,7,7.700000000000001
COL,X,B,COLXB,18,19.8
COL,X,C,COLXC,227,112.2
CSL,I,A,CSLIA,6,6.6000000000000005
CSL,I,B,CSLIB,9,9.9
CSL,I,C,CSLIC,141,53.900000000000006
CSL,L,A,CSLLA,12,13.200000000000001
CSL,L,B,CSLLB,25,27.500000000000004
CSL,L,C,CSLLC,301,49.50000000000001
CSL,M,A,CSLMA,20,22.0
CSL,M,AA,CSLMAA,2,2.2
CSL,M,B,CSLMB,16,17.6
CSL,M,C,CSLMC,164,75.9
CSL,S,A,CSLSA,12,13.200000000000001
CSL,S,AA,CSLSAA,5,5.5
CSL,S,B,CSLSB,15,16.5
CSL,S,C,CSLSC,217,97.9
CSL,X,A,CSLXA,17,18.700000000000003
CSL,X,AA,CSLXAA,3,3.3000000000000003
CSL,X,B,CSLXB,18,19.8
CSL,X,C,CSLXC,358,105.60000000000001
GIR,L,A,GIRLA,79,86.9
GIR,L,AA,GIRLAA,57,62.7
GIR,L,B,GIRLB,65,71.5
GIR,L,C,GIRLC,837,502.70000000000005
GIR,M,A,GIRMA,88,96.80000000000001
GIR,M,AA,GIRMAA,191,210.10000000000002
GIR,M,B,GIRMB,78,85.80000000000001
GIR,M,C,GIRMC,820,541.2
GIR,S,A,GIRSA,75,82.5
GIR,S,AA,GIRSAA,132,145.20000000000002
GIR,S,B,GIRSB,89,97.9
GIR,S,C,GIRSC,993,655.6
GIR,X,A,GIRXA,50,55.00000000000001
GIR,X,AA,GIRXAA,45,49.50000000000001
GIR,X,B,GIRXB,66,72.60000000000001
GIR,X,C,GIRXC,995,547.8000000000001
KNI,L,A,KNILA,20,22.0
KNI,L,AA,KNILAA,14,15.400000000000002
KNI,L,B,KNILB,16,17.6
KNI,L,C,KNILC,370,238.70000000000002
KNI,M,A,KNIMA,19,20.900000000000002
KNI,M,AA,KNIMAA,39,42.900000000000006
KNI,M,B,KNIMB,45,49.50000000000001
KNI,M,C,KNIMC,360,265.1
KNI,S,A,KNISA,23,25.3
KNI,S,AA,KNISAA,32,35.2
KNI,S,B,KNISB,28,30.800000000000004
KNI,S,C,KNISC,380,258.5
KNI,X,A,KNIXA,23,25.3
KNI,X,AA,KNIXAA,14,15.400000000000002
KNI,X,B,KNIXB,20,22.0
KNI,X,C,KNIXC,379,215.60000000000002
KUN,L,A,KUNLA,6,6.6000000000000005
KUN,L,AA,KUNLAA,26,28.6
KUN,L,B,KUNLB,3,3.3000000000000003
KUN,L,C,KUNLC,43,40.7
KUN,M,A,KUNMA,5,5.5
KUN,M,AA,KUNMAA,24,26.400000000000002
KUN,M,B,KUNMB,8,8.8
KUN,M,C,KUNMC,12,9.9
KUN,S,A,KUNSA,3,3.3000000000000003
KUN,S,AA,KUNSAA,24,26.400000000000002
KUN,S,B,KUNSB,4,4.4
KUN,S,C,KUNSC,16,15.400000000000002
KUN,X,A,KUNXA,4,4.4
KUN,X,AA,KUNXAA,15,16.5
KUN,X,B,KUNXB,3,3.3000000000000003
KUN,X,C,KUNXC,22,20.900000000000002
KUS,I,A,KUSIA,1,1.1
KUS,I,B,KUSIB,5,5.5
KUS,I,C,KUSIC,72,3.3000000000000003
KUS,L,A,KUSLA,27,29.700000000000003
KUS,L,AA,KUSLAA,37,41.7
KUS,L,B,KUSLB,35,38.5
KUS,L,C,KUSLC,348,198.00000000000003
KUS,M,A,KUSMA,40,44.0
KUS,M,AA,KUSMAA,78,88.80000000000001
KUS,M,B,KUSMB,36,39.6
KUS,M,C,KUSMC,440,253.00000000000003
KUS,S,A,KUSSA,36,39.6
KUS,S,AA,KUSSAA,49,54.900000000000006
KUS,S,B,KUSSB,30,33.0
KUS,S,C,KUSSC,557,290.40000000000003
KUS,X,A,KUSXA,24,26.400000000000002
KUS,X,AA,KUSXAA,21,23.1
KUS,X,B,KUSXB,33,36.300000000000004
KUS,X,C,KUSXC,653,251.90000000000003
OTH,L,B,OTHLB,2,2.2
OTH,L,C,OTHLC,30,1.1
OTH,M,A,OTHMA,1,1.1
OTH,M,C,OTHMC,13,0.0
OTH,S,B,OTHSB,1,1.1
OTH,S,C,OTHSC,23,0.0
OTH,X,C,OTHXC,13,0.0
