ProductGroupCode,SizeGroupCode,Velocity,SlotTier,SKU_Count,TotalRequiredSlots
AAP,L,A,AAPLA,1,1.1
AAP,L,C,AAPLC,21,4.4
AAP,M,AA,AAPMAA,2,2.2
AAP,M,B,AAPMB,1,1.1
AAP,M,C,AAPMC,6,4.4
AAP,S,A,AAPSA,1,1.1
AAP,S,B,AAPSB,2,2.2
AAP,S,C,AAPSC,5,3.3000000000000003
AAP,X,B,AAPXB,2,2.2
AAP,X,C,AAPXC,10,2.2
ACC,I,A,ACCIA,2,2.2
ACC,I,B,ACCIB,1,1.1
ACC,I,C,ACCIC,8,1.1
ACC,L,A,ACCLA,2,2.2
ACC,L,AA,ACCLAA,4,4.4
ACC,L,B,ACCLB,5,5.5
ACC,L,C,ACCLC,18,7.700000000000001
ACC,M,A,ACCMA,1,1.1
ACC,M,AA,ACCMAA,4,4.4
ACC,M,B,ACCMB,1,1.1
ACC,M,C,ACCMC,19,8.8
ACC,O,C,ACCOC,8,0.0
ACC,S,A,ACCSA,3,3.3000000000000003
ACC,S,B,ACCSB,9,9.9
ACC,S,C,ACCSC,42,14.3
ACC,X,A,ACCXA,2,2.2
ACC,X,B,ACCXB,3,3.3000000000000003
ACC,X,C,ACCXC,41,9.9
ASL,L,A,ASLLA,7,7.700000000000001
ASL,L,B,ASLLB,27,29.700000000000003
ASL,L,C,ASLLC,501,24.200000000000003
ASL,M,A,ASLMA,3,3.3000000000000003
ASL,M,B,ASLMB,3,3.3000000000000003
ASL,M,C,ASLMC,178,23.1
ASL,S,A,ASLSA,4,4.4
ASL,S,AA,ASLSAA,2,2.2
ASL,S,B,ASLSB,9,9.9
ASL,S,C,ASLSC,152,15.400000000000002
ASL,X,A,ASLXA,1,1.1
ASL,X,B,ASLXB,12,13.200000000000001
ASL,X,C,ASLXC,278,2.2
BAP,I,A,BAPIA,85,93.50000000000001
BAP,I,AA,BAPIAA,80,88.0
BAP,I,B,BAPIB,87,95.7
BAP,I,C,BAPIC,1482,521.4000000000001
BAP,S,B,BAPSB,1,1.1
BAP,S,C,BAPSC,23,4.4
BAP,X,A,BAPXA,58,63.800000000000004
BAP,X,AA,BAPXAA,51,56.1
BAP,X,B,BAPXB,44,48.400000000000006
BAP,X,C,BAPXC,902,348.70000000000005
BOY,L,A,BOYLA,34,37.400000000000006
BOY,L,AA,BOYLAA,30,33.0
BOY,L,B,BOYLB,26,28.6
BOY,L,C,BOYLC,398,161.70000000000002
BOY,M,A,BOYMA,29,31.900000000000002
BOY,M,AA,BOYMAA,55,60.50000000000001
BOY,M,B,BOYMB,22,24.200000000000003
BOY,M,C,BOYMC,414,268.40000000000003
BOY,S,A,BOYSA,43,47.300000000000004
BOY,S,AA,BOYSAA,38,41.800000000000004
BOY,S,B,BOYSB,25,27.500000000000004
BOY,S,C,BOYSC,437,234.3
BOY,X,A,BOYXA,32,35.2
BOY,X,AA,BOYXAA,15,16.5
BOY,X,B,BOYXB,28,30.800000000000004
BOY,X,C,BOYXC,485,148.5
BSL,I,A,BSLIA,56,61.60000000000001
BSL,I,AA,BSLIAA,63,69.30000000000001
BSL,I,B,BSLIB,30,33.0
BSL,I,C,BSLIC,478,240.9
BSL,L,A,BSLLA,1,1.1
BSL,L,C,BSLLC,5,4.4
BSL,M,A,BSLMA,3,3.3000000000000003
BSL,M,C,BSLMC,3,3.3000000000000003
BSL,S,A,BSLSA,1,1.1
BSL,S,B,BSLSB,1,1.1
BSL,S,C,BSLSC,5,4.4
BSL,X,A,BSLXA,21,23.1
BSL,X,AA,BSLXAA,17,18.700000000000003
BSL,X,B,BSLXB,17,18.700000000000003
BSL,X,C,BSLXC,183,85.80000000000001
COL,I,A,COLIA,4,4.4
COL,I,B,COLIB,2,2.2
COL,I,C,COLIC,63,5.5
COL,L,A,COLLA,7,7.700000000000001
COL,L,B,COLLB,10,11.0
COL,L,C,COLLC,138,8.8
COL,M,A,COLMA,14,15.400000000000002
COL,M,AA,COLMAA,6,6.6000000000000005
COL,M,B,COLMB,9,9.9
COL,M,C,COLMC,115,52.800000000000004
