Division,Department,Class,CorporateRows,CorporateFDUnits,HybridRows,HybridFDUnits,Candidate,FDUnitDeltaVsCorporate,RowDeltaVsCorporate
Kids Unders,U G underwear,U G unders bottom,172.0,19314.0,108.0,5091.0,hybrid_10pct,-14223.0,-64.0
Kids Unders,U B underwear,U B unders bottom,185.0,15139.0,109.0,3717.0,hybrid_10pct,-11422.0,-76.0
Girls,G short,G k short,318.0,12761.0,275.0,4757.0,hybrid_10pct,-8004.0,-43.0
Girls,G pant,G k pant,792.0,6213.0,272.0,1953.0,hybrid_10pct,-4260.0,-520.0
Girls,G dress,G LS dress,1798.0,5624.0,628.0,1414.0,hybrid_10pct,-4210.0,-1170.0
Boys,B pant,B k pant,290.0,3913.0,160.0,463.0,hybrid_10pct,-3450.0,-130.0
Collab Sleepwear,CS Kids Unisex sleep,CS KU LJ,1024.0,4204.0,421.0,2167.0,hybrid_10pct,-2037.0,-603.0
Girls,G top,G LS top,650.0,1914.0,155.0,490.0,hybrid_10pct,-1424.0,-495.0
Collab Accessories,CA underwear,CA G underwear,92.0,1591.0,40.0,365.0,hybrid_10pct,-1226.0,-52.0
Kids Unisex Sleep,S KU LJ,S KU LJ print,1739.0,5302.0,1036.0,4120.0,hybrid_10pct,-1182.0,-703.0
Kids Unisex,KU outerwear,KU jkt,270.0,1229.0,101.0,114.0,hybrid_10pct,-1115.0,-169.0
Baby Apparel,Bby pant,Bby k pant,279.0,1324.0,151.0,460.0,hybrid_10pct,-864.0,-128.0
Kids Unisex,KU short,KU k short,102.0,1985.0,112.0,1228.0,hybrid_10pct,-757.0,10.0
Collab Apparel,C Kids Unisex,C KU jkt-vest,74.0,868.0,39.0,180.0,hybrid_10pct,-688.0,-35.0
Boys,B top,B LS top,913.0,1766.0,365.0,1116.0,hybrid_10pct,-650.0,-548.0
Kids Unisex,KU pant,KU k pant,257.0,1833.0,112.0,1241.0,hybrid_10pct,-592.0,-145.0
Baby Apparel,Bby swimwear,Bby swim 2pc,155.0,1252.0,144.0,671.0,hybrid_10pct,-581.0,-11.0
Baby Apparel,Bby outerwear,Bby jkt,237.0,856.0,112.0,331.0,hybrid_10pct,-525.0,-125.0
Baby Accessories,BA sock,BA sock misc,22.0,553.0,20.0,187.0,hybrid_10pct,-366.0,-2.0
Baby Apparel,Bby bundle,Bby bundle misc,96.0,479.0,95.0,126.0,hybrid_10pct,-353.0,-1.0
Baby Sleepwear,BS footed sleeper,BS footed print,94.0,435.0,39.0,83.0,hybrid_10pct,-352.0,-55.0
Collab Sleepwear,CS AU sleep,CS AU top,251.0,461.0,120.0,116.0,hybrid_10pct,-345.0,-131.0
Boys,B short,B w short,139.0,1973.0,144.0,1654.0,hybrid_10pct,-319.0,5.0
Baby Apparel,Bby dress,Bby LS dress set,350.0,794.0,123.0,493.0,hybrid_10pct,-301.0,-227.0
Baby Apparel,Bby 1pc,Bby SL 1pc,214.0,1335.0,149.0,1043.0,hybrid_10pct,-292.0,-65.0
Adult Sleep,S W sleepwear,S W LJ top,124.0,443.0,76.0,154.0,hybrid_10pct,-289.0,-48.0
Baby Apparel,Bby bodysuit,Bby SS bodysuit,34.0,542.0,33.0,274.0,hybrid_10pct,-268.0,-1.0
Adult Sleep,S AU sleepwear,S AU LJ top,424.0,495.0,243.0,229.0,hybrid_10pct,-266.0,-181.0
Kids Unisex,KU outerwear,KU ow,66.0,339.0,64.0,112.0,hybrid_10pct,-227.0,-2.0
Collab Accessories,CA underwear,CA B underwear,33.0,275.0,10.0,50.0,hybrid_10pct,-225.0,-23.0
Collab Apparel,C Girl,C G swimwear,61.0,503.0,53.0,295.0,hybrid_10pct,-208.0,-8.0
Collab Sleepwear,CS Baby sleep,CS Bby footless,346.0,947.0,156.0,743.0,hybrid_10pct,-204.0,-190.0
Baby Accessories,BA hats,BA pilot-knot hat,45.0,317.0,26.0,124.0,hybrid_10pct,-193.0,-19.0
Collab Apparel,C Girl,C G set,8.0,196.0,11.0,8.0,hybrid_10pct,-188.0,3.0
Collab Accessories,CA non clothing,CA nc misc,68.0,253.0,24.0,96.0,hybrid_10pct,-157.0,-44.0
Kids Unisex Sleep,S KU LJ,S KU LJ stripe,60.0,358.0,36.0,206.0,hybrid_10pct,-152.0,-24.0
Girls,G pant,G w pant,321.0,566.0,164.0,421.0,hybrid_10pct,-145.0,-157.0
Collab Apparel,C Baby,C Bby jkt-vest,17.0,174.0,8.0,31.0,hybrid_10pct,-143.0,-9.0
Collab Apparel,C Baby-Toddler,C BT top,48.0,285.0,35.0,164.0,hybrid_10pct,-121.0,-13.0
Other,S Pet Johns,S pet johns print,241.0,199.0,81.0,85.0,hybrid_10pct,-114.0,-160.0
Boys,B pant,B w pant,330.0,681.0,170.0,582.0,hybrid_10pct,-99.0,-160.0
Adult Sleep,S AU sleepwear,S AU LJ bottom,401.0,479.0,199.0,391.0,hybrid_10pct,-88.0,-202.0
Collab Apparel,C Baby-Toddler,C BT set,104.0,168.0,47.0,82.0,hybrid_10pct,-86.0,-57.0
Adult Sleep,S W sleepwear,S W LJ bottom,143.0,266.0,63.0,189.0,hybrid_10pct,-77.0,-80.0
