Candidate,Velocity,SlotTier,RequiredSlotsTotal
corporate_clone,C,BAPIC,697.4000000000001
corporate_clone,AA,GIRMAA,534.5
corporate_clone,C,GIRXC,510.4
corporate_clone,A,BAPIA,430.1
corporate_clone,A,GIRLA,407.00000000000006
corporate_clone,AA,GIRSAA,405.9
corporate_clone,C,GIRSC,404.8
corporate_clone,A,GIRSA,392.7000000000001
corporate_clone,C,GIRLC,369.6
corporate_clone,C,BAPXC,366.3
corporate_clone,A,GIRMA,344.3
corporate_clone,A,GIRXA,338.8
corporate_clone,A,BAPXA,333.3
corporate_clone,C,GIRMC,324.5
corporate_clone,B,BAPIB,267.3
corporate_clone,C,ASLLC,262.90000000000003
corporate_clone,C,BOYXC,259.6
corporate_clone,C,BAPOC,258.5
corporate_clone,B,GIRXB,253.00000000000003
corporate_clone,A,BSLIA,244.2
corporate_clone,AA,KUSMAA,240.3
corporate_clone,A,BOYMA,226.6
corporate_clone,A,KNILA,220.00000000000003
corporate_clone,A,BOYLA,217.8
corporate_clone,B,GIRLB,216.7
corporate_clone,AA,BAPIAA,214.50000000000003
corporate_clone,A,KNIMA,210.1
corporate_clone,AA,KNIMAA,209.00000000000003
corporate_clone,A,BOYSA,206.8
corporate_clone,B,BAPXB,201.3
corporate_clone,AA,KUSSAA,200.1
corporate_clone,A,KNISA,199.1
corporate_clone,AA,BSLIAA,192.50000000000003
corporate_clone,C,CSLXC,190.3
corporate_clone,B,GIRSB,189.2
corporate_clone,AA,KNISAA,188.1
corporate_clone,C,ASLXC,187.00000000000003
corporate_clone,A,KNIXA,183.7
corporate_clone,C,KUSSC,180.4
corporate_clone,C,KUSXC,178.20000000000002
corporate_clone,AA,GIRXAA,174.9
corporate_clone,B,BOYXB,174.9
corporate_clone,A,KUSXA,173.8
corporate_clone,AA,GIRLAA,170.5
corporate_clone,C,BOYSC,167.20000000000002
corporate_clone,C,BOYLC,161.70000000000002
corporate_clone,AA,BOYMAA,160.4
corporate_clone,A,BOYXA,152.9
corporate_clone,C,COLXC,148.5
corporate_clone,AA,BAPXAA,147.4
corporate_clone,C,CSLLC,147.4
corporate_clone,B,BOYLB,145.20000000000002
corporate_clone,C,KNIXC,144.10000000000002
corporate_clone,AA,BOYSAA,138.60000000000002
corporate_clone,B,KNILB,136.4
corporate_clone,C,BSLIC,135.3
corporate_clone,A,KUSSA,133.10000000000002
corporate_clone,A,KUSLA,129.8
corporate_clone,B,KNIXB,129.8
corporate_clone,B,GIRMB,127.6
corporate_clone,C,KUSMC,125.4
corporate_clone,C,KNILC,119.9
corporate_clone,B,BOYSB,118.8
corporate_clone,C,BOYMC,113.3
corporate_clone,C,KUSLC,113.3
corporate_clone,A,KUSMA,111.1
corporate_clone,B,BOYMB,108.9
corporate_clone,C,COLLC,102.3
corporate_clone,C,KNISC,97.9
corporate_clone,A,COLSA,90.2
corporate_clone,AA,KUNLAA,90.2
corporate_clone,A,BSLXA,86.9
corporate_clone,C,CSLSC,85.80000000000001
corporate_clone,B,BSLIB,84.7
corporate_clone,B,KUSXB,84.7
corporate_clone,AA,KUSXAA,78.10000000000001
corporate_clone,B,KNISB,77.0
corporate_clone,C,CSLIC,75.9
corporate_clone,B,COLXB,74.80000000000001
corporate_clone,B,KUSLB,74.80000000000001
corporate_clone,AA,KNIXAA,73.7
corporate_clone,AA,KUSLAA,72.60000000000001
corporate_clone,C,KNIMC,72.60000000000001
corporate_clone,A,COLMA,71.5
corporate_clone,B,COLLB,68.2
corporate_clone,AA,KNILAA,67.10000000000001
corporate_clone,AA,KUNSAA,66.0
corporate_clone,B,ASLLB,66.0
corporate_clone,B,KNIMB,63.8
corporate_clone,AA,KUNMAA,62.7
corporate_clone,C,CSLMC,61.60000000000001
corporate_clone,A,COLXA,60.50000000000001
corporate_clone,C,COLSC,60.50000000000001
corporate_clone,AA,BOYLAA,58.3
corporate_clone,C,ASLSC,57.2
corporate_clone,B,KUSSB,55.00000000000001
corporate_clone,C,ASLMC,53.900000000000006
corporate_clone,A,CSLSA,52.8
corporate_clone,C,BSLXC,52.8
corporate_clone,B,CSLXB,47.3
corporate_clone,C,BSLOC,45.1
corporate_clone,C,COLMC,45.1
corporate_clone,AA,BOYXAA,44.0
corporate_clone,AA,COLSAA,44.0
corporate_clone,AA,KUNXAA,43.900000000000006
corporate_clone,AA,COLMAA,42.900000000000006
corporate_clone,B,KUSMB,42.900000000000006
corporate_clone,B,BSLXB,41.8
corporate_clone,AA,BSLXAA,40.7
corporate_clone,C,COLIC,40.7
corporate_clone,A,CSLMA,38.5
corporate_clone,A,ASLLA,37.400000000000006
corporate_clone,A,CSLXA,36.3
corporate_clone,A,KUNLA,36.3
corporate_clone,B,CSLLB,36.3
corporate_clone,B,BAPOB,34.1
corporate_clone,B,ASLMB,33.0
corporate_clone,B,COLSB,33.0
corporate_clone,A,CSLLA,31.9
corporate_clone,A,BAPOA,29.700000000000003
corporate_clone,A,COLLA,29.700000000000003
corporate_clone,B,CSLMB,29.700000000000003
corporate_clone,B,CSLSB,29.700000000000003
corporate_clone,A,ASLMA,28.6
corporate_clone,B,ASLSB,28.6
corporate_clone,B,COLMB,28.6
corporate_clone,AA,BAPOAA,24.200000000000003
corporate_clone,A,ASLSA,22.0
corporate_clone,A,KUNXA,22.0
corporate_clone,C,AAPLC,19.8
corporate_clone,A,BAPSA,18.700000000000003
corporate_clone,B,BAPSB,17.6
corporate_clone,AA,COLXAA,15.400000000000002
corporate_clone,C,KUNLC,14.3
corporate_clone,B,ASLXB,13.2
corporate_clone,AA,CSLMAA,12.1
corporate_clone,A,BSLOA,11.0
corporate_clone,C,BAPSC,11.0
corporate_clone,A,CSLIA,9.9
corporate_clone,B,BSLOB,9.9
corporate_clone,C,OTHLC,9.9
corporate_clone,C,ACCOC,8.8
corporate_clone,A,KUNSA,7.700000000000001
corporate_clone,C,ASLUC,7.700000000000001
corporate_clone,C,KUNXC,7.700000000000001
corporate_clone,A,KUNMA,6.6000000000000005
corporate_clone,AA,COLLAA,6.6000000000000005
corporate_clone,B,KUNLB,6.6000000000000005
corporate_clone,C,OTHMC,6.6000000000000005
corporate_clone,C,OTHXC,6.6000000000000005
corporate_clone,AA,ACCSAA,5.5
corporate_clone,B,CSLIB,5.5
corporate_clone,B,KUNXB,5.5
corporate_clone,C,KUNMC,5.5
corporate_clone,A,ACCXA,4.4
corporate_clone,AA,ACCOAA,4.4
corporate_clone,AA,ACCXAA,4.4
corporate_clone,AA,CSLSAA,4.4
corporate_clone,B,COLIB,4.4
corporate_clone,C,AAPMC,4.4
corporate_clone,C,AAPXC,4.4
corporate_clone,C,OTHSC,4.4
corporate_clone,A,AAPSA,3.3000000000000003
corporate_clone,A,ASLXA,3.3000000000000003
corporate_clone,AA,ACCMAA,3.3000000000000003
corporate_clone,AA,ASLMAA,3.3000000000000003
corporate_clone,AA,BAPSAA,3.3000000000000003
corporate_clone,AA,CSLXAA,3.3000000000000003
corporate_clone,B,OTHLB,3.3000000000000003
corporate_clone,A,AAPMA,2.2
corporate_clone,A,ACCSA,2.2
corporate_clone,A,OTHMA,2.2
corporate_clone,A,OTHSA,2.2
corporate_clone,AA,ACCLAA,2.2
corporate_clone,AA,ASLLAA,2.2
corporate_clone,AA,ASLSAA,2.2
corporate_clone,AA,COLOAA,2.2
corporate_clone,AA,CSLLAA,2.2
corporate_clone,B,AAPLB,2.2
corporate_clone,B,AAPMB,2.2
corporate_clone,B,AAPXB,2.2
corporate_clone,B,KUSIB,2.2
corporate_clone,C,AAPSC,2.2
corporate_clone,C,KUNSC,2.2
corporate_clone,C,KUSUC,2.2
corporate_clone,A,ACCMA,1.1
corporate_clone,A,BAPLA,1.1
corporate_clone,A,BAPMA,1.1
corporate_clone,A,KUSIA,1.1
corporate_clone,AA,AAPSAA,1.1
corporate_clone,AA,BSLOAA,1.1
corporate_clone,B,ACCXB,1.1
corporate_clone,B,KUNMB,1.1
corporate_clone,B,OTHSB,1.1
corporate_clone,B,OTHXB,1.1
corporate_clone,C,ACCLC,1.1
corporate_clone,C,ACCMC,1.1
corporate_clone,C,ACCSC,1.1
corporate_clone,C,ACCXC,1.1
corporate_clone,C,KUSIC,1.1
corporate_clone,C,OTHUC,1.1
corporate_clone,C,ACCIC,0.0
corporate_clone,C,BSLLC,0.0
corporate_clone,C,BSLMC,0.0
corporate_clone,C,BSLSC,0.0
corporate_clone,C,COLOC,0.0
hybrid_10pct,C,BAPIC,763.4000000000001
hybrid_10pct,C,GIRSC,655.6
hybrid_10pct,C,GIRXC,547.8000000000001
hybrid_10pct,C,GIRMC,541.2
hybrid_10pct,C,GIRLC,502.7000000000001
hybrid_10pct,C,BAPXC,496.1
hybrid_10pct,C,BOYSC,350.90000000000003
hybrid_10pct,C,BOYMC,328.90000000000003
hybrid_10pct,C,BSLIC,321.20000000000005
hybrid_10pct,C,BOYLC,294.8
hybrid_10pct,C,KUSSC,290.40000000000003
hybrid_10pct,C,BOYXC,282.70000000000005
hybrid_10pct,C,KNIMC,265.1
hybrid_10pct,C,KNISC,258.5
hybrid_10pct,C,KUSMC,253.00000000000003
hybrid_10pct,C,KUSXC,251.90000000000003
hybrid_10pct,C,KNILC,238.7
hybrid_10pct,C,KNIXC,215.6
hybrid_10pct,AA,GIRMAA,210.1
hybrid_10pct,C,KUSLC,198.00000000000003
hybrid_10pct,AA,GIRSAA,145.20000000000002
hybrid_10pct,C,COLXC,112.2
hybrid_10pct,B,BAPIB,111.1
hybrid_10pct,C,BSLXC,107.8
hybrid_10pct,C,CSLXC,105.6
hybrid_10pct,B,GIRSB,97.9
hybrid_10pct,C,CSLSC,97.9
hybrid_10pct,A,GIRMA,96.8
hybrid_10pct,A,BAPIA,94.6
hybrid_10pct,C,COLSC,91.3
hybrid_10pct,AA,KUSMAA,88.80000000000001
hybrid_10pct,AA,BAPIAA,88.0
hybrid_10pct,A,GIRLA,86.9
hybrid_10pct,B,GIRMB,85.80000000000001
hybrid_10pct,A,GIRSA,82.5
hybrid_10pct,C,COLMC,78.10000000000001
hybrid_10pct,C,CSLMC,75.9
hybrid_10pct,B,GIRXB,72.60000000000001
hybrid_10pct,B,GIRLB,71.5
hybrid_10pct,AA,BSLIAA,69.30000000000001
hybrid_10pct,A,BAPXA,64.9
hybrid_10pct,B,BAPXB,64.9
hybrid_10pct,AA,GIRLAA,62.7
hybrid_10pct,A,BSLIA,61.60000000000001
hybrid_10pct,AA,BOYMAA,60.50000000000001
hybrid_10pct,C,ASLLC,58.3
hybrid_10pct,AA,BAPXAA,56.1
hybrid_10pct,A,GIRXA,55.00000000000001
hybrid_10pct,AA,KUSSAA,54.900000000000006
hybrid_10pct,C,CSLIC,53.900000000000006
hybrid_10pct,C,ASLMC,51.7
hybrid_10pct,AA,GIRXAA,49.50000000000001
hybrid_10pct,B,KNIMB,49.50000000000001
hybrid_10pct,C,CSLLC,49.50000000000001
hybrid_10pct,A,BOYSA,47.3
hybrid_10pct,C,COLLC,45.1
hybrid_10pct,A,KUSMA,44.0
hybrid_10pct,AA,KNIMAA,42.900000000000006
hybrid_10pct,B,BSLIB,42.900000000000006
hybrid_10pct,AA,BOYSAA,41.8
hybrid_10pct,AA,KUSLAA,41.7
hybrid_10pct,C,KUNLC,40.7
hybrid_10pct,A,KUSSA,39.6
hybrid_10pct,B,KUSMB,39.6
hybrid_10pct,B,KUSLB,38.5
hybrid_10pct,A,BOYLA,37.400000000000006
hybrid_10pct,B,KUSXB,36.3
hybrid_10pct,A,BOYXA,35.2
hybrid_10pct,AA,KNISAA,35.2
hybrid_10pct,B,BOYMB,35.2
hybrid_10pct,AA,BOYLAA,33.0
hybrid_10pct,B,BOYSB,33.0
hybrid_10pct,B,KUSSB,33.0
hybrid_10pct,A,BOYMA,31.9
hybrid_10pct,B,BOYXB,30.800000000000004
hybrid_10pct,B,KNISB,30.800000000000004
hybrid_10pct,C,ASLSC,30.800000000000004
hybrid_10pct,A,KUSLA,29.700000000000003
hybrid_10pct,B,ASLLB,29.700000000000003
hybrid_10pct,AA,KUNLAA,28.6
hybrid_10pct,B,BOYLB,28.6
hybrid_10pct,B,CSLLB,27.500000000000004
hybrid_10pct,A,KUSXA,26.4
hybrid_10pct,AA,KUNMAA,26.4
hybrid_10pct,AA,KUNSAA,26.4
hybrid_10pct,A,COLSA,25.3
hybrid_10pct,A,KNISA,25.3
hybrid_10pct,A,KNIXA,25.3
hybrid_10pct,A,BSLXA,23.1
hybrid_10pct,AA,KUSXAA,23.1
hybrid_10pct,A,CSLMA,22.0
hybrid_10pct,A,KNILA,22.0
hybrid_10pct,B,BSLXB,22.0
hybrid_10pct,B,KNIXB,22.0
hybrid_10pct,A,KNIMA,20.9
hybrid_10pct,C,ACCXC,20.9
hybrid_10pct,C,KUNXC,20.9
hybrid_10pct,B,COLXB,19.8
hybrid_10pct,B,CSLXB,19.8
hybrid_10pct,C,ACCSC,19.8
hybrid_10pct,A,CSLXA,18.700000000000003
hybrid_10pct,AA,BSLXAA,18.700000000000003
hybrid_10pct,B,CSLMB,17.6
hybrid_10pct,B,KNILB,17.6
hybrid_10pct,C,ASLXC,17.6
hybrid_10pct,AA,BOYXAA,16.5
hybrid_10pct,AA,KUNXAA,16.5
hybrid_10pct,B,CSLSB,16.5
hybrid_10pct,C,COLIC,16.5
hybrid_10pct,A,COLMA,15.400000000000002
hybrid_10pct,A,COLXA,15.400000000000002
hybrid_10pct,AA,KNILAA,15.400000000000002
hybrid_10pct,AA,KNIXAA,15.400000000000002
hybrid_10pct,C,KUNSC,15.400000000000002
hybrid_10pct,A,CSLLA,13.2
hybrid_10pct,A,CSLSA,13.2
hybrid_10pct,B,ASLXB,13.2
hybrid_10pct,B,COLLB,11.0
hybrid_10pct,C,BAPSC,11.0
hybrid_10pct,AA,COLSAA,9.9
hybrid_10pct,B,ACCSB,9.9
hybrid_10pct,B,ASLSB,9.9
hybrid_10pct,B,COLMB,9.9
hybrid_10pct,B,CSLIB,9.9
hybrid_10pct,C,KUNMC,9.9
hybrid_10pct,B,KUNMB,8.8
hybrid_10pct,C,AAPLC,8.8
hybrid_10pct,A,ASLLA,7.700000000000001
hybrid_10pct,A,COLLA,7.700000000000001
hybrid_10pct,AA,COLXAA,7.700000000000001
hybrid_10pct,B,ACCLB,7.700000000000001
hybrid_10pct,B,COLSB,7.700000000000001
hybrid_10pct,A,CSLIA,6.6000000000000005
hybrid_10pct,A,KUNLA,6.6000000000000005
hybrid_10pct,AA,COLMAA,6.6000000000000005
hybrid_10pct,C,ACCLC,6.6000000000000005
hybrid_10pct,C,ACCMC,6.6000000000000005
hybrid_10pct,A,KUNMA,5.5
hybrid_10pct,AA,CSLSAA,5.5
hybrid_10pct,B,KUSIB,5.5
hybrid_10pct,C,ACCIC,5.5
hybrid_10pct,C,BSLLC,5.5
hybrid_10pct,C,BSLSC,5.5
hybrid_10pct,A,ASLSA,4.4
hybrid_10pct,A,COLIA,4.4
hybrid_10pct,A,KUNXA,4.4
hybrid_10pct,AA,ACCLAA,4.4
hybrid_10pct,AA,ACCMAA,4.4
hybrid_10pct,B,KUNSB,4.4
hybrid_10pct,C,AAPMC,4.4
hybrid_10pct,C,AAPSC,4.4
hybrid_10pct,C,AAPXC,4.4
hybrid_10pct,A,ACCSA,3.3000000000000003
hybrid_10pct,A,ASLMA,3.3000000000000003
hybrid_10pct,A,BSLMA,3.3000000000000003
hybrid_10pct,A,KUNSA,3.3000000000000003
hybrid_10pct,AA,CSLXAA,3.3000000000000003
hybrid_10pct,B,ACCMB,3.3000000000000003
hybrid_10pct,B,ACCXB,3.3000000000000003
hybrid_10pct,B,ASLMB,3.3000000000000003
hybrid_10pct,B,KUNLB,3.3000000000000003
hybrid_10pct,B,KUNXB,3.3000000000000003
hybrid_10pct,C,BSLMC,3.3000000000000003
hybrid_10pct,C,KUSIC,3.3000000000000003
hybrid_10pct,A,ACCIA,2.2
hybrid_10pct,A,ACCLA,2.2
hybrid_10pct,A,ACCXA,2.2
hybrid_10pct,AA,AAPMAA,2.2
hybrid_10pct,AA,ASLSAA,2.2
hybrid_10pct,AA,CSLMAA,2.2
hybrid_10pct,B,AAPSB,2.2
hybrid_10pct,B,AAPXB,2.2
hybrid_10pct,B,COLIB,2.2
hybrid_10pct,B,OTHLB,2.2
hybrid_10pct,A,AAPLA,1.1
hybrid_10pct,A,AAPSA,1.1
hybrid_10pct,A,ACCMA,1.1
hybrid_10pct,A,ASLXA,1.1
hybrid_10pct,A,BSLLA,1.1
hybrid_10pct,A,BSLSA,1.1
hybrid_10pct,A,KUSIA,1.1
hybrid_10pct,A,OTHMA,1.1
hybrid_10pct,B,AAPMB,1.1
hybrid_10pct,B,ACCIB,1.1
hybrid_10pct,B,BAPSB,1.1
hybrid_10pct,B,BSLSB,1.1
hybrid_10pct,B,OTHSB,1.1
hybrid_10pct,C,ACCOC,1.1
hybrid_10pct,C,OTHLC,1.1
hybrid_10pct,C,COLOC,0.0
hybrid_10pct,C,OTHMC,0.0
hybrid_10pct,C,OTHSC,0.0
hybrid_10pct,C,OTHXC,0.0
hybrid_5pct,C,BAPIC,521.4000000000001
hybrid_5pct,C,GIRSC,518.1
hybrid_5pct,C,GIRMC,456.50000000000006
hybrid_5pct,C,GIRLC,355.3
hybrid_5pct,C,BAPXC,348.70000000000005
hybrid_5pct,C,GIRXC,338.8
hybrid_5pct,C,BOYMC,268.40000000000003
hybrid_5pct,C,BSLIC,240.9
hybrid_5pct,C,BOYSC,234.3
hybrid_5pct,C,KNIMC,231.00000000000003
hybrid_5pct,AA,GIRMAA,210.1
hybrid_5pct,C,KNISC,203.50000000000003
hybrid_5pct,C,KUSSC,191.4
hybrid_5pct,C,KUSMC,180.4
hybrid_5pct,C,BOYLC,161.70000000000002
hybrid_5pct,C,BOYXC,148.5
hybrid_5pct,C,KNILC,146.3
hybrid_5pct,C,KUSLC,146.3
hybrid_5pct,AA,GIRSAA,144.10000000000002
hybrid_5pct,C,KNIXC,144.10000000000002
hybrid_5pct,C,KUSXC,144.10000000000002
hybrid_5pct,B,BAPIB,95.7
hybrid_5pct,A,BAPIA,93.5
hybrid_5pct,A,GIRMA,90.2
hybrid_5pct,AA,KUSMAA,88.80000000000001
hybrid_5pct,AA,BAPIAA,88.0
hybrid_5pct,A,GIRLA,86.9
hybrid_5pct,C,BSLXC,85.80000000000001
