SKU,DirectPickLookbackUnits,DirectPickDemandDays,DailyBaseUnits,WeeklyBaseUnits,ValidReservationUnits,ReservationPhysicalTotal,ReservationSalesAllocatedPhysicalTotal,InboundTotalUnits,InboundNext14Units,InboundNext30Units,HasDirectPickHistory,HasValidReservation,HasInbound,Future14DayPromoDays,FutureWeeklyPromoWeeks,HasFuturePromo,FD1ToFD14Units,First13WeekUnits
15233-EH2-30,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,False,True,False,0,0,False,1,1.0
28554-011-1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,False,True,False,0,0,False,1,1.0
28554-M23-1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,False,True,False,0,0,False,1,1.0
30070-011-L,18.0,13.0,0.32142857142857145,2.25,2.0,1.0,1.0,0.0,0.0,0.0,True,True,False,2,1,True,7,37.0
30070-011-M,22.0,21.0,0.39285714285714285,2.75,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,2,1,True,8,43.0
30070-011-S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2,1,True,3,10.0
30070-011-XL,6.0,4.0,0.10714285714285714,0.75,1.0,1.0,0.0,0.0,0.0,0.0,True,True,False,2,1,True,4,19.0
30070-011-XS,17.0,9.0,0.30357142857142855,2.125,4.0,2.0,2.0,0.0,0.0,0.0,True,True,False,2,1,True,8,35.5
30070-011-XXL,5.0,4.0,0.08928571428571429,0.625,2.0,1.0,1.0,0.0,0.0,0.0,True,True,False,2,1,True,4,17.5
30070-1AY-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2,1,True,0,0.0
30070-1AY-M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2,1,True,0,0.0
30070-1AY-S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2,1,True,0,0.0
30070-1AY-XL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2,1,True,0,0.0
30070-1AY-XS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2,1,True,0,0.0
30070-1AY-XXL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2,1,True,0,0.0
30070-S74-L,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,False,True,False,0,0,False,1,1.0
30070-S74-XS,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,False,True,False,0,0,False,1,1.0
30070-SR4-L,22.0,15.0,0.39285714285714285,2.75,2.0,1.0,1.0,0.0,0.0,0.0,True,True,False,2,1,True,7,36.9875
30070-SR4-M,4.0,3.0,0.07142857142857142,0.5,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,2,1,True,1,8.0
30070-SR4-S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2,1,True,1,2.0
30070-SR4-XL,9.0,4.0,0.16071428571428573,1.125,1.0,1.0,0.0,0.0,0.0,0.0,True,True,False,2,1,True,3,15.5
30070-SR4-XS,13.0,10.0,0.23214285714285715,1.625,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,2,1,True,3,21.85625
30070-SR4-XXL,6.0,6.0,0.10714285714285714,0.75,2.0,1.0,1.0,0.0,0.0,0.0,True,True,False,2,1,True,3,11.0
30070-U74-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2,1,True,1,2.0
30070-U74-M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2,1,True,1,2.0
30070-U74-S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2,1,True,1,2.0
30070-U74-XL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2,1,True,1,2.0
30070-U74-XS,14.0,9.0,0.25,1.75,2.0,1.0,1.0,0.0,0.0,0.0,True,True,False,2,1,True,5,23.8
30070-U74-XXL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2,1,True,1,2.0
30071-GN1-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,False,False,True,0,0,False,0,0.0
30071-GN1-S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,False,False,True,0,0,False,0,0.0
30071-GN1-XS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,False,False,True,0,0,False,0,0.0
30071-QN6-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,False,False,True,0,0,False,0,0.0
30071-QN6-M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,False,False,True,0,0,False,0,0.0
30071-QN6-XL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,False,False,True,0,0,False,0,0.0
30071-QN6-XS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,False,False,True,0,0,False,0,0.0
30071-S74-XS,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,False,True,False,0,0,False,1,1.0
30071-TB4-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,True,0,0,False,0,0.0
30071-TB4-M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,False,False,True,0,0,False,0,0.0
30071-TB4-S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,False,False,True,0,0,False,0,0.0
30071-TB4-XXL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,True,0,0,False,0,0.0
30810-011-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2,1,True,0,0.0
30810-011-M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2,1,True,0,0.0
30810-011-S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2,1,True,0,0.0
30810-011-XL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2,1,True,0,0.0
30810-011-XS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2,1,True,0,0.0
30810-011-XXL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2,1,True,0,0.0
30810-011-XXS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2,1,True,0,0.0
30810-16N-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,False,False,True,0,0,False,0,0.0
30810-16N-M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,False,False,True,0,0,False,0,0.0
30810-16N-S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,False,False,True,0,0,False,0,0.0
30810-16N-XL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,True,0,0,False,0,0.0
30810-16N-XS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,False,False,True,0,0,False,0,0.0
30810-16N-XXL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,True,0,0,False,0,0.0
30810-1FL-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2,1,True,0,0.0
30810-1FL-M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2,1,True,0,0.0
30810-1FL-S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2,1,True,0,0.0
30810-1FL-XL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2,1,True,0,0.0
30810-1FL-XS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2,1,True,0,0.0
30810-1FL-XXL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2,1,True,0,0.0
30810-TB4-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,False,False,True,0,0,False,0,0.0
30810-TB4-M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,False,False,True,0,0,False,0,0.0
30810-TB4-XL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,False,False,True,0,0,False,0,0.0
30810-TB4-XS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,False,False,True,0,0,False,0,0.0
30810-TB4-XXL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,False,False,True,0,0,False,0,0.0
30991,18.0,13.0,0.32142857142857145,2.25,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,0,0,False,5,29.25
33080-GQ6-60,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,False,True,False,0,0,False,1,1.0
