ProductGroupCode,SizeGroupCode,Velocity,SlotTier,SKU_Count,TotalRequiredSlots
AAP,L,A,AAPLA,6,6.6000000000000005
AAP,L,AA,AAPLAA,8,8.8
AAP,L,B,AAPLB,1,1.1
AAP,L,C,AAPLC,65,13.200000000000001
AAP,M,A,AAPMA,2,2.2
AAP,M,AA,AAPMAA,4,4.4
AAP,M,C,AAPMC,20,3.3000000000000003
AAP,S,A,AAPSA,1,1.1
AAP,S,AA,AAPSAA,4,4.4
AAP,S,C,AAPSC,20,3.3000000000000003
AAP,X,A,AAPXA,1,1.1
AAP,X,AA,AAPXAA,4,4.4
AAP,X,B,AAPXB,1,1.1
AAP,X,C,AAPXC,26,7.700000000000001
ACC,I,A,ACCIA,4,4.4
ACC,I,AA,ACCIAA,2,2.2
ACC,I,B,ACCIB,4,4.4
ACC,I,C,ACCIC,15,4.4
ACC,L,A,ACCLA,1,1.1
ACC,L,AA,ACCLAA,12,13.200000000000001
ACC,L,C,ACCLC,92,19.8
ACC,M,AA,ACCMAA,13,14.3
ACC,M,C,ACCMC,113,31.900000000000002
ACC,O,B,ACCOB,1,1.1
ACC,O,C,ACCOC,25,16.5
ACC,S,A,ACCSA,6,6.6000000000000005
ACC,S,AA,ACCSAA,13,14.3
ACC,S,B,ACCSB,5,5.5
ACC,S,C,ACCSC,143,40.7
ACC,U,C,ACCUC,8,8.8
ACC,X,A,ACCXA,12,13.200000000000001
ACC,X,AA,ACCXAA,5,5.5
ACC,X,B,ACCXB,7,7.700000000000001
ACC,X,C,ACCXC,142,40.7
ASL,L,A,ASLLA,40,44.0
ASL,L,AA,ASLLAA,20,22.0
ASL,L,B,ASLLB,60,66.0
ASL,L,C,ASLLC,1055,381.70000000000005
ASL,M,A,ASLMA,20,22.0
ASL,M,AA,ASLMAA,20,24.0
ASL,M,B,ASLMB,25,27.500000000000004
ASL,M,C,ASLMC,333,122.10000000000001
ASL,S,A,ASLSA,14,15.400000000000002
ASL,S,AA,ASLSAA,15,16.5
ASL,S,B,ASLSB,25,27.500000000000004
ASL,S,C,ASLSC,347,124.30000000000001
ASL,U,C,ASLUC,17,5.5
ASL,X,A,ASLXA,24,26.400000000000002
ASL,X,AA,ASLXAA,1,1.1
ASL,X,B,ASLXB,25,27.500000000000004
ASL,X,C,ASLXC,665,229.9
BAP,I,A,BAPIA,330,363.00000000000006
BAP,I,AA,BAPIAA,547,601.7
BAP,I,B,BAPIB,171,188.10000000000002
BAP,I,C,BAPIC,2125,434.50000000000006
BAP,L,C,BAPLC,1,0.0
BAP,M,C,BAPMC,1,0.0
BAP,O,A,BAPOA,46,50.6
BAP,O,AA,BAPOAA,29,31.900000000000002
BAP,O,B,BAPOB,35,38.5
BAP,O,C,BAPOC,89,25.3
BAP,S,A,BAPSA,6,6.6000000000000005
BAP,S,AA,BAPSAA,3,3.3000000000000003
BAP,S,B,BAPSB,2,2.2
BAP,S,C,BAPSC,66,9.9
BAP,X,A,BAPXA,207,227.70000000000002
BAP,X,AA,BAPXAA,350,385.00000000000006
BAP,X,B,BAPXB,97,106.7
BAP,X,C,BAPXC,1378,273.90000000000003
BOY,L,A,BOYLA,150,165.0
BOY,L,AA,BOYLAA,202,222.20000000000002
BOY,L,B,BOYLB,54,59.400000000000006
BOY,L,C,BOYLC,500,75.9
BOY,M,A,BOYMA,109,119.9
BOY,M,AA,BOYMAA,286,314.6
BOY,M,B,BOYMB,44,48.400000000000006
BOY,M,C,BOYMC,475,62.7
BOY,S,A,BOYSA,149,163.9
BOY,S,AA,BOYSAA,255,280.5
BOY,S,B,BOYSB,53,58.300000000000004
BOY,S,C,BOYSC,452,56.1
BOY,U,A,BOYUA,1,1.1
BOY,X,A,BOYXA,170,187.00000000000003
BOY,X,AA,BOYXAA,187,205.70000000000002
BOY,X,B,BOYXB,83,91.30000000000001
BOY,X,C,BOYXC,448,89.10000000000001
BSL,I,A,BSLIA,109,119.9
BSL,I,AA,BSLIAA,293,322.3
BSL,I,B,BSLIB,49,53.900000000000006
BSL,I,C,BSLIC,761,115.50000000000001
BSL,L,A,BSLLA,3,3.3000000000000003
BSL,L,AA,BSLLAA,3,3.3000000000000003
BSL,L,C,BSLLC,5,0.0
BSL,M,A,BSLMA,1,1.1
BSL,M,AA,BSLMAA,5,5.5
BSL,M,C,BSLMC,5,0.0
BSL,O,A,BSLOA,14,15.400000000000002
BSL,O,AA,BSLOAA,6,6.6000000000000005
BSL,O,B,BSLOB,3,3.3000000000000003
BSL,O,C,BSLOC,30,11.0
BSL,S,A,BSLSA,5,5.5
BSL,S,AA,BSLSAA,1,1.1
BSL,S,C,BSLSC,5,0.0
BSL,X,A,BSLXA,39,42.900000000000006
BSL,X,AA,BSLXAA,92,101.2
BSL,X,B,BSLXB,26,28.6
BSL,X,C,BSLXC,303,49.50000000000001
COL,I,A,COLIA,14,15.400000000000002
COL,I,AA,COLIAA,2,2.2
COL,I,B,COLIB,20,22.0
COL,I,C,COLIC,111,38.5
COL,L,A,COLLA,58,63.800000000000004
COL,L,AA,COLLAA,11,12.100000000000001
COL,L,B,COLLB,26,28.6
COL,L,C,COLLC,371,59.400000000000006
COL,M,A,COLMA,40,44.0
COL,M,AA,COLMAA,51,56.1
COL,M,B,COLMB,11,12.100000000000001
COL,M,C,COLMC,289,34.1
COL,O,B,COLOB,1,1.1
COL,O,C,COLOC,13,4.4
COL,S,A,COLSA,53,58.300000000000004
COL,S,AA,COLSAA,63,69.30000000000001
COL,S,B,COLSB,21,23.1
COL,S,C,COLSC,326,57.2
COL,X,A,COLXA,93,102.30000000000001
COL,X,AA,COLXAA,44,48.400000000000006
COL,X,B,COLXB,41,45.1
COL,X,C,COLXC,384,78.10000000000001
CSL,I,A,CSLIA,42,46.2
CSL,I,AA,CSLIAA,19,20.900000000000002
CSL,I,B,CSLIB,38,41.800000000000004
CSL,I,C,CSLIC,246,81.4
CSL,L,A,CSLLA,44,48.400000000000006
CSL,L,AA,CSLLAA,8,8.8
CSL,L,B,CSLLB,59,64.9
CSL,L,C,CSLLC,826,293.70000000000005
CSL,M,A,CSLMA,53,58.300000000000004
CSL,M,AA,CSLMAA,28,30.800000000000004
CSL,M,B,CSLMB,33,36.300000000000004
CSL,M,C,CSLMC,435,130.9
CSL,S,A,CSLSA,64,70.4
CSL,S,AA,CSLSAA,46,50.6
CSL,S,B,CSLSB,40,44.0
CSL,S,C,CSLSC,439,125.4
CSL,U,C,CSLUC,2,2.2
CSL,X,A,CSLXA,83,91.30000000000001
CSL,X,AA,CSLXAA,36,39.6
CSL,X,B,CSLXB,71,78.10000000000001
CSL,X,C,CSLXC,716,234.3
GIR,L,A,GIRLA,183,201.3
GIR,L,AA,GIRLAA,477,533.7
GIR,L,B,GIRLB,110,121.00000000000001
GIR,L,C,GIRLC,1365,386.1
GIR,M,A,GIRMA,184,202.4
GIR,M,AA,GIRMAA,628,725.8000000000001
GIR,M,B,GIRMB,80,88.0
GIR,M,C,GIRMC,1311,353.1
GIR,S,A,GIRSA,220,242.00000000000003
GIR,S,AA,GIRSAA,614,702.4000000000001
GIR,S,B,GIRSB,114,125.4
GIR,S,C,GIRSC,1242,288.20000000000005
GIR,X,A,GIRXA,242,266.20000000000005
GIR,X,AA,GIRXAA,463,512.3000000000001
GIR,X,B,GIRXB,129,141.9
GIR,X,C,GIRXC,1288,344.3
KNI,L,A,KNILA,113,124.30000000000001
KNI,L,AA,KNILAA,156,171.60000000000002
KNI,L,B,KNILB,50,55.00000000000001
KNI,L,C,KNILC,498,116.60000000000001
KNI,M,A,KNIMA,88,96.80000000000001
KNI,M,AA,KNIMAA,223,245.3
KNI,M,B,KNIMB,30,33.0
KNI,M,C,KNIMC,488,117.7
KNI,S,A,KNISA,100,110.00000000000001
KNI,S,AA,KNISAA,205,225.50000000000003
KNI,S,B,KNISB,42,46.2
KNI,S,C,KNISC,482,108.9
KNI,X,A,KNIXA,115,126.50000000000001
KNI,X,AA,KNIXAA,154,169.4
KNI,X,B,KNIXB,51,56.1
KNI,X,C,KNIXC,473,117.7
KUN,L,A,KUNLA,14,15.400000000000002
KUN,L,AA,KUNLAA,70,78.0
KUN,L,B,KUNLB,2,2.2
KUN,L,C,KUNLC,76,5.5
KUN,M,A,KUNMA,5,5.5
KUN,M,AA,KUNMAA,39,46.900000000000006
KUN,M,C,KUNMC,40,2.2
KUN,S,A,KUNSA,2,2.2
KUN,S,AA,KUNSAA,41,50.1
KUN,S,B,KUNSB,1,1.1
KUN,S,C,KUNSC,38,0.0
KUN,X,A,KUNXA,3,3.3000000000000003
KUN,X,AA,KUNXAA,37,41.7
KUN,X,B,KUNXB,3,3.3000000000000003
KUN,X,C,KUNXC,37,2.2
KUS,I,A,KUSIA,7,7.700000000000001
KUS,I,AA,KUSIAA,3,3.3000000000000003
KUS,I,B,KUSIB,12,13.200000000000001
KUS,I,C,KUSIC,141,36.300000000000004
KUS,L,A,KUSLA,98,107.80000000000001
KUS,L,AA,KUSLAA,178,221.8
KUS,L,B,KUSLB,80,88.0
KUS,L,C,KUSLC,835,331.1
KUS,M,A,KUSMA,113,124.30000000000001
KUS,M,AA,KUSMAA,241,299.1
KUS,M,B,KUSMB,68,74.80000000000001
KUS,M,C,KUSMC,652,199.10000000000002
KUS,S,A,KUSSA,148,162.8
KUS,S,AA,KUSSAA,207,238.70000000000002
KUS,S,B,KUSSB,82,90.2
KUS,S,C,KUSSC,638,214.50000000000003
KUS,U,C,KUSUC,1,0.0
KUS,X,A,KUSXA,150,165.0
KUS,X,AA,KUSXAA,162,180.20000000000002
KUS,X,B,KUSXB,102,112.2
