Offer,SKU,Division,Department,Class,KeyCategoryView,SizeGroup,GoLiveDate,OfferCount,Item,Color
15233-009,15233-009-25,Kids Accessories,KA shoes,KA shoe clog,Accessories,Acc/Misc,,1,15233,009
15233-015,15233-015-25,Kids Accessories,KA shoes,KA shoe clog,Accessories,Acc/Misc,,1,15233,015
15233-015,15233-015-26,Kids Accessories,KA shoes,KA shoe clog,Accessories,Acc/Misc,,1,15233,015
15233-015,15233-015-27,Kids Accessories,KA shoes,KA shoe clog,Accessories,Acc/Misc,,1,15233,015
15233-015,15233-015-28,Kids Accessories,KA shoes,KA shoe clog,Accessories,Acc/Misc,,1,15233,015
15233-015,15233-015-29,Kids Accessories,KA shoes,KA shoe clog,Accessories,Acc/Misc,,1,15233,015
15233-015,15233-015-30,Kids Accessories,KA shoes,KA shoe clog,Accessories,Acc/Misc,,1,15233,015
15233-015,15233-015-31,Kids Accessories,KA shoes,KA shoe clog,Accessories,Acc/Misc,,1,15233,015
15233-015,15233-015-32,Kids Accessories,KA shoes,KA shoe clog,Accessories,Acc/Misc,,1,15233,015
15233-015,15233-015-33,Kids Accessories,KA shoes,KA shoe clog,Accessories,Acc/Misc,,1,15233,015
15233-015,15233-015-34,Kids Accessories,KA shoes,KA shoe clog,Accessories,Acc/Misc,,1,15233,015
15233-015,15233-015-35,Kids Accessories,KA shoes,KA shoe clog,Accessories,Acc/Misc,,1,15233,015
15233-015,15233-015-36,Kids Accessories,KA shoes,KA shoe clog,Accessories,Acc/Misc,,1,15233,015
15233-015,15233-015-37,Kids Accessories,KA shoes,KA shoe clog,Accessories,Acc/Misc,,1,15233,015
15233-128,15233-128-25,Kids Accessories,KA shoes,KA shoe clog,Accessories,Acc/Misc,,1,15233,128
15233-128,15233-128-26,Kids Accessories,KA shoes,KA shoe clog,Accessories,Acc/Misc,,1,15233,128
15233-128,15233-128-27,Kids Accessories,KA shoes,KA shoe clog,Accessories,Acc/Misc,,1,15233,128
15233-128,15233-128-28,Kids Accessories,KA shoes,KA shoe clog,Accessories,Acc/Misc,,1,15233,128
15233-128,15233-128-29,Kids Accessories,KA shoes,KA shoe clog,Accessories,Acc/Misc,,1,15233,128
15233-128,15233-128-30,Kids Accessories,KA shoes,KA shoe clog,Accessories,Acc/Misc,,1,15233,128
15233-128,15233-128-31,Kids Accessories,KA shoes,KA shoe clog,Accessories,Acc/Misc,,1,15233,128
15233-128,15233-128-32,Kids Accessories,KA shoes,KA shoe clog,Accessories,Acc/Misc,,1,15233,128
15233-128,15233-128-33,Kids Accessories,KA shoes,KA shoe clog,Accessories,Acc/Misc,,1,15233,128
15233-128,15233-128-34,Kids Accessories,KA shoes,KA shoe clog,Accessories,Acc/Misc,,1,15233,128
15233-128,15233-128-35,Kids Accessories,KA shoes,KA shoe clog,Accessories,Acc/Misc,,1,15233,128
15233-128,15233-128-36,Kids Accessories,KA shoes,KA shoe clog,Accessories,Acc/Misc,,1,15233,128
15233-128,15233-128-37,Kids Accessories,KA shoes,KA shoe clog,Accessories,Acc/Misc,,1,15233,128
15233-129,15233-129-25,Kids Accessories,KA shoes,KA shoe clog,Accessories,Acc/Misc,,1,15233,129
15233-129,15233-129-26,Kids Accessories,KA shoes,KA shoe clog,Accessories,Acc/Misc,,1,15233,129
15233-129,15233-129-27,Kids Accessories,KA shoes,KA shoe clog,Accessories,Acc/Misc,,1,15233,129
15233-129,15233-129-28,Kids Accessories,KA shoes,KA shoe clog,Accessories,Acc/Misc,,1,15233,129
15233-129,15233-129-29,Kids Accessories,KA shoes,KA shoe clog,Accessories,Acc/Misc,,1,15233,129
15233-129,15233-129-30,Kids Accessories,KA shoes,KA shoe clog,Accessories,Acc/Misc,,1,15233,129
15233-129,15233-129-31,Kids Accessories,KA shoes,KA shoe clog,Accessories,Acc/Misc,,1,15233,129
15233-129,15233-129-32,Kids Accessories,KA shoes,KA shoe clog,Accessories,Acc/Misc,,1,15233,129
15233-129,15233-129-33,Kids Accessories,KA shoes,KA shoe clog,Accessories,Acc/Misc,,1,15233,129
15233-129,15233-129-34,Kids Accessories,KA shoes,KA shoe clog,Accessories,Acc/Misc,,1,15233,129
15233-129,15233-129-35,Kids Accessories,KA shoes,KA shoe clog,Accessories,Acc/Misc,,1,15233,129
15233-129,15233-129-36,Kids Accessories,KA shoes,KA shoe clog,Accessories,Acc/Misc,,1,15233,129
15233-129,15233-129-37,Kids Accessories,KA shoes,KA shoe clog,Accessories,Acc/Misc,,1,15233,129
15233-19Z,15233-19Z-25,Kids Accessories,KA shoes,KA shoe clog,Accessories,Acc/Misc,,1,15233,19Z
15233-19Z,15233-19Z-26,Kids Accessories,KA shoes,KA shoe clog,Accessories,Acc/Misc,,1,15233,19Z
15233-19Z,15233-19Z-27,Kids Accessories,KA shoes,KA shoe clog,Accessories,Acc/Misc,,1,15233,19Z
15233-19Z,15233-19Z-28,Kids Accessories,KA shoes,KA shoe clog,Accessories,Acc/Misc,,1,15233,19Z
15233-19Z,15233-19Z-29,Kids Accessories,KA shoes,KA shoe clog,Accessories,Acc/Misc,,1,15233,19Z
15233-19Z,15233-19Z-30,Kids Accessories,KA shoes,KA shoe clog,Accessories,Acc/Misc,,1,15233,19Z
15233-19Z,15233-19Z-31,Kids Accessories,KA shoes,KA shoe clog,Accessories,Acc/Misc,,1,15233,19Z
