StatusSKU,ProductStatus,ProductStatusDate
15233-EH2-30,Final Sale,6/16/2025
15233-EH2-31,Final Sale,6/16/2025
15233-EH2-33,Final Sale,6/16/2025
15233-EH2-36,Final Sale,6/16/2025
28554-011-1,Clearance,6/16/2025
28554-A91-5,Final Sale,6/16/2025
28554-KZ6-5,Final Sale,6/16/2025
28554-M23-1,Final Sale,6/16/2025
30070-011-L,Clearance,6/15/2026
30070-011-M,Clearance,6/15/2026
30070-011-S,Clearance,6/15/2026
30070-011-XL,Clearance,6/15/2026
30070-011-XS,Clearance,6/15/2026
30070-011-XXL,Clearance,6/15/2026
30070-16N-L,Final Sale,6/16/2025
30070-16N-M,Final Sale,6/16/2025
30070-16N-XL,Final Sale,6/16/2025
30070-1AY-L,Final Sale,6/15/2026
30070-1AY-M,Final Sale,6/15/2026
30070-1AY-S,Promo/Reg Price,6/16/2025
30070-1AY-XL,Promo/Reg Price,6/16/2025
30070-1AY-XS,Final Sale,6/15/2026
30070-1AY-XXL,Final Sale,6/15/2026
30070-1FL-L,Final Sale,6/15/2026
30070-1FL-M,Promo/Reg Price,6/16/2025
30070-1FL-XL,Final Sale,6/15/2026
30070-1FL-XS,Promo/Reg Price,6/16/2025
30070-962-S,Final Sale,6/16/2025
30070-963-M,Final Sale,6/16/2025
30070-GN1-L,Final Sale,6/16/2025
30070-GN1-M,Final Sale,6/16/2025
30070-GN1-S,Final Sale,6/16/2025
30070-GN1-XL,Final Sale,6/16/2025
30070-GN1-XS,Final Sale,6/16/2025
30070-GN1-XXL,Final Sale,6/16/2025
30070-HM3-M,Final Sale,6/16/2025
30070-NW1-L,Clearance,6/16/2025
30070-NW2-S,Final Sale,6/16/2025
30070-NW2-XXL,Final Sale,6/16/2025
30070-QE5-M,Clearance,6/16/2025
30070-QE5-XL,Clearance,6/16/2025
30070-QN6-S,Final Sale,6/16/2025
30070-QN6-XL,Final Sale,6/16/2025
30070-S74-L,Clearance,6/16/2025
30070-S74-M,Clearance,6/16/2025
30070-S74-S,Clearance,6/16/2025
30070-S74-XL,Clearance,6/16/2025
30070-S74-XS,Clearance,6/16/2025
30070-SR4-L,Clearance,6/15/2026
30070-SR4-M,Promo/Reg Price,6/16/2025
30070-SR4-S,Clearance,6/15/2026
30070-SR4-XL,Clearance,6/15/2026
30070-SR4-XS,Promo/Reg Price,6/16/2025
30070-SR4-XXL,Clearance,6/15/2026
30070-TB4-L,Final Sale,6/16/2025
30070-TB4-M,Final Sale,6/16/2025
30070-TD4-L,Final Sale,6/16/2025
30070-U74-L,Clearance,6/16/2025
30070-U74-M,Clearance,6/16/2025
30070-U74-S,Clearance,6/16/2025
30070-U74-XL,Clearance,6/16/2025
30070-U74-XS,Clearance,6/16/2025
