ProductGroupCode,SizeGroupCode,Velocity,SlotTier,SKU_Count,TotalRequiredSlots
AAP,L,AA,AAPLAA,1,1.1
AAP,L,C,AAPLC,21,8.8
AAP,M,A,AAPMA,1,1.1
AAP,M,AA,AAPMAA,2,2.2
AAP,M,B,AAPMB,1,1.1
AAP,M,C,AAPMC,5,3.3000000000000003
AAP,S,A,AAPSA,2,2.2
AAP,S,AA,AAPSAA,1,1.1
AAP,S,B,AAPSB,2,2.2
AAP,S,C,AAPSC,3,2.2
AAP,X,A,AAPXA,2,2.2
AAP,X,C,AAPXC,10,4.4
ACC,I,A,ACCIA,1,1.1
ACC,I,AA,ACCIAA,2,2.2
ACC,I,C,ACCIC,9,5.5
ACC,L,A,ACCLA,7,7.700000000000001
ACC,L,AA,ACCLAA,6,6.6000000000000005
ACC,L,B,ACCLB,3,3.3000000000000003
ACC,L,C,ACCLC,13,3.3000000000000003
ACC,M,A,ACCMA,4,4.4
ACC,M,AA,ACCMAA,5,5.5
ACC,M,B,ACCMB,1,1.1
ACC,M,C,ACCMC,15,4.4
ACC,O,C,ACCOC,8,1.1
ACC,S,A,ACCSA,11,12.100000000000001
ACC,S,AA,ACCSAA,3,3.3000000000000003
ACC,S,C,ACCSC,40,17.6
ACC,X,A,ACCXA,3,3.3000000000000003
ACC,X,AA,ACCXAA,2,2.2
ACC,X,C,ACCXC,41,20.900000000000002
ASL,L,A,ASLLA,27,29.700000000000003
ASL,L,AA,ASLLAA,7,7.700000000000001
ASL,L,C,ASLLC,500,58.300000000000004
ASL,M,A,ASLMA,3,3.3000000000000003
ASL,M,AA,ASLMAA,3,3.3000000000000003
ASL,M,B,ASLMB,3,3.3000000000000003
ASL,M,C,ASLMC,175,48.400000000000006
ASL,S,A,ASLSA,9,9.9
ASL,S,AA,ASLSAA,6,6.6000000000000005
ASL,S,B,ASLSB,1,1.1
ASL,S,C,ASLSC,151,29.700000000000003
ASL,X,A,ASLXA,13,14.3
ASL,X,C,ASLXC,278,17.6
BAP,I,A,BAPIA,113,124.30000000000001
BAP,I,AA,BAPIAA,159,174.9
BAP,I,B,BAPIB,38,41.800000000000004
BAP,I,C,BAPIC,1425,716.1
BAP,S,A,BAPSA,1,1.1
BAP,S,C,BAPSC,23,11.0
BAP,X,A,BAPXA,69,75.9
BAP,X,AA,BAPXAA,106,116.60000000000001
BAP,X,B,BAPXB,28,30.800000000000004
BAP,X,C,BAPXC,854,458.70000000000005
BOY,L,A,BOYLA,27,29.700000000000003
BOY,L,AA,BOYLAA,65,71.5
BOY,L,B,BOYLB,14,15.400000000000002
BOY,L,C,BOYLC,382,277.20000000000005
BOY,M,A,BOYMA,40,44.0
BOY,M,AA,BOYMAA,79,86.9
BOY,M,B,BOYMB,22,24.200000000000003
BOY,M,C,BOYMC,380,301.40000000000003
BOY,S,A,BOYSA,34,37.400000000000006
BOY,S,AA,BOYSAA,79,86.9
BOY,S,B,BOYSB,18,19.8
BOY,S,C,BOYSC,413,328.90000000000003
BOY,X,A,BOYXA,31,34.1
BOY,X,AA,BOYXAA,44,48.400000000000006
BOY,X,B,BOYXB,7,7.700000000000001
BOY,X,C,BOYXC,478,275.0
BSL,I,A,BSLIA,42,46.2
BSL,I,AA,BSLIAA,117,128.70000000000002
BSL,I,B,BSLIB,36,39.6
BSL,I,C,BSLIC,432,280.5
BSL,L,AA,BSLLAA,1,1.1
BSL,L,C,BSLLC,5,5.5
BSL,M,AA,BSLMAA,3,3.3000000000000003
BSL,M,C,BSLMC,3,3.3000000000000003
BSL,S,A,BSLSA,1,1.1
BSL,S,AA,BSLSAA,1,1.1
BSL,S,C,BSLSC,5,5.5
BSL,X,A,BSLXA,25,27.500000000000004
BSL,X,AA,BSLXAA,38,41.800000000000004
BSL,X,B,BSLXB,6,6.6000000000000005
BSL,X,C,BSLXC,169,95.7
COL,I,A,COLIA,2,2.2
COL,I,AA,COLIAA,4,4.4
COL,I,C,COLIC,62,16.5
COL,L,A,COLLA,13,14.3
COL,L,AA,COLLAA,5,6.5
COL,L,C,COLLC,136,44.0
COL,M,A,COLMA,11,12.100000000000001
COL,M,AA,COLMAA,20,22.0
COL,M,B,COLMB,3,3.3000000000000003
COL,M,C,COLMC,109,72.60000000000001
COL,O,C,COLOC,2,0.0
COL,S,A,COLSA,13,14.3
COL,S,AA,COLSAA,27,29.700000000000003
COL,S,B,COLSB,3,3.3000000000000003
COL,S,C,COLSC,126,86.9
COL,X,A,COLXA,20,22.0
COL,X,AA,COLXAA,20,22.0
COL,X,B,COLXB,4,4.4
COL,X,C,COLXC,222,106.7
CSL,I,A,CSLIA,10,11.0
CSL,I,AA,CSLIAA,5,5.5
CSL,I,B,CSLIB,2,2.2
CSL,I,C,CSLIC,140,51.7
CSL,L,A,CSLLA,28,30.800000000000004
CSL,L,AA,CSLLAA,10,11.0
CSL,L,B,CSLLB,1,1.1
CSL,L,C,CSLLC,304,47.300000000000004
CSL,M,A,CSLMA,17,18.700000000000003
CSL,M,AA,CSLMAA,21,23.1
CSL,M,B,CSLMB,1,1.1
CSL,M,C,CSLMC,164,74.80000000000001
