ForecastDate,CurrentUnits,PlannerUnits,TargetUnits,ScaledUnits
2026-06-16,13351,9551.0,9073.449999999999,9073
2026-06-17,9098,8817.0,8376.15,8376
2026-06-18,37966,36157.26681127982,34349.40347071583,34349
2026-06-19,28059,26873.6442516269,25529.962039045557,25530
2026-06-20,28059,27228.30802603037,25866.892624728847,25867
2026-06-21,37966,35894.65835140997,34099.92543383947,34100
2026-06-22,22953,21713.66594360087,20627.982646420827,20628
2026-06-23,43872,40470.16092417897,38446.65287797002,38447
2026-06-24,32541,32102.44527706567,30497.323013212386,30497
2026-06-25,40420,37322.16321340413,35456.05505273392,35456
2026-06-26,32987,31563.00532439362,29984.855058173936,29985
2026-06-27,33925,32274.57218606894,30660.843576765492,30661
2026-06-28,41579,36375.97796680397,34557.17906846377,34557
2026-06-29,30087,29377.87418655098,27908.98047722343,27909
