ProductGroupCode,SizeGroupCode,Velocity,SlotTier,SKU_Count,TotalRequiredSlots
AAP,L,C,AAPLC,17,0.0
AAP,M,C,AAPMC,7,0.0
AAP,S,C,AAPSC,6,0.0
AAP,X,C,AAPXC,6,0.0
ACC,I,C,ACCIC,8,0.0
ACC,L,C,ACCLC,14,0.0
ACC,M,C,ACCMC,14,0.0
ACC,O,C,ACCOC,7,0.0
ACC,S,C,ACCSC,30,0.0
ACC,X,C,ACCXC,29,0.0
ASL,L,C,ASLLC,439,0.0
ASL,M,C,ASLMC,139,0.0
ASL,S,C,ASLSC,136,0.0
ASL,X,C,ASLXC,240,0.0
BAP,I,C,BAPIC,1260,0.0
BAP,S,C,BAPSC,18,0.0
BAP,X,C,BAPXC,736,0.0
BOY,L,C,BOYLC,392,0.0
BOY,M,C,BOYMC,426,0.0
BOY,S,C,BOYSC,460,0.0
BOY,X,C,BOYXC,471,0.0
BSL,I,C,BSLIC,489,0.0
BSL,L,C,BSLLC,6,0.0
BSL,M,C,BSLMC,6,0.0
BSL,S,C,BSLSC,6,0.0
BSL,X,C,BSLXC,158,0.0
COL,I,C,COLIC,48,0.0
COL,L,C,COLLC,112,0.0
COL,M,C,COLMC,99,0.0
COL,O,C,COLOC,2,0.0
COL,S,C,COLSC,122,0.0
COL,X,C,COLXC,195,0.0
CSL,I,C,CSLIC,128,0.0
CSL,L,C,CSLLC,260,0.0
CSL,M,C,CSLMC,148,0.0
CSL,S,C,CSLSC,178,0.0
CSL,X,C,CSLXC,308,0.0
GIR,L,C,GIRLC,700,0.0
GIR,M,C,GIRMC,889,0.0
GIR,S,C,GIRSC,969,0.0
GIR,X,C,GIRXC,853,0.0
KNI,L,C,KNILC,320,0.0
KNI,M,C,KNIMC,333,0.0
KNI,S,C,KNISC,341,0.0
KNI,X,C,KNIXC,312,0.0
KUN,L,C,KUNLC,73,0.0
KUN,M,C,KUNMC,39,0.0
KUN,S,C,KUNSC,43,0.0
KUN,X,C,KUNXC,40,0.0
KUS,I,C,KUSIC,69,0.0
KUS,L,C,KUSLC,295,0.0
KUS,M,C,KUSMC,450,0.0
KUS,S,C,KUSSC,534,0.0
KUS,X,C,KUSXC,569,0.0
OTH,L,C,OTHLC,30,0.0
OTH,M,C,OTHMC,13,0.0
OTH,S,C,OTHSC,23,0.0
OTH,X,C,OTHXC,13,0.0
