SKU,DirectPickLookbackUnits,DirectPickDemandDays,DailyBaseUnits,WeeklyBaseUnits,ValidReservationUnits,ReservationPhysicalTotal,ReservationSalesAllocatedPhysicalTotal,InboundTotalUnits,InboundNext14Units,InboundNext30Units,HasDirectPickHistory,HasValidReservation,HasInbound,InSourceProductInfoUniverse,Future14DayPromoDays,FutureWeeklyPromoWeeks,HasFuturePromo,Seasonal14DayUnits,SeasonalFirst13WeekUnits,HasSeasonalHistory,FD1ToFD14Units,First13WeekUnits
15233-EH2-30,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,False,True,False,False,0,0,False,0.0,0.0,False,1,1.0
28554-011-1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,False,True,False,False,0,0,False,0.0,0.0,False,1,1.0
28554-M23-1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,False,True,False,False,0,0,False,0.0,0.0,False,1,1.0
30070-011-L,18.0,13.0,0.32142857142857145,2.25,2.0,1.0,1.0,0.0,0.0,0.0,True,True,False,True,2,1,True,3.511111111111111,29.866666666666667,True,6,37.62222222222222
30070-011-M,22.0,21.0,0.39285714285714285,2.75,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,2,1,True,4.888888888888889,50.86666666666666,True,7,48.16444444444445
30070-011-S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,2,1,True,3.6666666666666665,32.2,True,6,40.48888888888889
30070-011-XL,6.0,4.0,0.10714285714285714,0.75,1.0,1.0,0.0,0.0,0.0,0.0,True,True,False,True,2,1,True,0.37777777777777777,13.066666666666666,True,4,20.15111111111111
30070-011-XS,17.0,9.0,0.30357142857142855,2.125,4.0,2.0,2.0,0.0,0.0,0.0,True,True,False,True,2,1,True,0.7555555555555555,9.333333333333332,True,7,29.67833333333333
30070-011-XXL,5.0,4.0,0.08928571428571429,0.625,2.0,1.0,1.0,0.0,0.0,0.0,True,True,False,True,2,1,True,0.15555555555555556,5.288888888888889,True,4,16.944861111111106
30070-1AY-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,2,1,True,6.133333333333333,37.8,True,7,39.38666666666667
30070-1AY-M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,2,1,True,8.622222222222222,40.91111111111111,True,9,42.96444444444444
30070-1AY-S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,2,1,True,5.911111111111111,34.53333333333333,True,6,36.12
30070-1AY-XL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,2,1,True,3.3777777777777778,23.333333333333332,True,4,24.17333333333333
30070-1AY-XS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,2,1,True,1.3555555555555556,15.866666666666665,True,1,16.14666666666667
30070-1AY-XXL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,2,1,True,0.15555555555555556,9.8,True,0,10.173333333333332
30070-1FL-L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,0,0,False,2.4444444444444446,25.822222222222223,True,2,25.82222222222222
30070-1FL-M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,0,0,False,3.1777777777777776,36.08888888888889,True,3,36.08888888888889
30070-1FL-S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,0,0,False,1.6444444444444444,23.8,True,2,23.799999999999997
30070-1FL-XL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,0,0,False,2.488888888888889,20.22222222222222,True,2,20.22222222222222
30070-1FL-XS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,0,0,False,1.1777777777777778,13.066666666666666,True,1,13.066666666666666
30070-1FL-XXL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,0,0,False,0.8,8.244444444444444,True,1,8.244444444444445
30070-S74-L,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,False,True,False,True,0,0,False,0.0,1.8666666666666667,True,1,2.8666666666666667
30070-S74-S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,0,0,False,0.3333333333333333,11.2,True,0,11.2
30070-S74-XL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,0,0,False,0.0,2.488888888888889,True,0,2.488888888888889
30070-S74-XS,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,False,True,False,False,0,0,False,0.4222222222222222,3.888888888888889,True,1,4.888888888888888
30070-S74-XXL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True,0,0,False,0.0,0.7777777777777778,True,0,0.7777777777777778
30070-SR4-L,22.0,15.0,0.39285714285714285,2.75,2.0,1.0,1.0,0.0,0.0,0.0,True,True,False,True,2,1,True,5.088888888888889,44.333333333333336,True,7,40.097541666666665
