SKU,Item,Color,Size,SourceFoundIn,13Wk_Demand,FD1_to_FD14_Total,ForecastStartDate,MissingHierarchyFields
85944-8IA-L,85944,8IA,L,Weekly + 14-Day,0.0,0,6/16/2026,"Division, Department, Class, KeyCategoryView, SizeGroup, GoLiveDate"
85944-8IA-M,85944,8IA,M,Weekly + 14-Day,0.0,0,6/16/2026,"Division, Department, Class, KeyCategoryView, SizeGroup, GoLiveDate"
85944-8IA-S,85944,8IA,S,Weekly + 14-Day,0.0,0,6/16/2026,"Division, Department, Class, KeyCategoryView, SizeGroup, GoLiveDate"
85944-8IA-XL,85944,8IA,XL,Weekly + 14-Day,0.0,0,6/16/2026,"Division, Department, Class, KeyCategoryView, SizeGroup, GoLiveDate"
85944-8IA-XS,85944,8IA,XS,Weekly + 14-Day,0.0,0,6/16/2026,"Division, Department, Class, KeyCategoryView, SizeGroup, GoLiveDate"
85945-8IA-L,85945,8IA,L,Weekly + 14-Day,0.0,0,6/16/2026,"Division, Department, Class, KeyCategoryView, SizeGroup, GoLiveDate"
85945-8IA-M,85945,8IA,M,Weekly + 14-Day,0.0,0,6/16/2026,"Division, Department, Class, KeyCategoryView, SizeGroup, GoLiveDate"
85945-8IA-S,85945,8IA,S,Weekly + 14-Day,0.0,0,6/16/2026,"Division, Department, Class, KeyCategoryView, SizeGroup, GoLiveDate"
85945-8IA-XL,85945,8IA,XL,Weekly + 14-Day,0.0,0,6/16/2026,"Division, Department, Class, KeyCategoryView, SizeGroup, GoLiveDate"
85945-8IA-XS,85945,8IA,XS,Weekly + 14-Day,0.0,0,6/16/2026,"Division, Department, Class, KeyCategoryView, SizeGroup, GoLiveDate"
85946-8HO-50,85946,8HO,50,Weekly + 14-Day,0.0,0,6/16/2026,"Division, Department, Class, KeyCategoryView, SizeGroup, GoLiveDate"
85946-8HO-60,85946,8HO,60,Weekly + 14-Day,0.0,0,6/16/2026,"Division, Department, Class, KeyCategoryView, SizeGroup, GoLiveDate"
85946-8HO-70,85946,8HO,70,Weekly + 14-Day,0.0,0,6/16/2026,"Division, Department, Class, KeyCategoryView, SizeGroup, GoLiveDate"
85946-8HO-75,85946,8HO,75,Weekly + 14-Day,0.0,0,6/16/2026,"Division, Department, Class, KeyCategoryView, SizeGroup, GoLiveDate"
85946-8HO-80,85946,8HO,80,Weekly + 14-Day,0.0,0,6/16/2026,"Division, Department, Class, KeyCategoryView, SizeGroup, GoLiveDate"
85946-8HO-85,85946,8HO,85,Weekly + 14-Day,0.0,0,6/16/2026,"Division, Department, Class, KeyCategoryView, SizeGroup, GoLiveDate"
85946-8HO-90,85946,8HO,90,Weekly + 14-Day,0.0,0,6/16/2026,"Division, Department, Class, KeyCategoryView, SizeGroup, GoLiveDate"
85947-8HO-100,85947,8HO,100,Weekly + 14-Day,0.0,0,6/16/2026,"Division, Department, Class, KeyCategoryView, SizeGroup, GoLiveDate"
85947-8HO-110,85947,8HO,110,Weekly + 14-Day,0.0,0,6/16/2026,"Division, Department, Class, KeyCategoryView, SizeGroup, GoLiveDate"
85947-8HO-120,85947,8HO,120,Weekly + 14-Day,0.0,0,6/16/2026,"Division, Department, Class, KeyCategoryView, SizeGroup, GoLiveDate"
85947-8HO-130,85947,8HO,130,Weekly + 14-Day,0.0,0,6/16/2026,"Division, Department, Class, KeyCategoryView, SizeGroup, GoLiveDate"
85947-8HO-140,85947,8HO,140,Weekly + 14-Day,0.0,0,6/16/2026,"Division, Department, Class, KeyCategoryView, SizeGroup, GoLiveDate"
85947-8HO-150,85947,8HO,150,Weekly + 14-Day,0.0,0,6/16/2026,"Division, Department, Class, KeyCategoryView, SizeGroup, GoLiveDate"
85947-8HO-85,85947,8HO,85,Weekly + 14-Day,0.0,0,6/16/2026,"Division, Department, Class, KeyCategoryView, SizeGroup, GoLiveDate"
85947-8HO-90,85947,8HO,90,Weekly + 14-Day,0.0,0,6/16/2026,"Division, Department, Class, KeyCategoryView, SizeGroup, GoLiveDate"
85947-8IB-100,85947,8IB,100,Weekly + 14-Day,0.0,0,6/16/2026,"Division, Department, Class, KeyCategoryView, SizeGroup, GoLiveDate"
85947-8IB-110,85947,8IB,110,Weekly + 14-Day,0.0,0,6/16/2026,"Division, Department, Class, KeyCategoryView, SizeGroup, GoLiveDate"
85947-8IB-120,85947,8IB,120,Weekly + 14-Day,0.0,0,6/16/2026,"Division, Department, Class, KeyCategoryView, SizeGroup, GoLiveDate"
85947-8IB-130,85947,8IB,130,Weekly + 14-Day,0.0,0,6/16/2026,"Division, Department, Class, KeyCategoryView, SizeGroup, GoLiveDate"
85947-8IB-140,85947,8IB,140,Weekly + 14-Day,0.0,0,6/16/2026,"Division, Department, Class, KeyCategoryView, SizeGroup, GoLiveDate"
85947-8IB-150,85947,8IB,150,Weekly + 14-Day,0.0,0,6/16/2026,"Division, Department, Class, KeyCategoryView, SizeGroup, GoLiveDate"
85947-8IB-85,85947,8IB,85,Weekly + 14-Day,0.0,0,6/16/2026,"Division, Department, Class, KeyCategoryView, SizeGroup, GoLiveDate"
85947-8IB-90,85947,8IB,90,Weekly + 14-Day,0.0,0,6/16/2026,"Division, Department, Class, KeyCategoryView, SizeGroup, GoLiveDate"
