ProductGroupCode,SizeGroupCode,Velocity,SlotTier,SKU_Count,TotalRequiredSlots
AAP,L,A,AAPLA,6,6.6000000000000005
AAP,L,AA,AAPLAA,8,8.8
AAP,L,B,AAPLB,4,4.4
AAP,L,C,AAPLC,78,25.3
AAP,M,A,AAPMA,2,2.2
AAP,M,AA,AAPMAA,4,4.4
AAP,M,C,AAPMC,26,8.8
AAP,S,A,AAPSA,2,2.2
AAP,S,AA,AAPSAA,4,4.4
AAP,S,B,AAPSB,1,1.1
AAP,S,C,AAPSC,24,7.700000000000001
AAP,X,A,AAPXA,2,2.2
AAP,X,AA,AAPXAA,4,4.4
AAP,X,B,AAPXB,1,1.1
AAP,X,C,AAPXC,30,14.3
ACC,I,A,ACCIA,9,9.9
ACC,I,AA,ACCIAA,2,2.2
ACC,I,B,ACCIB,7,7.700000000000001
ACC,I,C,ACCIC,11,3.3000000000000003
ACC,L,A,ACCLA,2,2.2
ACC,L,AA,ACCLAA,15,16.5
ACC,L,B,ACCLB,1,1.1
ACC,L,C,ACCLC,111,28.6
ACC,M,A,ACCMA,5,5.5
ACC,M,AA,ACCMAA,16,17.6
ACC,M,B,ACCMB,2,2.2
ACC,M,C,ACCMC,149,39.6
ACC,O,A,ACCOA,2,2.2
ACC,O,AA,ACCOAA,3,3.3000000000000003
ACC,O,B,ACCOB,3,3.3000000000000003
ACC,O,C,ACCOC,26,13.200000000000001
ACC,S,A,ACCSA,14,15.400000000000002
ACC,S,AA,ACCSAA,14,15.400000000000002
ACC,S,B,ACCSB,13,14.3
ACC,S,C,ACCSC,191,46.2
ACC,U,C,ACCUC,8,8.8
ACC,X,A,ACCXA,24,26.400000000000002
ACC,X,AA,ACCXAA,3,3.3000000000000003
ACC,X,B,ACCXB,18,19.8
ACC,X,C,ACCXC,167,46.2
ASL,L,A,ASLLA,51,56.1
ASL,L,AA,ASLLAA,19,20.900000000000002
ASL,L,B,ASLLB,97,106.7
ASL,L,C,ASLLC,1211,541.2
ASL,M,A,ASLMA,34,37.400000000000006
ASL,M,AA,ASLMAA,19,22.900000000000002
ASL,M,B,ASLMB,52,57.2
ASL,M,C,ASLMC,384,172.70000000000002
ASL,S,A,ASLSA,20,22.0
ASL,S,AA,ASLSAA,17,19.700000000000003
ASL,S,B,ASLSB,39,42.900000000000006
ASL,S,C,ASLSC,409,183.70000000000002
ASL,U,C,ASLUC,20,5.5
ASL,X,A,ASLXA,24,26.400000000000002
ASL,X,AA,ASLXAA,2,2.2
ASL,X,B,ASLXB,27,29.700000000000003
ASL,X,C,ASLXC,732,313.5
BAP,I,A,BAPIA,471,518.1
BAP,I,AA,BAPIAA,569,625.9000000000001
BAP,I,B,BAPIB,284,312.40000000000003
BAP,I,C,BAPIC,2356,775.5000000000001
BAP,L,C,BAPLC,1,0.0
BAP,M,C,BAPMC,1,0.0
BAP,O,A,BAPOA,46,50.6
BAP,O,AA,BAPOAA,29,31.900000000000002
BAP,O,B,BAPOB,35,38.5
BAP,O,C,BAPOC,449,25.3
BAP,S,A,BAPSA,6,6.6000000000000005
BAP,S,AA,BAPSAA,3,3.3000000000000003
BAP,S,B,BAPSB,2,2.2
BAP,S,C,BAPSC,66,9.9
BAP,X,A,BAPXA,317,348.70000000000005
BAP,X,AA,BAPXAA,353,388.3
BAP,X,B,BAPXB,200,220.00000000000003
BAP,X,C,BAPXC,1589,468.6
BOY,L,A,BOYLA,191,210.10000000000002
BOY,L,AA,BOYLAA,216,237.60000000000002
BOY,L,B,BOYLB,94,103.4
BOY,L,C,BOYLC,459,133.10000000000002
BOY,M,A,BOYMA,173,190.3
BOY,M,AA,BOYMAA,297,326.70000000000005
BOY,M,B,BOYMB,84,92.4
BOY,M,C,BOYMC,423,96.80000000000001
BOY,S,A,BOYSA,197,216.70000000000002
BOY,S,AA,BOYSAA,264,290.40000000000003
BOY,S,B,BOYSB,92,101.2
BOY,S,C,BOYSC,409,90.2
BOY,U,A,BOYUA,1,1.1
BOY,X,A,BOYXA,190,209.00000000000003
BOY,X,AA,BOYXAA,185,203.50000000000003
BOY,X,B,BOYXB,119,130.9
BOY,X,C,BOYXC,448,157.3
BSL,I,A,BSLIA,198,217.8
BSL,I,AA,BSLIAA,334,367.40000000000003
BSL,I,B,BSLIB,90,99.00000000000001
BSL,I,C,BSLIC,833,183.70000000000002
BSL,L,A,BSLLA,5,5.5
BSL,L,AA,BSLLAA,1,1.1
BSL,L,C,BSLLC,5,4.4
BSL,M,A,BSLMA,2,2.2
BSL,M,AA,BSLMAA,4,4.4
BSL,M,C,BSLMC,5,5.5
BSL,O,A,BSLOA,14,15.400000000000002
BSL,O,AA,BSLOAA,6,6.6000000000000005
BSL,O,B,BSLOB,3,3.3000000000000003
BSL,O,C,BSLOC,121,11.0
BSL,S,A,BSLSA,5,5.5
BSL,S,AA,BSLSAA,1,1.1
BSL,S,C,BSLSC,5,5.5
BSL,X,A,BSLXA,73,80.30000000000001
BSL,X,AA,BSLXAA,99,108.9
BSL,X,B,BSLXB,57,62.7
BSL,X,C,BSLXC,379,88.0
COL,I,A,COLIA,14,15.400000000000002
COL,I,AA,COLIAA,3,3.3000000000000003
COL,I,B,COLIB,21,23.1
COL,I,C,COLIC,130,55.00000000000001
COL,L,A,COLLA,68,74.80000000000001
COL,L,AA,COLLAA,13,14.3
COL,L,B,COLLB,39,42.900000000000006
COL,L,C,COLLC,466,106.7
COL,M,A,COLMA,48,52.800000000000004
COL,M,AA,COLMAA,68,74.80000000000001
COL,M,B,COLMB,28,30.800000000000004
COL,M,C,COLMC,355,55.00000000000001
COL,O,A,COLOA,3,3.3000000000000003
COL,O,AA,COLOAA,3,3.3000000000000003
COL,O,B,COLOB,2,2.2
COL,O,C,COLOC,13,2.2
COL,S,A,COLSA,72,79.2
COL,S,AA,COLSAA,75,82.5
COL,S,B,COLSB,39,42.900000000000006
COL,S,C,COLSC,409,72.60000000000001
COL,X,A,COLXA,99,108.9
COL,X,AA,COLXAA,48,52.800000000000004
COL,X,B,COLXB,56,61.60000000000001
COL,X,C,COLXC,460,111.10000000000001
CSL,I,A,CSLIA,53,58.300000000000004
CSL,I,AA,CSLIAA,19,20.900000000000002
CSL,I,B,CSLIB,47,51.7
CSL,I,C,CSLIC,277,118.80000000000001
CSL,L,A,CSLLA,85,93.50000000000001
CSL,L,AA,CSLLAA,15,16.5
CSL,L,B,CSLLB,114,125.4
CSL,L,C,CSLLC,1026,390.50000000000006
CSL,M,A,CSLMA,100,110.00000000000001
CSL,M,AA,CSLMAA,48,52.800000000000004
CSL,M,B,CSLMB,73,80.30000000000001
CSL,M,C,CSLMC,523,132.0
CSL,S,A,CSLSA,103,113.30000000000001
CSL,S,AA,CSLSAA,65,71.5
CSL,S,B,CSLSB,66,72.60000000000001
CSL,S,C,CSLSC,545,162.8
CSL,U,C,CSLUC,2,2.2
CSL,X,A,CSLXA,97,106.7
CSL,X,AA,CSLXAA,46,50.6
CSL,X,B,CSLXB,102,112.2
CSL,X,C,CSLXC,879,331.1
GIR,L,A,GIRLA,245,269.5
GIR,L,AA,GIRLAA,483,540.3000000000001
GIR,L,B,GIRLB,180,198.00000000000003
GIR,L,C,GIRLC,1554,543.4000000000001
GIR,M,A,GIRMA,296,325.6
GIR,M,AA,GIRMAA,692,796.2
GIR,M,B,GIRMB,168,184.8
GIR,M,C,GIRMC,1477,456.50000000000006
GIR,S,A,GIRSA,298,327.8
GIR,S,AA,GIRSAA,648,738.8000000000001
GIR,S,B,GIRSB,185,203.50000000000003
GIR,S,C,GIRSC,1399,418.00000000000006
GIR,X,A,GIRXA,284,312.40000000000003
GIR,X,AA,GIRXAA,462,511.20000000000005
GIR,X,B,GIRXB,184,202.4
GIR,X,C,GIRXC,1485,513.7
KNI,L,A,KNILA,144,158.4
KNI,L,AA,KNILAA,157,172.70000000000002
KNI,L,B,KNILB,54,59.400000000000006
KNI,L,C,KNILC,498,122.10000000000001
KNI,M,A,KNIMA,115,126.50000000000001
KNI,M,AA,KNIMAA,226,248.60000000000002
KNI,M,B,KNIMB,48,52.800000000000004
KNI,M,C,KNIMC,486,111.10000000000001
KNI,S,A,KNISA,126,138.60000000000002
KNI,S,AA,KNISAA,206,226.60000000000002
KNI,S,B,KNISB,55,60.50000000000001
KNI,S,C,KNISC,484,112.2
KNI,X,A,KNIXA,128,140.8
KNI,X,AA,KNIXAA,156,171.60000000000002
KNI,X,B,KNIXB,69,75.9
KNI,X,C,KNIXC,470,129.8
KUN,L,A,KUNLA,20,22.0
KUN,L,AA,KUNLAA,88,96.80000000000001
KUN,L,B,KUNLB,1,1.1
KUN,L,C,KUNLC,56,2.2
KUN,M,A,KUNMA,6,6.6000000000000005
KUN,M,AA,KUNMAA,53,60.300000000000004
KUN,M,C,KUNMC,31,2.2
KUN,S,A,KUNSA,2,2.2
KUN,S,AA,KUNSAA,52,58.2
KUN,S,C,KUNSC,33,0.0
KUN,X,A,KUNXA,9,9.9
KUN,X,AA,KUNXAA,41,45.1
KUN,X,B,KUNXB,1,1.1
KUN,X,C,KUNXC,31,1.1
KUS,I,A,KUSIA,6,6.6000000000000005
KUS,I,AA,KUSIAA,3,3.3000000000000003
KUS,I,B,KUSIB,13,14.3
KUS,I,C,KUSIC,145,50.6
KUS,L,A,KUSLA,196,215.60000000000002
KUS,L,AA,KUSLAA,210,257.0
KUS,L,B,KUSLB,141,155.10000000000002
KUS,L,C,KUSLC,920,294.8
KUS,M,A,KUSMA,185,203.50000000000003
KUS,M,AA,KUSMAA,294,357.40000000000003
KUS,M,B,KUSMB,87,95.7
KUS,M,C,KUSMC,668,185.9
