Candidate,Windows,ForecastUnits,SoldUnits,AbsErrorUnits,ZeroForecastSoldUnits,MissedHighVolumeUnitsSoldGE10,AvgForecastedSKUs,AvgCoverage,WAPE,BiasPct,ZeroForecastSoldUnitPct
hybrid_ml_hgb_absolute_log_raw_min_20p0_units_recent_w0p1,26,7426457.327683892,7334496.0,6179952.359341827,184516.0,89825.0,17017.30769230769,0.9664162350011385,0.8425871879051849,0.012538193174267475,0.025157284154221367
hybrid_ml_hgb_absolute_log_raw_min_20p0_units_recent_w0p05,26,7171493.577683892,7334496.0,6187457.8093418265,184516.0,89825.0,17017.30769230769,0.9664162350011385,0.8436104961188644,-0.022224079516316855,0.025157284154221367
hybrid_ml_hgb_absolute_log_raw_min_20p0_units_recent_w0p15,26,7681421.077683892,7334496.0,6213405.909341827,184516.0,89825.0,17017.30769230769,0.9664162350011385,0.8471483124868876,0.0473004658648518,0.025157284154221367
ml_hgb_absolute_log_raw_future_guardrail_min_15p0_units,26,7443864.806621297,7334496.0,6260921.243855985,2074156.0,1435565.0,5529.461538461538,0.6628596521772321,0.8536266491734381,0.014911564014936714,0.28279461874408274
hybrid_ml_hgb_absolute_log_raw_min_20p0_units_recent_w0p2,26,7936384.827683892,7334496.0,6267409.659341827,184516.0,89825.0,17017.30769230769,0.9664162350011385,0.8545112928470923,0.08206273855543614,0.025157284154221367
ml_hgb_absolute_log_raw_future_guardrail_min_20p0_units,26,6916529.827683892,7334496.0,6298901.459341827,2538289.0,1866702.0,4308.461538461538,0.5973848979941603,0.8588049484711461,-0.05698635220690118,0.3460754494923714
hybrid_ml_hgb_absolute_log_raw_min_20p0_units_recent_w0p25,26,8191348.577683892,7334496.0,6335516.209341827,184516.0,89825.0,17017.30769230769,0.9664162350011385,0.8637970774463339,0.11682501124602046,0.025157284154221367
hybrid_ml_hgb_absolute_log_raw_min_20p0_units_recent_w0p3,26,8446312.327683892,7334496.0,6415420.5593418265,184516.0,89825.0,17017.30769230769,0.9664162350011385,0.8746913979286138,0.15158728393660478,0.025157284154221367
hybrid_ml_hgb_absolute_log_calibrated_min_20p0_units_recent_w0p1,26,8873670.628576685,7334496.0,6947353.014861033,184329.0,89739.0,17139.076923076922,0.96644690952646,0.9472161433943155,0.20985417792533867,0.025131788196489573
hybrid_ml_hgb_absolute_log_calibrated_min_20p0_units_recent_w0p05,26,8632111.628576685,7334496.0,6949715.414861033,184329.0,89739.0,17139.076923076922,0.96644690952646,0.9475382377822598,0.176919535926761,0.025131788196489573
hybrid_ml_hgb_absolute_log_calibrated_min_20p0_units_recent_w0p15,26,9115229.628576685,7334496.0,6984076.414861033,184329.0,89739.0,17139.076923076922,0.96644690952646,0.9522230859299715,0.24278881992391635,0.025131788196489573
hybrid_ml_hgb_absolute_log_calibrated_min_20p0_units_recent_w0p2,26,9356788.628576685,7334496.0,7040571.2148610335,184329.0,89739.0,17139.076923076922,0.96644690952646,0.959925701078988,0.27572346192249403,0.025131788196489573
ml_hgb_absolute_log_calibrated_future_guardrail_min_20p0_units,26,8390552.628576685,7334496.0,7051132.414861034,2335189.0,1673664.0,4794.384615384615,0.6246294955418291,0.9613656364201485,0.1439848939281833,0.3183843852392857
hybrid_ml_hgb_absolute_log_calibrated_min_20p0_units_recent_w0p25,26,9598347.628576685,7334496.0,7110541.414861033,184329.0,89739.0,17139.076923076922,0.96644690952646,0.9694655794837209,0.3086581039210717,0.025131788196489573
hybrid_ml_hgb_absolute_log_calibrated_min_20p0_units_recent_w0p3,26,9839906.628576685,7334496.0,7191712.2148610335,184329.0,89739.0,17139.076923076922,0.96644690952646,0.9805325703171743,0.3415927459196494,0.025131788196489573
recent_no_ml_no_promo_floor,26,10226851.0,7334496.0,8170651.0,186702.0,91303.0,16611.76923076923,0.9660072863759226,1.1140030616964,0.394349523130151,0.02545532780984542
corporate,26,7740876.0,7334496.0,8309440.0,3396537.0,2926728.0,6510.692307692308,0.43861267268140924,1.1329258343040884,0.055406670069763485,0.4630907154356618
seasonal_no_ml_no_promo_floor,26,11441236.0,7334496.0,9349476.0,181788.0,88889.0,22389.53846153846,0.9667939169314882,1.27472644337116,0.5599212270345502,0.0247853431237811
ml_hgb_absolute_log_raw_future_guardrail_min_10p0_units,26,12372587.480702523,7334496.0,9453532.067061571,830076.0,493647.0,19307.346153846152,0.8678661398504368,1.2889136577430231,0.6869035692026451,0.11317423855708694
ml_hgb_absolute_log_raw_future_guardrail_min_5p0_units,26,12558398.694253514,7334496.0,9536087.663572699,731701.0,423084.0,20244.5,0.8823822193634298,1.3001694545300315,0.7122374453886829,0.09976159234390475
ml_hgb_absolute_log_raw_future_guardrail_all_positive,26,12581452.030472646,7334496.0,9541891.47523371,7075.0,1468.0,45987.769230769234,0.9986695358238513,1.3009607579353386,0.7153805838155267,0.0009646197911894696
ml_hgb_absolute_log_calibrated_future_guardrail_min_15p0_units,26,13178647.206959,7334496.0,9994985.483904302,1064256.0,653756.0,15878.807692307691,0.82388414432474,1.362736510307498,0.7968033804857212,0.14510281279040851
ml_hgb_absolute_log_calibrated_future_guardrail_min_10p0_units,26,14465905.13811615,7334496.0,10897892.927032929,811523.0,481150.0,19494.423076923078,0.8707451114790635,1.4858407349370604,0.9723107270242085,0.11064468506084127
ml_hgb_absolute_log_calibrated_future_guardrail_min_5p0_units,26,14624425.873787703,7334496.0,10967109.609221026,723012.0,415869.0,20289.53846153846,0.8840282906521638,1.4952778772012456,0.9939237643305966,0.09857691653250612
ml_hgb_absolute_log_calibrated_future_guardrail_all_positive,26,14644156.979200501,7334496.0,10973984.116162537,7075.0,1468.0,45987.769230769234,0.9986695358238513,1.4962151613638532,0.9966139430985443,0.0009646197911894696
recent_no_ml,26,34893974.0,7334496.0,29979778.0,164303.0,82794.0,18658.115384615383,0.9698961015424454,4.087503490355711,3.757514899455941,0.02240140290484854
seasonal_no_ml,26,36102623.0,7334496.0,31168447.0,161586.0,81699.0,24001.153846153848,0.9703919311522325,4.249569022874919,3.922304545533872,0.022030961636627794
