Candidate,Windows,SoldUnits,ForecastUnits,AbsErrorUnits,OverUnits,CoveredUnderUnits,ZeroForecastSoldUnits,AvgCoverage,WAPE,BiasPct,ExpectedCost,CostPerSoldUnit
hybrid_ml_hgb_absolute_log_calibrated_min_20p0_units_recent_w0p1_cap_recent_x1p1,26,7334496.0,8238709.585142072,6507356.897803254,3705785.2414726634,2617242.656330591,184329.0,0.96644690952646,0.8872261840218134,0.12328230667002509,12663487.210464437,1.7265654259630705
hybrid_ml_hgb_absolute_log_calibrated_min_20p0_units_recent_w0p1_cap_recent_x1p0,26,7334496.0,7914642.57685308,6365901.481547812,3473024.029200446,2708548.452347366,184329.0,0.96644690952646,0.8679398668358143,0.07909835615877078,12704643.386242544,1.7321767421023264
hybrid_ml_hgb_absolute_log_calibrated_min_20p0_units_recent_w0p1_cap_recent_x1p25,26,7334496.0,8567054.140709287,6702053.435129563,3967305.787919425,2550418.6472101384,184329.0,0.96644690952646,0.9137715031993423,0.16804946661764988,12724535.72954984,1.7348889043705034
hybrid_ml_hgb_absolute_log_raw_min_20p0_units_recent_w0p1_cap_recent_x1p0,26,7334496.0,7186623.435228779,6023045.984598511,2937586.709913645,2900943.274684866,184516.0,0.9664162350011385,0.821194255828691,-0.020161244176998803,12747512.533968244,1.738021608297045
hybrid_ml_hgb_absolute_log_raw_min_20p0_units_recent_w0p1_cap_recent_x1p1,26,7334496.0,7334751.551239483,6112499.889439888,3056377.7203396857,2871606.1691002026,184516.0,0.9664162350011385,0.833390581907726,3.484237219340749e-05,12778292.227640294,1.7422181739059226
self_calibrating_recency_brake,26,7334496.0,7384661.756926926,6144958.460270071,3097562.108598498,2862880.351671573,184516.0,0.9664162350011385,0.8378160490196015,0.006839700632044227,12793299.163613217,1.7442642498698229
hybrid_ml_hgb_absolute_log_raw_min_20p0_units_recent_w0p1_cap_recent_x1p25,26,7334496.0,7418332.194816512,6172854.120391174,3128345.157603843,2859992.962787331,184516.0,0.9664162350011385,0.8416193996685217,0.01143039614671711,12815420.045965837,1.7472802556529907
hybrid_ml_hgb_absolute_log_raw_min_20p0_units_recent_w0p1,26,7334496.0,7426457.327683892,6179952.359341827,3135956.8435128597,2859479.515828967,184516.0,0.9664162350011385,0.8425871879051849,0.012538193174267475,12821491.39099976,1.7481080350987663
hybrid_ml_hgb_absolute_log_raw_min_20p0_units_recent_w0p1_cap_recent_x0p85,26,7334496.0,6830492.833847452,5907938.181351108,2701967.5075992798,3021454.673751828,184516.0,0.9664162350011385,0.8055002254212297,-0.06871680973751271,12873427.528854763,1.7551891130426363
hybrid_ml_hgb_absolute_log_calibrated_min_20p0_units_recent_w0p1_cap_recent_x0p85,26,7334496.0,7371563.82161255,6185879.574091276,3111473.697851913,2890076.8762393636,184329.0,0.96644690952646,0.8433953163368384,0.0050539016740277646,12887678.326570004,1.757132095589118
hybrid_ml_hgb_absolute_log_calibrated_min_20p0_units_recent_w0p05_cap_recent_x1p1,26,7334496.0,8043376.635142071,6530461.944948342,3619671.2900452064,2726461.654903135,184329.0,0.96644690952646,0.8903763728207558,0.09665021770303933,12905030.25475461,1.7594978925279405
