Candidate,SnapshotId,SourceFile,ForecastStartDate,ForecastEndDate,ForecastedSKUs,SoldSKUs,UnionSKUs,ForecastUnits,SoldUnits,BiasUnitsForecastMinusActual,BiasPctForecastMinusActual,AbsErrorUnits,WAPE,SoldUnitsWithForecast,SoldUnitForecastCoveragePct,ZeroForecastSoldSKUs,ZeroForecastSoldUnits,ZeroForecastSoldUnitPct,OvergeneratedZeroDemandSKUs,OvergeneratedZeroDemandUnits,MissedHighVolumeSKUsSoldGE10,MissedHighVolumeUnitsSoldGE10
ml_hgb_absolute_log_raw_future_guardrail_all_positive,82e20aca38e8fe65c56e0816c4b64f9bb531d3a1391d801a11458b0deab25daa,2025-11-30_e170ff57e3e5_2025-11-30_e170ff57e3e5_Fwd_Demand_CSV_113025.csv,2025-11-25,2025-12-08,52761,14927,52837,798164.014385547,862460.0,-64295.98561445298,-0.07454952764702476,644044.6676976996,0.7467530873289192,862034.0,0.9995060640493472,76,426.0,0.0004939359506527838,37910,167579.05715298234,17,255.0
ml_hgb_absolute_log_raw_future_guardrail_min_5p0_units,82e20aca38e8fe65c56e0816c4b64f9bb531d3a1391d801a11458b0deab25daa,2025-11-30_e170ff57e3e5_2025-11-30_e170ff57e3e5_Fwd_Demand_CSV_113025.csv,2025-11-25,2025-12-08,23311,14927,26767,797753.7429136111,862460.0,-64706.25708638888,-0.0750252267773449,643757.6443327237,0.7464202911818794,829438.0,0.9617118475059713,3456,33022.0,0.038288152494028706,11840,167235.94848105207,1176,25575.0
ml_hgb_absolute_log_raw_future_guardrail_min_10p0_units,82e20aca38e8fe65c56e0816c4b64f9bb531d3a1391d801a11458b0deab25daa,2025-11-30_e170ff57e3e5_2025-11-30_e170ff57e3e5_Fwd_Demand_CSV_113025.csv,2025-11-25,2025-12-08,20942,14927,25327,783559.6088501296,862460.0,-78900.39114987035,-0.09148295706452514,639373.8582627783,0.741337404937943,811682.0,0.9411242260510633,4385,50778.0,0.05887577394893676,10400,158601.98036392208,1785,41906.0
ml_hgb_absolute_log_raw_future_guardrail_min_15p0_units,82e20aca38e8fe65c56e0816c4b64f9bb531d3a1391d801a11458b0deab25daa,2025-11-30_e170ff57e3e5_2025-11-30_e170ff57e3e5_Fwd_Demand_CSV_113025.csv,2025-11-25,2025-12-08,9208,14927,16184,620314.7354314404,862460.0,-242145.2645685596,-0.2807611536402379,522571.4687181106,0.6059080638152616,767066.0,0.8893931312756533,6976,95394.0,0.11060686872434664,1257,31287.55440171319,3169,81957.0
ml_hgb_absolute_log_raw_future_guardrail_min_20p0_units,82e20aca38e8fe65c56e0816c4b64f9bb531d3a1391d801a11458b0deab25daa,2025-11-30_e170ff57e3e5_2025-11-30_e170ff57e3e5_Fwd_Demand_CSV_113025.csv,2025-11-25,2025-12-08,6886,14927,15573,581557.1914050877,862460.0,-280902.8085949123,-0.32569952066752345,533911.8545789657,0.6190569470804045,713164.0,0.8268951603552629,8687,149296.0,0.17310483964473714,646,21293.52962121882,4632,134682.0
ml_hgb_absolute_log_calibrated_future_guardrail_all_positive,82e20aca38e8fe65c56e0816c4b64f9bb531d3a1391d801a11458b0deab25daa,2025-11-30_e170ff57e3e5_2025-11-30_e170ff57e3e5_Fwd_Demand_CSV_113025.csv,2025-11-25,2025-12-08,52761,14927,52837,973831.36057192,862460.0,111371.36057192006,0.12913220389574015,660929.7613841747,0.7663309155023708,862034.0,0.9995060640493472,76,426.0,0.0004939359506527838,37910,196826.28920129212,17,255.0
ml_hgb_absolute_log_calibrated_future_guardrail_min_5p0_units,82e20aca38e8fe65c56e0816c4b64f9bb531d3a1391d801a11458b0deab25daa,2025-11-30_e170ff57e3e5_2025-11-30_e170ff57e3e5_Fwd_Demand_CSV_113025.csv,2025-11-25,2025-12-08,23311,14927,26767,973344.589220708,862460.0,110884.589220708,0.12856780513960997,660591.7353988653,0.7659389831399315,829438.0,0.9617118475059713,3456,33022.0,0.038288152494028706,11840,196421.4722712299,1176,25575.0
ml_hgb_absolute_log_calibrated_future_guardrail_min_10p0_units,82e20aca38e8fe65c56e0816c4b64f9bb531d3a1391d801a11458b0deab25daa,2025-11-30_e170ff57e3e5_2025-11-30_e170ff57e3e5_Fwd_Demand_CSV_113025.csv,2025-11-25,2025-12-08,20943,14927,25328,956530.4838033551,862460.0,94070.48380335514,0.10907228602295195,655355.1441682058,0.7598672914317253,811682.0,0.9411242260510633,4385,50778.0,0.05887577394893676,10401,186346.7836343735,1785,41906.0
ml_hgb_absolute_log_calibrated_future_guardrail_min_15p0_units,82e20aca38e8fe65c56e0816c4b64f9bb531d3a1391d801a11458b0deab25daa,2025-11-30_e170ff57e3e5_2025-11-30_e170ff57e3e5_Fwd_Demand_CSV_113025.csv,2025-11-25,2025-12-08,19706,14927,24261,939093.2712550112,862460.0,76633.2712550112,0.08885429034971037,640418.266425888,0.7425483691138002,809957.0,0.9391241332931383,4555,52503.0,0.060875866706861764,9334,171179.00094784884,1853,43236.0
ml_hgb_absolute_log_calibrated_future_guardrail_min_20p0_units,82e20aca38e8fe65c56e0816c4b64f9bb531d3a1391d801a11458b0deab25daa,2025-11-30_e170ff57e3e5_2025-11-30_e170ff57e3e5_Fwd_Demand_CSV_113025.csv,2025-11-25,2025-12-08,8249,14927,15916,746167.1536234289,862460.0,-116292.8463765711,-0.134838539035516,519956.6081884999,0.6028762008539525,747587.0,0.8668077360109454,7667,114873.0,0.13319226398905457,989,32415.038026430182,3778,100968.0
