Candidate,Windows,ForecastUnits,SoldUnits,AbsErrorUnits,ZeroForecastSoldUnits,OvergeneratedZeroDemandUnits,MissedHighVolumeUnitsSoldGE10,AvgForecastedSKUs,AvgSoldUnitForecastCoveragePct,WAPE,BiasUnitsForecastMinusActual,BiasPctForecastMinusActual,ZeroForecastSoldUnitPct
ml_hgb_absolute_log_raw_future_guardrail_min_15p0_units,26,7443864.806621298,7334496.0,6260921.243855985,2074156.0,657515.2985656527,1435565.0,5529.461538461538,0.6628596521772321,0.8536266491734381,109368.8066212982,0.01491156401493684,0.28279461874408274
ml_hgb_absolute_log_raw_future_guardrail_min_20p0_units,26,6916529.827683892,7334496.0,6298901.459341827,2538289.0,507447.2258298088,1866702.0,4308.461538461538,0.5973848979941603,0.8588049484711461,-417966.1723161079,-0.05698635220690118,0.3460754494923714
hybrid_ml_hgb_absolute_log_raw_min_20p0_units_recent_w0p25,26,8191348.577683892,7334496.0,6335516.209341827,184516.0,721125.7258298087,89825.0,17017.30769230769,0.9664162350011385,0.8637970774463339,856852.5776838921,0.11682501124602046,0.025157284154221367
hybrid_ml_hgb_absolute_log_raw_min_15p0_units_recent_w0p25,26,8565953.806621298,7334496.0,6353486.243855985,184277.0,865178.5485656527,89697.0,17292.80769230769,0.9664551553508912,0.8662471482506753,1231457.8066212982,0.16789944484546698,0.025124698411451856
hybrid_ml_hgb_absolute_log_raw_min_20p0_units_recent_w0p5,26,9466167.327683892,7334496.0,6832382.959341827,184516.0,934804.2258298087,89825.0,17017.30769230769,0.9664162350011385,0.9315408937903609,2131671.327683892,0.2906363746989421,0.025157284154221367
hybrid_ml_hgb_absolute_log_raw_min_15p0_units_recent_w0p5,26,9688042.806621298,7334496.0,6851057.243855985,184277.0,1072841.7985656527,89697.0,17292.80769230769,0.9664551553508912,0.9340869834622563,2353546.806621298,0.32088732567599715,0.025124698411451856
ml_hgb_absolute_log_calibrated_future_guardrail_min_20p0_units,26,8390552.628576685,7334496.0,7051132.414861034,2335189.0,668848.3711421605,1673664.0,4794.384615384615,0.6246294955418291,0.9613656364201485,1056056.6285766847,0.1439848939281833,0.3183843852392857
hybrid_ml_hgb_absolute_log_calibrated_min_20p0_units_recent_w0p25,26,9598347.628576685,7334496.0,7110541.414861033,184329.0,880191.6211421605,89739.0,17139.076923076922,0.96644690952646,0.9694655794837209,2263851.6285766847,0.3086581039210717,0.025131788196489573
hybrid_ml_hgb_absolute_log_calibrated_min_20p0_units_recent_w0p5,26,10806142.628576685,7334496.0,7607549.414861033,184329.0,1091534.8711421606,89739.0,17139.076923076922,0.96644690952646,1.0372286541380666,3471646.6285766847,0.4733313139139601,0.025131788196489573
ml_hgb_absolute_log_calibrated_future_guardrail_min_15p0_units,26,13178647.206959,7334496.0,9994985.483904302,1064256.0,3631828.0134167196,653756.0,15878.807692307691,0.82388414432474,1.362736510307498,5844151.206959,0.7968033804857212,0.14510281279040851
hybrid_ml_hgb_absolute_log_calibrated_min_15p0_units_recent_w0p25,26,13865207.956959002,7334496.0,10123583.733904302,159218.0,3769085.5134167196,78250.0,22799.384615384617,0.9712001090022137,1.3802698554753186,6530711.956959002,0.8904104599633024,0.021708103733371727
hybrid_ml_hgb_absolute_log_calibrated_min_15p0_units_recent_w0p5,26,14551768.706959002,7334496.0,10512524.983904302,159218.0,3906343.0134167196,78250.0,22799.384615384617,0.9712001090022137,1.4332988911445725,7217272.706959002,0.9840175394408834,0.021708103733371727
