Candidate,SnapshotId,SourceFile,ForecastStartDate,ForecastEndDate,ForecastedSKUs,SoldSKUs,UnionSKUs,ForecastUnits,SoldUnits,BiasUnitsForecastMinusActual,BiasPctForecastMinusActual,AbsErrorUnits,WAPE,SoldUnitsWithForecast,SoldUnitForecastCoveragePct,ZeroForecastSoldSKUs,ZeroForecastSoldUnits,ZeroForecastSoldUnitPct,OvergeneratedZeroDemandSKUs,OvergeneratedZeroDemandUnits,MissedHighVolumeSKUsSoldGE10,MissedHighVolumeUnitsSoldGE10
ml_hgb_absolute_log_raw_future_guardrail_min_15p0_units,82e20aca38e8fe65c56e0816c4b64f9bb531d3a1391d801a11458b0deab25daa,2025-11-30_e170ff57e3e5_2025-11-30_e170ff57e3e5_Fwd_Demand_CSV_113025.csv,2025-11-25,2025-12-08,9208,14927,16184,620314.7354314404,862460.0,-242145.2645685596,-0.2807611536402379,522571.4687181106,0.6059080638152616,767066.0,0.8893931312756533,6976,95394.0,0.11060686872434664,1257,31287.55440171319,3169,81957.0
hybrid_ml_hgb_absolute_log_raw_min_15p0_units_recent_w0p25,82e20aca38e8fe65c56e0816c4b64f9bb531d3a1391d801a11458b0deab25daa,2025-11-30_e170ff57e3e5_2025-11-30_e170ff57e3e5_Fwd_Demand_CSV_113025.csv,2025-11-25,2025-12-08,17269,14927,18367,653330.4854314404,862460.0,-209129.5145685596,-0.24248024785910025,523990.7187181106,0.6075536473785573,857950.0,0.9947707719778308,1098,4510.0,0.005229228022169144,3440,37247.80440171319,101,1925.0
hybrid_ml_hgb_absolute_log_raw_min_15p0_units_recent_w0p5,82e20aca38e8fe65c56e0816c4b64f9bb531d3a1391d801a11458b0deab25daa,2025-11-30_e170ff57e3e5_2025-11-30_e170ff57e3e5_Fwd_Demand_CSV_113025.csv,2025-11-25,2025-12-08,17269,14927,18367,686346.2354314403,862460.0,-176113.7645685597,-0.2041993420779627,532553.9687181106,0.617482513644819,857950.0,0.9947707719778308,1098,4510.0,0.005229228022169144,3440,43208.05440171319,101,1925.0
ml_hgb_absolute_log_raw_future_guardrail_min_20p0_units,82e20aca38e8fe65c56e0816c4b64f9bb531d3a1391d801a11458b0deab25daa,2025-11-30_e170ff57e3e5_2025-11-30_e170ff57e3e5_Fwd_Demand_CSV_113025.csv,2025-11-25,2025-12-08,6886,14927,15573,581557.1914050877,862460.0,-280902.8085949123,-0.32569952066752345,533911.8545789657,0.6190569470804045,713164.0,0.8268951603552629,8687,149296.0,0.17310483964473714,646,21293.52962121882,4632,134682.0
hybrid_ml_hgb_absolute_log_raw_min_20p0_units_recent_w0p25,82e20aca38e8fe65c56e0816c4b64f9bb531d3a1391d801a11458b0deab25daa,2025-11-30_e170ff57e3e5_2025-11-30_e170ff57e3e5_Fwd_Demand_CSV_113025.csv,2025-11-25,2025-12-08,16737,14927,17839,623791.6914050877,862460.0,-238668.3085949123,-0.27672971337211266,528918.8545789657,0.6132676930860164,857910.0,0.9947243930153282,1102,4550.0,0.0052756069846717525,2912,27575.52962121882,103,1963.0
hybrid_ml_hgb_absolute_log_raw_min_20p0_units_recent_w0p5,82e20aca38e8fe65c56e0816c4b64f9bb531d3a1391d801a11458b0deab25daa,2025-11-30_e170ff57e3e5_2025-11-30_e170ff57e3e5_Fwd_Demand_CSV_113025.csv,2025-11-25,2025-12-08,16737,14927,17839,666026.1914050877,862460.0,-196433.8085949123,-0.22775990607670185,531806.8545789657,0.6166162541787047,857910.0,0.9947243930153282,1102,4550.0,0.0052756069846717525,2912,33857.52962121882,103,1963.0
ml_hgb_absolute_log_calibrated_future_guardrail_min_15p0_units,82e20aca38e8fe65c56e0816c4b64f9bb531d3a1391d801a11458b0deab25daa,2025-11-30_e170ff57e3e5_2025-11-30_e170ff57e3e5_Fwd_Demand_CSV_113025.csv,2025-11-25,2025-12-08,19706,14927,24261,939093.2712550112,862460.0,76633.2712550112,0.08885429034971037,640418.266425888,0.7425483691138002,809957.0,0.9391241332931383,4555,52503.0,0.060875866706861764,9334,171179.00094784884,1853,43236.0
hybrid_ml_hgb_absolute_log_calibrated_min_15p0_units_recent_w0p25,82e20aca38e8fe65c56e0816c4b64f9bb531d3a1391d801a11458b0deab25daa,2025-11-30_e170ff57e3e5_2025-11-30_e170ff57e3e5_Fwd_Demand_CSV_113025.csv,2025-11-25,2025-12-08,24645,14927,25664,957874.0212550112,862460.0,95414.0212550112,0.11063008285023213,642556.016425888,0.7450270347910489,858306.0,0.9951835447441041,1019,4154.0,0.004816455255895926,10737,175263.25094784884,91,1708.0
hybrid_ml_hgb_absolute_log_calibrated_min_15p0_units_recent_w0p5,82e20aca38e8fe65c56e0816c4b64f9bb531d3a1391d801a11458b0deab25daa,2025-11-30_e170ff57e3e5_2025-11-30_e170ff57e3e5_Fwd_Demand_CSV_113025.csv,2025-11-25,2025-12-08,24645,14927,25664,976654.7712550112,862460.0,114194.7712550112,0.1324058753507539,648521.766425888,0.7519441671797974,858306.0,0.9951835447441041,1019,4154.0,0.004816455255895926,10737,179347.50094784884,91,1708.0
ml_hgb_absolute_log_calibrated_future_guardrail_min_20p0_units,82e20aca38e8fe65c56e0816c4b64f9bb531d3a1391d801a11458b0deab25daa,2025-11-30_e170ff57e3e5_2025-11-30_e170ff57e3e5_Fwd_Demand_CSV_113025.csv,2025-11-25,2025-12-08,8249,14927,15916,746167.1536234289,862460.0,-116292.8463765711,-0.134838539035516,519956.6081884999,0.6028762008539525,747587.0,0.8668077360109454,7667,114873.0,0.13319226398905457,989,32415.038026430182,3778,100968.0
