Candidate,SnapshotId,SourceFile,ForecastStartDate,ForecastEndDate,ForecastedSKUs,SoldSKUs,UnionSKUs,ForecastUnits,SoldUnits,BiasUnitsForecastMinusActual,BiasPctForecastMinusActual,AbsErrorUnits,WAPE,SoldUnitsWithForecast,SoldUnitForecastCoveragePct,ZeroForecastSoldSKUs,ZeroForecastSoldUnits,ZeroForecastSoldUnitPct,OvergeneratedZeroDemandSKUs,OvergeneratedZeroDemandUnits,MissedHighVolumeSKUsSoldGE10,MissedHighVolumeUnitsSoldGE10
ml_hgb_absolute_log_raw_future_guardrail_min_20p0_units,82e20aca38e8fe65c56e0816c4b64f9bb531d3a1391d801a11458b0deab25daa,2025-11-30_e170ff57e3e5_2025-11-30_e170ff57e3e5_Fwd_Demand_CSV_113025.csv,2025-11-25,2025-12-08,6886,14927,15573,581557.1914050877,862460.0,-280902.8085949123,-0.32569952066752345,533911.8545789657,0.6190569470804045,713164.0,0.8268951603552629,8687,149296.0,0.17310483964473714,646,21293.52962121882,4632,134682.0
hybrid_ml_hgb_absolute_log_raw_min_20p0_units_recent_w0p05,82e20aca38e8fe65c56e0816c4b64f9bb531d3a1391d801a11458b0deab25daa,2025-11-30_e170ff57e3e5_2025-11-30_e170ff57e3e5_Fwd_Demand_CSV_113025.csv,2025-11-25,2025-12-08,16737,14927,17839,590004.0914050877,862460.0,-272455.90859491227,-0.31590555920844127,529609.7545789657,0.6140687737158427,857910.0,0.9947243930153282,1102,4550.0,0.0052756069846717525,2912,22549.92962121882,103,1963.0
hybrid_ml_hgb_absolute_log_raw_min_20p0_units_recent_w0p1,82e20aca38e8fe65c56e0816c4b64f9bb531d3a1391d801a11458b0deab25daa,2025-11-30_e170ff57e3e5_2025-11-30_e170ff57e3e5_Fwd_Demand_CSV_113025.csv,2025-11-25,2025-12-08,16737,14927,17839,598450.9914050878,862460.0,-264009.00859491224,-0.3061115977493591,528479.6545789657,0.6127584520777378,857910.0,0.9947243930153282,1102,4550.0,0.0052756069846717525,2912,23806.32962121882,103,1963.0
hybrid_ml_hgb_absolute_log_raw_min_20p0_units_recent_w0p15,82e20aca38e8fe65c56e0816c4b64f9bb531d3a1391d801a11458b0deab25daa,2025-11-30_e170ff57e3e5_2025-11-30_e170ff57e3e5_Fwd_Demand_CSV_113025.csv,2025-11-25,2025-12-08,16737,14927,17839,606897.8914050878,862460.0,-255562.10859491222,-0.2963176362902769,528370.8545789657,0.6126323012997307,857910.0,0.9947243930153282,1102,4550.0,0.0052756069846717525,2912,25062.72962121882,103,1963.0
hybrid_ml_hgb_absolute_log_raw_min_20p0_units_recent_w0p2,82e20aca38e8fe65c56e0816c4b64f9bb531d3a1391d801a11458b0deab25daa,2025-11-30_e170ff57e3e5_2025-11-30_e170ff57e3e5_Fwd_Demand_CSV_113025.csv,2025-11-25,2025-12-08,16737,14927,17839,615344.7914050877,862460.0,-247115.2085949123,-0.28652367483119484,528549.0545789658,0.6128389195776799,857910.0,0.9947243930153282,1102,4550.0,0.0052756069846717525,2912,26319.12962121882,103,1963.0
hybrid_ml_hgb_absolute_log_raw_min_20p0_units_recent_w0p25,82e20aca38e8fe65c56e0816c4b64f9bb531d3a1391d801a11458b0deab25daa,2025-11-30_e170ff57e3e5_2025-11-30_e170ff57e3e5_Fwd_Demand_CSV_113025.csv,2025-11-25,2025-12-08,16737,14927,17839,623791.6914050877,862460.0,-238668.3085949123,-0.27672971337211266,528918.8545789657,0.6132676930860164,857910.0,0.9947243930153282,1102,4550.0,0.0052756069846717525,2912,27575.52962121882,103,1963.0
hybrid_ml_hgb_absolute_log_raw_min_20p0_units_recent_w0p3,82e20aca38e8fe65c56e0816c4b64f9bb531d3a1391d801a11458b0deab25daa,2025-11-30_e170ff57e3e5_2025-11-30_e170ff57e3e5_Fwd_Demand_CSV_113025.csv,2025-11-25,2025-12-08,16737,14927,17839,632238.5914050877,862460.0,-230221.40859491227,-0.2669357519130305,529369.4545789657,0.6137901520986082,857910.0,0.9947243930153282,1102,4550.0,0.0052756069846717525,2912,28831.929621218816,103,1963.0
ml_hgb_absolute_log_calibrated_future_guardrail_min_20p0_units,82e20aca38e8fe65c56e0816c4b64f9bb531d3a1391d801a11458b0deab25daa,2025-11-30_e170ff57e3e5_2025-11-30_e170ff57e3e5_Fwd_Demand_CSV_113025.csv,2025-11-25,2025-12-08,8249,14927,15916,746167.1536234289,862460.0,-116292.8463765711,-0.134838539035516,519956.6081884999,0.6028762008539525,747587.0,0.8668077360109454,7667,114873.0,0.13319226398905457,989,32415.038026430182,3778,100968.0
hybrid_ml_hgb_absolute_log_calibrated_min_20p0_units_recent_w0p05,82e20aca38e8fe65c56e0816c4b64f9bb531d3a1391d801a11458b0deab25daa,2025-11-30_e170ff57e3e5_2025-11-30_e170ff57e3e5_Fwd_Demand_CSV_113025.csv,2025-11-25,2025-12-08,17000,14927,18099,753265.7036234288,862460.0,-109194.29637657118,-0.12660795442869371,516580.3581884998,0.5989615265502166,857937.0,0.9947556988150175,1099,4523.0,0.005244301184982492,3172,33584.93802643018,101,1937.0
hybrid_ml_hgb_absolute_log_calibrated_min_20p0_units_recent_w0p1,82e20aca38e8fe65c56e0816c4b64f9bb531d3a1391d801a11458b0deab25daa,2025-11-30_e170ff57e3e5_2025-11-30_e170ff57e3e5_Fwd_Demand_CSV_113025.csv,2025-11-25,2025-12-08,17000,14927,18099,760364.2536234288,862460.0,-102095.74637657125,-0.11837736982187144,516114.5081884997,0.5984213855581705,857937.0,0.9947556988150175,1099,4523.0,0.005244301184982492,3172,34754.83802643018,101,1937.0
