ForecastStartDate,Candidate,ForecastUnits,SoldUnits,AbsErrorUnits,ZeroForecastSoldUnits,SoldUnitForecastCoveragePct
2025-11-25,self_calibrating_recency_brake,598450.9914050878,862460.0,528479.6545789657,4550.0,0.9947243930153282
2025-12-02,self_calibrating_recency_brake,912947.5935365089,662662.0,483639.3418050766,14527.0,0.9780778134252456
2025-12-09,self_calibrating_recency_brake,558069.1679393505,428533.0,305420.80155749375,5107.0,0.9880825980729604
2025-12-16,self_calibrating_recency_brake,472626.4476578196,306203.0,296892.6874446911,5023.0,0.9835958498120528
2025-12-23,self_calibrating_recency_brake,200310.12268381927,322447.0,299089.50123992807,6516.0,0.9797920278371328
2025-12-30,self_calibrating_recency_brake,479950.70270022936,369618.0,295936.19987531286,5462.0,0.9852225811513508
2026-01-07,self_calibrating_recency_brake,394168.5003591945,248042.0,277443.3052017606,7670.0,0.9690778174663968
2026-01-13,self_calibrating_recency_brake,277621.3848130957,174445.0,214365.80832222063,9364.0,0.9463211900599042
2026-01-21,self_calibrating_recency_brake,241191.00334261017,153757.0,187974.713084762,6983.0,0.9545841815331984
2026-01-27,self_calibrating_recency_brake,207092.4084342825,143516.0,183193.04860302224,9881.0,0.9311505337383984
2026-02-03,self_calibrating_recency_brake,127837.28443102236,145849.0,161016.56124415123,14061.0,0.903592071251774
2026-02-10,self_calibrating_recency_brake,99818.12127244956,166878.0,162115.9118989462,8547.0,0.948782943227987
2026-02-18,self_calibrating_recency_brake,192650.9751914775,172274.0,162935.50972132137,5072.0,0.9705585288551958
2026-02-24,self_calibrating_recency_brake,161666.9438790293,187056.0,156388.22867637276,5087.0,0.9728049354204088
2026-03-03,self_calibrating_recency_brake,190304.40997623952,189123.0,175734.97940361712,2465.0,0.986966154301698
2026-03-10,self_calibrating_recency_brake,210185.0,205776.0,166714.09300578403,9281.0,0.9548975585102248
2026-03-17,self_calibrating_recency_brake,151792.807144939,232843.0,180438.8970404624,13766.0,0.94087861778108
2026-03-24,self_calibrating_recency_brake,235066.70000000004,187516.0,174838.89260150003,12850.0,0.9314725143454424
2026-03-31,self_calibrating_recency_brake,158982.55570824037,155240.0,170431.97066861985,13273.0,0.9145001288327752
2026-04-07,self_calibrating_recency_brake,150493.41709033685,172201.0,164077.42036700464,9783.0,0.9431884832259976
2026-04-14,self_calibrating_recency_brake,150069.42235441474,248472.0,197941.77585087373,3630.0,0.9853907080073409
2026-04-21,self_calibrating_recency_brake,160807.32905609472,363068.0,297132.5114146889,2442.0,0.9932739872420592
2026-04-28,self_calibrating_recency_brake,278809.9000405203,297161.0,193114.0027862431,1698.0,0.9942859258112604
2026-05-05,self_calibrating_recency_brake,305648.3031411901,224193.0,210637.98088748808,2182.0,0.9902673143229273
2026-05-12,self_calibrating_recency_brake,178484.4397890459,337982.0,272256.8403283336,2035.0,0.9939789692942228
2026-05-19,self_calibrating_recency_brake,289615.8249799273,377181.0,226747.82266143043,3261.0,0.9913542834872382
