Candidate,SnapshotId,SourceFile,ForecastStartDate,ForecastEndDate,ForecastedSKUs,SoldSKUs,UnionSKUs,ForecastUnits,SoldUnits,BiasUnitsForecastMinusActual,BiasPctForecastMinusActual,AbsErrorUnits,WAPE,SoldUnitsWithForecast,SoldUnitForecastCoveragePct,ZeroForecastSoldSKUs,ZeroForecastSoldUnits,ZeroForecastSoldUnitPct,OvergeneratedZeroDemandSKUs,OvergeneratedZeroDemandUnits,MissedHighVolumeSKUsSoldGE10,MissedHighVolumeUnitsSoldGE10
ml_hgb_absolute_log_raw_future_guardrail_min_20p0_units,81c13a50f6936f6e259e2d2cfc2c1f2b3d4ed588fc9d30da8d9ed68f11cc96d4,2026-05-04_170e3915b134_2026-05-04_170e3915b134_FwdDemandCSV_2026-05-04.csv,2026-05-05,2026-05-18,5295,13617,14049,281997.5398858794,224193.0,57804.53988587938,0.25783383016365086,201047.3647610937,0.896760223383842,159920.0,0.7133139750126007,8754,64273.0,0.28668602498739926,432,14854.376966420987,2355,40299.0
hybrid_ml_hgb_absolute_log_raw_min_20p0_units_recent_w0p1,81c13a50f6936f6e259e2d2cfc2c1f2b3d4ed588fc9d30da8d9ed68f11cc96d4,2026-05-04_170e3915b134_2026-05-04_170e3915b134_FwdDemandCSV_2026-05-04.csv,2026-05-05,2026-05-18,16026,13617,16714,292362.13988587935,224193.0,68169.13988587935,0.30406453317400345,196191.3647610937,0.8751003142876614,222011.0,0.9902673143229271,688,2182.0,0.00973268567707288,3097,16807.676966420986,44,895.0
hybrid_ml_hgb_absolute_log_raw_min_20p0_units_recent_w0p1_cap_recent_x0p85,81c13a50f6936f6e259e2d2cfc2c1f2b3d4ed588fc9d30da8d9ed68f11cc96d4,2026-05-04_170e3915b134_2026-05-04_170e3915b134_FwdDemandCSV_2026-05-04.csv,2026-05-05,2026-05-18,16026,13617,16714,242487.14999999997,224193.0,18294.149999999965,0.08160000535253092,160215.4210403957,0.7146316835958112,222011.0,0.9902673143229271,688,2182.0,0.00973268567707288,3097,13940.401747295176,44,895.0
ml_hgb_absolute_log_calibrated_future_guardrail_min_20p0_units,81c13a50f6936f6e259e2d2cfc2c1f2b3d4ed588fc9d30da8d9ed68f11cc96d4,2026-05-04_170e3915b134_2026-05-04_170e3915b134_FwdDemandCSV_2026-05-04.csv,2026-05-05,2026-05-18,5804,13617,14171,365598.40161395364,224193.0,141405.40161395364,0.6307306722955384,266369.64716081467,1.1881265122497788,165684.0,0.7390239659579023,8367,58509.0,0.2609760340420977,554,21418.10960266579,2082,35160.0
hybrid_ml_hgb_absolute_log_calibrated_min_20p0_units_recent_w0p1,81c13a50f6936f6e259e2d2cfc2c1f2b3d4ed588fc9d30da8d9ed68f11cc96d4,2026-05-04_170e3915b134_2026-05-04_170e3915b134_FwdDemandCSV_2026-05-04.csv,2026-05-05,2026-05-18,16111,13617,16798,375260.00161395373,224193.0,151067.00161395373,0.6738256841826182,262139.64716081473,1.1692588401993582,222012.0,0.9902717747654922,687,2181.0,0.009728225234507767,3181,23348.20960266579,44,895.0
hybrid_ml_hgb_absolute_log_calibrated_min_20p0_units_recent_w0p1_cap_recent_x0p85,81c13a50f6936f6e259e2d2cfc2c1f2b3d4ed588fc9d30da8d9ed68f11cc96d4,2026-05-04_170e3915b134_2026-05-04_170e3915b134_FwdDemandCSV_2026-05-04.csv,2026-05-05,2026-05-18,16111,13617,16798,242487.15000000002,224193.0,18294.150000000023,0.08160000535253119,157062.76007325752,0.7005694204246231,222012.0,0.9902717747654922,687,2181.0,0.009728225234507767,3181,15087.248254018385,44,895.0
ml_hgb_absolute_log_raw_future_guardrail_min_20p0_units,e1ddb6093f7bbae06152990991d238b639af982b1aa8cdfac8f73e30d3011c52,2026-05-12_b29f5c51cbfc_2026-05-12_b29f5c51cbfc_Fwd_Demand_CSV_5.12.csv,2026-05-12,2026-05-25,3312,13515,13934,155112.133085177,337982.0,-182869.866914823,-0.5410639232705381,277895.90117013984,0.8222210093145192,168161.0,0.4975442479185282,10622,169821.0,0.5024557520814718,419,14584.183943520431,5228,149346.0
hybrid_ml_hgb_absolute_log_raw_min_20p0_units_recent_w0p1,e1ddb6093f7bbae06152990991d238b639af982b1aa8cdfac8f73e30d3011c52,2026-05-12_b29f5c51cbfc_2026-05-12_b29f5c51cbfc_Fwd_Demand_CSV_5.12.csv,2026-05-12,2026-05-25,15874,13515,16486,170728.83308517703,337982.0,-167253.16691482297,-0.4948582081732843,267739.4011701399,0.792170592428413,335947.0,0.9939789692942228,612,2035.0,0.006021030705777231,2971,16567.883943520428,42,975.0
hybrid_ml_hgb_absolute_log_raw_min_20p0_units_recent_w0p1_cap_recent_x0p85,e1ddb6093f7bbae06152990991d238b639af982b1aa8cdfac8f73e30d3011c52,2026-05-12_b29f5c51cbfc_2026-05-12_b29f5c51cbfc_Fwd_Demand_CSV_5.12.csv,2026-05-12,2026-05-25,15874,13515,16486,170728.83308517703,337982.0,-167253.16691482297,-0.4948582081732843,267739.4011701399,0.792170592428413,335947.0,0.9939789692942228,612,2035.0,0.006021030705777231,2971,16567.883943520428,42,975.0
ml_hgb_absolute_log_calibrated_future_guardrail_min_20p0_units,e1ddb6093f7bbae06152990991d238b639af982b1aa8cdfac8f73e30d3011c52,2026-05-12_b29f5c51cbfc_2026-05-12_b29f5c51cbfc_Fwd_Demand_CSV_5.12.csv,2026-05-12,2026-05-25,3389,13515,13965,176968.6960806559,337982.0,-161013.3039193441,-0.4763960918609396,282885.8806889666,0.8369850485794114,169020.0,0.5000858033859792,10576,168962.0,0.49991419661402087,450,17469.298203282156,5198,148553.0
