Candidate,SnapshotId,SourceFile,ForecastStartDate,ForecastEndDate,ForecastedSKUs,SoldSKUs,UnionSKUs,ForecastUnits,SoldUnits,BiasUnitsForecastMinusActual,BiasPctForecastMinusActual,AbsErrorUnits,WAPE,SoldUnitsWithForecast,SoldUnitForecastCoveragePct,ZeroForecastSoldSKUs,ZeroForecastSoldUnits,ZeroForecastSoldUnitPct,OvergeneratedZeroDemandSKUs,OvergeneratedZeroDemandUnits,MissedHighVolumeSKUsSoldGE10,MissedHighVolumeUnitsSoldGE10
ml_hgb_absolute_log_raw_future_guardrail_all_positive,e1ddb6093f7bbae06152990991d238b639af982b1aa8cdfac8f73e30d3011c52,2026-05-12_b29f5c51cbfc_2026-05-12_b29f5c51cbfc_Fwd_Demand_CSV_5.12.csv,2026-05-12,2026-05-25,43626,13515,43664,394127.19763423916,337982.0,56145.19763423916,0.1661188987408772,441387.8622918795,1.3059507970598419,337874.0,0.9996804563556639,38,108.0,0.0003195436443360889,30149,201024.5285790214,1,10.0
ml_hgb_absolute_log_raw_future_guardrail_min_1p0_units,e1ddb6093f7bbae06152990991d238b639af982b1aa8cdfac8f73e30d3011c52,2026-05-12_b29f5c51cbfc_2026-05-12_b29f5c51cbfc_Fwd_Demand_CSV_5.12.csv,2026-05-12,2026-05-25,43626,13515,43664,394127.19763423916,337982.0,56145.19763423916,0.1661188987408772,441387.8622918795,1.3059507970598419,337874.0,0.9996804563556639,38,108.0,0.0003195436443360889,30149,201024.5285790214,1,10.0
ml_hgb_absolute_log_raw_future_guardrail_min_3p0_units,e1ddb6093f7bbae06152990991d238b639af982b1aa8cdfac8f73e30d3011c52,2026-05-12_b29f5c51cbfc_2026-05-12_b29f5c51cbfc_Fwd_Demand_CSV_5.12.csv,2026-05-12,2026-05-25,43626,13515,43664,394127.19763423916,337982.0,56145.19763423916,0.1661188987408772,441387.8622918795,1.3059507970598419,337874.0,0.9996804563556639,38,108.0,0.0003195436443360889,30149,201024.5285790214,1,10.0
ml_hgb_absolute_log_raw_future_guardrail_min_5p0_units,e1ddb6093f7bbae06152990991d238b639af982b1aa8cdfac8f73e30d3011c52,2026-05-12_b29f5c51cbfc_2026-05-12_b29f5c51cbfc_Fwd_Demand_CSV_5.12.csv,2026-05-12,2026-05-25,19743,13515,22815,319519.18504340074,337982.0,-18462.814956599264,-0.05462662199939424,382205.5855565634,1.1308459786514176,313539.0,0.9276795805693794,3072,24443.0,0.07232041943062056,9300,135884.816294373,854,16473.0
ml_hgb_absolute_log_raw_future_guardrail_min_10p0_units,e1ddb6093f7bbae06152990991d238b639af982b1aa8cdfac8f73e30d3011c52,2026-05-12_b29f5c51cbfc_2026-05-12_b29f5c51cbfc_Fwd_Demand_CSV_5.12.csv,2026-05-12,2026-05-25,19479,13515,22705,317390.67566830927,337982.0,-20591.324331690732,-0.06092432239495219,382337.26335554983,1.1312355786862904,310240.0,0.917918705729891,3226,27742.0,0.08208129427010906,9190,135009.28386748716,971,19594.0
ml_hgb_absolute_log_calibrated_future_guardrail_all_positive,e1ddb6093f7bbae06152990991d238b639af982b1aa8cdfac8f73e30d3011c52,2026-05-12_b29f5c51cbfc_2026-05-12_b29f5c51cbfc_Fwd_Demand_CSV_5.12.csv,2026-05-12,2026-05-25,43626,13515,43664,533889.7621508654,337982.0,195907.7621508654,0.5796396321427336,475181.33924226166,1.405936822796071,337874.0,0.9996804563556639,38,108.0,0.0003195436443360889,30149,253585.714868352,1,10.0
ml_hgb_absolute_log_calibrated_future_guardrail_min_1p0_units,e1ddb6093f7bbae06152990991d238b639af982b1aa8cdfac8f73e30d3011c52,2026-05-12_b29f5c51cbfc_2026-05-12_b29f5c51cbfc_Fwd_Demand_CSV_5.12.csv,2026-05-12,2026-05-25,43477,13515,43515,533768.7606852723,337982.0,195786.76068527228,0.5792816205752741,475060.3377766685,1.4055788112286112,337874.0,0.9996804563556639,38,108.0,0.0003195436443360889,30000,253464.71340275885,1,10.0
ml_hgb_absolute_log_calibrated_future_guardrail_min_3p0_units,e1ddb6093f7bbae06152990991d238b639af982b1aa8cdfac8f73e30d3011c52,2026-05-12_b29f5c51cbfc_2026-05-12_b29f5c51cbfc_Fwd_Demand_CSV_5.12.csv,2026-05-12,2026-05-25,38206,13515,38624,520899.4967657793,337982.0,182917.49676577927,0.541204847494184,463604.9781328116,1.3716854096751059,336331.0,0.9951151244740845,418,1651.0,0.004884875525915581,25109,241487.25792422952,35,538.0
ml_hgb_absolute_log_calibrated_future_guardrail_min_5p0_units,e1ddb6093f7bbae06152990991d238b639af982b1aa8cdfac8f73e30d3011c52,2026-05-12_b29f5c51cbfc_2026-05-12_b29f5c51cbfc_Fwd_Demand_CSV_5.12.csv,2026-05-12,2026-05-25,20030,13515,22984,443984.19085255347,337982.0,106002.19085255347,0.31363265159846815,402841.7882099724,1.191903084217421,315145.0,0.932431312910155,2954,22837.0,0.06756868708984502,9469,174899.26710183115,796,15090.0
ml_hgb_absolute_log_calibrated_future_guardrail_min_10p0_units,e1ddb6093f7bbae06152990991d238b639af982b1aa8cdfac8f73e30d3011c52,2026-05-12_b29f5c51cbfc_2026-05-12_b29f5c51cbfc_Fwd_Demand_CSV_5.12.csv,2026-05-12,2026-05-25,18987,13515,22174,436012.666951043,337982.0,98030.66695104301,0.29004700531697847,396858.0171236824,1.1741986766268098,312908.0,0.9258126172399713,3187,25074.0,0.07418738276002865,8659,168558.0580836367,877,16842.0
ml_two_stage_hgb_log_raw_future_guardrail_all_positive,e1ddb6093f7bbae06152990991d238b639af982b1aa8cdfac8f73e30d3011c52,2026-05-12_b29f5c51cbfc_2026-05-12_b29f5c51cbfc_Fwd_Demand_CSV_5.12.csv,2026-05-12,2026-05-25,43626,13515,43664,509180.44387619314,337982.0,171198.44387619314,0.5065312468598716,490282.21294404025,1.4506163433083425,337874.0,0.9996804563556639,38,108.0,0.0003195436443360889,30149,264909.6375903864,1,10.0
ml_two_stage_hgb_log_raw_future_guardrail_min_1p0_units,e1ddb6093f7bbae06152990991d238b639af982b1aa8cdfac8f73e30d3011c52,2026-05-12_b29f5c51cbfc_2026-05-12_b29f5c51cbfc_Fwd_Demand_CSV_5.12.csv,2026-05-12,2026-05-25,43626,13515,43664,509180.44387619314,337982.0,171198.44387619314,0.5065312468598716,490282.21294404025,1.4506163433083425,337874.0,0.9996804563556639,38,108.0,0.0003195436443360889,30149,264909.6375903864,1,10.0
ml_two_stage_hgb_log_raw_future_guardrail_min_3p0_units,e1ddb6093f7bbae06152990991d238b639af982b1aa8cdfac8f73e30d3011c52,2026-05-12_b29f5c51cbfc_2026-05-12_b29f5c51cbfc_Fwd_Demand_CSV_5.12.csv,2026-05-12,2026-05-25,43626,13515,43664,509180.44387619314,337982.0,171198.44387619314,0.5065312468598716,490282.21294404025,1.4506163433083425,337874.0,0.9996804563556639,38,108.0,0.0003195436443360889,30149,264909.6375903864,1,10.0
ml_two_stage_hgb_log_raw_future_guardrail_min_5p0_units,e1ddb6093f7bbae06152990991d238b639af982b1aa8cdfac8f73e30d3011c52,2026-05-12_b29f5c51cbfc_2026-05-12_b29f5c51cbfc_Fwd_Demand_CSV_5.12.csv,2026-05-12,2026-05-25,29181,13515,29490,443028.4125925015,337982.0,105046.4125925015,0.3108047546688921,425231.2768624293,1.2581477027250838,336850.0,0.9966507092093662,309,1132.0,0.0033492907906338206,15975,200005.8783576239,20,534.0
