Candidate,Windows,ForecastUnits,SoldUnits,AbsErrorUnits,ZeroForecastSoldUnits,OvergeneratedZeroDemandUnits,MissedHighVolumeUnitsSoldGE10,AvgForecastedSKUs,AvgSoldUnitForecastCoveragePct,WAPE,BiasUnitsForecastMinusActual,BiasPctForecastMinusActual,ZeroForecastSoldUnitPct
hybrid_ml_cold_start_raw_min_20p0_units_recent_w0p05,3,39708.845830238926,97258.0,130400.33059940688,92453.0,6233.366499983288,57160.0,76.0,0.05942219047525796,1.340767141000297,-57549.154169761074,-0.5917164055374475,0.9505953237779926
hybrid_ml_cold_start_raw_min_20p0_units_recent_w0p1,3,39708.845830238926,97258.0,130400.33059940688,92453.0,6233.366499983288,57160.0,76.0,0.05942219047525796,1.340767141000297,-57549.154169761074,-0.5917164055374475,0.9505953237779926
ml_cold_start_raw_future_guardrail_min_20p0_units,3,39708.845830238926,97258.0,130400.33059940688,92453.0,6233.366499983288,57160.0,76.0,0.05942219047525796,1.340767141000297,-57549.154169761074,-0.5917164055374475,0.9505953237779926
hybrid_ml_cold_start_raw_min_10p0_units_recent_w0p05,3,40654.49476328388,97258.0,131345.97953245183,92453.0,7179.015433028239,57160.0,93.0,0.05942219047525796,1.3504902376406243,-56603.50523671612,-0.5819933088971202,0.9505953237779926
hybrid_ml_cold_start_raw_min_10p0_units_recent_w0p1,3,40654.49476328388,97258.0,131345.97953245183,92453.0,7179.015433028239,57160.0,93.0,0.05942219047525796,1.3504902376406243,-56603.50523671612,-0.5819933088971202,0.9505953237779926
hybrid_ml_cold_start_raw_min_1p0_units_recent_w0p05,3,40654.49476328388,97258.0,131345.97953245183,92453.0,7179.015433028239,57160.0,93.0,0.05942219047525796,1.3504902376406243,-56603.50523671612,-0.5819933088971202,0.9505953237779926
hybrid_ml_cold_start_raw_min_1p0_units_recent_w0p1,3,40654.49476328388,97258.0,131345.97953245183,92453.0,7179.015433028239,57160.0,93.0,0.05942219047525796,1.3504902376406243,-56603.50523671612,-0.5819933088971202,0.9505953237779926
hybrid_ml_cold_start_raw_min_5p0_units_recent_w0p05,3,40654.49476328388,97258.0,131345.97953245183,92453.0,7179.015433028239,57160.0,93.0,0.05942219047525796,1.3504902376406243,-56603.50523671612,-0.5819933088971202,0.9505953237779926
hybrid_ml_cold_start_raw_min_5p0_units_recent_w0p1,3,40654.49476328388,97258.0,131345.97953245183,92453.0,7179.015433028239,57160.0,93.0,0.05942219047525796,1.3504902376406243,-56603.50523671612,-0.5819933088971202,0.9505953237779926
ml_cold_start_raw_future_guardrail_all_positive,3,40654.494763283896,97258.0,131345.97953245183,92453.0,7179.015433028239,57160.0,93.0,0.05942219047525796,1.3504902376406243,-56603.505236716104,-0.5819933088971201,0.9505953237779926
ml_cold_start_raw_future_guardrail_min_10p0_units,3,40654.49476328388,97258.0,131345.97953245183,92453.0,7179.015433028239,57160.0,93.0,0.05942219047525796,1.3504902376406243,-56603.50523671612,-0.5819933088971202,0.9505953237779926
ml_cold_start_raw_future_guardrail_min_1p0_units,3,40654.49476328388,97258.0,131345.97953245183,92453.0,7179.015433028239,57160.0,93.0,0.05942219047525796,1.3504902376406243,-56603.50523671612,-0.5819933088971202,0.9505953237779926
ml_cold_start_raw_future_guardrail_min_5p0_units,3,40654.49476328388,97258.0,131345.97953245183,92453.0,7179.015433028239,57160.0,93.0,0.05942219047525796,1.3504902376406243,-56603.50523671612,-0.5819933088971202,0.9505953237779926
hybrid_ml_cold_start_calibrated_min_20p0_units_recent_w0p05,3,160459.3734420676,97258.0,248462.10859924185,92453.0,26568.957814749057,57160.0,92.66666666666667,0.05942219047525796,2.5546701412659303,63201.37344206759,0.6498321314654588,0.9505953237779926
hybrid_ml_cold_start_calibrated_min_20p0_units_recent_w0p1,3,160459.3734420676,97258.0,248462.10859924185,92453.0,26568.957814749057,57160.0,92.66666666666667,0.05942219047525796,2.5546701412659303,63201.37344206759,0.6498321314654588,0.9505953237779926
ml_cold_start_calibrated_future_guardrail_min_20p0_units,3,160459.3734420676,97258.0,248462.10859924185,92453.0,26568.957814749057,57160.0,92.66666666666667,0.05942219047525796,2.5546701412659303,63201.37344206759,0.6498321314654588,0.9505953237779926
