Candidate,SnapshotId,SourceFile,ForecastStartDate,ForecastEndDate,ForecastedSKUs,SoldSKUs,UnionSKUs,ForecastUnits,SoldUnits,BiasUnitsForecastMinusActual,BiasPctForecastMinusActual,AbsErrorUnits,WAPE,SoldUnitsWithForecast,SoldUnitForecastCoveragePct,ZeroForecastSoldSKUs,ZeroForecastSoldUnits,ZeroForecastSoldUnitPct,OvergeneratedZeroDemandSKUs,OvergeneratedZeroDemandUnits,MissedHighVolumeSKUsSoldGE10,MissedHighVolumeUnitsSoldGE10
ml_cold_start_raw_future_guardrail_all_positive,6a8a9d25e555f7e0b7f8cd32be1bf771e3bc81f6db2e7891a7f1ff040c66b460,2026-05-18_35545c9dce78_2026-05-18_35545c9dce78_FwdDemandCSV_2026-05-18.csv,2026-05-19,2026-06-01,51,0,51,945.6489330449517,0.0,945.6489330449517,,945.6489330449517,,0.0,,0,0.0,,51,945.6489330449516,0,0.0
ml_cold_start_raw_blended_guardrail_all_positive,6a8a9d25e555f7e0b7f8cd32be1bf771e3bc81f6db2e7891a7f1ff040c66b460,2026-05-18_35545c9dce78_2026-05-18_35545c9dce78_FwdDemandCSV_2026-05-18.csv,2026-05-19,2026-06-01,51,0,51,157398.0,0.0,157398.0,,157398.0,,0.0,,0,0.0,,51,157398.0,0,0.0
ml_cold_start_raw_future_guardrail_min_1p0_units,6a8a9d25e555f7e0b7f8cd32be1bf771e3bc81f6db2e7891a7f1ff040c66b460,2026-05-18_35545c9dce78_2026-05-18_35545c9dce78_FwdDemandCSV_2026-05-18.csv,2026-05-19,2026-06-01,51,0,51,945.6489330449516,0.0,945.6489330449516,,945.6489330449516,,0.0,,0,0.0,,51,945.6489330449516,0,0.0
ml_cold_start_raw_blended_guardrail_min_1p0_units,6a8a9d25e555f7e0b7f8cd32be1bf771e3bc81f6db2e7891a7f1ff040c66b460,2026-05-18_35545c9dce78_2026-05-18_35545c9dce78_FwdDemandCSV_2026-05-18.csv,2026-05-19,2026-06-01,51,0,51,157398.0,0.0,157398.0,,157398.0,,0.0,,0,0.0,,51,157398.0,0,0.0
hybrid_ml_cold_start_raw_min_1p0_units_recent_w0p05,6a8a9d25e555f7e0b7f8cd32be1bf771e3bc81f6db2e7891a7f1ff040c66b460,2026-05-18_35545c9dce78_2026-05-18_35545c9dce78_FwdDemandCSV_2026-05-18.csv,2026-05-19,2026-06-01,51,0,51,945.6489330449516,0.0,945.6489330449516,,945.6489330449516,,0.0,,0,0.0,,51,945.6489330449516,0,0.0
hybrid_ml_cold_start_raw_min_1p0_units_recent_w0p1,6a8a9d25e555f7e0b7f8cd32be1bf771e3bc81f6db2e7891a7f1ff040c66b460,2026-05-18_35545c9dce78_2026-05-18_35545c9dce78_FwdDemandCSV_2026-05-18.csv,2026-05-19,2026-06-01,51,0,51,945.6489330449516,0.0,945.6489330449516,,945.6489330449516,,0.0,,0,0.0,,51,945.6489330449516,0,0.0
ml_cold_start_raw_future_guardrail_min_5p0_units,6a8a9d25e555f7e0b7f8cd32be1bf771e3bc81f6db2e7891a7f1ff040c66b460,2026-05-18_35545c9dce78_2026-05-18_35545c9dce78_FwdDemandCSV_2026-05-18.csv,2026-05-19,2026-06-01,51,0,51,945.6489330449516,0.0,945.6489330449516,,945.6489330449516,,0.0,,0,0.0,,51,945.6489330449516,0,0.0
ml_cold_start_raw_blended_guardrail_min_5p0_units,6a8a9d25e555f7e0b7f8cd32be1bf771e3bc81f6db2e7891a7f1ff040c66b460,2026-05-18_35545c9dce78_2026-05-18_35545c9dce78_FwdDemandCSV_2026-05-18.csv,2026-05-19,2026-06-01,51,0,51,157398.0,0.0,157398.0,,157398.0,,0.0,,0,0.0,,51,157398.0,0,0.0
hybrid_ml_cold_start_raw_min_5p0_units_recent_w0p05,6a8a9d25e555f7e0b7f8cd32be1bf771e3bc81f6db2e7891a7f1ff040c66b460,2026-05-18_35545c9dce78_2026-05-18_35545c9dce78_FwdDemandCSV_2026-05-18.csv,2026-05-19,2026-06-01,51,0,51,945.6489330449516,0.0,945.6489330449516,,945.6489330449516,,0.0,,0,0.0,,51,945.6489330449516,0,0.0
hybrid_ml_cold_start_raw_min_5p0_units_recent_w0p1,6a8a9d25e555f7e0b7f8cd32be1bf771e3bc81f6db2e7891a7f1ff040c66b460,2026-05-18_35545c9dce78_2026-05-18_35545c9dce78_FwdDemandCSV_2026-05-18.csv,2026-05-19,2026-06-01,51,0,51,945.6489330449516,0.0,945.6489330449516,,945.6489330449516,,0.0,,0,0.0,,51,945.6489330449516,0,0.0
