Window,Candidate,ForecastRows,ForecastSkuDays,SoldSkuDays,ForecastUnits,SoldUnits,AbsErrorUnits,WAPE,BiasPct,SoldUnitCoveragePct,ZeroForecastSoldUnitPct,ZeroForecastSoldUnits
2026-05-26_2026-06-08,hybrid_ml_raw_min20_recent_w0p05_cap_recent_x0p85,9251,106093,80540,214013.3415178571,231129.0,215520.53402161307,0.9324685955531892,-0.0740524057220984,0.8468950239909314,0.1531049760090685,35387.0
2026-05-26_2026-06-08,hybrid_ml_raw_min20_recent_w0p1_cap_recent_x0p85,11270,109619,80540,214013.3415178572,231129.0,215765.08025691856,0.933526646404902,-0.0740524057220982,0.8526493862734663,0.1473506137265336,34057.0
2026-05-26_2026-06-08,hybrid_ml_raw_min20_recent_w0p05_cap_recent_x1p0,9251,106093,80540,251780.40178571432,231129.0,228287.91359954467,0.9877077891547348,0.0893501109151786,0.8468950239909314,0.1531049760090685,35387.0
2026-05-26_2026-06-08,hybrid_ml_raw_min20_recent_w0p1_cap_recent_x1p0,11270,109619,80540,251780.40178571423,231129.0,228479.52589436332,0.9885368166450916,0.0893501109151783,0.8526493862734663,0.1473506137265336,34057.0
2026-05-26_2026-06-08,recent_no_ml_no_promo_floor,16789,235046,80540,251780.4017857143,231129.0,237318.16384028053,1.0267779631300291,0.0893501109151785,0.9798640585993104,0.0201359414006896,4654.0
2026-05-26_2026-06-08,hybrid_ml_raw_min20_recent_w0p05_cap_recent_x1p1,9251,106093,80540,276958.4419642858,231129.0,239120.14752546823,1.0345744044471628,0.1982851220066966,0.8468950239909314,0.1531049760090685,35387.0
2026-05-26_2026-06-08,hybrid_ml_raw_min20_recent_w0p1_cap_recent_x1p1,11270,109619,80540,276958.4419642857,231129.0,239125.38318729767,1.034597056999761,0.1982851220066961,0.8526493862734663,0.1473506137265336,34057.0
2026-05-26_2026-06-08,hybrid_ml_raw_min20_recent_w0p05,9251,106093,80540,521651.0,231129.0,396324.0,1.714730734784471,1.2569690519147316,0.8468950239909314,0.1531049760090685,35387.0
2026-05-26_2026-06-08,hybrid_ml_raw_min20_recent_w0p1,11270,109619,80540,525206.0,231129.0,398025.0,1.7220902612826603,1.2723500729030108,0.8526493862734663,0.1473506137265336,34057.0
2026-05-27_2026-06-08,hybrid_ml_raw_min20_recent_w0p05_cap_recent_x0p85,9306,107678,72182,220720.4790178572,193626.0,202835.99054874555,1.0475658772517409,0.1399320288486937,0.8570078398562176,0.1429921601437823,27687.0
2026-05-27_2026-06-08,hybrid_ml_raw_min20_recent_w0p1_cap_recent_x0p85,11291,111236,72182,220720.4790178572,193626.0,202967.28378059695,1.0482439537076476,0.1399320288486937,0.8633809509053536,0.1366190490946463,26453.0
2026-05-27_2026-06-08,hybrid_ml_raw_min20_recent_w0p05_cap_recent_x1p0,9306,107678,72182,259671.1517857143,193626.0,220852.24648114224,1.1406125545182064,0.3410965045278748,0.8570078398562176,0.1429921601437823,27687.0
2026-05-27_2026-06-08,hybrid_ml_raw_min20_recent_w0p1_cap_recent_x1p0,11291,111236,72182,259671.15178571423,193626.0,220871.44608091348,1.1407117126879318,0.3410965045278746,0.8633809509053536,0.1366190490946463,26453.0
2026-05-27_2026-06-08,hybrid_ml_raw_min20_recent_w0p1_cap_recent_x1p1,11291,111236,72182,285638.2669642857,193626.0,234306.36174616776,1.2100976198762965,0.4752061549806625,0.8633809509053536,0.1366190490946463,26453.0
2026-05-27_2026-06-08,hybrid_ml_raw_min20_recent_w0p05_cap_recent_x1p1,9306,107678,72182,285638.2669642857,193626.0,234472.8694652962,1.210957564920497,0.4752061549806625,0.8570078398562176,0.1429921601437823,27687.0
2026-05-27_2026-06-08,recent_no_ml_no_promo_floor,16747,234458,72182,259671.15178571432,193626.0,235520.9692595617,1.2163705765731965,0.341096504527875,0.9782105708944048,0.0217894291055953,4219.0
2026-05-27_2026-06-08,corporate_exact_snapshot,6376,64011,72182,153927.0,193626.0,237197.0,1.2250265976676686,-0.2050292832574137,0.5628789522068317,0.4371210477931683,84638.0
2026-05-27_2026-06-08,hybrid_ml_raw_min20_recent_w0p05,9306,107678,72182,555951.0,193626.0,437599.0,2.2600218978856144,1.8712621238883207,0.8570078398562176,0.1429921601437823,27687.0
2026-05-27_2026-06-08,hybrid_ml_raw_min20_recent_w0p1,11291,111236,72182,559535.0,193626.0,439417.0,2.269411132802413,1.8897720347474,0.8633809509053536,0.1366190490946463,26453.0
