Division,Department,Class,SKUs,FDUnits,MLUnits,RecentUnits,MLSelectedSKUs
Girls,G dress,G SL dress,617,55249,57444.85435951073,22050.462032589796,384
Kids Unisex Sleep,S KU SJ,S KU SJ print,944,55116,58729.830981859464,24071.530199457233,516
Baby Sleepwear,BS footless sleeper,BS footless print,744,30794,33374.8351896733,13032.605652591763,419
Kids Unisex,KU top,KU SS top,449,21215,22870.543855385113,12489.226970481583,284
Girls,G short,G k short,285,21209,22041.733421069297,10568.981966753232,190
Kids Unisex Sleep,S KU LJ,S KU LJ print,870,19326,23411.193480139573,8087.1810279449155,302
Girls,G dress,G SS dress,557,17124,20293.728347181135,10337.282582231675,225
Boys,B top,B SS top,557,16409,19056.513495168856,6056.175962787327,325
Girls,G swimwear,G swim 2pc,332,15985,17267.832516426835,6154.57549219711,226
Baby Apparel,Bby sets,Bby SS set,305,14215,15796.827941761618,7231.395958127321,158
Boys,B swimwear,B swim rash guard,158,11052,11345.90474475718,4726.812862263537,133
Kids Unders,U G underwear,U G unders bottom,105,10756,10855.56577060601,5129.620788074027,89
Boys,B swimwear,B swim trunk,228,10359,11125.573290854047,4797.3406037863115,161
Kids Unders,U B underwear,U B unders bottom,105,9133,9306.545105060382,4456.8200648189595,79
Kids Unisex,KU top,KU LS top,514,9066,11797.798208640628,4305.827683483259,204
Girls,G swimwear,G swim 1pc,271,9065,10560.770949079719,4485.90366957062,148
Girls,G pant,G k pant,287,8012,9077.692799786753,5425.546466422167,123
Boys,B short,B w short,144,7742,8155.316996927183,3759.7830042708424,110
Kids Unisex,KU pant,KU k pant,114,6713,7043.222868561402,3226.3412204508127,76
Girls,G dress,G LS dress,491,6689,8578.866958913073,2259.068999085188,135
Girls,G top,G SL top,93,6582,6785.436761942707,2379.5235954316463,77
Girls,G sets,G SL set,154,5967,6754.575436596027,2780.1502508857625,90
Baby Apparel,Bby dress,Bby SL dress,155,5678,6445.25320256516,2475.257127739194,90
Baby Apparel,Bby swimwear,Bby swim rash guard,110,5661,5987.199338951996,3076.8030193526943,69
Girls,G swimwear,G swim rash guard,139,5421,6016.28964333937,1910.0657420652683,89
Kids Unisex,KU short,KU k short,87,5149,5342.28880061035,2698.2314308352534,70
Baby Apparel,Bby 1pc,Bby SL 1pc,150,4572,5419.86263766977,2548.935593110066,69
Girls,G top,G SS top,191,4553,5613.375143750062,3136.182045720667,94
Boys,B short,B k short,100,4340,4677.432329551203,2057.422672807012,69
Baby Apparel,Bby top,Bby SS top,90,4302,4600.621883515302,2337.59473191467,65
Collab Sleepwear,CS Kids Unisex sleep,CS KU LJ,385,4052,6284.259575357303,1983.9865708090708,107
Boys,B top,B LS top,381,4027,6108.716580357785,2028.3390680553523,113
Girls,G short,G w short,32,3981,3991.041699962743,1588.9342729323562,31
Girls,G swimwear,G swim cover up,56,3951,4057.345843590101,2023.4918005967422,49
Girls,G sets,G SS set,218,3812,5369.222225287164,1987.8643847759588,73
Boys,B pant,B k pant,166,3644,4382.783712748528,2085.779187439881,63
