SKU,FD1ToFD14Units,ML14DayForecastUnits,Recent14DayUnits,SelectedByMLThreshold,RecentFallbackWeight
82912-2RO-100,631,631.3729433134762,173.5321750182378,True,0.0
82912-2RO-110,631,631.3729433134762,242.12100955756927,True,0.0
82912-2RO-120,631,631.3729433134762,222.97430309605974,True,0.0
84460-6GS-110,631,631.3729433134762,271.6893410550902,True,0.0
84505-5ZU-120,631,631.3729433134762,202.13105302403676,True,0.0
84460-5ZO-110,613,613.3679104132669,241.87864618463874,True,0.0
84428-1WC-120,577,576.5183736220821,182.98434656252732,True,0.0
84460-5ZO-120,577,576.5183736220821,246.96827701617926,True,0.0
84460-6GS-120,577,576.5183736220821,238.00083221775074,True,0.0
80681-6GV-130,566,565.5753917889607,152.93128831914532,True,0.0
84505-5ZU-110,561,561.0195748946961,151.47710808156233,True,0.0
84428-1WC-130,560,560.0437090805921,182.4996198166663,True,0.0
84460-5ZO-100,545,544.9773058911528,196.31433207370478,True,0.0
84505-5ZU-130,540,540.0835311694999,113.91078527733487,True,0.0
84460-65Z-120,512,511.8560736932215,187.83161402113728,True,0.0
84662-1NV-110,502,502.39474331671454,126.99840741558187,True,0.0
84505-5ZU-100,501,501.24771789825536,104.21625036011488,True,0.0
84434-66I-120,488,487.7343364835835,102.5197067496014,True,0.0
84460-61J-120,488,487.7343364835835,192.92124485267777,True,0.0
84505-6H6-120,484,483.71288492325783,163.35291335515683,True,0.0
84460-65Z-110,481,480.7417276237294,182.98434656252732,True,0.0
58660-4PQ-S,480,480.4537620715963,187.10452390234582,True,0.0
82912-2RO-90,477,477.033479334667,111.00242480216889,True,0.0
84130-461-120,475,474.99872793815985,76.58682584603793,True,0.0
84434-65Z-120,475,474.99872793815985,125.78659055092936,True,0.0
84505-6H6-110,468,468.205464322852,149.05347435225735,True,0.0
82912-2RO-130,464,464.14577015478875,102.5197067496014,True,0.0
84505-5ZX-120,452,452.2039012735712,187.3468872752763,True,0.0
84460-61J-110,449,448.7167919932437,171.83563140772432,True,0.0
84460-6GW-120,449,448.7167919932437,168.68490755962782,True,0.0
84460-6GS-100,447,446.736831071608,198.2532390571488,True,0.0
84662-1NV-120,447,446.736831071608,101.55025325787939,True,0.0
43205-5HC-120,446,445.797409924572,192.43651810681678,True,0.0
65642-5LG-110,444,443.82994101211193,269.7504340716462,True,0.0
84130-461-110,443,443.0525936415611,78.04100608362091,True,0.0
45346-5HB-120,435,434.5216779783032,265.14552998596673,True,0.0
84428-1WC-110,435,435.2890556777631,127.48313416144286,True,0.0
84434-65Z-110,435,435.2890556777631,91.3709915947984,True,0.0
84460-6GW-110,435,435.44488104098815,158.74800926947734,True,0.0
80681-6GV-100,433,432.9947300119924,137.90475919745435,True,0.0
84433-68I-130,414,414.4437046166218,165.29182033860081,True,0.0
84460-5ZO-130,414,414.4437046166218,131.84567487419184,True,0.0
84460-5ZO-90,414,414.4437046166218,153.41601506500635,True,0.0
84505-5ZX-110,414,414.4437046166218,160.92927962585185,True,0.0
81718-68I-120,412,411.74055899853215,244.30227991394372,True,0.0
84460-5ZU-120,409,409.1990492086684,223.45902984192077,True,0.0
84448-61J-120,407,406.52899327571504,205.7665036179943,True,0.0
84434-65Z-130,400,400.01457397940504,93.7946253241034,True,0.0
58660-4SK-S,397,397.37070055893804,184.19616342717978,True,0.0
84620-6GV-120,396,395.7644145338502,156.32437554017233,True,0.0
84428-1WC-140,394,394.44013098214907,145.66038713123035,True,0.0
84433-68I-120,394,394.4716690584738,181.7725296978748,True,0.0
84505-5ZX-130,394,394.4716690584738,123.36295682162435,True,0.0
84428-1WC-100,390,390.2373342691383,88.7049944925629,True,0.0
84460-5ZU-110,390,389.86771450118545,215.94576528107527,True,0.0
84505-5ZU-90,389,388.82995802213844,72.46664850621943,True,0.0
84428-6AQ-130,382,381.94668166532455,138.87421268917635,True,0.0
84428-6GQ-120,380,380.28791765291214,85.06954389860542,True,0.0
84433-66J-130,380,380.28791765291214,141.54020979141185,True,0.0
84130-461-130,377,377.3109761933518,46.291404229725444,True,0.0
84460-65Z-100,375,374.5864435932142,141.78257316434235,True,0.0
84434-66I-130,373,373.06661659929296,79.73754969413442,True,0.0
65642-5LG-120,372,371.9135339238223,236.06192523430673,True,0.0
58660-4PQ-M,371,370.5948312953585,120.45459634645837,True,0.0
45346-5HB-110,369,368.75956027855403,206.49359373678578,True,0.0
84434-66I-110,369,368.95340227647097,81.19172993171742,True,0.0
