Candidate,ForecastRows,ForecastSkuDays,SoldSkuDays,ForecastUnits,SoldUnits,AbsErrorUnits,WAPE,BiasPct,SoldUnitCoveragePct,ZeroForecastSoldUnitPct,ZeroForecastSoldUnits
hybrid_ml_raw_min20_recent_w0p05_cap_recent_x0p85,9306,107678,72182,220720.47901785717,193626.0,202835.99054874555,1.0475658772517407,0.1399320288486937,0.8570078398562176,0.14299216014378235,27687.0
hybrid_ml_raw_min20_recent_w0p1_cap_recent_x0p85,11291,111236,72182,220720.47901785717,193626.0,202967.28378059698,1.0482439537076476,0.1399320288486937,0.8633809509053536,0.13661904909464637,26453.0
hybrid_ml_raw_min20_recent_w0p05_cap_recent_x1p0,9306,107678,72182,259671.1517857143,193626.0,220852.24648114224,1.1406125545182064,0.3410965045278748,0.8570078398562176,0.14299216014378235,27687.0
hybrid_ml_raw_min20_recent_w0p1_cap_recent_x1p0,11291,111236,72182,259671.15178571426,193626.0,220871.44608091348,1.1407117126879318,0.34109650452787466,0.8633809509053536,0.13661904909464637,26453.0
hybrid_ml_raw_min20_recent_w0p1_cap_recent_x1p1,11291,111236,72182,285638.26696428575,193626.0,234306.36174616776,1.2100976198762965,0.4752061549806625,0.8633809509053536,0.13661904909464637,26453.0
hybrid_ml_raw_min20_recent_w0p05_cap_recent_x1p1,9306,107678,72182,285638.26696428575,193626.0,234472.86946529621,1.2109575649204973,0.4752061549806625,0.8570078398562176,0.14299216014378235,27687.0
recent_no_ml_no_promo_floor,16747,234458,72182,259671.15178571432,193626.0,235520.96925956174,1.2163705765731965,0.341096504527875,0.9782105708944047,0.021789429105595323,4219.0
corporate_exact_snapshot,6376,64011,72182,153927.0,193626.0,237197.0,1.2250265976676686,-0.20502928325741376,0.5628789522068317,0.4371210477931683,84638.0
hybrid_ml_raw_min20_recent_w0p05,9306,107678,72182,555951.0,193626.0,437599.0,2.2600218978856144,1.8712621238883207,0.8570078398562176,0.14299216014378235,27687.0
hybrid_ml_raw_min20_recent_w0p1,11291,111236,72182,559535.0,193626.0,439417.0,2.269411132802413,1.8897720347473996,0.8633809509053536,0.13661904909464637,26453.0
