Candidate,ForecastDate,ForecastSkuDays,SoldSkuDays,ForecastUnits,SoldUnits,AbsErrorUnits,UnderForecastUnits,OverForecastUnits,ZeroForecastSoldUnits,ForecastNoSaleUnits,BiasUnitsForecastMinusActual,BiasPct,WAPE,SoldUnitCoveragePct
hybrid_ml_raw_min20_recent_w0p05,2026-06-18,3226,5639,9781.0,14800.0,15991.0,10505.0,5486.0,8099.0,4300.0,-5019.0,-0.3391216216216216,1.080472972972973,0.4527702702702703
hybrid_ml_raw_min20_recent_w0p05,2026-06-19,3177,5930,8631.0,18725.0,19626.0,14860.0,4766.0,10550.0,3858.0,-10094.0,-0.5390654205607477,1.0481174899866488,0.43658210947930576
hybrid_ml_raw_min20_recent_w0p05,2026-06-20,3173,5969,8434.0,17835.0,18989.0,14195.0,4794.0,10608.0,4001.0,-9401.0,-0.5271096159237454,1.0647042332492291,0.40521446593776284
hybrid_ml_raw_min20_recent_w0p05,2026-06-21,3174,6719,10266.0,25784.0,26210.0,20864.0,5346.0,14923.0,4383.0,-15518.0,-0.6018461061123177,1.0165218740304065,0.42123022029165375
hybrid_ml_raw_min20_recent_w0p05,2026-06-22,8440,7552,16877.0,37848.0,35907.0,28439.0,7468.0,5327.0,6758.0,-20971.0,-0.5540847600930036,0.948715916296766,0.8592528006763898
hybrid_ml_raw_min20_recent_w0p05,2026-06-23,3532,6879,10471.0,29449.0,29740.0,24359.0,5381.0,15821.0,4891.0,-18978.0,-0.6444361438418962,1.0098814900336175,0.4627661380692044
hybrid_ml_raw_min20_recent_w0p05,2026-06-24,3187,6769,9706.0,29266.0,30082.0,24821.0,5261.0,17425.0,4748.0,-19560.0,-0.668352354267751,1.0278821841044214,0.40459919360349894
hybrid_ml_raw_min20_recent_w0p05,2026-06-25,3198,5835,9437.0,21373.0,23912.0,17924.0,5988.0,13756.0,5008.0,-11936.0,-0.5584616104430824,1.1187947410284003,0.35638422308520096
hybrid_ml_raw_min20_recent_w0p05_cap_recent_x0p85,2026-06-18,3226,5639,9781.0,14800.0,15991.0,10505.0,5486.0,8099.0,4300.0,-5019.0,-0.3391216216216216,1.080472972972973,0.4527702702702703
hybrid_ml_raw_min20_recent_w0p05_cap_recent_x0p85,2026-06-19,3177,5930,8631.0,18725.0,19626.0,14860.0,4766.0,10550.0,3858.0,-10094.0,-0.5390654205607477,1.0481174899866488,0.43658210947930576
hybrid_ml_raw_min20_recent_w0p05_cap_recent_x0p85,2026-06-20,3173,5969,8434.0,17835.0,18989.0,14195.0,4794.0,10608.0,4001.0,-9401.0,-0.5271096159237454,1.0647042332492291,0.40521446593776284
hybrid_ml_raw_min20_recent_w0p05_cap_recent_x0p85,2026-06-21,3174,6719,10266.0,25784.0,26210.0,20864.0,5346.0,14923.0,4383.0,-15518.0,-0.6018461061123177,1.0165218740304065,0.42123022029165375
hybrid_ml_raw_min20_recent_w0p05_cap_recent_x0p85,2026-06-22,8440,7552,16877.0,37848.0,35907.0,28439.0,7468.0,5327.0,6758.0,-20971.0,-0.5540847600930036,0.948715916296766,0.8592528006763898
hybrid_ml_raw_min20_recent_w0p05_cap_recent_x0p85,2026-06-23,3532,6879,10471.0,29449.0,29740.0,24359.0,5381.0,15821.0,4891.0,-18978.0,-0.6444361438418962,1.0098814900336175,0.4627661380692044
hybrid_ml_raw_min20_recent_w0p05_cap_recent_x0p85,2026-06-24,3187,6769,9706.0,29266.0,30082.0,24821.0,5261.0,17425.0,4748.0,-19560.0,-0.668352354267751,1.0278821841044214,0.40459919360349894
hybrid_ml_raw_min20_recent_w0p05_cap_recent_x0p85,2026-06-25,3198,5835,9437.0,21373.0,23912.0,17924.0,5988.0,13756.0,5008.0,-11936.0,-0.5584616104430824,1.1187947410284003,0.35638422308520096
hybrid_ml_raw_min20_recent_w0p05_cap_recent_x1p0,2026-06-18,3226,5639,9781.0,14800.0,15991.0,10505.0,5486.0,8099.0,4300.0,-5019.0,-0.3391216216216216,1.080472972972973,0.4527702702702703
hybrid_ml_raw_min20_recent_w0p05_cap_recent_x1p0,2026-06-19,3177,5930,8631.0,18725.0,19626.0,14860.0,4766.0,10550.0,3858.0,-10094.0,-0.5390654205607477,1.0481174899866488,0.43658210947930576
hybrid_ml_raw_min20_recent_w0p05_cap_recent_x1p0,2026-06-20,3173,5969,8434.0,17835.0,18989.0,14195.0,4794.0,10608.0,4001.0,-9401.0,-0.5271096159237454,1.0647042332492291,0.40521446593776284
hybrid_ml_raw_min20_recent_w0p05_cap_recent_x1p0,2026-06-21,3174,6719,10266.0,25784.0,26210.0,20864.0,5346.0,14923.0,4383.0,-15518.0,-0.6018461061123177,1.0165218740304065,0.42123022029165375
hybrid_ml_raw_min20_recent_w0p05_cap_recent_x1p0,2026-06-22,8440,7552,16877.0,37848.0,35907.0,28439.0,7468.0,5327.0,6758.0,-20971.0,-0.5540847600930036,0.948715916296766,0.8592528006763898
hybrid_ml_raw_min20_recent_w0p05_cap_recent_x1p0,2026-06-23,3532,6879,10471.0,29449.0,29740.0,24359.0,5381.0,15821.0,4891.0,-18978.0,-0.6444361438418962,1.0098814900336175,0.4627661380692044
hybrid_ml_raw_min20_recent_w0p05_cap_recent_x1p0,2026-06-24,3187,6769,9706.0,29266.0,30082.0,24821.0,5261.0,17425.0,4748.0,-19560.0,-0.668352354267751,1.0278821841044214,0.40459919360349894
hybrid_ml_raw_min20_recent_w0p05_cap_recent_x1p0,2026-06-25,3198,5835,9437.0,21373.0,23912.0,17924.0,5988.0,13756.0,5008.0,-11936.0,-0.5584616104430824,1.1187947410284003,0.35638422308520096
hybrid_ml_raw_min20_recent_w0p05_cap_recent_x1p1,2026-06-18,3226,5639,9781.0,14800.0,15991.0,10505.0,5486.0,8099.0,4300.0,-5019.0,-0.3391216216216216,1.080472972972973,0.4527702702702703
hybrid_ml_raw_min20_recent_w0p05_cap_recent_x1p1,2026-06-19,3177,5930,8631.0,18725.0,19626.0,14860.0,4766.0,10550.0,3858.0,-10094.0,-0.5390654205607477,1.0481174899866488,0.43658210947930576
hybrid_ml_raw_min20_recent_w0p05_cap_recent_x1p1,2026-06-20,3173,5969,8434.0,17835.0,18989.0,14195.0,4794.0,10608.0,4001.0,-9401.0,-0.5271096159237454,1.0647042332492291,0.40521446593776284
hybrid_ml_raw_min20_recent_w0p05_cap_recent_x1p1,2026-06-21,3174,6719,10266.0,25784.0,26210.0,20864.0,5346.0,14923.0,4383.0,-15518.0,-0.6018461061123177,1.0165218740304065,0.42123022029165375
