Candidate,SKU,ForecastDays,SoldDays,ForecastUnits,SoldUnits,AbsErrorUnits,UnderForecastUnits,OverForecastUnits,ZeroForecastSoldUnits,ForecastNoSaleUnits,BiasUnitsForecastMinusActual,BiasPct,WAPE,SoldUnitCoveragePct,InventorySnapshotDays,DaysWithPickableInventory,MinPickfacePhysicalQty,MaxPickfacePhysicalQty,AvgPickfacePhysicalQty,AnyPickableInventory,AllObservedDaysNoPickableInventory
hybrid_ml_raw_min20_recent_w0p05,84433-68I-140,8,0,221.0,0.0,221.0,0.0,221.0,0.0,221.0,221.0,,,,0,0,,,,False,False
hybrid_ml_raw_min20_recent_w0p05,81798-1VM-120,8,0,117.0,0.0,117.0,0.0,117.0,0.0,117.0,117.0,,,,0,0,,,,False,False
hybrid_ml_raw_min20_recent_w0p05,47684-5LW-150,8,0,108.0,0.0,108.0,0.0,108.0,0.0,108.0,108.0,,,,0,0,,,,False,False
hybrid_ml_raw_min20_recent_w0p05,58663-85H-M,8,0,97.0,0.0,97.0,0.0,97.0,0.0,97.0,97.0,,,,0,0,,,,False,False
hybrid_ml_raw_min20_recent_w0p05,84433-66J-140,8,0,95.0,0.0,95.0,0.0,95.0,0.0,95.0,95.0,,,,0,0,,,,False,False
hybrid_ml_raw_min20_recent_w0p05,84433-66J-110,8,1,105.0,1.0,104.0,0.0,104.0,0.0,92.0,104.0,104.0,104.0,1.0,0,0,,,,False,False
hybrid_ml_raw_min20_recent_w0p05,58662-4O4-S,8,1,102.0,2.0,100.0,0.0,100.0,0.0,89.0,100.0,50.0,50.0,1.0,1,1,1.0,1.0,1.0,True,False
hybrid_ml_raw_min20_recent_w0p05,82008-4KQ-110,8,0,87.0,0.0,87.0,0.0,87.0,0.0,87.0,87.0,,,,0,0,,,,False,False
hybrid_ml_raw_min20_recent_w0p05,84620-6GV-120,8,2,111.0,3.0,108.0,0.0,108.0,0.0,84.0,108.0,36.0,36.0,1.0,2,2,1.0,1.0,1.0,True,False
hybrid_ml_raw_min20_recent_w0p05,84433-66J-130,8,2,111.0,23.0,98.0,5.0,93.0,0.0,84.0,88.0,3.8260869565217392,4.260869565217392,1.0,0,0,,,,False,False
hybrid_ml_raw_min20_recent_w0p05,82912-2RO-120,8,2,109.0,7.0,102.0,0.0,102.0,0.0,82.0,102.0,14.571428571428571,14.571428571428571,1.0,2,2,2.0,2.0,2.0,True,False
hybrid_ml_raw_min20_recent_w0p05,81666-3HZ-90,8,0,80.0,0.0,80.0,0.0,80.0,0.0,80.0,80.0,,,,0,0,,,,False,False
hybrid_ml_raw_min20_recent_w0p05,83403-5MM-75,8,0,80.0,0.0,80.0,0.0,80.0,0.0,80.0,80.0,,,,0,0,,,,False,False
hybrid_ml_raw_min20_recent_w0p05,84084-2MH-130,8,0,79.0,0.0,79.0,0.0,79.0,0.0,79.0,79.0,,,,0,0,,,,False,False
hybrid_ml_raw_min20_recent_w0p05,58661-4ON-L,8,0,78.0,0.0,78.0,0.0,78.0,0.0,78.0,78.0,,,,0,0,,,,False,False
hybrid_ml_raw_min20_recent_w0p05,84433-66J-120,8,3,119.0,45.0,100.0,13.0,87.0,0.0,76.0,74.0,1.6444444444444444,2.2222222222222223,1.0,1,1,3.0,3.0,3.0,True,False
hybrid_ml_raw_min20_recent_w0p05,58660-3GD-L,8,0,76.0,0.0,76.0,0.0,76.0,0.0,76.0,76.0,,,,0,0,,,,False,False
hybrid_ml_raw_min20_recent_w0p05,81718-6GT-100,8,0,73.0,0.0,73.0,0.0,73.0,0.0,73.0,73.0,,,,1,1,1.0,1.0,1.0,True,False
hybrid_ml_raw_min20_recent_w0p05,82721-6CY-120,8,0,72.0,0.0,72.0,0.0,72.0,0.0,72.0,72.0,,,,0,0,,,,False,False
hybrid_ml_raw_min20_recent_w0p05,81569-1FO-120,8,0,71.0,0.0,71.0,0.0,71.0,0.0,71.0,71.0,,,,0,0,,,,False,False
hybrid_ml_raw_min20_recent_w0p05,84084-2MH-140,8,0,71.0,0.0,71.0,0.0,71.0,0.0,71.0,71.0,,,,0,0,,,,False,False
hybrid_ml_raw_min20_recent_w0p05,81718-68I-110,8,1,80.0,1.0,79.0,0.0,79.0,0.0,70.0,79.0,79.0,79.0,1.0,0,0,,,,False,False
hybrid_ml_raw_min20_recent_w0p05,84551-66I-80,8,1,78.0,1.0,77.0,0.0,77.0,0.0,68.0,77.0,77.0,77.0,1.0,0,0,,,,False,False
hybrid_ml_raw_min20_recent_w0p05,84646-6FN-60,8,0,67.0,0.0,67.0,0.0,67.0,0.0,67.0,67.0,,,,0,0,,,,False,False
hybrid_ml_raw_min20_recent_w0p05,47761-2NP-90,8,0,66.0,0.0,66.0,0.0,66.0,0.0,66.0,66.0,,,,0,0,,,,False,False
hybrid_ml_raw_min20_recent_w0p05,84608-6CN-120,8,1,74.0,2.0,72.0,0.0,72.0,0.0,65.0,72.0,36.0,36.0,1.0,0,0,,,,False,False
hybrid_ml_raw_min20_recent_w0p05,81763-1RJ-90,8,0,65.0,0.0,65.0,0.0,65.0,0.0,65.0,65.0,,,,0,0,,,,False,False
hybrid_ml_raw_min20_recent_w0p05,83077-3F3-130,8,0,64.0,0.0,64.0,0.0,64.0,0.0,64.0,64.0,,,,0,0,,,,False,False
hybrid_ml_raw_min20_recent_w0p05,84505-5ZU-110,8,2,79.0,3.0,76.0,0.0,76.0,0.0,59.0,76.0,25.333333333333332,25.333333333333332,1.0,0,0,,,,False,False
hybrid_ml_raw_min20_recent_w0p05,84428-1WC-150,8,1,67.0,1.0,66.0,0.0,66.0,0.0,59.0,66.0,66.0,66.0,1.0,0,0,,,,False,False
hybrid_ml_raw_min20_recent_w0p05,81563-1UN-85,8,0,58.0,0.0,58.0,0.0,58.0,0.0,58.0,58.0,,,,0,0,,,,False,False
hybrid_ml_raw_min20_recent_w0p05,81718-6GT-90,8,1,65.0,1.0,64.0,0.0,64.0,0.0,57.0,64.0,64.0,64.0,1.0,0,0,,,,False,False
hybrid_ml_raw_min20_recent_w0p05,82768-5YM-120,8,1,65.0,1.0,64.0,0.0,64.0,0.0,57.0,64.0,64.0,64.0,1.0,0,0,,,,False,False
hybrid_ml_raw_min20_recent_w0p05,82719-65Z-90,8,0,56.0,0.0,56.0,0.0,56.0,0.0,56.0,56.0,,,,0,0,,,,False,False
hybrid_ml_raw_min20_recent_w0p05,68119-23G-150,8,0,55.0,0.0,55.0,0.0,55.0,0.0,55.0,55.0,,,,0,0,,,,False,False
hybrid_ml_raw_min20_recent_w0p05,83403-5MM-80,8,0,55.0,0.0,55.0,0.0,55.0,0.0,55.0,55.0,,,,0,0,,,,False,False
hybrid_ml_raw_min20_recent_w0p05,84329-5MZ-130,8,0,55.0,0.0,55.0,0.0,55.0,0.0,55.0,55.0,,,,0,0,,,,False,False
