Candidate,ForecastRows,ForecastSkuDays,SoldSkuDays,ForecastUnits,SoldUnits,AbsErrorUnits,WAPE,BiasPct,SoldUnitCoveragePct,ZeroForecastSoldUnitPct,ZeroForecastSoldUnits
hybrid_ml_raw_min20_recent_w0p05,8440,51604,51292,142365.0,195080.0,259219.0,1.3287830633586222,-0.2702224728316588,0.5052850112774246,0.49471498872257536,96509.0
hybrid_ml_raw_min20_recent_w0p05_cap_recent_x0p85,8440,51604,51292,142365.0,195080.0,259219.0,1.3287830633586222,-0.2702224728316588,0.5052850112774246,0.49471498872257536,96509.0
hybrid_ml_raw_min20_recent_w0p05_cap_recent_x1p0,8440,51604,51292,142365.0,195080.0,259219.0,1.3287830633586222,-0.2702224728316588,0.5052850112774246,0.49471498872257536,96509.0
hybrid_ml_raw_min20_recent_w0p05_cap_recent_x1p1,8440,51604,51292,142365.0,195080.0,259219.0,1.3287830633586222,-0.2702224728316588,0.5052850112774246,0.49471498872257536,96509.0
hybrid_ml_raw_min20_recent_w0p1,10952,59887,51292,150696.0,195080.0,262018.0,1.3431310231699816,-0.22751691613696945,0.5605648964527373,0.4394351035472627,85725.0
hybrid_ml_raw_min20_recent_w0p1_cap_recent_x0p85,10952,59887,51292,150696.0,195080.0,262018.0,1.3431310231699816,-0.22751691613696945,0.5605648964527373,0.4394351035472627,85725.0
hybrid_ml_raw_min20_recent_w0p1_cap_recent_x1p0,10952,59887,51292,150696.0,195080.0,262018.0,1.3431310231699816,-0.22751691613696945,0.5605648964527373,0.4394351035472627,85725.0
hybrid_ml_raw_min20_recent_w0p1_cap_recent_x1p1,10952,59887,51292,150696.0,195080.0,262018.0,1.3431310231699816,-0.22751691613696945,0.5605648964527373,0.4394351035472627,85725.0
recent_no_ml_no_promo_floor,16336,228704,51292,277260.14285714284,195080.0,298242.5129871877,1.528821575698112,0.4212638038606871,0.9969192126307156,0.0030807873692843962,601.0
july_sale_yoy_lift_overlay,49270,469280,51292,424959.32277133066,195080.0,436764.7429637402,2.2389006713335053,1.1783848819526894,0.9982622513840476,0.0017377486159524298,339.0
