SKU,FD1ToFD14Units,ML14DayForecastUnits,Recent14DayUnits,SelectedByMLThreshold,RecentFallbackWeight
84433-68I-120,545,544.6862317759892,336.0110990509338,True,0.0
84433-68I-130,472,472.0641288428654,294.4760483170286,True,0.0
84433-68I-140,385,384.78527728355795,243.48990819457012,True,0.0
81644-1SA-90,358,357.9349808202926,195.23960973721913,True,0.0
58660-4ON-S,342,341.82144176691423,208.4213923054645,True,0.0
81644-1SA-120,341,340.60765098001104,227.82099683986334,True,0.0
81644-1SA-110,309,308.68958460499266,214.1417885143257,True,0.0
84433-68I-110,285,284.9433676616165,246.47446273832378,True,0.0
84433-68I-100,270,269.92791689785287,177.33228247469714,True,0.0
81718-1SA-120,263,263.2264215583883,141.76634082829923,True,0.0
58660-4ON-M,260,259.6597231219259,175.8400052028203,True,0.0
81644-1SA-130,249,249.39928399687457,157.68396506165215,True,0.0
81644-1SA-100,233,232.85215245493274,195.23960973721913,True,0.0
84428-1WC-120,216,216.29205035986257,287.5120877149367,True,0.0
84433-6GT-120,214,214.4550067117217,110.67723099753186,True,0.0
84433-68I-90,212,211.9604718754411,139.527924920484,True,0.0
81718-1SA-100,209,208.93175859100788,104.70812191002453,True,0.0
84433-66J-120,209,209.3990462261284,229.3132741117402,True,0.0
81798-1VM-120,203,202.90869951005718,0.0,True,0.0
81718-1SA-110,202,201.83241107565686,109.43366660430117,True,0.0
58661-4NA-S,199,199.08585470554493,132.31525143974596,True,0.0
58660-4ON-XS,196,195.66660159829195,117.8899044782699,True,0.0
84620-6GV-120,195,195.49467737870157,195.23960973721913,True,0.0
84433-66J-130,194,193.91528639667038,200.7112930674342,True,0.0
58665-4TF-XS,193,193.25161395903797,155.19683627519075,True,0.0
81644-1SA-140,193,192.58731502876097,100.48000297304017,True,0.0
58663-4SX-S,190,190.08936589088322,162.16079687728265,True,0.0
58660-4ON-L,189,188.92852240482293,95.75445827876352,True,0.0
82912-2RO-120,189,188.54983991752505,334.27010890041083,True,0.0
47684-5LW-150,188,187.52864087862895,0.0,True,0.0
81718-1SA-130,188,187.8755527385541,102.71841888085542,True,0.0
58661-4PX-L,184,183.79949816895666,137.5382218913149,True,0.0
84433-66J-110,184,184.29239380510202,186.7833718632504,True,0.0
84433-6GT-100,182,182.36760714251963,72.12673480738032,True,0.0
84433-6GT-150,178,178.32854376276475,67.15247723445754,True,0.0
58662-4O4-S,176,176.20984947631032,218.36990745131007,True,0.0
58663-85H-M,170,169.5964187297406,0.0,True,0.0
84433-66J-140,166,166.26935844167704,145.9944597652836,True,0.0
81766-1QH-110,163,163.08318000888625,134.05624159026894,True,0.0
84428-1WC-140,162,162.15375692933526,211.15723397057204,True,0.0
84433-6GT-110,161,160.54520354705062,87.54693328344094,True,0.0
58661-4NA-M,160,159.72690442930266,187.03208474189654,True,0.0
58663-011-L,158,157.97775248483867,116.89505296368533,True,0.0
58661-4ON-M,155,154.50750126938837,128.33584538140772,True,0.0
82719-65Z-120,154,154.1215924620637,131.3203999251614,True,0.0
81718-1SA-90,153,152.74491046740567,68.89346738498051,True,0.0
82008-4KQ-110,151,150.89698525865472,0.0,True,0.0
81718-1SA-140,150,149.87462945322795,55.21425905944287,True,0.0
84433-6GT-130,146,146.19032489522004,89.78534919125619,True,0.0
84505-6H6-120,146,146.1266381926682,247.4693142529083,True,0.0
82912-2RO-100,144,144.39952621885777,258.1639680346923,True,0.0
83403-5MM-75,141,141.0495251819734,106.94653781783978,True,0.0
84628-6GV-120,141,140.58186996132298,142.76119234288382,True,0.0
81666-3HZ-90,140,140.44022165037586,0.0,True,0.0
81718-68I-110,140,139.6662765019823,207.42654079087993,True,0.0
84428-1WC-130,140,140.0470850768073,262.88951272896895,True,0.0
45346-5HB-120,139,138.75105854069835,259.65624530656913,True,0.0
84505-5ZU-110,139,139.0375095104376,232.0491157768477,True,0.0
58661-4NA-L,138,138.42943738130322,111.92079539076258,True,0.0
81766-1QH-100,138,138.04454178870387,121.62059765796198,True,0.0
84084-2MH-130,138,138.00671492760563,0.0,True,0.0
58661-4ON-L,136,136.3102210383168,71.38059617144191,True,0.0
81766-1QH-120,135,134.9525701826467,145.74574688663745,True,0.0
84433-66J-100,134,134.40140543257834,130.82297416786912,True,0.0
84551-66I-80,134,133.63791062972638,48.25029845735097,True,0.0
58660-3GD-L,132,132.43635097671876,0.0,True,0.0
81718-1SA-85,132,131.6633809716317,42.03247649119749,True,0.0
58661-4ON-S,130,130.3795212140129,85.05980449697954,True,0.0
