Candidate,ForecastRows,ForecastSkuDays,SoldSkuDays,ForecastUnits,SoldUnits,AbsErrorUnits,WAPE,BiasPct,SoldUnitCoveragePct,ZeroForecastSoldUnitPct,ZeroForecastSoldUnits
hybrid_ml_raw_min20_recent_w0p05,8440,51604,421,142365.0,472.0,142441.0,301.78177966101697,300.6207627118644,0.4258474576271186,0.5741525423728814,271.0
hybrid_ml_raw_min20_recent_w0p05_cap_recent_x0p85,8440,51604,421,142365.0,472.0,142441.0,301.78177966101697,300.6207627118644,0.4258474576271186,0.5741525423728814,271.0
hybrid_ml_raw_min20_recent_w0p05_cap_recent_x1p0,8440,51604,421,142365.0,472.0,142441.0,301.78177966101697,300.6207627118644,0.4258474576271186,0.5741525423728814,271.0
hybrid_ml_raw_min20_recent_w0p05_cap_recent_x1p1,8440,51604,421,142365.0,472.0,142441.0,301.78177966101697,300.6207627118644,0.4258474576271186,0.5741525423728814,271.0
hybrid_ml_raw_min20_recent_w0p1,10952,59887,421,150696.0,472.0,150704.0,319.2881355932203,318.271186440678,0.5,0.5,236.0
hybrid_ml_raw_min20_recent_w0p1_cap_recent_x0p85,10952,59887,421,150696.0,472.0,150704.0,319.2881355932203,318.271186440678,0.5,0.5,236.0
hybrid_ml_raw_min20_recent_w0p1_cap_recent_x1p0,10952,59887,421,150696.0,472.0,150704.0,319.2881355932203,318.271186440678,0.5,0.5,236.0
hybrid_ml_raw_min20_recent_w0p1_cap_recent_x1p1,10952,59887,421,150696.0,472.0,150704.0,319.2881355932203,318.271186440678,0.5,0.5,236.0
recent_no_ml_no_promo_floor,16336,228704,421,277260.14285714284,472.0,276880.44350839243,586.61110912795,586.4155569007263,0.9978813559322034,0.00211864406779661,1.0
july_sale_yoy_lift_overlay,49270,469280,421,605626.8759990574,472.0,605194.5520952586,1282.1918476594462,1282.1077881335962,1.0,0.0,0.0
