EventDate,SupplyCategory,DestinationGroup,Rows,DistinctSKUs,Units
2026-03-30,ActivePutaway,SellableFloor,109,109,10357.0
2026-03-30,ActivePutaway,Staging,109,109,10357.0
2026-03-30,CubiscanPutaway,Other,71,71,5556.0
2026-03-30,ReceivingPutaway,ReserveOrBulk,118,79,11895.0
2026-03-30,ReceivingPutaway,Staging,121,92,9934.0
2026-03-30,Replenishment,SellableFloor,207,202,13520.0
2026-03-30,Replenishment,Staging,168,164,11206.0
2026-03-30,ReturnNonSellable,NonSellable,39,39,39.0
2026-03-30,ReturnOther,Other,563,483,563.0
2026-03-30,ReturnToSellableFloor,SellableFloor,198,178,198.0
2026-03-30,Transfer,Other,70,59,2614.0
2026-03-30,Transfer,ReserveOrBulk,40,40,3088.0
2026-03-30,Transfer,SellableFloor,5,5,273.0
2026-03-31,ActivePutaway,Staging,31,31,1720.0
2026-03-31,CubiscanPutaway,Other,67,67,4781.0
2026-03-31,ReceivingPutaway,Other,47,46,3176.0
2026-03-31,ReceivingPutaway,ReserveOrBulk,119,95,10819.0
2026-03-31,ReceivingPutaway,Staging,284,34,11957.0
2026-03-31,Replenishment,SellableFloor,111,110,8044.0
2026-03-31,Replenishment,Staging,108,107,7720.0
2026-03-31,ReturnNonSellable,NonSellable,13,13,13.0
2026-03-31,ReturnOther,Other,383,316,383.0
2026-03-31,ReturnToSellableFloor,SellableFloor,900,751,900.0
2026-03-31,Transfer,Other,8,8,426.0
2026-03-31,Transfer,ReserveOrBulk,70,66,5061.0
2026-04-01,ActivePutaway,SellableFloor,33,33,1840.0
2026-04-01,ActivePutaway,Staging,113,104,9397.0
2026-04-01,CubiscanPutaway,Other,56,30,3407.0
2026-04-01,ReceivingPutaway,Other,4,4,200.0
2026-04-01,ReceivingPutaway,ReserveOrBulk,585,108,27328.0
2026-04-01,ReceivingPutaway,Staging,428,125,29084.0
2026-04-01,Replenishment,SellableFloor,183,182,13344.0
2026-04-01,Replenishment,Staging,211,208,14886.0
2026-04-01,ReturnNonSellable,NonSellable,26,26,26.0
2026-04-01,ReturnOther,Other,292,271,292.0
2026-04-01,ReturnToSellableFloor,SellableFloor,685,597,685.0
2026-04-01,Transfer,Other,21,21,1387.0
2026-04-01,Transfer,ReserveOrBulk,85,83,5074.0
2026-04-01,Transfer,SellableFloor,1,1,56.0
2026-04-02,ActivePutaway,SellableFloor,114,105,9585.0
2026-04-02,ActivePutaway,Staging,2,2,238.0
2026-04-02,CubiscanPutaway,Other,56,29,3491.0
2026-04-02,ReceivingPutaway,Other,7,7,403.0
2026-04-02,ReceivingPutaway,ReserveOrBulk,331,175,27813.0
2026-04-02,ReceivingPutaway,Staging,114,65,7291.0
2026-04-02,Replenishment,SellableFloor,156,153,9674.0
2026-04-02,Replenishment,Staging,128,126,8132.0
2026-04-02,ReturnNonSellable,NonSellable,16,16,16.0
2026-04-02,ReturnOther,Other,270,243,270.0
2026-04-02,ReturnToSellableFloor,SellableFloor,298,262,298.0
2026-04-02,Transfer,Other,7,6,225.0
2026-04-02,Transfer,ReserveOrBulk,80,36,3354.0
2026-04-02,Transfer,SellableFloor,9,9,466.0
2026-04-03,CubiscanPutaway,Other,1,1,43.0
2026-04-03,ReceivingPutaway,Other,1,1,61.0
2026-04-03,ReceivingPutaway,ReserveOrBulk,1,1,51.0
2026-04-03,Replenishment,SellableFloor,98,95,7298.0
2026-04-03,Replenishment,Staging,111,108,8249.0
2026-04-03,ReturnNonSellable,NonSellable,83,82,83.0
2026-04-03,ReturnOther,Other,432,367,432.0
2026-04-03,ReturnToSellableFloor,SellableFloor,359,335,359.0
2026-04-03,Transfer,NonSellable,1,1,12.0
2026-04-03,Transfer,Other,5,5,198.0
2026-04-03,Transfer,ReserveOrBulk,156,94,7153.0
2026-04-03,Transfer,SellableFloor,5,5,205.0
2026-04-04,ActivePutaway,Staging,15,15,808.0
2026-04-04,CubiscanPutaway,Other,33,33,2102.0
2026-04-04,ReceivingPutaway,ReserveOrBulk,9,9,395.0
2026-04-04,ReceivingPutaway,Staging,503,190,31111.0
2026-04-04,Replenishment,SellableFloor,80,80,4959.0
2026-04-04,Replenishment,Staging,67,67,4008.0
2026-04-04,ReturnNonSellable,NonSellable,18,18,18.0
2026-04-04,ReturnOther,Other,68,65,68.0
2026-04-04,ReturnToSellableFloor,SellableFloor,397,371,397.0
2026-04-04,Transfer,Other,30,29,1356.0
2026-04-05,ReturnNonSellable,NonSellable,11,11,11.0
2026-04-06,ActivePutaway,SellableFloor,15,15,808.0
2026-04-06,CubiscanPutaway,Other,33,33,2102.0
2026-04-06,ReceivingPutaway,Other,33,33,1748.0
2026-04-06,ReceivingPutaway,ReserveOrBulk,473,187,29090.0
2026-04-06,ReceivingPutaway,Staging,9,7,620.0
2026-04-06,Replenishment,SellableFloor,295,283,17494.0
2026-04-06,Replenishment,Staging,295,283,17494.0
2026-04-06,ReturnNonSellable,NonSellable,27,27,27.0
2026-04-06,ReturnOther,Other,224,202,224.0
2026-04-06,ReturnToSellableFloor,SellableFloor,101,97,101.0
2026-04-06,Transfer,ReserveOrBulk,105,45,4142.0
2026-04-06,Transfer,SellableFloor,2,2,75.0
2026-04-07,CubiscanPutaway,Other,42,21,2274.0
2026-04-07,ReceivingPutaway,Other,6,6,315.0
2026-04-07,ReceivingPutaway,ReserveOrBulk,27,13,2151.0
2026-04-07,Replenishment,SellableFloor,172,166,11083.0
2026-04-07,Replenishment,Staging,172,166,11083.0
2026-04-07,ReturnNonSellable,NonSellable,63,63,63.0
2026-04-07,ReturnOther,Other,336,293,336.0
2026-04-07,ReturnToSellableFloor,SellableFloor,197,181,197.0
2026-04-07,Transfer,Other,8,8,426.0
2026-04-07,Transfer,SellableFloor,5,4,236.0
2026-04-08,ReceivingPutaway,ReserveOrBulk,5,5,223.0
2026-04-08,Replenishment,SellableFloor,130,128,8273.0
2026-04-08,Replenishment,Staging,139,137,9011.0
2026-04-08,ReturnNonSellable,NonSellable,46,46,46.0
