LocProfileId,SKU,PickUnits,PickLines,DistinctLocations,FirstPickDate,LastPickDate
invalid,60325-FU8-M,3994.0,3627,1,2022-09-30,2023-12-26
invalid,60310-FX9-L,2782.0,2522,1,2022-10-08,2023-11-01
invalid,59852-VK6-120,2577.0,2474,3,2022-06-27,2023-01-25
invalid,60325-FU8-S,2063.0,1926,1,2022-09-30,2023-10-26
invalid,80039-QX6-L,1983.0,1672,5,2023-11-16,2023-12-19
invalid,62618-RA9-130,1569.0,1457,1,2022-11-10,2024-01-06
invalid,67377-A91-130,1552.0,1144,2,2022-01-16,2023-05-31
invalid,67222-FX9-S/M,1536.0,1406,4,2022-02-10,2026-01-07
invalid,67222-FX9-L/XL,1489.0,1344,4,2023-11-29,2026-01-07
invalid,52312-001-L,1165.0,929,1,2022-01-03,2022-07-27
invalid,67101-FX9-M,1160.0,1102,2,2022-01-15,2025-12-28
invalid,45346-VX9-100,1128.0,1086,3,2022-01-19,2023-01-03
invalid,67377-A91-140,1087.0,809,2,2022-01-16,2023-05-21
invalid,45346-VX9-130,1065.0,1013,2,2022-01-12,2022-05-31
invalid,45346-A91-130,1059.0,907,4,2022-02-15,2022-07-28
invalid,67501-015-90,1034.0,984,1,2022-10-12,2023-09-30
invalid,80039-TN7-XL,1022.0,906,1,2022-10-30,2023-01-29
invalid,50942-GK3-M,965.0,927,1,2022-01-15,2022-06-29
invalid,62027-VU7-70,964.0,948,3,2022-01-30,2023-05-31
invalid,47681-NZ5-120,934.0,858,2,2022-01-02,2022-03-10
invalid,67377-015-90,920.0,845,4,2022-01-16,2022-12-08
invalid,58663-HC7-L,916.0,810,2,2022-03-23,2022-07-27
invalid,48964-EF4-S,904.0,869,3,2022-09-09,2022-12-29
invalid,65642-VS7-120,890.0,877,1,2022-04-06,2022-05-30
invalid,82816-2RR-120,889.0,847,3,2024-09-20,2025-08-12
invalid,33175-16N-130,882.0,848,1,2022-10-18,2022-12-14
invalid,58665-WQ8-S,865.0,829,1,2022-03-09,2022-07-27
invalid,62618-RA9-110,857.0,814,3,2022-01-02,2023-08-13
invalid,58661-WQ8-L,850.0,814,1,2022-04-19,2022-07-27
invalid,65196-XE3-OS,819.0,790,1,2022-07-16,2022-11-09
invalid,80938-XH5-OS,814.0,758,1,2023-07-28,2024-07-31
W001,67867-WV1-120,810.0,792,5,2022-04-29,2022-06-27
invalid,46153-GK3-120,795.0,693,2,2022-01-02,2022-07-26
invalid,62618-RA9-100,787.0,744,1,2022-11-10,2023-01-14
invalid,43197-VX9-120,780.0,742,1,2022-03-05,2022-07-25
invalid,60612-XA3-90,776.0,765,1,2022-05-02,2022-07-23
invalid,62027-RY2-80,775.0,762,1,2022-01-14,2022-05-27
invalid,52408-Q84-110,770.0,724,2,2022-01-29,2022-05-16
invalid,62027-VU7-75,756.0,744,1,2022-03-11,2022-06-24
W001,67848-VX9-110,736.0,726,5,2022-04-25,2022-07-07
invalid,51911-J81-100,735.0,723,3,2022-01-02,2022-07-10
invalid,65197-XH9-OS,731.0,681,2,2022-07-14,2022-11-09
invalid,59852-VJ5-100,731.0,724,3,2022-01-02,2022-04-14
invalid,65196-XH9-OS,728.0,678,1,2022-07-12,2022-11-11
invalid,67377-VX9-110,728.0,703,4,2022-09-13,2023-06-04
invalid,66069-TL8-110,718.0,696,1,2022-06-28,2022-07-17
invalid,65196-XH5-OS,715.0,689,1,2022-07-12,2022-08-19
invalid,65197-XE3-OS,711.0,674,2,2022-07-17,2022-10-29
invalid,82816-2RR-110,709.0,690,3,2024-09-21,2025-10-08
invalid,67360-WM7-120,699.0,680,1,2022-02-27,2022-05-29
invalid,43205-011-120,695.0,616,3,2022-03-16,2022-07-26
invalid,65196-XC8-OS,688.0,661,1,2022-07-15,2022-10-28
invalid,65197-XH5-OS,686.0,665,1,2022-07-12,2022-10-07
W001,67419-UU6-110,683.0,665,1,2022-05-18,2022-07-22
invalid,67444-B42-70,681.0,665,1,2022-01-16,2022-07-20
W001,67419-A71-120,677.0,666,1,2022-05-18,2022-07-26
invalid,58662-WR3-M,660.0,637,1,2022-03-28,2022-06-02
invalid,65775-011-XXS,656.0,635,2,2022-01-02,2022-07-25
invalid,65576-WM6-60,649.0,635,1,2022-02-02,2022-06-01
invalid,47078-QN4-S,648.0,632,2,2022-03-09,2022-07-25
invalid,67377-A91-120,647.0,512,3,2022-10-24,2023-05-31
invalid,67539-NV2-L,633.0,584,2,2022-01-18,2022-07-18
invalid,59852-VK4-100,626.0,612,3,2022-01-09,2022-07-13
invalid,66994-75Z-XS,624.0,580,1,2022-09-19,2024-01-04
invalid,58662-WR4-S,624.0,602,3,2022-05-18,2022-07-29
invalid,60612-XA3-110,619.0,612,2,2022-05-22,2022-07-17
W001,67878-VU6-120,611.0,592,2,2022-06-13,2022-07-14
invalid,47681-NZ5-90,610.0,581,2,2022-01-02,2022-02-22
invalid,67472-EF5-100,608.0,603,1,2022-03-02,2022-07-26
invalid,47684-WM8-100,608.0,600,1,2022-03-08,2022-06-01
invalid,33081-TT2-60,607.0,589,1,2022-01-02,2022-06-03
invalid,67557-001-75,605.0,588,3,2022-01-17,2022-07-19
invalid,54636-1DT-L,591.0,530,1,2024-01-11,2024-08-08
invalid,67128-QR7-90,582.0,569,2,2022-01-05,2022-03-28
invalid,47684-WF7-100,578.0,566,2,2022-03-09,2022-07-01
invalid,54636-RR5-M,568.0,521,3,2023-01-24,2023-07-14
invalid,80935-602-OS,568.0,542,2,2023-09-06,2024-08-08
W001,67867-WU4-120,567.0,558,5,2022-05-09,2022-07-01
invalid,67238-011-85,562.0,547,2,2022-02-22,2022-07-31
invalid,58660-WQ8-S,561.0,538,2,2022-06-04,2022-07-04
invalid,67397-WL0-130,560.0,553,3,2022-01-05,2022-07-05
invalid,67395-WH8-120,553.0,541,2,2022-01-14,2022-07-25
invalid,67862-WY2-110,552.0,545,3,2022-05-19,2022-07-01
W001,67867-WW6-100,548.0,535,3,2022-04-29,2022-07-01
invalid,47684-WM8-110,548.0,529,1,2022-03-21,2022-05-30
