PickYear,LocProfileId,SourceLocation,PickUnits,PickLines,DistinctSKUs
2022,invalid,34-009Z,2464.0,2238,3
2022,invalid,34-012Z,2457.0,2302,5
2022,invalid,34-010Z,2415.0,2192,2
2022,invalid,34-005Z,2339.0,2234,4
2022,invalid,34-002Z,2188.0,2069,5
2022,invalid,34-003Z,1914.0,1812,4
2022,invalid,34-001Z,1618.0,1492,3
2022,invalid,34-007Z,1563.0,1472,4
2022,invalid,08-046X,1501.0,1451,5
2022,invalid,33-134C,1452.0,1074,3
2022,invalid,34-004Z,1222.0,1138,8
2022,invalid,26-140C,1206.0,1151,7
2022,invalid,31-134B,1194.0,1161,5
2022,invalid,29-139C,1190.0,1164,5
2022,invalid,24-140X,1168.0,1140,8
2022,invalid,27-139X,1165.0,929,1
2022,invalid,07-019C,1135.0,1104,10
2022,invalid,26-138X,1121.0,1060,5
2022,W001,07-116C,1120.0,1097,16
2022,invalid,32-138C,1109.0,1064,3
2022,invalid,16-128X,1047.0,1015,9
2022,invalid,34-006Z,1041.0,1001,3
2022,invalid,27-135W,1037.0,985,2
2022,invalid,28-134X,1014.0,974,5
2022,invalid,33-138C,1010.0,952,5
2022,invalid,31-139C,1002.0,957,6
2022,invalid,33-137C,994.0,738,2
2022,invalid,17-128C,981.0,962,13
2022,invalid,27-137X,978.0,920,6
2022,invalid,25-140B,974.0,959,3
2022,invalid,18-132B,971.0,958,12
2022,invalid,17-047Y,967.0,942,10
2022,invalid,27-140Y,954.0,919,2
2022,invalid,24-139C,951.0,856,4
2022,invalid,17-048W,938.0,922,12
2022,invalid,25-138C,938.0,843,7
2022,W001,07-065C,934.0,899,6
2022,invalid,27-134C,929.0,896,7
2022,invalid,18-139C,925.0,891,4
2022,invalid,17-133B,915.0,892,9
2022,invalid,30-137Y,892.0,856,4
2022,invalid,18-125C,886.0,870,16
2022,invalid,24-136C,882.0,825,8
2022,invalid,25-137C,882.0,851,6
2022,invalid,32-136C,874.0,860,4
2022,invalid,24-135C,872.0,853,4
2022,invalid,09-142C,864.0,838,12
2022,invalid,08-049X,862.0,834,7
2022,invalid,29-138X,858.0,831,7
2022,invalid,31-136C,855.0,828,7
2022,W001,07-028B,843.0,827,10
2022,invalid,17-130C,842.0,805,9
2022,invalid,33-140B,842.0,828,3
2022,invalid,18-130C,838.0,804,10
2022,invalid,18-133B,831.0,814,6
2022,W001,07-147X,829.0,821,24
2022,invalid,17-127C,828.0,801,8
2022,invalid,30-138C,823.0,812,2
2022,W001,07-140Y,816.0,798,3
2022,invalid,07-109C,812.0,793,7
2022,invalid,27-137C,812.0,772,9
2022,invalid,16-134X,801.0,789,8
2022,invalid,17-132Y,796.0,777,11
2022,invalid,27-138B,790.0,757,3
2022,invalid,17-043X,789.0,773,13
2022,invalid,16-127X,788.0,776,7
2022,invalid,34-013Z,788.0,746,1
2022,invalid,24-135X,787.0,775,4
2022,invalid,26-138C,784.0,771,5
2022,invalid,27-134X,777.0,760,6
2022,invalid,28-139C,774.0,758,5
2022,invalid,30-134X,774.0,760,8
2022,invalid,34-008Z,771.0,738,3
2022,invalid,17-131Z,763.0,755,15
2022,invalid,25-136X,763.0,746,4
2022,invalid,17-127D,757.0,746,12
2022,invalid,32-139C,751.0,736,7
2022,invalid,26-136B,750.0,737,1
2022,invalid,17-059C,749.0,729,9
2022,invalid,26-136C,743.0,730,5
2022,invalid,33-135C,743.0,725,6
2022,W001,07-054Y,742.0,716,12
2022,W001,07-078C,740.0,718,13
2022,invalid,28-138C,739.0,716,4
2022,invalid,18-129C,737.0,694,7
2022,invalid,08-109X,731.0,723,11
2022,invalid,31-139X,731.0,720,5
2022,invalid,25-134C,730.0,714,7
2022,invalid,18-131B,723.0,702,12
2022,invalid,27-137D,720.0,701,3
2022,invalid,17-129B,715.0,705,12
2022,invalid,29-135C,712.0,691,5
2022,W001,07-136C,709.0,690,16
2022,invalid,31-137C,709.0,667,4
2022,invalid,24-134C,708.0,644,6
2022,invalid,08-108Z,704.0,661,22
2022,invalid,16-137X,704.0,689,8
2022,invalid,31-137X,702.0,686,7
2022,invalid,32-135C,701.0,686,6
2022,invalid,24-140B,700.0,642,4
2022,invalid,17-044Y,698.0,678,14
2022,invalid,17-127B,698.0,680,11
2022,W001,07-139X,695.0,682,12
2022,invalid,18-120C,690.0,667,12
2022,invalid,17-130D,689.0,686,12
2022,invalid,27-137B,689.0,684,5
2022,W001,07-079Y,688.0,677,6
2022,invalid,16-135X,685.0,670,10
2022,invalid,17-129C,684.0,674,8
2022,W001,07-082C,681.0,660,3
2022,invalid,26-135C,680.0,665,8
2022,invalid,17-049W,677.0,601,10
2022,W001,07-088C,674.0,656,8
2022,invalid,16-139X,667.0,654,7
