PickYear,LocProfileId,SourceLocation,SourceZone,SKU,PickLines,DistinctOrders,PickUnits,FirstPickDate,LastPickDate,SourceSchema
2022,invalid,23-137D,Invalid,67437-VU7-50,47,47,48.0,2022-01-25,2022-07-07,DAX_Archive.arc
2022,invalid,17-128B,Invalid,60612-VW4-110,10,10,10.0,2022-03-21,2022-03-22,DAX_Archive.arc
2022,W001,07-136B,W001,67182-M23-120,3,3,3.0,2022-02-07,2022-02-08,DAX_Archive.arc
2024,W001,07-120Z,W001,82562-3BK-85,5,5,6.0,2024-10-03,2024-10-31,DAX_Archive.arc
2025,W001,07-107B,W001,82482-3BI-85,2,2,2.0,2025-02-03,2025-03-12,DAX_Archive.arc
2023,invalid,18-132B,Invalid,68001-036-90,1,1,1.0,2023-01-02,2023-01-02,DAX_Archive.arc
2025,W001,07-006Z,W001,47684-2P2-120,1,1,1.0,2025-04-12,2025-04-12,DAX_Archive.arc
2025,W001,07-049A,W001,82585-3NE-70,3,3,4.0,2025-04-25,2025-10-01,DAX_Archive.arc
2022,W001,07-024W,W001,59852-VK3-100,3,3,3.0,2022-01-13,2022-01-13,DAX_Archive.arc
2022,W001,07-045W,W001,67226-A91-70,2,2,2.0,2022-01-19,2022-01-19,DAX_Archive.arc
2022,W001,07-143X,W001,67010-GF2-100,1,1,1.0,2022-02-11,2022-02-11,DAX_Archive.arc
2023,invalid,17-129W,Invalid,67367-85H-100,74,74,74.0,2023-02-01,2023-07-02,DAX_Archive.arc
2022,invalid,08-108W,Invalid,59852-VJ5-140,1,1,1.0,2022-01-24,2022-01-24,DAX_Archive.arc
2022,W001,07-071X,W001,62423-J81-120,5,5,5.0,2022-01-17,2022-01-19,DAX_Archive.arc
2023,invalid,16-131Z,Invalid,80692-GK3-150,1,1,1.0,2023-08-13,2023-08-13,DAX_Archive.arc
2025,W001,07-029X,W001,82487-3BH-120,1,1,2.0,2025-02-06,2025-02-06,DAX_Archive.arc
2022,invalid,22-136A,Invalid,57827-015-120,1,1,1.0,2022-01-21,2022-01-21,DAX_Archive.arc
2024,W001,07-133Y,W001,82560-3BG-50,2,2,3.0,2024-10-08,2024-10-08,DAX_Archive.arc
2022,invalid,21-134D,Invalid,67541-JG8-110,99,99,100.0,2022-02-22,2022-03-16,DAX_Archive.arc
2022,W001,07-087C,W001,62633-990-85,49,49,49.0,2022-04-28,2022-07-28,DAX_Archive.arc
2023,invalid,17-135X,Invalid,80786-505-110,66,66,67.0,2023-08-31,2023-09-27,DAX_Archive.arc
2022,invalid,17-045X,Invalid,60611-XA3-150,2,2,2.0,2022-07-06,2022-07-06,DAX_Archive.arc
2022,W001,07-111X,W001,67681-NU7-90,47,47,48.0,2022-04-09,2022-04-30,DAX_Archive.arc
2022,W001,07-083Z,W001,67575-38T-120,1,1,1.0,2022-02-25,2022-02-25,DAX_Archive.arc
2022,W001,07-111Z,W001,66360-VH1-130,4,4,4.0,2022-01-08,2022-01-12,DAX_Archive.arc
2022,W001,07-024D,W001,67192-VM1-120,2,2,2.0,2022-01-10,2022-01-12,DAX_Archive.arc
2022,W001,07-030Z,W001,58296-HJ4-110,1,1,1.0,2022-02-01,2022-02-01,DAX_Archive.arc
2022,invalid,07-013B,Invalid,40152-M23-10,1,1,1.0,2022-01-31,2022-01-31,DAX_Archive.arc
2022,W001,07-024Z,W001,50659-B42-1,78,78,83.0,2022-01-04,2022-03-14,DAX_Archive.arc
2022,invalid,07-008B,Invalid,48200-VC6-S,1,1,1.0,2022-01-29,2022-01-29,DAX_Archive.arc
2022,invalid,08-109X,Invalid,60535-EF5-S,33,33,35.0,2022-08-31,2022-09-07,DAX_Archive.arc
2022,invalid,18-125D,Invalid,67048-23T-85,85,85,89.0,2022-10-21,2022-11-30,DAX_Archive.arc
2022,W001,07-080A,W001,67154-VH5-150,2,2,2.0,2022-02-07,2022-02-10,DAX_Archive.arc
2022,invalid,08-109Y,Invalid,65203-VJ5-L,2,2,2.0,2022-01-13,2022-01-13,DAX_Archive.arc
2022,invalid,17-098A,Invalid,62617-XJ5-M,78,78,81.0,2022-08-29,2022-09-16,DAX_Archive.arc
2022,W001,07-040X,W001,67078-FX9-L,1,1,1.0,2022-01-04,2022-01-04,DAX_Archive.arc
2022,W001,07-072D,W001,65633-015-120,1,1,1.0,2022-02-15,2022-02-15,DAX_Archive.arc
2022,W001,07-049W,W001,67867-WV1-130,1,1,1.0,2022-05-13,2022-05-13,DAX_Archive.arc
2023,invalid,16-139W,Invalid,80468-364-140,1,1,1.0,2023-06-20,2023-06-20,DAX_Archive.arc
2022,W001,07-123B,W001,66955-990-120,1,1,1.0,2022-02-25,2022-02-25,DAX_Archive.arc
2022,W001,07-022B,W001,52382-AN8-75,3,3,3.0,2022-01-19,2022-01-20,DAX_Archive.arc
2022,W001,07-039A,W001,67858-WX3-85,1,1,1.0,2022-06-30,2022-06-30,DAX_Archive.arc
2022,W001,07-047W,W001,67177-B42-150,1,1,1.0,2022-01-14,2022-01-14,DAX_Archive.arc
2026,W001,07-103C,W001,82586-NV2-85,1,1,1.0,2026-04-08,2026-04-08,DAX_Archive.arc
2022,W001,07-020Y,W001,67871-V98-100,1,1,1.0,2022-07-29,2022-07-29,DAX_Archive.arc
2022,W001,07-141X,W001,62027-WV9-75,11,11,11.0,2022-07-13,2022-07-28,DAX_Archive.arc
2022,W001,07-051X,W001,52606-56X-11,1,1,1.0,2022-02-13,2022-02-13,DAX_Archive.arc
2022,W001,07-046Z,W001,67867-WV1-140,2,2,2.0,2022-06-08,2022-06-09,DAX_Archive.arc
2022,W001,07-125Z,W001,67175-76X-140,1,1,1.0,2022-01-23,2022-01-23,DAX_Archive.arc
2022,W001,07-001Y,W001,62027-PF2-50,1,1,1.0,2022-04-04,2022-04-04,DAX_Archive.arc
2023,invalid,16-140W,Invalid,44403-FU8-XXL,19,19,21.0,2023-11-26,2023-11-30,DAX_Archive.arc
2022,W001,07-073B,W001,66736-PJ9-140,1,1,1.0,2022-02-11,2022-02-11,DAX_Archive.arc
2022,W001,07-090A,W001,62944-NJ1-130,1,1,1.0,2022-02-25,2022-02-25,DAX_Archive.arc
2022,W001,07-101W,W001,67166-GF2-100,1,1,1.0,2022-01-03,2022-01-03,DAX_Archive.arc
2022,invalid,18-126B,Invalid,68031-XD4-90,31,31,31.0,2022-12-11,2022-12-30,DAX_Archive.arc
2022,W001,07-091B,W001,67230-B42-85,1,1,1.0,2022-02-19,2022-02-19,DAX_Archive.arc
2024,W001,07-131A,W001,82585-3AV-NB,1,1,2.0,2024-10-08,2024-10-08,DAX_Archive.arc
2024,W001,07-127X,W001,82560-3B3-60,2,2,3.0,2024-10-03,2024-10-08,DAX_Archive.arc
2022,W001,07-067B,W001,65203-QX6-S,2,2,2.0,2022-02-10,2022-02-10,DAX_Archive.arc
2022,invalid,22-140B,Invalid,67356-WK6-130,49,49,51.0,2022-02-15,2022-03-16,DAX_Archive.arc
2022,W001,07-089D,W001,66958-SW1-150,1,1,1.0,2022-02-08,2022-02-08,DAX_Archive.arc
2025,W001,07-066G,W001,83441-3BC-60,3,3,3.0,2025-09-27,2025-09-30,DAX_Archive.arc
2022,invalid,27-134W,Invalid,67691-HI2-130,21,21,21.0,2022-04-10,2022-04-28,DAX_Archive.arc
2022,invalid,18-138Y,Invalid,67472-VX6-90,44,44,46.0,2022-05-25,2022-05-30,DAX_Archive.arc
2022,W001,07-106W,W001,66073-GD4-140,1,1,1.0,2022-07-22,2022-07-22,DAX_Archive.arc
2022,invalid,17-129Y,Invalid,68031-XM5-100,1,1,1.0,2022-11-14,2022-11-14,DAX_Archive.arc
2022,W001,07-090B,W001,66994-PF2-S,1,1,1.0,2022-02-27,2022-02-27,DAX_Archive.arc
