PickYear,Warehouse,WorkTransType,LocProfileId,IsPickableProfile,IsExcludedLocation,PickLines,DistinctOrders,PickUnits,SourceSchema,SegmentStart,SegmentEndExclusive,MeetsStrictSalesPickableScope
2022,4010,2,Picking D,1,0,73704,66730,74134.0,DAX_Archive.arc,2022-01-01,2023-01-01,True
2022,4010,2,W001,0,0,137729,115543,141409.0,DAX_Archive.arc,2022-01-01,2023-01-01,False
2022,4010,2,invalid,0,0,345980,284631,358460.0,DAX_Archive.arc,2022-01-01,2023-01-01,False
2022,4010,2,No LP Track,0,0,1,1,1.0,DAX_Archive.arc,2022-01-01,2023-01-01,False
2022,4010,2,Picking A,1,0,3255595,1352203,3428403.0,DAX_Archive.arc,2022-01-01,2023-01-01,True
2022,4010,2,PalletPicking,1,0,235490,155181,250715.0,DAX_Archive.arc,2022-01-01,2023-01-01,True
2022,4010,2,Picking,1,0,5013762,1701492,5186669.0,DAX_Archive.arc,2022-01-01,2023-01-01,True
2023,4010,2,PalletPicking,1,0,167767,137294,180365.0,DAX_Archive.arc,2023-01-01,2024-01-01,True
2023,4010,2,Picking A,1,0,2447444,1167076,2586001.0,DAX_Archive.arc,2023-01-01,2024-01-01,True
2023,4010,2,Picking D,1,0,102248,89774,102588.0,DAX_Archive.arc,2023-01-01,2024-01-01,True
2023,4010,2,invalid,0,0,91658,84400,95042.0,DAX_Archive.arc,2023-01-01,2024-01-01,False
2023,4010,2,Picking,1,0,5860674,1744599,6057930.0,DAX_Archive.arc,2023-01-01,2024-01-01,True
2024,4010,2,invalid,0,0,24930,21378,25769.0,DAX_Archive.arc,2024-01-01,2025-01-01,False
2024,4010,2,Picking D,1,0,121813,104997,122120.0,DAX_Archive.arc,2024-01-01,2025-01-01,True
2024,4010,2,W001,0,0,5339,4111,5905.0,DAX_Archive.arc,2024-01-01,2025-01-01,False
2024,4010,2,Picking A,1,0,2121558,1137955,2200803.0,DAX_Archive.arc,2024-01-01,2025-01-01,True
2024,4010,2,PalletPicking,1,0,140629,121717,146900.0,DAX_Archive.arc,2024-01-01,2025-01-01,True
2024,4010,2,Picking,1,0,6403716,1860886,6589646.0,DAX_Archive.arc,2024-01-01,2025-01-01,True
2025,4010,2,W001,0,0,10530,5155,12170.0,DAX_Archive.arc,2025-01-01,2026-01-01,False
2025,4010,2,Picking A,1,0,2181313,1197431,2246947.0,DAX_Archive.arc,2025-01-01,2026-01-01,True
2025,4010,2,No LP Track,0,0,1,1,1.0,DAX_Archive.arc,2025-01-01,2026-01-01,False
2025,4010,2,Picking D,1,0,127599,109453,128079.0,DAX_Archive.arc,2025-01-01,2026-01-01,True
2025,4010,2,invalid,0,0,13384,11742,13959.0,DAX_Archive.arc,2025-01-01,2026-01-01,False
2025,4010,2,PalletPicking,1,0,273426,220078,286292.0,DAX_Archive.arc,2025-01-01,2026-01-01,True
2025,4010,2,Picking,1,0,5614836,1759509,5764760.0,DAX_Archive.arc,2025-01-01,2026-01-01,True
2026,4010,2,invalid,0,0,949,922,973.0,DAX_Archive.arc,2026-01-01,2026-06-13,False
2026,4010,2,PalletPicking,1,0,66168,58410,67890.0,DAX_Archive.arc,2026-01-01,2026-06-13,True
2026,4010,2,Picking D,1,0,43079,38105,43368.0,DAX_Archive.arc,2026-01-01,2026-06-13,True
2026,4010,2,W001,0,0,4612,1495,5929.0,DAX_Archive.arc,2026-01-01,2026-06-13,False
2026,4010,2,Picking A,1,0,715508,394610,728836.0,DAX_Archive.arc,2026-01-01,2026-06-13,True
2026,4010,2,Picking,1,0,1764609,558435,1790978.0,DAX_Archive.arc,2026-01-01,2026-06-13,True
2026,4010,2,Picking D,1,0,2209,1948,2213.0,DAX_PROD.dbo,2026-06-13,2026-06-19,True
2026,4010,2,PalletPicking,1,0,2445,2130,2514.0,DAX_PROD.dbo,2026-06-13,2026-06-19,True
2026,4010,2,W001,0,0,115,71,144.0,DAX_PROD.dbo,2026-06-13,2026-06-19,False
2026,4010,2,Picking,1,0,52491,18506,53524.0,DAX_PROD.dbo,2026-06-13,2026-06-19,True
2026,4010,2,Picking A,1,0,33362,15757,33898.0,DAX_PROD.dbo,2026-06-13,2026-06-19,True
