WorkId,WorkTransType,WorkStatus,WorkCreatedDateTime,LineNum,WorkType,LineStatus,Location,Item,Color,Size_,SKU,WorkQty,ForecastSlotTier,PutawayPickZone,CubiscanToActive,ForecastModifiedDateTime
WK0039149440,7,4,2026-06-10 19:01:14,1.0,1,4,CubeOUT,85056,73J,85,85056-73J-85,50.0,,,,
WK0039149439,7,4,2026-06-10 19:00:28,1.0,1,4,CubeOUT,85042,74K,85,85042-74K-85,37.0,BAPXB,0.0,0.0,2026-06-01 21:18:03
WK0039149436,7,4,2026-06-10 18:59:41,1.0,1,4,CubeOUT,85042,74K,75,85042-74K-75,37.0,BAPIA,0.0,0.0,2026-06-01 21:18:03
WK0039149434,7,4,2026-06-10 18:58:54,1.0,1,4,CubeOUT,85056,73J,70,85056-73J-70,60.0,,,,
WK0039149431,7,4,2026-06-10 18:58:07,1.0,1,4,CubeOUT,85056,73J,80,85056-73J-80,21.0,,,,
WK0039149426,7,4,2026-06-10 18:57:12,1.0,1,4,CubeOUT,85056,73J,50,85056-73J-50,38.0,,,,
WK0039149415,7,4,2026-06-10 18:56:03,1.0,1,4,CubeOUT,85056,73J,75,85056-73J-75,48.0,,,,
WK0039149412,7,4,2026-06-10 18:55:34,1.0,1,4,CubeOUT,85056,73J,90,85056-73J-90,38.0,,,,
WK0039149406,7,4,2026-06-10 18:54:40,1.0,1,4,CubeOUT,85042,74K,80,85042-74K-80,40.0,BAPXA,0.0,0.0,2026-06-01 21:18:03
WK0039149400,7,4,2026-06-10 18:54:06,1.0,1,4,CubeOUT,85056,73J,60,85056-73J-60,32.0,,,,
WK0039149398,7,4,2026-06-10 18:53:21,1.0,1,4,CubeOUT,85042,74K,60,85042-74K-60,50.0,BAPIB,0.0,0.0,2026-06-01 21:18:03
WK0039149392,7,4,2026-06-10 18:52:34,1.0,1,4,CubeOUT,85048,6KR,75,85048-6KR-75,29.0,BAPIB,0.0,0.0,2026-06-01 21:18:03
WK0039149385,7,4,2026-06-10 18:51:41,1.0,1,4,CubeOUT,85042,74K,50,85042-74K-50,29.0,BAPIC,0.0,0.0,2026-06-01 21:18:02
WK0039149378,7,4,2026-06-10 18:51:05,1.0,1,4,CubeOUT,85048,6PD,110,85048-6PD-110,24.0,BAPSC,0.0,0.0,2026-05-28 17:46:19
WK0039149376,7,4,2026-06-10 18:50:37,1.0,1,4,CubeOUT,85042,74K,90,85042-74K-90,32.0,BAPXB,0.0,0.0,2026-06-01 21:18:03
WK0039149374,7,4,2026-06-10 18:50:04,1.0,1,4,CubeOUT,85048,6KR,85,85048-6KR-85,34.0,BAPXB,0.0,0.0,2026-06-01 21:18:03
WK0039149371,7,4,2026-06-10 18:49:35,1.0,1,4,CubeOUT,85048,6KR,90,85048-6KR-90,30.0,BAPXB,0.0,0.0,2026-06-01 21:18:03
WK0039149368,7,4,2026-06-10 18:48:52,1.0,1,4,CubeOUT,85048,6KR,100,85048-6KR-100,24.0,BAPSC,0.0,0.0,2026-05-28 17:46:19
WK0039149363,7,4,2026-06-10 18:48:02,1.0,1,4,CubeOUT,85048,6KR,80,85048-6KR-80,36.0,BAPXB,0.0,0.0,2026-06-01 21:18:03
WK0039149357,7,4,2026-06-10 18:46:58,1.0,1,4,CubeOUT,85042,74K,70,85042-74K-70,44.0,BAPIA,0.0,0.0,2026-06-01 21:18:03
WK0039138477,7,4,2026-06-09 19:31:11,1.0,1,4,CubeOUT,84712,6IE,150,84712-6IE-150,61.0,CSLLA,0.0,0.0,2026-06-01 21:17:13
WK0039138476,7,4,2026-06-09 19:30:24,1.0,1,4,CubeOUT,85082,6ID,140,85082-6ID-140,165.0,COLLC,0.0,0.0,2026-06-01 21:18:07
WK0039138475,7,4,2026-06-09 19:29:52,1.0,1,4,CubeOUT,85082,6IE,130,85082-6IE-130,167.0,COLMB,0.0,0.0,2026-06-01 21:18:07
WK0039138474,7,4,2026-06-09 19:29:36,1.0,1,4,CubeOUT,84721,6IE,140,84721-6IE-140,110.0,COLLB,0.0,0.0,2026-06-01 21:17:15
WK0039138473,7,4,2026-06-09 19:28:13,1.0,1,4,CubeOUT,84669,6IE,120,84669-6IE-120,10.0,COLMAA,0.0,0.0,2026-06-01 21:17:10
WK0039138472,7,4,2026-06-09 19:28:01,1.0,1,4,CubeOUT,84669,6IE,85,84669-6IE-85,26.0,COLXA,0.0,0.0,2026-06-01 21:17:10
WK0039138471,7,4,2026-06-09 19:27:46,1.0,1,4,CubeOUT,84721,6IE,130,84721-6IE-130,38.0,COLMA,0.0,0.0,2026-06-01 21:17:15
WK0039138470,7,4,2026-06-09 19:27:33,1.0,1,4,CubeOUT,84669,6ID,140,84669-6ID-140,13.0,COLLB,0.0,0.0,2026-06-01 21:17:10
WK0039138468,7,4,2026-06-09 19:27:19,1.0,1,4,CubeOUT,84669,6IE,110,84669-6IE-110,11.0,COLSAA,0.0,0.0,2026-06-01 21:17:10
WK0039138467,7,4,2026-06-09 19:27:06,1.0,1,4,CubeOUT,84721,6ID,120,84721-6ID-120,50.0,COLMAA,0.0,0.0,2026-06-01 21:17:15
WK0039138466,7,4,2026-06-09 19:26:55,1.0,1,4,CubeOUT,84712,6IE,90,84712-6IE-90,5.0,CSLXB,0.0,0.0,2026-06-01 21:17:13
WK0039138465,7,4,2026-06-09 19:26:46,1.0,1,4,CubeOUT,84669,6IE,150,84669-6IE-150,9.0,COLLA,0.0,0.0,2026-06-01 21:17:10
WK0039138464,7,4,2026-06-09 19:26:23,1.0,1,4,CubeOUT,84721,6ID,85,84721-6ID-85,90.0,COLXB,0.0,0.0,2026-06-01 21:17:15
WK0039138463,7,4,2026-06-09 19:26:12,1.0,1,4,CubeOUT,84669,6ID,130,84669-6ID-130,28.0,COLMA,0.0,0.0,2026-06-01 21:17:10
WK0039138462,7,4,2026-06-09 19:25:51,1.0,1,4,CubeOUT,84712,6IE,100,84712-6IE-100,31.0,CSLSA,0.0,0.0,2026-06-01 21:17:13
WK0039138461,7,4,2026-06-09 19:25:42,1.0,1,4,CubeOUT,84712,6ID,130,84712-6ID-130,22.0,CSLMA,0.0,0.0,2026-06-01 21:17:13
WK0039138460,7,4,2026-06-09 19:25:24,1.0,1,4,CubeOUT,84721,6ID,110,84721-6ID-110,78.0,COLSAA,0.0,0.0,2026-06-01 21:17:14
WK0039138459,7,4,2026-06-09 19:25:10,1.0,1,4,CubeOUT,84721,6IE,90,84721-6IE-90,54.0,COLXB,0.0,0.0,2026-06-01 21:17:15
WK0039138458,7,4,2026-06-09 19:24:54,1.0,1,4,CubeOUT,84712,6IE,140,84712-6IE-140,22.0,CSLLA,0.0,0.0,2026-06-01 21:17:13
WK0039138457,7,4,2026-06-09 19:24:33,1.0,1,4,CubeOUT,85082,6IE,90,85082-6IE-90,84.0,COLXB,0.0,0.0,2026-06-01 21:18:07
WK0039138456,7,4,2026-06-09 19:24:20,1.0,1,4,CubeOUT,85082,6ID,85,85082-6ID-85,49.0,COLXC,0.0,0.0,2026-06-01 21:18:07
WK0039138455,7,4,2026-06-09 19:24:07,1.0,1,4,CubeOUT,84669,6IE,90,84669-6IE-90,53.0,COLXA,0.0,0.0,2026-06-01 21:17:10
WK0039138454,7,4,2026-06-09 19:23:50,1.0,1,4,CubeOUT,84712,6IE,120,84712-6IE-120,41.0,CSLMA,0.0,0.0,2026-06-01 21:17:13
WK0039138452,7,4,2026-06-09 19:23:33,1.0,1,4,CubeOUT,84721,6ID,150,84721-6ID-150,54.0,COLLC,0.0,0.0,2026-06-01 21:17:15
WK0039138451,7,4,2026-06-09 19:23:23,1.0,1,4,CubeOUT,84669,6IE,100,84669-6IE-100,22.0,COLSAA,0.0,0.0,2026-06-01 21:17:10
WK0039138450,7,4,2026-06-09 19:22:54,1.0,1,4,CubeOUT,84721,6IE,100,84721-6IE-100,93.0,COLSA,0.0,0.0,2026-06-01 21:17:14
WK0039138449,7,4,2026-06-09 19:22:44,1.0,1,4,CubeOUT,85082,6IE,120,85082-6IE-120,94.0,COLMA,0.0,0.0,2026-06-01 21:18:07
WK0039138448,7,4,2026-06-09 19:22:13,1.0,1,4,CubeOUT,85082,6IE,150,85082-6IE-150,25.0,COLLC,0.0,0.0,2026-06-01 21:18:07
WK0039138447,7,4,2026-06-09 19:21:57,1.0,1,4,CubeOUT,85082,6IE,100,85082-6IE-100,63.0,COLSA,0.0,0.0,2026-06-01 21:18:07
WK0039138446,7,4,2026-06-09 19:21:39,1.0,1,4,CubeOUT,85082,6IE,110,85082-6IE-110,127.0,COLSA,0.0,0.0,2026-06-01 21:18:07
WK0039138445,7,4,2026-06-09 19:21:27,1.0,1,4,CubeOUT,84712,6IE,110,84712-6IE-110,30.0,CSLSA,0.0,0.0,2026-06-01 21:17:13
WK0039138444,7,4,2026-06-09 19:21:10,1.0,1,4,CubeOUT,84712,6IE,85,84712-6IE-85,9.0,CSLXC,0.0,0.0,2026-06-01 21:17:13
WK0039137974,7,4,2026-06-09 17:20:34,1.0,1,4,CubeOUT,84728,7TC,M/L,84728-7TC-M/L,38.0,,,,
WK0039137973,7,4,2026-06-09 17:19:16,1.0,1,4,CubeOUT,84728,7TC,XS/S,84728-7TC-XS/S,38.0,,,,
WK0039137881,1,4,2026-06-09 16:36:33,2.0,2,4,CubeIN,84728,7TC,M/L,84728-7TC-M/L,38.0,,,,
WK0039137881,1,4,2026-06-09 16:36:33,3.0,1,4,CubeIN,84728,7TC,M/L,84728-7TC-M/L,38.0,,,,
WK0039137881,1,4,2026-06-09 16:36:33,5.0,2,4,CubeOUT,84728,7TC,M/L,84728-7TC-M/L,38.0,,,,
WK0039137312,1,4,2026-06-09 16:32:32,2.0,2,4,CubeIN,84728,7TC,XS/S,84728-7TC-XS/S,38.0,,,,
WK0039137312,1,4,2026-06-09 16:32:32,3.0,1,4,CubeIN,84728,7TC,XS/S,84728-7TC-XS/S,38.0,,,,
WK0039137312,1,4,2026-06-09 16:32:32,5.0,2,4,CubeOUT,84728,7TC,XS/S,84728-7TC-XS/S,38.0,,,,
WK0039137238,1,4,2026-06-09 15:23:59,2.0,2,4,CubeIN,85048,6KR,90,85048-6KR-90,30.0,BAPXB,0.0,0.0,2026-06-01 21:18:03
WK0039137238,1,4,2026-06-09 15:23:59,3.0,1,4,CubeIN,85048,6KR,90,85048-6KR-90,30.0,BAPXB,0.0,0.0,2026-06-01 21:18:03
WK0039137238,1,4,2026-06-09 15:23:59,5.0,2,4,CubeOUT,85048,6KR,90,85048-6KR-90,30.0,BAPXB,0.0,0.0,2026-06-01 21:18:03
WK0039137237,1,4,2026-06-09 15:23:55,2.0,2,4,CubeIN,85048,6KR,85,85048-6KR-85,34.0,BAPXB,0.0,0.0,2026-06-01 21:18:03
WK0039137237,1,4,2026-06-09 15:23:55,3.0,1,4,CubeIN,85048,6KR,85,85048-6KR-85,34.0,BAPXB,0.0,0.0,2026-06-01 21:18:03
WK0039137237,1,4,2026-06-09 15:23:55,5.0,2,4,CubeOUT,85048,6KR,85,85048-6KR-85,34.0,BAPXB,0.0,0.0,2026-06-01 21:18:03
WK0039137234,1,4,2026-06-09 15:23:44,2.0,2,4,CubeIN,85048,6KR,75,85048-6KR-75,29.0,BAPIB,0.0,0.0,2026-06-01 21:18:03
WK0039137234,1,4,2026-06-09 15:23:44,3.0,1,4,CubeIN,85048,6KR,75,85048-6KR-75,29.0,BAPIB,0.0,0.0,2026-06-01 21:18:03
WK0039137234,1,4,2026-06-09 15:23:44,5.0,2,4,CubeOUT,85048,6KR,75,85048-6KR-75,29.0,BAPIB,0.0,0.0,2026-06-01 21:18:03
WK0039137223,1,4,2026-06-09 15:19:32,2.0,2,4,CubeIN,85048,6PD,110,85048-6PD-110,24.0,BAPSC,0.0,0.0,2026-05-28 17:46:19
