Metric,Value
old_rows,33790.0
new_rows,32126.0
shared_skus,31485.0
old_only_skus,2305.0
new_only_skus,641.0
velocity_changes,2227.0
velocity_change_rate,0.0707320946482452
slot_tier_changes,2227.0
slot_tier_change_rate,0.0707320946482452
product_group_changes,0.0
size_group_changes,0.0
velocity_only_slot_tier_changes,2227.0
promotions,1202.0
demotions,1025.0
multi_tier_jumps,39.0
aa_to_c,10.0
c_to_aa,1.0
direct_high_to_c,32.0
fd14_units_old,161188.0
fd14_units_new,290301.0
fd14_units_shared_old,158521.0
fd14_units_shared_new,289670.0
