LocProfile,CurrentZoneId,CurrentCategoryCode,Location,AisleId,Item,Color,Size_,SKU,PhysicalQty,ForecastStartDate,ForecastModifiedDateTime,CurrentCategoryName,ForecastCategoryName,HasForecast,ExactZoneMatch,CategoryMatch,OutOfExactZone,OutOfCategory,NoForecast,OldProductGroupCode,OldSizeGroupCode,OldVelocity,OldSlotTier,OldPutawayIndicator,NewProductGroupCode,NewSizeGroupCode,NewVelocity,NewSlotTier,NewPutawayIndicator,HasOldForecast,HasNewForecast,HasBothForecasts,SlotTierChanged,ProductGroupChanged,SizeGroupChanged,OldExactMatch,NewExactMatch,WouldLoseExactMatch,WouldGainExactMatch,OldVelocityFromZone,NewVelocityFromForecast,VelocityZoneMatchAfter
Picking,AAPLC,AAP,11-001A,11,83643,4WW,L,83643-4WW-L,33.0,2026-06-02,2026-06-01 21:15:25.000,Adult Apparel,Adult Sleep,True,False,False,True,True,False,ASL,L,C,ASLLC,0.0,ASL,L,C,ASLLC,0.0,True,True,True,False,False,False,False,False,False,False,C,C,True
Picking,AAPLC,AAP,11-002A,11,80039,1BE,L,80039-1BE-L,5.0,2026-06-02,2026-06-01 21:12:21.000,Adult Apparel,Adult Sleep,True,False,False,True,True,False,ASL,L,C,ASLLC,2.0,ASL,L,C,ASLLC,2.0,True,True,True,False,False,False,False,False,False,False,C,C,True
Picking,AAPLC,AAP,11-002Z,11,84296,4Y4,80,84296-4Y4-80,2.0,2026-06-02,2026-06-01 21:16:26.000,Adult Apparel,Kids Unisex Sleep,True,False,False,True,True,False,KUS,X,C,KUSXC,0.0,KUS,X,C,KUSXC,0.0,True,True,True,False,False,False,False,False,False,False,C,C,True
Picking,AAPLC,AAP,11-004A,11,83828,3UU,XL,83828-3UU-XL,19.0,2026-06-02,2026-06-01 21:15:40.000,Adult Apparel,Adult Apparel,True,True,True,False,False,False,AAP,L,C,AAPLC,0.0,AAP,L,C,AAPLC,0.0,True,True,True,False,False,False,True,True,False,False,C,C,True
Picking,AAPLC,AAP,11-004Z,11,81339,38F,85,81339-38F-85,42.0,2026-06-02,2026-06-01 21:12:47.000,Adult Apparel,Kids Unisex Sleep,True,False,False,True,True,False,KUS,X,C,KUSXC,0.0,KUS,X,C,KUSXC,0.0,True,True,True,False,False,False,False,False,False,False,C,C,True
Picking,AAPLC,AAP,11-006A,11,84017,5FH,XL,84017-5FH-XL,12.0,2026-06-02,2026-06-01 21:15:53.000,Adult Apparel,Adult Apparel,True,True,True,False,False,False,AAP,L,C,AAPLC,0.0,AAP,L,C,AAPLC,0.0,True,True,True,False,False,False,True,True,False,False,C,C,True
Picking,AAPLC,AAP,11-007A,11,83258,2ET,130,83258-2ET-130,39.0,2026-06-02,2026-06-01 21:14:51.000,Adult Apparel,Kids Unisex,True,False,False,True,True,False,KNI,M,C,KNIMC,0.0,KNI,M,C,KNIMC,0.0,True,True,True,False,False,False,False,False,False,False,C,C,True
Picking,AAPLC,AAP,11-008A,11,83376,3KO,120,83376-3KO-120,2.0,2026-06-02,2026-06-01 21:14:59.000,Adult Apparel,Kids Unisex,True,False,False,True,True,False,KNI,M,C,KNIMC,0.0,KNI,M,C,KNIMC,0.0,True,True,True,False,False,False,False,False,False,False,C,C,True
Picking,AAPLC,AAP,11-008Z,11,83259,CM4,120,83259-CM4-120,67.0,2026-06-02,2026-06-01 21:14:52.000,Adult Apparel,Kids Unisex,True,False,False,True,True,False,KNI,M,C,KNIMC,0.0,KNI,M,C,KNIMC,0.0,True,True,True,False,False,False,False,False,False,False,C,C,True
Picking,AAPLC,AAP,11-009Z,11,83620,5BF,S,83620-5BF-S,11.0,2026-06-02,2026-06-01 21:15:17.000,Adult Apparel,Adult Sleep,True,False,False,True,True,False,ASL,S,A,ASLSA,0.0,ASL,S,A,ASLSA,0.0,True,True,True,False,False,False,False,False,False,False,C,A,False
Picking,AAPLC,AAP,11-011A,11,84017,5FH,L,84017-5FH-L,18.0,2026-06-02,2026-06-01 21:15:53.000,Adult Apparel,Adult Apparel,True,True,True,False,False,False,AAP,L,C,AAPLC,0.0,AAP,L,C,AAPLC,0.0,True,True,True,False,False,False,True,True,False,False,C,C,True
Picking,AAPLC,AAP,11-011Z,11,83325,3NX,100,83325-3NX-100,31.0,2026-06-02,2026-06-01 21:14:55.000,Adult Apparel,Girls,True,False,False,True,True,False,GIR,S,C,GIRSC,0.0,GIR,S,C,GIRSC,0.0,True,True,True,False,False,False,False,False,False,False,C,C,True
Picking A,AAPMA,AAP,24-059Y,24,82836,5MW,M,82836-5MW-M,11.0,2026-06-02,2026-06-01 21:14:31.000,Adult Apparel,Adult Apparel,True,True,True,False,False,False,AAP,M,A,AAPMA,0.0,AAP,M,A,AAPMA,0.0,True,True,True,False,False,False,True,True,False,False,A,A,True
Picking,AAPMAA,AAP,21-107C,21,67683,48B,120,67683-48B-120,3.0,2026-06-02,2026-06-01 21:12:12.000,Adult Apparel,Boys,True,False,False,True,True,False,BOY,M,C,BOYMC,0.0,BOY,M,C,BOYMC,0.0,True,True,True,False,False,False,False,False,False,False,AA,C,False
Picking,AAPMC,AAP,10-032X,10,82788,5ZN,120,82788-5ZN-120,22.0,2026-06-02,2026-06-01 21:14:26.000,Adult Apparel,Boys,True,False,False,True,True,False,BOY,M,A,BOYMA,0.0,BOY,M,A,BOYMA,0.0,True,True,True,False,False,False,False,False,False,False,C,A,False
Picking,AAPMC,AAP,10-033C,10,82406,5AG,110,82406-5AG-110,18.0,2026-06-02,2026-06-01 21:13:35.000,Adult Apparel,Girls,True,False,False,True,True,False,GIR,S,C,GIRSC,0.0,GIR,S,C,GIRSC,0.0,True,True,True,False,False,False,False,False,False,False,C,C,True
Picking A,AAPn/aC,AAP,33-128D,33,83624,4ZX,75,83624-4ZX-75,82.0,2026-06-02,2026-06-01 21:15:19.000,Adult Apparel,Baby Sleepwear,True,False,False,True,True,False,BSL,I,C,BSLIC,0.0,BSL,I,C,BSLIC,0.0,True,True,True,False,False,False,False,False,False,False,C,C,True
Picking A,AAPn/aC,AAP,33-129D,33,82603,6HJ,90,82603-6HJ-90,1.0,2026-06-02,2026-06-01 21:13:55.000,Adult Apparel,Kids Unisex,True,False,False,True,True,False,KNI,X,A,KNIXA,0.0,KNI,X,A,KNIXA,0.0,True,True,True,False,False,False,False,False,False,False,C,A,False
Picking A,AAPSA,AAP,24-061Y,24,82837,5OA,S,82837-5OA-S,91.0,2026-06-02,2026-06-01 21:14:31.000,Adult Apparel,Adult Apparel,True,False,True,True,False,False,AAP,S,AA,AAPSAA,0.0,AAP,S,A,AAPSA,0.0,True,True,True,True,False,False,False,True,False,True,A,A,True
Picking A,AAPSA,AAP,24-062Y,24,82836,5MW,S,82836-5MW-S,40.0,2026-06-02,2026-06-01 21:14:31.000,Adult Apparel,Adult Apparel,True,True,True,False,False,False,AAP,S,A,AAPSA,0.0,AAP,S,A,AAPSA,0.0,True,True,True,False,False,False,True,True,False,False,A,A,True
Picking,AAPSC,AAP,10-034X,10,83637,4XT,M,83637-4XT-M,26.0,2026-06-02,2026-06-01 21:15:22.000,Adult Apparel,Adult Sleep,True,False,False,True,True,False,ASL,M,C,ASLMC,0.0,ASL,M,C,ASLMC,0.0,True,True,True,False,False,False,False,False,False,False,C,C,True
Picking,AAPSC,AAP,10-035C,10,84087,5LZ,75,84087-5LZ-75,66.0,2026-06-02,2026-06-01 21:16:00.000,Adult Apparel,Baby Sleepwear,True,False,False,True,True,False,BSL,I,A,BSLIA,0.0,BSL,I,A,BSLIA,0.0,True,True,True,False,False,False,False,False,False,False,C,A,False
