SKU,LoadMaxQty,InFwdDemandCSV,Velocity,SlotTier,PutawayIndicator
30070-011-L,50.0,True,C,ASLLC,0.0
30070-011-M,54.0,True,C,ASLMC,0.0
30070-011-S,60.0,False,,,
30070-011-XL,55.0,True,C,ASLLC,0.0
30070-011-XS,53.0,True,C,ASLXC,0.0
30070-011-XXL,32.0,True,C,ASLLC,0.0
30070-1AY-L,54.0,False,,,
30070-1AY-M,64.0,False,,,
30070-1AY-S,69.0,False,,,
30070-1AY-XL,50.0,False,,,
30070-1AY-XS,39.0,False,,,
30070-1AY-XXL,44.0,False,,,
30070-1FL-L,49.0,True,C,ASLLC,0.0
30070-1FL-M,64.0,True,C,ASLMC,0.0
30070-1FL-S,64.0,True,C,ASLSC,0.0
30070-1FL-XL,55.0,True,C,ASLLC,0.0
30070-1FL-XS,56.0,True,C,ASLXC,0.0
30070-1FL-XXL,29.0,True,C,ASLLC,0.0
30070-SR4-L,45.0,True,C,ASLLC,0.0
30070-SR4-M,50.0,False,,,
30070-SR4-S,59.0,False,,,
30070-SR4-XL,41.0,True,C,ASLLC,0.0
30070-SR4-XS,50.0,False,,,
30070-SR4-XXL,32.0,True,C,ASLLC,0.0
30810-011-L,46.0,False,,,
30810-011-M,51.0,False,,,
30810-011-S,59.0,False,,,
30810-011-XL,40.0,False,,,
30810-011-XS,56.0,False,,,
30810-011-XXL,21.0,False,,,
30810-011-XXS,14.0,False,,,
30810-1AY-L,50.0,False,,,
30810-1AY-M,55.0,False,,,
30810-1AY-S,53.0,False,,,
30810-1AY-XL,44.0,False,,,
30810-1AY-XS,47.0,False,,,
30810-1AY-XXL,37.0,False,,,
30810-1AY-XXS,15.0,False,,,
30810-1FL-L,46.0,False,,,
30810-1FL-M,48.0,False,,,
30810-1FL-S,45.0,False,,,
30810-1FL-XL,29.0,False,,,
30810-1FL-XS,44.0,False,,,
30810-1FL-XXL,21.0,False,,,
30810-SR4-L,45.0,False,,,
30810-SR4-M,48.0,False,,,
30810-SR4-S,46.0,False,,,
30810-SR4-XL,28.0,False,,,
30810-SR4-XS,42.0,False,,,
30810-SR4-XXL,18.0,False,,,
33175-011-100,69.0,True,B,KUSSB,0.0
33175-011-110,75.0,True,B,KUSSB,0.0
33175-011-120,70.0,True,A,KUSMA,0.0
33175-011-130,65.0,True,A,KUSMA,0.0
33175-011-140,57.0,True,AA,KUSLAA,0.0
33175-011-150,52.0,False,,,
33175-011-160,50.0,False,,,
33175-011-85,68.0,True,C,KUSXC,0.0
33175-011-90,90.0,True,B,KUSXB,0.0
33175-06G-100,64.0,False,,,
33175-06G-110,50.0,False,,,
33175-06G-120,50.0,False,,,
33175-06G-130,50.0,False,,,
33175-06G-140,50.0,False,,,
33175-06G-150,40.0,False,,,
33175-06G-160,43.0,False,,,
33175-06G-85,47.0,False,,,
33175-06G-90,33.0,False,,,
33175-145-100,70.0,True,A,KUSSA,0.0
33175-145-110,78.0,True,A,KUSSA,0.0
33175-145-120,69.0,True,AA,KUSMAA,0.0
33175-145-130,62.0,False,,,
33175-145-140,58.0,True,C,KUSLC,0.0
33175-145-150,54.0,False,,,
33175-145-160,50.0,False,,,
33175-145-85,41.0,True,A,KUSXA,0.0
33175-145-90,57.0,True,B,KUSXB,0.0
33175-1AY-100,93.0,True,A,KUSSA,0.0
33175-1AY-110,81.0,True,A,KUSSA,0.0
33175-1AY-120,70.0,True,A,KUSMA,0.0
33175-1AY-130,65.0,True,AA,KUSMAA,0.0
33175-1AY-140,61.0,False,,,
33175-1AY-150,58.0,False,,,
33175-1AY-160,50.0,False,,,
33175-1AY-85,94.0,True,A,KUSXA,0.0
33175-1AY-90,94.0,True,AA,KUSXAA,0.0
33175-1FL-100,69.0,False,,,
33175-1FL-110,69.0,True,A,KUSSA,0.0
33175-1FL-120,75.0,True,A,KUSMA,0.0
33175-1FL-130,70.0,True,B,KUSMB,0.0
33175-1FL-140,50.0,True,B,KUSLB,0.0
33175-1FL-150,46.0,False,,,
33175-1FL-160,47.0,False,,,
33175-1FL-85,74.0,False,,,
33175-1FL-90,91.0,True,A,KUSXA,0.0
33175-1KJ-100,38.0,True,C,KUSSC,0.0
33175-1KJ-110,44.0,False,,,
33175-1KJ-120,64.0,False,,,
33175-1KJ-130,65.0,False,,,
33175-1KJ-140,54.0,False,,,
33175-1KJ-150,35.0,False,,,
33175-1KJ-160,34.0,False,,,
33175-1KJ-85,29.0,False,,,
33175-1KJ-90,35.0,False,,,
33175-30H-100,58.0,True,C,KUSSC,0.0
33175-30H-110,60.0,True,C,KUSSC,0.0
33175-30H-120,48.0,True,C,KUSMC,0.0
33175-30H-130,51.0,True,C,KUSMC,0.0
33175-30H-140,50.0,True,C,KUSLC,0.0
33175-30H-150,37.0,True,C,KUSLC,0.0
33175-30H-160,44.0,True,C,KUSLC,0.0
33175-30H-85,35.0,True,C,KUSXC,0.0
33175-30H-90,31.0,True,C,KUSXC,0.0
33175-S74-100,84.0,False,,,
33175-S74-110,83.0,True,C,KUSSC,0.0
33175-S74-120,70.0,True,C,KUSMC,0.0
33175-S74-130,60.0,False,,,
33175-S74-140,57.0,False,,,
33175-S74-150,51.0,False,,,
33175-S74-160,42.0,True,C,KUSLC,0.0
33175-S74-85,80.0,False,,,
33175-S74-90,100.0,True,C,KUSXC,0.0
33175-SR4-100,81.0,True,A,KUSSA,0.0
33175-SR4-110,72.0,True,A,KUSSA,0.0
33175-SR4-120,73.0,True,AA,KUSMAA,0.0
33175-SR4-130,62.0,True,AA,KUSMAA,0.0
33175-SR4-140,58.0,False,,,
33175-SR4-150,50.0,True,C,KUSLC,0.0
33175-SR4-160,50.0,False,,,
33175-SR4-85,74.0,True,A,KUSXA,0.0
33175-SR4-90,85.0,True,A,KUSXA,0.0
33218-011-100,80.0,True,C,KUSSC,0.0
33218-011-110,73.0,True,B,KUSSB,0.0
33218-011-120,93.0,True,A,KUSMA,0.0
33218-011-130,78.0,True,A,KUSMA,0.0
33218-011-140,72.0,False,,,
33218-011-150,70.0,False,,,
33218-011-160,59.0,False,,,
33218-011-85,57.0,True,C,KUSXC,0.0
33218-011-90,76.0,True,B,KUSXB,0.0
33218-145-100,101.0,False,,,
33218-145-110,92.0,False,,,
33218-145-120,85.0,False,,,
33218-145-130,75.0,False,,,
33218-145-140,85.0,False,,,
33218-145-150,62.0,False,,,
33218-145-160,65.0,False,,,
33218-145-85,49.0,False,,,
33218-145-90,72.0,False,,,
33218-1AY-100,53.0,False,,,
33218-1AY-110,63.0,False,,,
33218-1AY-120,97.0,False,,,
33218-1AY-130,97.0,False,,,
33218-1AY-140,82.0,False,,,
33218-1AY-150,76.0,False,,,
33218-1AY-160,63.0,False,,,
33218-1AY-85,32.0,True,B,KUSXB,0.0
33218-1AY-90,55.0,False,,,
33218-1FL-100,40.0,False,,,
33218-1FL-110,61.0,False,,,
33218-1FL-120,90.0,False,,,
33218-1FL-130,66.0,False,,,
33218-1FL-140,81.0,False,,,
33218-1FL-150,78.0,False,,,
33218-1FL-160,80.0,False,,,
33218-1FL-85,27.0,False,,,
33218-1FL-90,34.0,False,,,
33218-1KJ-100,108.0,False,,,
33218-1KJ-110,98.0,False,,,
33218-1KJ-120,82.0,False,,,
33218-1KJ-130,100.0,False,,,
33218-1KJ-140,82.0,False,,,
33218-1KJ-150,76.0,False,,,
33218-1KJ-160,70.0,False,,,
33218-1KJ-85,46.0,False,,,
33218-1KJ-90,58.0,False,,,
