SKU,LoadMaxQty,InFwdDemandCSV
30070-011-S,60.0,False
30070-1AY-L,54.0,False
30070-1AY-M,64.0,False
30070-1AY-S,69.0,False
30070-1AY-XL,50.0,False
30070-1AY-XS,39.0,False
30070-1AY-XXL,44.0,False
30070-SR4-M,50.0,False
30070-SR4-S,59.0,False
30070-SR4-XS,50.0,False
30810-011-L,46.0,False
30810-011-M,51.0,False
30810-011-S,59.0,False
30810-011-XL,40.0,False
30810-011-XS,56.0,False
30810-011-XXL,21.0,False
30810-011-XXS,14.0,False
30810-1AY-L,50.0,False
30810-1AY-M,55.0,False
30810-1AY-S,53.0,False
30810-1AY-XL,44.0,False
30810-1AY-XS,47.0,False
30810-1AY-XXL,37.0,False
30810-1AY-XXS,15.0,False
30810-1FL-L,46.0,False
30810-1FL-M,48.0,False
30810-1FL-S,45.0,False
30810-1FL-XL,29.0,False
30810-1FL-XS,44.0,False
30810-1FL-XXL,21.0,False
30810-SR4-L,45.0,False
30810-SR4-M,48.0,False
30810-SR4-S,46.0,False
30810-SR4-XL,28.0,False
30810-SR4-XS,42.0,False
30810-SR4-XXL,18.0,False
33175-011-150,52.0,False
33175-011-160,50.0,False
33175-06G-100,64.0,False
33175-06G-110,50.0,False
33175-06G-120,50.0,False
33175-06G-130,50.0,False
33175-06G-140,50.0,False
33175-06G-150,40.0,False
33175-06G-160,43.0,False
33175-06G-85,47.0,False
33175-06G-90,33.0,False
33175-145-130,62.0,False
33175-145-150,54.0,False
33175-145-160,50.0,False
33175-1AY-140,61.0,False
33175-1AY-150,58.0,False
33175-1AY-160,50.0,False
33175-1FL-100,69.0,False
33175-1FL-150,46.0,False
33175-1FL-160,47.0,False
33175-1FL-85,74.0,False
33175-1KJ-110,44.0,False
33175-1KJ-120,64.0,False
33175-1KJ-130,65.0,False
33175-1KJ-140,54.0,False
33175-1KJ-150,35.0,False
33175-1KJ-160,34.0,False
33175-1KJ-85,29.0,False
33175-1KJ-90,35.0,False
33175-S74-100,84.0,False
33175-S74-130,60.0,False
33175-S74-140,57.0,False
33175-S74-150,51.0,False
33175-S74-85,80.0,False
33175-SR4-140,58.0,False
33175-SR4-160,50.0,False
33218-011-140,72.0,False
33218-011-150,70.0,False
33218-011-160,59.0,False
33218-145-100,101.0,False
33218-145-110,92.0,False
33218-145-120,85.0,False
33218-145-130,75.0,False
33218-145-140,85.0,False
33218-145-150,62.0,False
33218-145-160,65.0,False
33218-145-85,49.0,False
33218-145-90,72.0,False
33218-1AY-100,53.0,False
33218-1AY-110,63.0,False
33218-1AY-120,97.0,False
33218-1AY-130,97.0,False
33218-1AY-140,82.0,False
33218-1AY-150,76.0,False
33218-1AY-160,63.0,False
33218-1AY-90,55.0,False
33218-1FL-100,40.0,False
33218-1FL-110,61.0,False
33218-1FL-120,90.0,False
33218-1FL-130,66.0,False
33218-1FL-140,81.0,False
33218-1FL-150,78.0,False
33218-1FL-160,80.0,False
33218-1FL-85,27.0,False
33218-1FL-90,34.0,False
33218-1KJ-100,108.0,False
33218-1KJ-110,98.0,False
33218-1KJ-120,82.0,False
33218-1KJ-130,100.0,False
33218-1KJ-140,82.0,False
33218-1KJ-150,76.0,False
33218-1KJ-160,70.0,False
33218-1KJ-85,46.0,False
33218-1KJ-90,58.0,False
33218-30H-100,20.0,False
33218-30H-110,31.0,False
33218-30H-120,48.0,False
33218-30H-130,48.0,False
33218-30H-140,49.0,False
33218-30H-150,44.0,False
33218-30H-160,41.0,False
33218-30H-85,9.0,False
33218-30H-90,15.0,False
33218-SR4-100,98.0,False
33218-SR4-110,102.0,False
33218-SR4-120,96.0,False
33218-SR4-130,83.0,False
33218-SR4-140,79.0,False
33218-SR4-150,67.0,False
33218-SR4-160,60.0,False
33218-SR4-85,39.0,False
33218-SR4-90,99.0,False
37028-3QB-110,30.0,False
37028-3QB-150,20.0,False
37028-3QB-160,21.0,False
37028-3SJ-100,36.0,False
37028-3SJ-110,30.0,False
37028-3SJ-120,30.0,False
37028-3SJ-130,24.0,False
37028-3SJ-140,23.0,False
37028-3SJ-150,18.0,False
37028-3SJ-160,20.0,False
37028-3SJ-85,36.0,False
37028-3SJ-90,36.0,False
37028-3SN-100,80.0,False
37028-3SN-110,70.0,False
37028-3SN-120,61.0,False
37028-3SN-130,64.0,False
37028-3SN-140,57.0,False
37028-3SN-150,41.0,False
37028-3SN-160,36.0,False
37028-3SN-85,99.0,False
37028-3SN-90,95.0,False
37028-4KZ-140,24.0,False
37028-4LF-140,21.0,False
37028-4LF-150,20.0,False
37028-4LF-160,19.0,False
37028-4LR-100,60.0,False
37028-4LR-110,60.0,False
37028-4LR-120,50.0,False
37028-4LR-130,55.0,False
37028-4LR-140,42.0,False
37028-4LR-150,40.0,False
37028-4LR-160,32.0,False
37028-4LR-85,90.0,False
37028-4LR-90,70.0,False
37028-4ND-130,63.0,False
37028-4ND-140,55.0,False
37028-4ND-150,49.0,False
37028-4ND-160,35.0,False
39973-48Q-100,38.0,False
39973-48Q-150,45.0,False
39973-48Q-90,30.0,False
39973-AH1-130,66.0,False
41423-011-100,127.0,False
41423-011-110,118.0,False
41423-011-120,47.0,False
41423-011-140,29.0,False
41423-011-150,23.0,False
41423-011-90,108.0,False
43197-SR4-100,87.0,False
43197-SR4-110,113.0,False
43197-SR4-120,117.0,False
43197-SR4-130,131.0,False
43197-SR4-140,91.0,False
43205-2KC-100,282.0,False
43205-2KC-110,240.0,False
43205-2KC-120,255.0,False
43205-2KC-130,250.0,False
43205-2KC-140,146.0,False
43205-2KC-150,110.0,False
43205-2KC-85,150.0,False
43205-2KC-90,319.0,False
43205-2KE-100,200.0,False
43205-2KE-110,217.0,False
43205-2KE-120,194.0,False
43205-2KE-130,192.0,False
43205-2KE-140,164.0,False
43205-2KE-150,82.0,False
43205-2KE-85,96.0,False
43205-2KE-90,203.0,False
43205-5HV-100,163.0,False
43205-5HV-90,134.0,False
44223-CW2-150,37.0,False
44403-2BX-L,60.0,False
44403-2BX-XL,52.0,False
44403-2C2-XL,55.0,False
44403-2CF-XL,24.0,False
44403-2CF-XXL,20.0,False
44403-2CH-XXL,50.0,False
44403-2CK-XL,24.0,False
44403-2CK-XS,30.0,False
44403-2CK-XXL,20.0,False
44403-2FW-L,29.0,False
44403-2FW-M,78.0,False
44403-2FW-S,82.0,False
44403-2FW-XL,15.0,False
44403-2FW-XS,10.0,False
44403-2FW-XXL,9.0,False
44403-2GX-L,66.0,False
44403-2GX-M,63.0,False
44403-2GX-S,67.0,False
44403-2GX-XL,60.0,False
44403-2GX-XS,78.0,False
44403-2GX-XXL,37.0,False
44403-2HC-L,28.0,False
44403-2HC-S,30.0,False
44403-2HC-XL,24.0,False
44403-2HC-XS,30.0,False
44403-2HC-XXL,20.0,False
44403-727-L,55.0,False
44403-727-M,60.0,False
44403-727-S,60.0,False
44403-727-XL,50.0,False
44403-727-XS,65.0,False
44403-727-XXL,45.0,False
44403-QX6-L,28.0,False
44403-XS9-L,28.0,False
44403-XS9-M,28.0,False
44403-XS9-S,30.0,False
44403-XS9-XL,27.0,False
44403-XS9-XS,30.0,False
44403-XU1-L,55.0,False
44403-XU1-M,60.0,False
44403-XU1-S,60.0,False
44403-XU1-XL,50.0,False
44403-XU1-XXL,45.0,False
44441-015-100/110,160.0,False
44441-015-120/130,164.0,False
44441-015-140/150,118.0,False
44441-015-80/90,204.0,False
44441-3UU-100/110,168.0,False
44441-3UU-120/130,140.0,False
44441-3UU-140/150,124.0,False
44441-3UU-80/90,208.0,False
44441-R25-100/110,176.0,False
44441-R25-120/130,160.0,False
44441-R25-140/150,126.0,False
44441-R25-80/90,234.0,False
45039-001-10/12,119.0,False
45039-001-12/1Y,102.0,False
45039-001-1Y/3Y,102.0,False
45039-001-3Y/5Y,69.0,False
45039-001-5/7,61.0,False
45039-001-7/9,134.0,False
45039-PG7-12/1Y,64.0,False
45039-PG7-1Y/3Y,96.0,False
45039-PG7-3Y/5Y,90.0,False
45346-2KD-100,225.0,False
45346-2KD-110,221.0,False
45346-2KD-120,200.0,False
45346-2KD-130,187.0,False
45346-2KD-140,163.0,False
45346-2KD-150,155.0,False
45346-2KD-85,80.0,False
45346-2KD-90,182.0,False
45346-2KE-100,249.0,False
45346-2KE-110,190.0,False
45346-2KE-120,200.0,False
45346-2KE-130,192.0,False
45346-2KE-140,188.0,False
45346-2KE-150,90.0,False
45346-2KE-85,86.0,False
45346-2KE-90,207.0,False
45346-32V-100,226.0,False
45346-32V-110,245.0,False
45346-32V-120,221.0,False
45346-32V-130,200.0,False
45346-32V-140,162.0,False
45346-32V-150,97.0,False
45346-32V-85,96.0,False
45346-32V-90,214.0,False
45346-3KH-100,170.0,False
45346-3KH-110,228.0,False
45346-3KH-120,194.0,False
45346-3KH-130,148.0,False
45346-3KH-140,160.0,False
45346-3KH-150,132.0,False
45346-3KH-85,136.0,False
45346-3KH-90,191.0,False
45358-CW2-120,105.0,False
45358-CW2-130,80.0,False
45358-CW2-140,60.0,False
45358-CW2-150,80.0,False
45359-DW1-140,42.0,False
45477-1AY-100,50.0,False
45477-1AY-110,50.0,False
45477-1AY-120,40.0,False
45477-1AY-130,35.0,False
45477-1AY-140,30.0,False
45477-1AY-150,30.0,False
45477-1AY-85,74.0,False
45477-1AY-90,50.0,False
45477-1FZ-100,59.0,False
45477-1FZ-110,50.0,False
45477-1FZ-120,40.0,False
45477-1FZ-130,35.0,False
45477-1FZ-140,32.0,False
45477-1FZ-150,30.0,False
45477-1FZ-85,76.0,False
45477-1FZ-90,50.0,False
45477-SR4-150,25.0,False
46239-1DH-100,95.0,False
46239-1DH-110,95.0,False
46239-1DH-120,150.0,False
46239-1DH-130,95.0,False
46239-1DH-140,88.0,False
46239-1DH-150,80.0,False
46239-1DH-85,75.0,False
46239-1DH-90,110.0,False
46239-1GF-100,178.0,False
46239-1GF-110,114.0,False
46239-1GF-120,140.0,False
46239-1GF-130,100.0,False
46239-1GF-140,109.0,False
46239-1GF-150,100.0,False
46239-1GF-85,112.0,False
46239-1GF-90,150.0,False
46239-2EL-100,150.0,False
46239-2EL-110,120.0,False
46239-2EL-120,120.0,False
46239-2EL-130,120.0,False
46239-2EL-140,102.0,False
46239-2EL-150,110.0,False
46239-2EL-85,166.0,False
46239-2EL-90,150.0,False
46239-GK3-100,62.0,False
46239-GK3-110,123.0,False
46239-GK3-120,130.0,False
46239-GK3-130,95.0,False
46239-GK3-140,84.0,False
46239-GK3-150,66.0,False
46239-GK3-85,32.0,False
46239-GK3-90,70.0,False
47052-NN9-85,100.0,False
47078-QN4-L,60.0,False
47078-QN4-M,70.0,False
47078-QN4-XS,90.0,False
47218-2EL-M,120.0,False
47218-2EL-S,140.0,False
47218-2EL-XS,160.0,False
47218-2EL-XXS,160.0,False
47681-5BV-100,36.0,False
47681-5BV-120,27.0,False
47681-5BV-130,24.0,False
47681-5BV-140,21.0,False
47681-5BV-150,18.0,False
47681-5BV-75,36.0,False
47681-5BV-80,36.0,False
47681-5BV-85,36.0,False
47681-5BV-90,36.0,False
47681-5CM-110,30.0,False
47681-5CM-120,27.0,False
47681-5CM-130,24.0,False
