SlotTier,OldSlots,NewSlots,DeltaSlots,AbsDeltaSlots
BAPIAA,214.50000000000003,293.40000000000003,78.9,78.9
BAPXAA,147.4,209.00000000000003,61.60000000000002,61.60000000000002
BAPXB,201.3,147.4,-53.900000000000006,53.900000000000006
BAPIC,697.4000000000001,652.3000000000001,-45.10000000000002,45.10000000000002
BOYMA,226.6,187.00000000000003,-39.599999999999966,39.599999999999966
BSLIA,244.2,209.00000000000003,-35.19999999999996,35.19999999999996
BAPIA,430.1,401.50000000000006,-28.599999999999966,28.599999999999966
KUSXAA,78.10000000000001,105.6,27.499999999999986,27.499999999999986
BAPIB,267.3,240.9,-26.400000000000006,26.400000000000006
GIRMA,344.3,317.90000000000003,-26.399999999999977,26.399999999999977
KUSSAA,200.1,226.3,26.200000000000017,26.200000000000017
KUSSA,133.10000000000002,107.8,-25.300000000000026,25.300000000000026
GIRSA,392.7000000000001,369.6,-23.10000000000008,23.10000000000008
COLLB,68.2,45.1,-23.1,23.1
KUSLC,113.3,91.3,-22.0,22.0
KUSXB,84.7,63.8,-20.900000000000006,20.900000000000006
BOYLC,161.70000000000002,182.6,20.899999999999977,20.899999999999977
GIRXA,338.8,319.0,-19.80000000000001,19.80000000000001
KNILB,136.4,117.7,-18.700000000000003,18.700000000000003
KNIMA,210.1,191.4,-18.69999999999999,18.69999999999999
BOYLB,145.20000000000002,127.6,-17.600000000000023,17.600000000000023
GIRLB,216.7,199.1,-17.599999999999994,17.599999999999994
BAPXC,366.3,349.8,-16.5,16.5
BOYXB,174.9,158.4,-16.5,16.5
COLLA,29.700000000000003,46.2,16.5,16.5
KNISB,77.0,60.50000000000001,-16.499999999999993,16.499999999999993
BOYMAA,160.4,176.4,16.0,16.0
BOYMC,113.3,128.70000000000002,15.40000000000002,15.40000000000002
COLSAA,44.0,59.400000000000006,15.400000000000006,15.400000000000006
COLSA,90.2,74.80000000000001,-15.399999999999991,15.399999999999991
GIRXC,510.4,495.00000000000006,-15.39999999999992,15.39999999999992
KUSXA,173.8,159.5,-14.300000000000011,14.300000000000011
CSLSAA,4.4,18.700000000000003,14.300000000000002,14.300000000000002
CSLMAA,12.1,26.4,14.299999999999999,14.299999999999999
BSLIAA,192.50000000000003,206.8,14.299999999999983,14.299999999999983
GIRSC,404.8,418.00000000000006,13.200000000000045,13.200000000000045
COLMA,71.5,58.3,-13.200000000000003,13.200000000000003
BOYMB,108.9,122.1,13.199999999999989,13.199999999999989
BOYLA,217.8,205.7,-12.100000000000023,12.100000000000023
BOYSA,206.8,194.7,-12.100000000000023,12.100000000000023
COLMAA,42.900000000000006,55.00000000000001,12.100000000000001,12.100000000000001
BSLIB,84.7,72.60000000000001,-12.099999999999994,12.099999999999994
KNISA,199.1,187.00000000000003,-12.099999999999966,12.099999999999966
GIRXAA,174.9,185.9,11.0,11.0
KNISAA,188.1,199.1,11.0,11.0
BSLXB,41.8,30.800000000000004,-10.999999999999993,10.999999999999993
BOYXA,152.9,143.0,-9.900000000000006,9.900000000000006
ASLMB,33.0,23.1,-9.899999999999999,9.899999999999999
GIRLC,369.6,359.70000000000005,-9.899999999999977,9.899999999999977
BOYLAA,58.3,68.0,9.700000000000003,9.700000000000003
KUSMAA,240.3,249.9,9.599999999999994,9.599999999999994
BAPXA,333.3,324.5,-8.800000000000011,8.800000000000011
COLXB,74.80000000000001,66.0,-8.800000000000011,8.800000000000011
KUSLA,129.8,138.60000000000002,8.800000000000011,8.800000000000011
CSLMB,29.700000000000003,20.9,-8.800000000000004,8.800000000000004
COLXAA,15.400000000000002,24.200000000000003,8.8,8.8
ASLLB,66.0,57.2,-8.799999999999997,8.799999999999997
BSLXA,86.9,78.10000000000001,-8.799999999999997,8.799999999999997
CSLXB,47.3,38.5,-8.799999999999997,8.799999999999997
KNILA,220.00000000000003,228.8,8.799999999999983,8.799999999999983
CSLLA,31.9,39.6,7.700000000000003,7.700000000000003
CSLXA,36.3,44.0,7.700000000000003,7.700000000000003
GIRMB,127.6,119.9,-7.699999999999989,7.699999999999989
KNISC,97.9,105.6,7.699999999999989,7.699999999999989
KUSMA,111.1,103.4,-7.699999999999989,7.699999999999989
KUSSC,180.4,172.70000000000002,-7.699999999999989,7.699999999999989
GIRSB,189.2,181.50000000000003,-7.69999999999996,7.69999999999996
BOYXC,259.6,266.20000000000005,6.600000000000023,6.600000000000023
KUSMB,42.900000000000006,36.3,-6.6000000000000085,6.6000000000000085
KUSMC,125.4,118.8,-6.6000000000000085,6.6000000000000085
ASLSC,57.2,50.6,-6.600000000000001,6.600000000000001
BOYXAA,44.0,50.6,6.600000000000001,6.600000000000001
COLSC,60.50000000000001,67.10000000000001,6.600000000000001,6.600000000000001
CSLMA,38.5,31.9,-6.600000000000001,6.600000000000001
BOYSC,167.20000000000002,173.8,6.599999999999994,6.599999999999994
BSLXAA,40.7,47.3,6.599999999999994,6.599999999999994
CSLSA,52.8,46.2,-6.599999999999994,6.599999999999994
KNIMC,72.60000000000001,79.2,6.599999999999994,6.599999999999994
KUSXC,178.20000000000002,171.60000000000002,-6.599999999999994,6.599999999999994
GIRSAA,405.9,399.3,-6.599999999999966,6.599999999999966
KUNSA,7.700000000000001,2.2,-5.500000000000001,5.500000000000001
ASLMC,53.900000000000006,59.400000000000006,5.5,5.5
ASLXC,187.00000000000003,181.50000000000003,-5.5,5.5
COLMC,45.1,50.6,5.5,5.5
CSLSC,85.80000000000001,80.30000000000001,-5.5,5.5
GIRLA,407.00000000000006,401.50000000000006,-5.5,5.5
KNILC,119.9,125.4,5.5,5.5
KUNSAA,66.0,71.5,5.5,5.5
COLSB,33.0,27.500000000000004,-5.4999999999999964,5.4999999999999964
GIRMAA,534.5,529.9000000000001,-4.599999999999909,4.599999999999909
COLIC,40.7,36.3,-4.400000000000006,4.400000000000006
CSLLC,147.4,143.0,-4.400000000000006,4.400000000000006
CSLXC,190.3,185.9,-4.400000000000006,4.400000000000006
GIRLAA,170.5,174.9,4.400000000000006,4.400000000000006
KNIXB,129.8,125.4,-4.400000000000006,4.400000000000006
KNIXC,144.10000000000002,139.70000000000002,-4.400000000000006,4.400000000000006
BAPOAA,24.200000000000003,19.8,-4.400000000000002,4.400000000000002
ASLLAA,2.2,6.6000000000000005,4.4,4.4
CSLIAA,0.0,4.4,4.4,4.4
CSLXAA,3.3000000000000003,7.700000000000001,4.4,4.4
ASLMA,28.6,33.0,4.399999999999999,4.399999999999999
ASLSA,22.0,26.4,4.399999999999999,4.399999999999999
BAPOA,29.700000000000003,34.1,4.399999999999999,4.399999999999999
COLMB,28.6,24.200000000000003,-4.399999999999999,4.399999999999999
ASLLA,37.400000000000006,41.8,4.3999999999999915,4.3999999999999915
CSLMC,61.60000000000001,66.0,4.3999999999999915,4.3999999999999915
KUNLAA,90.2,94.6,4.3999999999999915,4.3999999999999915
COLXC,148.5,144.10000000000002,-4.399999999999977,4.399999999999977
KNIMAA,209.00000000000003,213.4,4.399999999999977,4.399999999999977
ASLLC,262.90000000000003,259.6,-3.3000000000000114,3.3000000000000114
AAPLC,19.8,16.5,-3.3000000000000007,3.3000000000000007
BAPSB,17.6,14.3,-3.3000000000000007,3.3000000000000007
BAPSAA,3.3000000000000003,6.6000000000000005,3.3000000000000003,3.3000000000000003
CSLLAA,2.2,5.5,3.3,3.3
KNIXAA,73.7,77.0,3.299999999999997,3.299999999999997
GIRMC,324.5,321.20000000000005,-3.2999999999999545,3.2999999999999545
KUSSB,55.00000000000001,52.8,-2.20000000000001,2.20000000000001
ASLSB,28.6,30.800000000000004,2.200000000000003,2.200000000000003
BAPOB,34.1,31.9,-2.200000000000003,2.200000000000003
KNIMB,63.8,66.0,2.200000000000003,2.200000000000003
KUNLC,14.3,12.1,-2.200000000000001,2.200000000000001
KUNXC,7.700000000000001,5.5,-2.200000000000001,2.200000000000001
ACCXA,4.4,2.2,-2.2,2.2
ACCXAA,4.4,6.6000000000000005,2.2,2.2
COLIB,4.4,6.6000000000000005,2.2,2.2
COLLAA,6.6000000000000005,8.8,2.2,2.2
ASLMAA,3.3000000000000003,5.5,2.1999999999999997,2.1999999999999997
ASLXA,3.3000000000000003,5.5,2.1999999999999997,2.1999999999999997
CSLIB,5.5,3.3000000000000003,-2.1999999999999997,2.1999999999999997
CSLIA,9.9,7.700000000000001,-2.1999999999999993,2.1999999999999993
CSLSB,29.700000000000003,27.500000000000004,-2.1999999999999993,2.1999999999999993
COLXA,60.50000000000001,62.7,2.1999999999999957,2.1999999999999957
KUNLA,36.3,34.1,-2.1999999999999957,2.1999999999999957
KUNXAA,43.900000000000006,46.1,2.1999999999999957,2.1999999999999957
BAPOC,258.5,256.3,-2.1999999999999886,2.1999999999999886
BOYSAA,138.60000000000002,137.3,-1.3000000000000114,1.3000000000000114
KUSLB,74.80000000000001,73.7,-1.1000000000000085,1.1000000000000085
BSLOC,45.1,44.0,-1.1000000000000014,1.1000000000000014
KUNXA,22.0,20.9,-1.1000000000000014,1.1000000000000014
ACCSAA,5.5,6.6000000000000005,1.1000000000000005,1.1000000000000005
KUNMA,6.6000000000000005,5.5,-1.1000000000000005,1.1000000000000005
OTHXC,6.6000000000000005,7.700000000000001,1.1000000000000005,1.1000000000000005
AAPMC,4.4,3.3000000000000003,-1.1,1.1
AAPSA,3.3000000000000003,4.4,1.1,1.1
AAPSAA,1.1,0.0,-1.1,1.1
ACCSA,2.2,1.1,-1.1,1.1
ACCXB,1.1,2.2,1.1,1.1
ACCXC,1.1,0.0,-1.1,1.1
BSLOAA,1.1,0.0,-1.1,1.1
COLIA,0.0,1.1,1.1,1.1
KUNMB,1.1,2.2,1.1,1.1
KUNSB,0.0,1.1,1.1,1.1
KUSIB,2.2,1.1,-1.1,1.1
KUSIC,1.1,2.2,1.1,1.1
OTHLB,3.3000000000000003,2.2,-1.1,1.1
AAPXC,4.4,5.5,1.0999999999999996,1.0999999999999996
ASLUC,7.700000000000001,8.8,1.0999999999999996,1.0999999999999996
BAPSC,11.0,9.9,-1.0999999999999996,1.0999999999999996
BSLOB,9.9,8.8,-1.0999999999999996,1.0999999999999996
OTHLC,9.9,11.0,1.0999999999999996,1.0999999999999996
BOYSB,118.8,117.7,-1.0999999999999943,1.0999999999999943
BSLIC,135.3,136.4,1.0999999999999943,1.0999999999999943
BSLXC,52.8,51.7,-1.0999999999999943,1.0999999999999943
CSLLB,36.3,35.2,-1.0999999999999943,1.0999999999999943
GIRXB,253.00000000000003,251.90000000000003,-1.0999999999999943,1.0999999999999943
KNIXA,183.7,182.6,-1.0999999999999943,1.0999999999999943
KUNMAA,62.7,63.8,1.0999999999999943,1.0999999999999943
KUSLAA,72.60000000000001,73.7,1.0999999999999943,1.0999999999999943
AAPLB,2.2,2.2,0.0,0.0
AAPMA,2.2,2.2,0.0,0.0
AAPMB,2.2,2.2,0.0,0.0
AAPSC,2.2,2.2,0.0,0.0
AAPXB,2.2,2.2,0.0,0.0
ACCIC,0.0,0.0,0.0,0.0
ACCLAA,2.2,2.2,0.0,0.0
ACCLC,1.1,1.1,0.0,0.0
ACCMA,1.1,1.1,0.0,0.0
ACCMAA,3.3000000000000003,3.3000000000000003,0.0,0.0
ACCMC,1.1,1.1,0.0,0.0
ACCOAA,4.4,4.4,0.0,0.0
ACCOC,8.8,8.8,0.0,0.0
ACCSC,1.1,1.1,0.0,0.0
ASLSAA,2.2,2.2,0.0,0.0
ASLXB,13.2,13.2,0.0,0.0
BAPLA,1.1,1.1,0.0,0.0
BAPMA,1.1,1.1,0.0,0.0
BAPSA,18.700000000000003,18.700000000000003,0.0,0.0
BSLLC,0.0,0.0,0.0,0.0
BSLMC,0.0,0.0,0.0,0.0
BSLOA,11.0,11.0,0.0,0.0
BSLSC,0.0,0.0,0.0,0.0
